* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: 0.343
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 2, 2026 7:26:59 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: S2 R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	107.450	-146.3221
20.299999	107.474	-147.0205
20.600000	107.493	-147.6917
20.900000	107.510	-148.3257
21.200001	107.525	-148.9202
21.400000	107.536	-149.2974
21.799999	107.561	-150.0224
22.000000	107.575	-150.3780
22.400000	107.605	-151.0881
22.700001	107.628	-151.6265
23.000000	107.650	-152.1706
23.299999	107.670	-152.7175
23.600000	107.688	-153.2631
24.000000	107.708	-153.9797
24.299999	107.720	-154.5036
24.700001	107.734	-155.1786
25.000000	107.744	-155.6672
25.400000	107.756	-156.2990
25.799999	107.768	-156.9136
26.200001	107.779	-157.5130
26.500000	107.788	-157.9521
26.900000	107.800	-158.5257
27.200001	107.810	-158.9519
27.600000	107.823	-159.5251
28.000000	107.835	-160.1094
28.500000	107.843	-160.8382
29.000000	107.844	-161.5198
29.500000	107.845	-162.1303
30.000000	107.854	-162.7040
30.400000	107.864	-163.1735
30.700001	107.873	-163.5410
31.100000	107.881	-164.0441
31.500000	107.884	-164.5425
32.000000	107.885	-165.1380
32.500000	107.886	-165.7063
33.000000	107.885	-166.2600
33.500000	107.883	-166.7971
34.000000	107.881	-167.3118
34.500000	107.881	-167.8150
35.000000	107.881	-168.3259
35.500000	107.879	-168.8447
36.000000	107.874	-169.3521
36.500000	107.867	-169.8354
37.000000	107.861	-170.3015
37.500000	107.855	-170.7609
38.200001	107.846	-171.3930
38.700001	107.840	-171.8358
39.500000	107.829	-172.5469
40.000000	107.819	-172.9884
40.599998	107.803	-173.4890
41.200001	107.790	-173.9546
41.799999	107.780	-174.4168
42.500000	107.768	-174.9814
43.099998	107.753	-175.4625
43.700001	107.738	-175.9119
44.400002	107.724	-176.4201
45.000000	107.714	-176.8739
45.500000	107.703	-177.2531
46.200001	107.687	-177.7542
46.799999	107.678	-178.1810
47.500000	107.664	-178.7281
48.200001	107.634	-179.2606
48.700001	107.609	-179.5659
49.400002	107.582	-179.9133
50.000000	107.569	179.7727
50.799999	107.547	179.3019
51.500000	107.523	178.9044
52.200001	107.499	178.5128
53.000000	107.467	178.0625
53.799999	107.435	177.6739
54.500000	107.420	177.3265
55.200001	107.405	176.8808
56.000000	107.370	176.3369
57.000000	107.316	175.8146
58.000000	107.281	175.3678
59.000000	107.250	174.8350
60.000000	107.200	174.3351
60.799999	107.167	174.0727
61.500000	107.156	173.7829
62.200001	107.134	173.3655
63.000000	107.084	172.9564
64.000000	107.033	172.6365
65.000000	106.994	172.2139
66.000000	106.943	171.8339
67.000000	106.903	171.4713
68.000000	106.859	171.0663
69.000000	106.811	170.6992
70.000000	106.765	170.3635
71.000000	106.724	170.0004
72.000000	106.669	169.6242
73.000000	106.617	169.3933
74.000000	106.579	169.0887
75.000000	106.527	168.7745
76.199997	106.473	168.4738
77.500000	106.413	168.0929
78.800003	106.349	167.7130
80.000000	106.281	167.4220
81.199997	106.226	167.1512
82.500000	106.159	166.8167
83.800003	106.092	166.5431
85.000000	106.033	166.2971
86.199997	105.973	166.0618
87.500000	105.908	165.8221
88.500000	105.857	165.6462
90.000000	105.781	165.3979
91.199997	105.718	165.2164
92.500000	105.655	165.0310
93.800003	105.586	164.8407
95.000000	105.527	164.7078
96.199997	105.468	164.5652
97.500000	105.404	164.4128
98.800003	105.336	164.2997
100.000000	105.277	164.2068
101.500000	105.201	164.1006
103.000000	105.129	163.9989
104.400002	105.059	163.9317
106.000000	104.986	163.8453
107.500000	104.912	163.8021
109.000000	104.840	163.7595
110.599998	104.767	163.7531
112.000000	104.698	163.7405
113.800003	104.617	163.7487
115.000000	104.566	163.7625
117.199997	104.473	163.8358
118.000000	104.434	163.8299
120.599998	104.348	163.9538
122.000000	104.262	164.0392
124.099998	104.171	164.1651
125.000000	104.137	164.2499
126.500000	104.076	164.2932
128.000000	104.016	164.4700
131.500000	103.891	164.7458
132.000000	103.873	164.8000
134.000000	103.804	165.0110
136.000000	103.733	165.2233
138.000000	103.670	165.4580
140.000000	103.608	165.7074
143.000000	103.511	166.0569
145.000000	103.459	166.3293
147.500000	103.390	166.6812
150.000000	103.327	167.0668
152.500000	103.268	167.4229
155.000000	103.204	167.8295
157.500000	103.154	168.1490
160.000000	103.107	168.5710
162.500000	103.059	168.9403
165.000000	103.019	169.3343
167.500000	102.980	169.7155
170.000000	102.941	170.1132
172.500000	102.909	170.5041
175.000000	102.882	170.9012
177.500000	102.855	171.2953
180.000000	102.838	171.7183
182.500000	102.813	172.0631
185.000000	102.785	172.4629
187.500000	102.780	172.8262
190.000000	102.765	173.1907
192.500000	102.750	173.4986
195.000000	102.743	173.8686
197.500000	102.739	174.1998
200.000000	102.733	174.5448
203.000000	102.728	174.9409
206.000000	102.721	175.3289
209.000000	102.720	175.7183
212.000000	102.720	176.0798
214.000000	102.722	176.3205
218.000000	102.723	176.8045
220.000000	102.733	177.0256
224.000000	102.746	177.5317
227.000000	102.759	177.8995
230.000000	102.779	178.2399
233.000000	102.799	178.5467
236.000000	102.821	178.8246
240.000000	102.891	179.1234
243.000000	102.894	179.3847
247.000000	102.925	179.6466
250.000000	102.951	179.7802
254.000000	102.978	179.9507
258.000000	103.007	-179.9075
262.000000	103.031	-179.7396
265.000000	103.049	-179.6402
269.000000	103.065	-179.4719
272.000000	103.085	-179.3673
276.000000	103.104	-179.2506
280.000000	103.122	-179.1304
285.000000	103.146	-178.9742
290.000000	103.168	-178.8457
295.000000	103.193	-178.7395
300.000000	103.223	-178.5334
304.000000	103.228	-178.5677
307.000000	103.244	-178.4502
311.000000	103.259	-178.4363
315.000000	103.272	-178.3517
320.000000	103.291	-178.2785
325.000000	103.306	-178.2246
330.000000	103.321	-178.1690
335.000000	103.335	-178.1166
340.000000	103.350	-178.0689
345.000000	103.361	-178.0090
350.000000	103.374	-177.9480
355.000000	103.390	-177.9080
360.000000	103.407	-177.8759
365.000000	103.415	-177.8984
370.000000	103.428	-177.8760
375.000000	103.439	-177.8712
382.000000	103.452	-177.8848
387.000000	103.458	-177.9008
395.000000	103.470	-177.9298
400.000000	103.474	-177.9409
406.000000	103.477	-177.9819
412.000000	103.478	-178.0115
418.000000	103.478	-178.0447
425.000000	103.472	-178.0858
431.000000	103.470	-178.1054
437.000000	103.466	-178.1168
444.000000	103.458	-178.1269
450.000000	103.456	-178.1583
455.000000	103.452	-178.1789
462.000000	103.446	-178.2090
468.000000	103.439	-178.2535
475.000000	103.425	-178.3047
482.000000	103.411	-178.3605
487.000000	103.399	-178.3721
494.000000	103.380	-178.4004
500.000000	103.365	-178.4279
508.000000	103.338	-178.4498
515.000000	103.317	-178.4690
522.000000	103.291	-178.4556
530.000000	103.267	-178.4608
538.000000	103.235	-178.4420
545.000000	103.207	-178.4155
552.000000	103.182	-178.3711
560.000000	103.149	-178.3533
