* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: 0.343
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Mar 8, 2026 11:44:22 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	105.418	175.7662
20.299999	105.423	174.9746
20.600000	105.426	174.1902
20.900000	105.427	173.4236
21.200001	105.428	172.6803
21.400000	105.430	172.1967
21.799999	105.437	171.2437
22.000000	105.441	170.7673
22.400000	105.450	169.8034
22.700001	105.455	169.0688
23.000000	105.456	168.3314
23.299999	105.453	167.6030
23.600000	105.446	166.8961
24.000000	105.432	166.0013
24.299999	105.421	165.3652
24.700001	105.409	164.5475
25.000000	105.402	163.9404
25.400000	105.394	163.1213
25.799999	105.383	162.2888
26.200001	105.368	161.4590
26.500000	105.354	160.8499
26.900000	105.336	160.0590
27.200001	105.323	159.4752
27.600000	105.308	158.6931
28.000000	105.293	157.8972
28.500000	105.270	156.8956
29.000000	105.244	155.9214
29.500000	105.218	154.9848
30.000000	105.197	154.0573
30.400000	105.181	153.3049
30.700001	105.167	152.7372
31.100000	105.146	151.9883
31.500000	105.124	151.2607
32.000000	105.097	150.3780
32.500000	105.071	149.5026
33.000000	105.042	148.6242
33.500000	105.009	147.7617
34.000000	104.973	146.9373
34.500000	104.940	146.1475
35.000000	104.909	145.3685
35.500000	104.881	144.5830
36.000000	104.853	143.7871
36.500000	104.824	142.9786
37.000000	104.794	142.1552
37.500000	104.759	141.3279
38.200001	104.703	140.2162
38.700001	104.663	139.4767
39.500000	104.608	138.3283
40.000000	104.577	137.5938
40.599998	104.535	136.7133
41.200001	104.491	135.8689
41.799999	104.450	135.0476
42.500000	104.402	134.0801
43.099998	104.358	133.2610
43.700001	104.313	132.4748
44.400002	104.266	131.5624
45.000000	104.224	130.7563
