* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: 0.343
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Mar 8, 2026 11:48:17 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	104.625	175.2311
20.299999	104.623	174.4035
20.600000	104.620	173.6040
20.900000	104.619	172.8240
21.200001	104.619	172.0515
21.400000	104.620	171.5357
21.799999	104.619	170.5013
22.000000	104.617	169.9864
22.400000	104.608	168.9757
22.700001	104.599	168.2466
23.000000	104.590	167.5453
23.299999	104.583	166.8657
23.600000	104.577	166.1957
24.000000	104.572	165.2963
24.299999	104.567	164.6119
24.700001	104.556	163.6962
25.000000	104.545	163.0211
25.400000	104.528	162.1503
25.799999	104.512	161.3087
26.200001	104.499	160.4744
26.500000	104.489	159.8420
26.900000	104.476	158.9897
27.200001	104.463	158.3511
27.600000	104.445	157.5130
28.000000	104.426	156.6921
28.500000	104.403	155.6762
29.000000	104.378	154.6646
29.500000	104.349	153.6811
30.000000	104.320	152.7477
30.400000	104.300	152.0218
30.700001	104.288	151.4717
31.100000	104.270	150.7176
31.500000	104.248	149.9506
32.000000	104.211	149.0243
32.500000	104.172	148.1772
33.000000	104.139	147.3871
33.500000	104.115	146.5864
34.000000	104.094	145.7314
34.500000	104.065	144.8365
35.000000	104.028	143.9476
35.500000	103.985	143.1011
36.000000	103.943	142.3067
36.500000	103.907	141.5455
37.000000	103.878	140.7749
37.500000	103.852	139.9565
38.200001	103.806	138.7511
38.700001	103.762	137.9194
39.500000	103.693	136.7188
40.000000	103.658	136.0014
40.599998	103.619	135.1135
41.200001	103.575	134.2078
41.799999	103.526	133.3223
42.500000	103.464	132.3378
43.099998	103.409	131.5467
43.700001	103.357	130.8141
44.400002	103.309	129.9873
45.000000	103.278	129.2142
45.500000	103.249	128.4944
46.200001	103.190	127.4521
46.799999	103.127	126.6443
47.500000	103.064	125.7992
48.200001	103.011	124.9065
48.700001	102.965	124.2406
49.400002	102.892	123.4193
50.000000	102.843	122.8234
50.799999	102.803	121.9429
51.500000	102.760	121.0490
52.200001	102.702	120.2015
53.000000	102.639	119.3072
53.799999	102.577	118.4159
54.500000	102.523	117.6492
55.200001	102.470	116.8596
56.000000	102.398	115.9513
57.000000	102.307	114.9191
58.000000	102.220	113.8647
59.000000	102.127	112.9459
60.000000	102.069	112.0163
60.799999	102.011	111.1004
61.500000	101.941	110.3922
62.200001	101.881	109.7988
63.000000	101.825	109.0819
64.000000	101.748	108.1437
65.000000	101.669	107.2507
66.000000	101.588	106.3714
67.000000	101.512	105.5336
68.000000	101.435	104.6573
69.000000	101.356	103.8518
70.000000	101.288	103.0103
71.000000	101.207	102.1682
72.000000	101.134	101.4069
73.000000	101.059	100.5854
74.000000	100.982	99.8660
75.000000	100.916	99.0784
76.199997	100.814	98.1848
77.500000	100.728	97.3205
78.800003	100.634	96.3971
80.000000	100.553	95.5750
81.199997	100.461	94.7596
82.500000	100.374	93.9693
83.800003	100.287	93.1103
85.000000	100.212	92.3441
86.199997	100.113	91.5128
87.500000	100.030	91.0038
88.500000	99.998	90.2914
90.000000	99.877	89.3322
91.199997	99.804	88.6671
92.500000	99.715	87.9714
93.800003	99.643	87.2849
95.000000	99.575	86.6325
96.199997	99.507	85.9826
97.500000	99.441	85.3377
98.800003	99.357	84.5459
100.000000	99.270	84.1166
101.500000	99.198	83.4331
103.000000	99.121	82.7593
104.400002	99.054	81.9869
106.000000	98.942	81.3414
107.500000	98.894	80.6968
109.000000	98.817	80.2242
110.599998	98.733	79.2736
112.000000	98.652	78.8506
113.800003	98.545	78.1041
115.000000	98.520	77.6110
117.199997	98.457	76.7609
118.000000	98.398	76.4583
120.599998	98.352	75.3876
122.000000	98.230	75.2966
124.099998	98.136	74.5547
125.000000	98.103	74.0878
126.500000	98.011	73.6526
128.000000	97.975	73.2746
131.500000	97.854	72.3033
132.000000	97.840	72.1733
134.000000	97.744	71.3325
136.000000	97.719	70.7164
138.000000	97.629	70.4777
140.000000	97.559	69.8986
143.000000	97.511	69.0420
145.000000	97.438	68.5862
147.500000	97.364	68.0207
150.000000	97.282	67.3638
152.500000	97.241	66.8284
155.000000	97.159	66.3217
157.500000	97.115	65.7420
160.000000	97.056	65.4191
162.500000	97.027	64.7060
165.000000	96.989	64.4057
167.500000	96.915	63.7125
170.000000	96.851	63.1902
172.500000	96.903	62.6115
175.000000	96.853	62.3499
177.500000	96.815	61.7844
180.000000	96.770	60.6940
182.500000	96.701	60.8608
185.000000	96.695	61.0335
187.500000	96.644	60.8233
190.000000	96.593	60.6011
192.500000	96.539	60.5085
195.000000	96.480	60.1957
197.500000	96.418	59.2742
200.000000	96.433	58.7590
203.000000	96.435	58.6193
206.000000	96.417	58.4879
209.000000	96.399	58.1214
212.000000	96.395	57.7593
214.000000	96.377	57.1770
218.000000	96.331	56.4589
220.000000	96.334	56.7318
224.000000	96.411	55.9844
227.000000	96.333	56.2605
230.000000	96.239	55.4860
233.000000	96.246	54.6617
236.000000	96.274	54.5583
240.000000	96.225	54.4728
243.000000	96.216	54.0385
247.000000	96.252	53.5068
250.000000	96.236	53.6358
254.000000	96.205	53.3037
258.000000	96.204	52.9021
262.000000	96.235	52.5589
265.000000	96.111	52.2540
269.000000	96.122	51.4833
272.000000	96.142	52.0273
276.000000	96.187	51.1837
280.000000	96.202	51.5906
285.000000	96.114	51.0140
290.000000	96.125	50.0226
295.000000	96.179	50.3752
300.000000	96.183	49.2364
304.000000	96.112	49.7379
307.000000	96.200	49.5268
311.000000	96.152	48.9904
315.000000	96.160	48.7117
320.000000	96.152	48.2631
325.000000	96.148	48.0532
330.000000	96.162	47.8333
335.000000	96.171	47.5721
340.000000	96.157	47.3625
345.000000	96.158	47.1262
350.000000	96.154	46.8583
355.000000	96.156	46.5462
360.000000	96.176	46.2648
365.000000	96.171	46.2266
370.000000	96.179	45.8727
375.000000	96.187	45.8194
382.000000	96.175	45.4074
387.000000	96.191	45.2892
395.000000	96.211	45.0406
400.000000	96.183	44.8273
406.000000	96.210	44.7511
412.000000	96.210	44.4367
418.000000	96.221	44.2638
425.000000	96.218	44.0098
431.000000	96.218	43.7506
437.000000	96.215	43.5910
444.000000	96.204	43.4083
450.000000	96.182	43.2144
455.000000	96.175	43.1639
462.000000	96.159	43.0748
468.000000	96.152	43.0560
475.000000	96.141	43.0431
482.000000	96.142	43.0556
487.000000	96.146	43.1155
494.000000	96.142	43.1899
500.000000	96.161	43.1511
508.000000	96.164	43.2185
515.000000	96.176	43.1667
522.000000	96.176	43.2390
530.000000	96.197	43.2189
538.000000	96.200	43.2447
545.000000	96.198	43.3272
552.000000	96.215	43.3001
560.000000	96.221	43.4109
570.000000	96.237	43.4723
580.000000	96.244	43.5477
590.000000	96.256	43.6638
600.000000	96.271	43.8396
608.000000	96.278	43.8830
615.000000	96.288	44.0338
622.000000	96.295	44.1046
630.000000	96.305	44.2241
640.000000	96.322	44.4116
650.000000	96.331	44.6031
660.000000	96.347	44.8353
670.000000	96.370	45.0436
680.000000	96.382	45.2956
690.000000	96.403	45.5407
700.000000	96.419	45.7839
710.000000	96.437	46.0789
720.000000	96.460	46.3884
730.000000	96.484	46.6986
740.000000	96.504	46.9911
750.000000	96.535	47.3193
762.000000	96.569	47.7304
775.000000	96.611	48.1819
788.000000	96.656	48.6312
800.000000	96.698	49.0724
812.000000	96.746	49.4850
825.000000	96.798	49.9797
838.000000	96.851	50.4688
850.000000	96.906	50.9176
862.000000	96.966	51.4411
875.000000	97.030	51.9575
885.000000	97.086	52.3510
900.000000	97.168	52.9837
912.000000	97.248	53.4579
925.000000	97.334	53.9747
938.000000	97.425	54.4572
950.000000	97.516	54.9237
962.000000	97.608	55.3702
975.000000	97.711	55.8063
988.000000	97.818	56.2217
1000.000000	97.923	56.6141
1015.000000	98.054	57.0199
1030.000000	98.188	57.4279
1044.000000	98.317	57.7861
1060.000000	98.468	58.1192
1075.000000	98.610	58.3838
1090.000000	98.752	58.6208
1106.000000	98.909	58.8429
1120.000000	99.042	58.9547
1138.000000	99.215	59.0802
1150.000000	99.325	59.1151
1172.000000	99.527	59.1294
1180.000000	99.603	59.1180
1206.000000	99.830	59.0072
1220.000000	99.949	58.9393
1241.000000	100.117	58.7522
1250.000000	100.187	58.6647
1265.000000	100.304	58.5204
1280.000000	100.417	58.3336
1315.000000	100.659	57.9232
1320.000000	100.692	57.8420
1340.000000	100.820	57.5847
1360.000000	100.946	57.3199
1380.000000	101.066	57.0331
1400.000000	101.181	56.7870
1430.000000	101.342	56.4000
1450.000000	101.446	56.1418
1475.000000	101.573	55.8402
1500.000000	101.694	55.5528
1525.000000	101.821	55.2409
1550.000000	101.942	54.9601
1575.000000	102.058	54.6802
1600.000000	102.173	54.4133
1625.000000	102.292	54.1190
1650.000000	102.404	53.8187
1675.000000	102.515	53.5294
1700.000000	102.631	53.1989
1725.000000	102.743	52.8921
1750.000000	102.851	52.5614
1775.000000	102.967	52.2292
1800.000000	103.071	51.8595
1825.000000	103.182	51.4627
1850.000000	103.287	51.0592
1875.000000	103.391	50.6313
1900.000000	103.489	50.1947
1925.000000	103.591	49.7516
1950.000000	103.685	49.2612
1975.000000	103.782	48.7733
2000.000000	103.864	48.2565
2030.000000	103.974	47.5929
2060.000000	104.074	46.9179
2090.000000	104.165	46.1881
2120.000000	104.251	45.4737
2140.000000	104.302	44.9838
2180.000000	104.395	43.9787
2200.000000	104.438	43.4731
2240.000000	104.516	42.4504
2270.000000	104.560	41.6811
2300.000000	104.601	40.9280
2330.000000	104.633	40.1875
2360.000000	104.661	39.4454
2400.000000	104.685	38.4681
2430.000000	104.694	37.7522
2470.000000	104.698	36.8750
2500.000000	104.695	36.2171
2540.000000	104.684	35.3938
2580.000000	104.665	34.6307
2620.000000	104.645	33.9308
2650.000000	104.621	33.4418
2690.000000	104.594	32.8449
2720.000000	104.570	32.4023
2760.000000	104.538	31.8881
2800.000000	104.504	31.4127
2850.000000	104.465	30.8900
2900.000000	104.425	30.4159
2950.000000	104.393	29.9852
3000.000000	104.360	29.6196
3040.000000	104.340	29.3257
3070.000000	104.327	29.1174
3110.000000	104.313	28.8700
3150.000000	104.298	28.6422
3200.000000	104.290	28.3758
3250.000000	104.291	28.0978
3300.000000	104.299	27.8102
3350.000000	104.318	27.4714
3400.000000	104.335	27.0702
3450.000000	104.357	26.6460
3500.000000	104.377	26.1373
3550.000000	104.400	25.5995
3600.000000	104.423	24.9711
3650.000000	104.442	24.3016
3700.000000	104.450	23.5758
3750.000000	104.457	22.7473
3820.000000	104.448	21.5367
3870.000000	104.427	20.6289
3950.000000	104.368	19.0727
4000.000000	104.353	17.9893
4060.000000	104.232	16.8141
4120.000000	104.124	15.6049
4180.000000	103.993	14.4012
4250.000000	103.812	13.0662
4310.000000	103.632	12.0006
4370.000000	103.432	11.0366
4440.000000	103.179	10.0676
4500.000000	102.949	9.3804
4550.000000	102.739	8.8965
4620.000000	102.446	8.4618
4680.000000	102.187	8.2393
4750.000000	101.886	8.1700
4820.000000	101.587	8.2911
4870.000000	101.382	8.4688
4940.000000	101.092	8.8741
5000.000000	100.847	9.3871
5080.000000	100.534	10.1727
5150.000000	100.274	11.0494
5220.000000	100.029	11.9866
5300.000000	99.762	13.3151
5380.000000	99.509	14.7666
5450.000000	99.315	16.1245
5520.000000	99.137	17.5839
5600.000000	98.950	19.3646
5700.000000	98.759	21.7024
5800.000000	98.599	24.1467
5900.000000	98.485	26.7958
6000.000000	98.399	29.4144
6080.000000	98.409	31.8019
6150.000000	98.424	33.8119
6220.000000	98.480	35.7378
6300.000000	98.554	37.9764
6400.000000	98.712	40.8317
6500.000000	98.951	43.7008
6600.000000	99.282	46.2179
6700.000000	99.650	48.4091
6800.000000	100.087	50.4573
6900.000000	100.592	52.2150
