* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138. Timing signal peak level -50.2 dBFS, measurement signal peak level -16.9 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Mar 9, 2024 10:01:32 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay 0.0263 ms (9.0 mm, 0.36 in) using estimated IR delay relative to Acoustic reference on USB-C to 3.5mm Headphone Jack Adapter R with no timing offset
* Measurement: S1 L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	62.674206	100.7833
20.600000	61.845318	103.9511
20.900000	61.607262	109.2652
21.200001	62.218349	113.5992
21.400000	62.942192	114.4533
21.799999	64.490105	111.9777
22.000000	65.102859	109.4170
22.400000	65.750755	103.3945
22.700001	65.582916	99.4439
23.000000	64.794922	97.1446
23.299999	63.442257	97.9973
23.600000	61.843357	103.6319
24.000000	60.662033	117.2776
24.299999	61.072716	123.9226
24.700001	62.469955	119.9225
25.000000	63.635139	110.7250
25.400000	65.195152	97.4219
25.799999	66.572426	88.5227
26.200001	67.672440	85.4917
26.500000	68.367599	85.9911
26.900000	69.065414	87.8401
27.200001	69.242935	89.0715
27.600000	68.681686	91.4465
28.000000	67.114822	99.2000
28.500000	65.870346	125.7300
29.000000	68.319939	144.6216
29.500000	70.792130	139.3267
30.000000	71.769119	123.1327
30.400000	71.639725	107.7215
30.700001	71.069191	96.7860
31.100000	69.684555	85.5614
31.500000	67.746765	82.0175
32.000000	66.031906	91.8850
32.500000	66.711235	103.0350
33.000000	67.760139	102.4047
33.500000	67.797745	96.6364
34.000000	67.037102	93.2364
34.500000	66.360420	95.7659
35.000000	66.581001	100.4689
35.500000	67.298325	101.9963
36.000000	67.798851	101.4593
36.500000	68.063309	101.8572
37.000000	68.433807	103.1006
37.500000	68.896439	102.7919
38.200001	68.950348	100.0406
38.700001	68.468903	100.5089
39.500000	68.380836	107.7593
40.000000	69.052490	109.1505
40.599998	69.575897	105.5997
41.200001	69.503708	101.8343
41.799999	69.317863	101.0327
42.500000	69.381592	101.2897
43.099998	69.410393	101.1863
43.700001	69.497284	102.1081
44.400002	69.990494	102.6728
45.000000	70.363853	101.8328
45.500000	70.465744	102.2250
46.200001	70.689949	105.0112
46.799999	71.036964	105.1947
47.500000	70.916534	101.1100
48.200001	70.151657	98.5480
48.700001	69.807976	100.8605
49.400002	70.319481	106.4033
50.000000	71.128998	108.7347
50.799999	71.713272	108.1908
51.500000	71.635818	105.8467
52.200001	71.367897	103.4700
53.000000	71.458328	102.5282
53.799999	71.965645	103.0289
54.500000	72.325935	104.3309
55.200001	72.534241	105.6746
56.000000	72.601379	105.4809
57.000000	72.604073	104.5350
58.000000	73.039879	104.0081
59.000000	73.275330	102.4062
60.000000	73.167648	102.3928
60.799999	73.159302	103.0128
61.500000	73.242744	104.1792
62.200001	73.498161	105.5908
63.000000	73.799576	105.8287
64.000000	73.783432	105.7038
65.000000	73.854813	106.8280
66.000000	74.127281	105.9295
67.000000	74.189247	105.3949
68.000000	74.438286	106.8789
69.000000	74.751419	106.7760
70.000000	74.902428	106.6215
71.000000	75.264633	106.2918
72.000000	75.423119	105.9056
73.000000	75.528252	107.0228
74.000000	75.616005	106.4433
75.000000	75.648613	106.7326
76.199997	76.045502	107.5433
77.500000	76.119255	107.0706
78.800003	76.209099	106.5210
80.000000	76.497078	106.0631
81.199997	76.661079	106.7844
82.500000	76.866875	107.2758
83.800003	77.123535	106.5863
85.000000	77.360931	106.7266
86.199997	77.472618	107.2760
87.500000	77.494476	107.7717
88.500000	77.704712	107.4733
90.000000	77.945160	107.1537
91.199997	78.193779	107.8332
92.500000	78.364677	107.0555
93.800003	78.479004	107.1022
95.000000	78.630417	107.2934
96.199997	78.796883	107.3531
97.500000	79.099693	106.7875
98.800003	79.134796	107.2456
100.000000	79.341904	107.6553
101.500000	79.543640	107.0043
103.000000	79.717354	107.0772
104.400002	79.830231	107.3236
106.000000	80.261047	107.1426
107.500000	80.513474	107.2249
109.000000	80.759026	107.5875
110.599998	80.776657	107.1996
112.000000	80.901329	106.5816
113.800003	81.142212	106.5994
115.000000	81.307159	107.4237
117.199997	81.557541	106.0525
118.000000	81.733116	106.6082
120.599998	81.873947	106.3365
122.000000	82.142662	106.6119
124.099998	82.419868	106.1664
125.000000	82.524689	106.3883
126.500000	82.690933	105.5862
128.000000	82.932762	105.6389
131.500000	83.390251	105.3563
132.000000	83.418419	104.9277
134.000000	83.705940	105.3699
136.000000	83.919250	105.3345
138.000000	84.170578	104.6865
140.000000	84.500397	104.5459
143.000000	84.779060	104.8444
145.000000	84.944954	102.9531
147.500000	85.188599	103.6785
150.000000	85.454491	102.2045
152.500000	85.743057	101.8835
155.000000	86.122063	102.0474
157.500000	86.379372	100.6292
160.000000	86.615456	100.3133
162.500000	87.036591	100.2189
165.000000	87.347809	98.9105
167.500000	87.617249	99.0041
170.000000	87.640205	96.9918
172.500000	87.979134	97.0943
175.000000	88.206680	95.6261
177.500000	88.500710	95.5991
180.000000	88.799171	94.0909
182.500000	88.906784	94.0743
185.000000	89.247353	92.2966
187.500000	89.437347	91.6741
190.000000	89.718628	90.7625
192.500000	89.900497	89.7618
195.000000	90.114067	88.7547
197.500000	90.340912	87.7517
200.000000	90.567665	86.6903
203.000000	90.795860	85.2657
206.000000	91.039215	83.9261
209.000000	91.265945	82.5387
212.000000	91.508080	80.9142
214.000000	91.571381	80.3493
218.000000	91.862579	78.0654
220.000000	91.993614	77.1425
224.000000	92.218246	75.3755
227.000000	92.391106	73.8253
230.000000	92.553017	72.1722
233.000000	92.689148	70.6459
236.000000	92.858208	69.1242
240.000000	92.982605	67.1892
243.000000	93.101799	65.6538
247.000000	93.246956	63.7154
250.000000	93.335594	62.3173
254.000000	93.435638	60.3180
258.000000	93.538055	58.3129
262.000000	93.629356	56.8013
265.000000	93.664780	55.4514
269.000000	93.767380	53.5267
272.000000	93.783707	52.1996
276.000000	93.821259	50.6702
280.000000	93.869171	49.0079
285.000000	93.896278	47.0600
290.000000	93.914307	45.2692
295.000000	93.933998	43.5728
300.000000	93.955704	41.9567
304.000000	93.943802	40.6801
307.000000	93.936813	39.7736
311.000000	93.926033	38.6506
315.000000	93.919708	37.5687
320.000000	93.913597	36.2271
325.000000	93.905312	35.0775
330.000000	93.889488	33.8635
335.000000	93.872345	32.7843
340.000000	93.859856	31.7537
345.000000	93.855209	30.7641
350.000000	93.837212	29.7838
355.000000	93.823105	28.9450
360.000000	93.813866	28.1475
365.000000	93.801834	27.3630
370.000000	93.798531	26.6279
375.000000	93.789772	25.8675
382.000000	93.790771	24.9792
387.000000	93.788834	24.3576
395.000000	93.799866	23.4200
400.000000	93.800850	22.8519
406.000000	93.819313	22.2080
412.000000	93.833763	21.6127
418.000000	93.855850	21.0427
425.000000	93.889214	20.3814
431.000000	93.919075	19.8427
437.000000	93.953117	19.3255
444.000000	93.993256	18.7498
450.000000	94.036331	18.2573
455.000000	94.079681	17.8729
462.000000	94.136322	17.3533
468.000000	94.191536	16.9074
475.000000	94.267830	16.4004
482.000000	94.342270	15.8954
487.000000	94.401169	15.5429
494.000000	94.493095	15.0648
500.000000	94.579208	14.6548
508.000000	94.695839	14.0767
515.000000	94.810097	13.5523
522.000000	94.933456	12.9646
530.000000	95.080544	12.3001
538.000000	95.236961	11.5988
545.000000	95.377045	11.0095
552.000000	95.522812	10.2814
560.000000	95.712601	9.4887
570.000000	95.944595	8.3625
580.000000	96.187004	7.1803
590.000000	96.447449	5.8655
600.000000	96.722412	4.3645
608.000000	96.954773	3.0639
615.000000	97.158546	1.8610
622.000000	97.373444	0.5392
630.000000	97.619713	-1.0965
640.000000	97.932251	-3.3322
650.000000	98.246162	-5.8863
660.000000	98.567276	-8.6653
670.000000	98.876953	-11.7967
680.000000	99.171761	-15.2966
690.000000	99.448212	-19.1293
700.000000	99.688622	-23.3975
710.000000	99.872040	-28.0647
720.000000	99.995819	-33.0206
730.000000	100.029175	-38.2369
740.000000	99.979492	-43.5923
750.000000	99.834412	-48.9530
762.000000	99.548294	-55.2540
775.000000	99.100021	-61.6297
788.000000	98.546837	-67.3637
800.000000	97.963409	-72.0631
812.000000	97.340881	-76.1939
825.000000	96.631401	-79.9994
838.000000	95.917374	-83.2117
850.000000	95.253815	-85.7199
862.000000	94.606392	-87.7574
875.000000	93.917610	-89.5808
885.000000	93.395973	-90.7561
900.000000	92.647621	-92.1227
912.000000	92.070602	-92.9813
925.000000	91.456306	-93.6616
938.000000	90.881035	-94.2042
950.000000	90.364716	-94.4917
962.000000	89.867966	-94.6576
975.000000	89.331573	-94.7308
988.000000	88.826263	-94.7173
1000.000000	88.369057	-94.6675
1015.000000	87.827148	-94.4503
1030.000000	87.302948	-94.1170
1044.000000	86.827477	-93.7822
1060.000000	86.299149	-93.2541
1075.000000	85.799988	-92.8622
1090.000000	85.297241	-92.3028
1106.000000	84.806656	-91.0981
1120.000000	84.532349	-90.6652
1138.000000	84.035637	-90.8540
1150.000000	83.688507	-90.9730
1172.000000	83.033241	-91.9402
1180.000000	82.792534	-92.6861
1206.000000	81.569672	-97.9626
1220.000000	80.305870	-102.8905
1241.000000	76.044907	-106.3115
1250.000000	73.327209	-97.1422
1265.000000	71.679153	-61.0067
1280.000000	73.859741	-40.4328
1315.000000	76.748459	-28.2883
1320.000000	76.968079	-27.2395
1340.000000	77.697990	-23.0298
1360.000000	78.298340	-18.9396
1380.000000	78.897247	-14.8117
1400.000000	79.501747	-11.0999
1430.000000	80.424530	-5.8685
1450.000000	81.077271	-2.7958
1475.000000	81.962181	0.2704
1500.000000	82.844139	2.7799
1525.000000	83.764565	4.6598
1550.000000	84.684151	6.0352
1575.000000	85.651001	6.7528
1600.000000	86.626564	6.8751
1625.000000	87.616676	6.3797
1650.000000	88.639389	5.1487
1675.000000	89.694077	3.2023
1700.000000	90.750351	0.2758
1725.000000	91.810402	-3.8150
1750.000000	92.833015	-9.2304
1775.000000	93.752861	-16.1057
1800.000000	94.502357	-24.4483
1825.000000	94.988373	-33.8806
1850.000000	95.144531	-43.7619
1875.000000	94.975708	-53.3171
1900.000000	94.533554	-61.8697
1925.000000	93.927536	-69.0294
1950.000000	93.230042	-74.8123
1975.000000	92.505013	-79.4529
2000.000000	91.790031	-82.9880
2030.000000	90.959518	-86.3611
2060.000000	90.173286	-88.8201
2090.000000	89.448433	-90.5982
2120.000000	88.792358	-91.9249
2140.000000	88.375961	-92.5191
2180.000000	87.606735	-93.4236
2200.000000	87.241760	-93.6742
2240.000000	86.579727	-94.0101
2270.000000	86.128319	-94.0485
2300.000000	85.694870	-93.9362
2330.000000	85.296532	-93.7021
2360.000000	84.937149	-93.4944
2400.000000	84.479462	-92.9718
2430.000000	84.164993	-92.5428
2470.000000	83.781189	-91.8697
2500.000000	83.525955	-91.3562
2540.000000	83.174629	-90.5013
2580.000000	82.869957	-89.8218
2620.000000	82.593262	-88.9618
2650.000000	82.394951	-88.2220
2690.000000	82.161285	-87.3742
2720.000000	82.026398	-86.7755
2760.000000	81.825562	-85.7493
2800.000000	81.658134	-85.0572
2850.000000	81.496262	-84.0629
2900.000000	81.298515	-82.9997
2950.000000	81.145638	-82.0377
3000.000000	81.012199	-81.1926
3040.000000	80.945572	-80.5038
3070.000000	80.885925	-79.9419
3110.000000	80.833649	-79.2237
3150.000000	80.757538	-78.5687
3200.000000	80.716858	-77.6546
3250.000000	80.682220	-77.1192
3300.000000	80.646523	-76.5386
3350.000000	80.632484	-75.7027
3400.000000	80.645638	-75.1424
3450.000000	80.657654	-74.4870
3500.000000	80.682449	-73.8545
3550.000000	80.727821	-73.4611
3600.000000	80.812035	-72.9798
3650.000000	80.876129	-72.6099
3700.000000	80.966736	-72.3553
3750.000000	81.062576	-72.1864
3820.000000	81.198616	-72.0292
3870.000000	81.302711	-71.9208
3950.000000	81.513008	-71.9038
4000.000000	81.696236	-73.0616
4060.000000	81.795242	-72.3716
4120.000000	82.003387	-72.7404
4180.000000	82.214455	-73.1726
4250.000000	82.476151	-73.8579
4310.000000	82.715065	-74.7625
4370.000000	82.999306	-75.8461
4440.000000	83.319771	-77.5739
4500.000000	83.591782	-79.4869
4550.000000	83.812393	-81.6813
4620.000000	84.059807	-85.2402
4680.000000	84.155121	-88.9583
4750.000000	84.073372	-93.5041
4820.000000	83.736290	-97.7678
4870.000000	83.337738	-100.1795
4940.000000	82.668800	-101.6572
5000.000000	82.094879	-101.3653
5080.000000	81.544151	-99.2566
5150.000000	80.864456	-92.7511
5220.000000	81.324287	-85.7882
5300.000000	82.197144	-80.8638
5380.000000	83.294052	-77.9779
5450.000000	84.385826	-77.0167
5520.000000	85.582909	-77.6082
5600.000000	87.026634	-80.2760
5700.000000	88.900322	-87.1965
5800.000000	90.610428	-99.0852
5900.000000	91.713455	-115.8190
6000.000000	91.787178	-134.4292
6080.000000	91.121750	-147.2290
6150.000000	90.292191	-156.2361
6220.000000	89.369873	-163.0353
6300.000000	88.322189	-168.7890
6400.000000	87.118637	-173.6092
6500.000000	86.078728	-176.6558
6600.000000	85.224968	-178.5209
6700.000000	84.533493	-179.6363
6800.000000	83.999138	179.4163
6900.000000	83.598404	178.6578
7000.000000	83.317787	178.0023
7100.000000	83.173592	177.2904
7200.000000	83.113258	176.4208
7300.000000	83.173485	175.0515
7400.000000	83.320457	173.4225
7500.000000	83.559959	171.0366
7620.000000	83.956299	167.4331
7750.000000	84.539467	161.6918
7880.000000	85.175079	153.4395
8000.000000	85.691505	143.2009
8120.000000	85.865189	129.0418
8250.000000	85.338394	112.4059
8380.000000	84.003868	96.8691
8500.000000	82.334335	85.5562
8620.000000	80.489563	77.3999
8750.000000	78.506058	71.4962
8850.000000	77.067375	68.1332
9000.000000	75.020264	65.8095
9120.000000	73.619690	64.5794
9250.000000	72.194260	64.2304
9380.000000	70.901611	64.2263
9500.000000	69.786491	64.5628
9620.000000	68.782021	64.6706
9750.000000	67.944542	64.9467
9880.000000	66.979828	64.5635
10000.000000	65.853188	69.8570
10150.000000	65.251640	66.7379
10300.000000	64.326622	67.8507
10440.000000	63.752651	66.0833
10600.000000	62.895962	66.6244
10750.000000	62.181347	66.5364
10900.000000	61.696503	66.2443
11060.000000	61.327644	76.4373
11200.000000	60.586941	64.4025
11380.000000	60.339497	65.6161
11500.000000	60.083042	62.6182
11720.000000	59.320831	62.4121
11800.000000	59.538582	58.4965
12060.000000	58.726986	56.0376
12200.000000	58.908436	53.1201
12410.000000	58.697838	52.2398
12500.000000	58.799557	51.4033
12650.000000	59.011692	44.4897
12800.000000	59.132561	42.3021
13150.000000	59.299717	35.5123
13200.000000	59.922932	33.7996
13400.000000	60.902287	26.4127
13600.000000	61.819565	24.2927
13800.000000	63.191776	13.9299
14000.000000	64.539238	8.1169
14300.000000	67.377602	-5.5344
14500.000000	69.802856	-17.9994
14750.000000	74.112320	-40.0250
15000.000000	79.091553	-87.0183
15250.000000	77.877457	-155.3425
15500.000000	73.710236	168.6211
15750.000000	70.930702	146.7521
16000.000000	68.996185	128.0903
16250.000000	67.512405	110.0372
16500.000000	66.597649	89.9046
16750.000000	65.877449	69.8475
17000.000000	65.169289	46.7240
17250.000000	64.796722	24.1827
17500.000000	64.794205	-1.5192
17750.000000	65.152382	-27.9383
18000.000000	65.181610	-65.8384
18250.000000	66.006966	-98.8275
18500.000000	66.982658	-141.0132
18750.000000	68.437416	168.8079
19000.000000	70.479042	107.7896
19250.000000	72.603821	25.8738
19500.000000	72.163719	-84.5431
19750.000000	67.740669	163.0870
