* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138. Timing signal peak level -20.9 dBFS, measurement signal peak level -17.8 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Mar 9, 2024 10:03:06 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0472 ms (-16 mm, -0.64 in) using estimated IR delay relative to Acoustic reference on USB-C to 3.5mm Headphone Jack Adapter R with no timing offset
* Measurement: S1 R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	59.292004	82.6133
20.600000	58.107193	94.9307
20.900000	58.504700	104.0446
21.200001	59.364635	105.4046
21.400000	59.828644	104.0693
21.799999	60.579983	101.8986
22.000000	61.021500	102.6399
22.400000	62.383347	106.9765
22.700001	63.785240	109.6422
23.000000	65.130577	109.8818
23.299999	66.065666	107.7676
23.600000	66.413971	104.3118
24.000000	65.958984	99.5800
24.299999	65.165672	97.3163
24.700001	64.280952	96.9433
25.000000	64.401360	96.8160
25.400000	65.747131	92.9759
25.799999	67.503502	85.3317
26.200001	68.700073	77.8382
26.500000	68.905701	74.3811
26.900000	68.128357	75.7939
27.200001	66.969841	84.6141
27.600000	66.311966	108.0089
28.000000	67.763016	129.5182
28.500000	69.802353	138.9274
29.000000	70.359062	136.9217
29.500000	69.648994	127.6760
30.000000	68.407921	111.5074
30.400000	67.604492	95.4597
30.700001	67.214111	84.3602
31.100000	66.730034	74.1387
31.500000	65.998940	71.2723
32.000000	65.101265	78.5617
32.500000	65.213303	90.6946
33.000000	65.818291	95.6814
33.500000	65.678291	92.6842
34.000000	64.408272	87.5510
34.500000	62.455635	88.9523
35.000000	62.026428	102.1860
35.500000	64.297142	111.0973
36.000000	66.712372	108.9671
36.500000	68.064301	103.7917
37.000000	68.485229	100.7698
37.500000	68.482819	101.0612
38.200001	68.307487	101.9433
38.700001	67.779778	100.9932
39.500000	66.567459	104.7689
40.000000	66.901581	110.5646
40.599998	68.156067	111.6364
41.200001	68.757843	108.5001
41.799999	68.581436	108.1483
42.500000	68.799561	110.9889
43.099998	69.499039	108.6265
43.700001	69.729759	103.1520
44.400002	69.114075	101.7120
45.000000	68.512634	106.9166
45.500000	68.292412	111.0448
46.200001	67.996521	110.7921
46.799999	67.940170	106.6597
47.500000	69.050163	101.9601
48.200001	70.877701	98.3938
48.700001	71.714264	96.5223
49.400002	71.674026	97.0457
50.000000	71.037155	101.9392
50.799999	70.722443	107.8302
51.500000	70.637772	106.0657
52.200001	70.289680	104.4790
53.000000	70.400681	108.1797
53.799999	70.955734	109.4016
54.500000	70.987755	108.0067
55.200001	70.970406	107.8098
56.000000	71.342430	108.1790
57.000000	71.704460	108.9663
58.000000	71.712746	109.3684
59.000000	71.436485	108.9641
60.000000	71.858948	110.0021
60.799999	72.371033	108.9745
61.500000	72.455284	108.7928
62.200001	72.532211	110.0462
63.000000	72.775208	110.3130
64.000000	72.888481	110.1985
65.000000	73.171127	111.5437
66.000000	73.301689	110.2258
67.000000	73.136810	110.1697
68.000000	73.494415	111.0438
