* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 27, 2024 1:26:48 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	106.015	-158.2723
20.600000	106.016	-158.9572
20.900000	106.009	-159.5682
21.200001	106.003	-160.1703
21.400000	106.001	-160.5739
21.799999	106.006	-161.4022
22.000000	106.010	-161.8291
22.400000	106.023	-162.6974
22.700001	106.030	-163.3386
23.000000	106.034	-163.9490
23.299999	106.035	-164.5155
23.600000	106.034	-165.0382
24.000000	106.032	-165.6926
24.299999	106.030	-166.1792
24.700001	106.025	-166.8521
25.000000	106.019	-167.3771
25.400000	106.006	-168.0866
25.799999	105.994	-168.7792
26.200001	105.985	-169.4407
26.500000	105.983	-169.9187
26.900000	105.982	-170.5369
27.200001	105.982	-170.9842
27.600000	105.978	-171.5492
28.000000	105.972	-172.0744
28.500000	105.963	-172.7016
29.000000	105.956	-173.3591
29.500000	105.944	-174.0781
30.000000	105.924	-174.8158
30.400000	105.904	-175.3734
30.700001	105.888	-175.7597
31.100000	105.871	-176.2376
31.500000	105.856	-176.6936
32.000000	105.840	-177.2621
32.500000	105.820	-177.8379
33.000000	105.798	-178.4131
33.500000	105.775	-178.9825
34.000000	105.753	-179.5457
34.500000	105.732	179.9009
35.000000	105.711	179.3651
35.500000	105.688	178.8515
36.000000	105.664	178.3590
36.500000	105.639	177.8829
37.000000	105.614	177.4178
37.500000	105.589	176.9588
38.200001	105.554	176.3227
38.700001	105.530	175.8724
39.500000	105.490	175.1566
40.000000	105.463	174.7111
40.599998	105.430	174.1815
41.200001	105.397	173.6638
41.799999	105.364	173.1628
42.500000	105.327	172.6050
43.099998	105.294	172.1617
43.700001	105.260	171.7600
44.400002	105.222	171.3157
45.000000	105.187	170.9093
45.500000	105.152	170.5485
46.200001	105.099	170.0591
46.799999	105.059	169.6757
47.500000	105.028	169.2159
48.200001	105.000	168.7280
48.700001	104.978	168.4085
49.400002	104.947	168.0188
50.000000	104.922	167.6768
50.799999	104.870	167.1868
51.500000	104.805	166.8202
52.200001	104.744	166.5157
53.000000	104.691	166.1137
53.799999	104.652	165.6122
54.500000	104.620	165.1648
55.200001	104.586	164.7809
56.000000	104.543	164.4158
57.000000	104.484	163.9141
58.000000	104.417	163.3766
59.000000	104.363	162.9323
60.000000	104.305	162.5084
60.799999	104.246	162.2134
61.500000	104.198	161.9699
