* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 27, 2024 1:28:36 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	106.804	-159.0046
20.600000	106.817	-159.6894
20.900000	106.824	-160.3269
21.200001	106.831	-160.9755
21.400000	106.835	-161.4135
21.799999	106.844	-162.2903
22.000000	106.848	-162.7219
22.400000	106.854	-163.5547
22.700001	106.856	-164.1406
23.000000	106.855	-164.6895
23.299999	106.853	-165.2051
23.600000	106.849	-165.6968
24.000000	106.845	-166.3363
24.299999	106.841	-166.8168
24.700001	106.836	-167.4673
25.000000	106.832	-167.9603
25.400000	106.828	-168.6166
25.799999	106.825	-169.2654
26.200001	106.823	-169.9072
26.500000	106.822	-170.3855
26.900000	106.816	-171.0161
27.200001	106.809	-171.4775
27.600000	106.795	-172.0657
28.000000	106.779	-172.6176
28.500000	106.761	-173.2713
29.000000	106.749	-173.9253
29.500000	106.738	-174.6073
30.000000	106.723	-175.3065
30.400000	106.709	-175.8561
30.700001	106.696	-176.2533
31.100000	106.680	-176.7601
31.500000	106.666	-177.2464
32.000000	106.650	-177.8389
32.500000	106.634	-178.4230
33.000000	106.617	-178.9976
33.500000	106.597	-179.5592
34.000000	106.577	179.8911
34.500000	106.555	179.3508
35.000000	106.533	178.8216
35.500000	106.510	178.3079
36.000000	106.487	177.8076
36.500000	106.463	177.3114
37.000000	106.438	176.8173
37.500000	106.411	176.3399
38.200001	106.376	175.7220
38.700001	106.358	175.2913
39.500000	106.328	174.5423
40.000000	106.298	174.0661
40.599998	106.254	173.5665
41.200001	106.216	173.1357
41.799999	106.190	172.6780
42.500000	106.160	172.0635
43.099998	106.123	171.5641
43.700001	106.085	171.1545
44.400002	106.052	170.6935
45.000000	106.026	170.2114
45.500000	105.999	169.7692
46.200001	105.954	169.2179
46.799999	105.925	168.8582
47.500000	105.902	168.4580
48.200001	105.862	167.9942
48.700001	105.816	167.6841
49.400002	105.753	167.3315
50.000000	105.724	166.9797
50.799999	105.697	166.3149
51.500000	105.649	165.7979
52.200001	105.596	165.5204
53.000000	105.552	165.2342
53.799999	105.512	164.7646
54.500000	105.479	164.2837
55.200001	105.447	163.7845
56.000000	105.385	163.2981
57.000000	105.293	163.0200
58.000000	105.248	162.6935
59.000000	105.206	162.1204
60.000000	105.151	161.6436
60.799999	105.101	161.2595
61.500000	105.049	160.9089
62.200001	104.998	160.6073
63.000000	104.951	160.2957
64.000000	104.893	159.8997
65.000000	104.830	159.5339
66.000000	104.773	159.1647
67.000000	104.719	158.7981
68.000000	104.660	158.4403
69.000000	104.600	158.0826
70.000000	104.541	157.7114
71.000000	104.481	157.3858
72.000000	104.422	157.0668
73.000000	104.356	156.7292
74.000000	104.300	156.4481
75.000000	104.249	156.1270
76.199997	104.172	155.8159
77.500000	104.095	155.4448
78.800003	104.013	155.1042
80.000000	103.945	154.8042
81.199997	103.877	154.5175
82.500000	103.801	154.1920
83.800003	103.724	153.9185
85.000000	103.656	153.6302
86.199997	103.589	153.4124
87.500000	103.512	153.1734
88.500000	103.453	152.9756
90.000000	103.370	152.6579
91.199997	103.300	152.4524
92.500000	103.232	152.2131
93.800003	103.160	151.9790
95.000000	103.097	151.8225
96.199997	103.029	151.6458
97.500000	102.959	151.4788
98.800003	102.886	151.2658
100.000000	102.823	151.0970
101.500000	102.745	150.8701
103.000000	102.663	150.7280
104.400002	102.587	150.5341
106.000000	102.502	150.3448
107.500000	102.426	150.1922
109.000000	102.338	150.0381
110.599998	102.258	149.8737
112.000000	102.181	149.7401
113.800003	102.082	149.6235
115.000000	102.017	149.5073
117.199997	101.895	149.3743
118.000000	101.852	149.3074
120.599998	101.714	149.1704
122.000000	101.622	149.1504
124.099998	101.497	149.0928
125.000000	101.441	149.0931
126.500000	101.344	149.1327
128.000000	101.250	149.2135
131.500000	101.014	149.7543
132.000000	100.988	149.8853
134.000000	100.866	150.4276
136.000000	100.788	151.1683
138.000000	100.773	152.1692
140.000000	100.853	152.8716
143.000000	100.991	152.6883
145.000000	101.020	152.0352
147.500000	100.982	151.3199
150.000000	100.902	150.6971
152.500000	100.800	150.2945
155.000000	100.695	150.0112
157.500000	100.585	149.8498
160.000000	100.490	149.8108
162.500000	100.377	149.7220
165.000000	100.283	149.6686
167.500000	100.186	149.6673
170.000000	100.095	149.7005
172.500000	100.003	149.7459
175.000000	99.916	149.7994
177.500000	99.833	149.8607
180.000000	99.741	149.9904
182.500000	99.663	150.0458
