* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Oct 23, 2024 1:55:58 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	102.113	-164.6833
20.299999	102.116	-165.3485
20.600000	102.125	-166.0236
20.900000	102.134	-166.7261
21.200001	102.140	-167.4567
21.400000	102.140	-167.9516
21.799999	102.132	-168.9267
22.000000	102.124	-169.3931
22.400000	102.104	-170.2680
22.700001	102.089	-170.8733
23.000000	102.076	-171.4470
23.299999	102.067	-172.0045
23.600000	102.060	-172.5599
24.000000	102.054	-173.3144
24.299999	102.049	-173.8953
24.700001	102.038	-174.6865
25.000000	102.025	-175.2809
25.400000	102.001	-176.0496
25.799999	101.972	-176.7596
26.200001	101.944	-177.3969
26.500000	101.927	-177.8391
26.900000	101.914	-178.4223
27.200001	101.909	-178.8830
27.600000	101.903	-179.5477
28.000000	101.891	179.7469
28.500000	101.862	178.8772
29.000000	101.827	178.0841
29.500000	101.794	177.3561
30.000000	101.766	176.6393
30.400000	101.742	176.0614
30.700001	101.722	175.6343
31.100000	101.695	175.0881
31.500000	101.667	174.5729
32.000000	101.637	173.9506
32.500000	101.611	173.3170
33.000000	101.584	172.6572
33.500000	101.550	171.9895
34.000000	101.510	171.3464
34.500000	101.469	170.7462
35.000000	101.429	170.1772
35.500000	101.392	169.6080
36.000000	101.354	169.0219
36.500000	101.311	168.4418
37.000000	101.264	167.9081
37.500000	101.220	167.4254
38.200001	101.172	166.7438
38.700001	101.139	166.2056
39.500000	101.070	165.3376
40.000000	101.023	164.8521
40.599998	100.971	164.3103
41.200001	100.923	163.7671
41.799999	100.875	163.2165
42.500000	100.817	162.5774
43.099998	100.765	162.0296
43.700001	100.709	161.4978
44.400002	100.640	160.9314
45.000000	100.586	160.4803
45.500000	100.543	160.1030
46.200001	100.484	159.5503
46.799999	100.430	159.0599
47.500000	100.358	158.5190
48.200001	100.288	158.0566
48.700001	100.246	157.7313
49.400002	100.189	157.1917
50.000000	100.127	156.7122
50.799999	100.042	156.2119
51.500000	99.988	155.7471
52.200001	99.920	155.1202
53.000000	99.802	154.5925
53.799999	99.716	154.3994
54.500000	99.681	154.0703
55.200001	99.626	153.5579
56.000000	99.541	153.1006
57.000000	99.454	152.6062
58.000000	99.358	152.0673
59.000000	99.265	151.5549
60.000000	99.153	151.0220
60.799999	99.065	150.7527
61.500000	99.007	150.4907
62.200001	98.945	150.1282
63.000000	98.860	149.7505
64.000000	98.762	149.3655
65.000000	98.665	148.9492
66.000000	98.567	148.6070
67.000000	98.474	148.2525
68.000000	98.375	147.9326
69.000000	98.282	147.6179
70.000000	98.176	147.2959
71.000000	98.075	147.0756
72.000000	97.980	146.7656
73.000000	97.870	146.5281
74.000000	97.785	146.3500
75.000000	97.696	145.9631
76.199997	97.556	145.6764
77.500000	97.439	145.4717
78.800003	97.314	145.1812
80.000000	97.198	145.0002
81.199997	97.090	144.8039
82.500000	96.961	144.5923
83.800003	96.842	144.4402
85.000000	96.722	144.2765
86.199997	96.612	144.2176
87.500000	96.492	144.0644
88.500000	96.396	144.0167
90.000000	96.259	143.9601
91.199997	96.150	143.9326
92.500000	96.036	143.9070
93.800003	95.917	143.8631
95.000000	95.810	143.8543
96.199997	95.699	143.8447
97.500000	95.584	143.9008
98.800003	95.470	143.9858
100.000000	95.381	144.0557
101.500000	95.245	144.0578
103.000000	95.117	144.2248
104.400002	95.013	144.3699
106.000000	94.878	144.3422
107.500000	94.748	144.6873
109.000000	94.646	144.9062
110.599998	94.516	145.0475
112.000000	94.404	145.4352
113.800003	94.276	145.6218
115.000000	94.197	145.8107
117.199997	94.052	146.2539
118.000000	93.989	146.3910
120.599998	93.857	146.6555
122.000000	93.722	147.3796
124.099998	93.580	147.8170
125.000000	93.526	148.0249
126.500000	93.432	148.4550
128.000000	93.353	148.6925
131.500000	93.149	149.7836
132.000000	93.127	149.9338
134.000000	93.013	150.4962
136.000000	92.920	150.9493
138.000000	92.809	151.4918
140.000000	92.741	152.1567
143.000000	92.629	153.0400
145.000000	92.534	153.6234
147.500000	92.430	154.3273
150.000000	92.355	155.1449
152.500000	92.283	155.8377
155.000000	92.203	156.5934
157.500000	92.137	157.4084
160.000000	92.083	158.2055
162.500000	92.013	158.9365
165.000000	91.942	160.1145
167.500000	91.887	160.5672
170.000000	91.861	161.3423
172.500000	91.833	162.1668
175.000000	91.805	162.9974
177.500000	91.790	163.8419
180.000000	91.813	164.5813
182.500000	91.835	165.3308
185.000000	91.851	165.9019
187.500000	91.856	166.3849
190.000000	91.867	166.8667
192.500000	91.869	167.3199
195.000000	91.862	167.7834
197.500000	91.866	168.2542
200.000000	91.870	168.7173
203.000000	91.880	169.3013
206.000000	91.889	169.8613
209.000000	91.901	170.4058
212.000000	91.920	170.9001
214.000000	91.931	171.2068
218.000000	91.949	171.7819
220.000000	91.961	172.0798
224.000000	91.982	172.6321
227.000000	92.000	173.0161
230.000000	92.020	173.4227
233.000000	92.043	173.7888
236.000000	92.062	174.1074
240.000000	92.093	174.6448
243.000000	92.111	174.9194
247.000000	92.142	175.3200
250.000000	92.166	175.6106
254.000000	92.193	175.9505
258.000000	92.223	176.3019
262.000000	92.250	176.6008
265.000000	92.278	176.7989
269.000000	92.304	177.1048
272.000000	92.321	177.3168
276.000000	92.350	177.5554
280.000000	92.375	177.7975
285.000000	92.407	178.0904
290.000000	92.438	178.3316
295.000000	92.470	178.5482
300.000000	92.494	178.7478
304.000000	92.519	178.9014
307.000000	92.536	179.0018
311.000000	92.551	179.1553
315.000000	92.568	179.2964
320.000000	92.590	179.4376
325.000000	92.611	179.5805
330.000000	92.627	179.7535
335.000000	92.643	179.8650
