* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Oct 23, 2024 2:00:01 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	101.745	-162.9788
20.299999	101.752	-163.6578
20.600000	101.764	-164.3302
20.900000	101.779	-165.0202
21.200001	101.793	-165.7421
21.400000	101.800	-166.2404
21.799999	101.804	-167.2476
22.000000	101.800	-167.7388
22.400000	101.783	-168.6632
22.700001	101.767	-169.2907
23.000000	101.753	-169.8701
23.299999	101.743	-170.4217
23.600000	101.737	-170.9679
24.000000	101.730	-171.7105
24.299999	101.724	-172.2759
24.700001	101.712	-173.0229
25.000000	101.702	-173.5684
25.400000	101.688	-174.2790
25.799999	101.674	-174.9864
26.200001	101.657	-175.6956
26.500000	101.641	-176.2170
26.900000	101.615	-176.8728
27.200001	101.597	-177.3264
27.600000	101.578	-177.8956
28.000000	101.567	-178.4642
28.500000	101.558	-179.2332
29.000000	101.543	179.9360
29.500000	101.515	179.1108
30.000000	101.481	178.3487
30.400000	101.455	177.7812
30.700001	101.436	177.3671
31.100000	101.413	176.8179
31.500000	101.390	176.2701
32.000000	101.359	175.5953
32.500000	101.327	174.9377
33.000000	101.295	174.2939
33.500000	101.262	173.6622
34.000000	101.228	173.0463
34.500000	101.194	172.4473
35.000000	101.160	171.8612
35.500000	101.126	171.2858
36.000000	101.091	170.7224
36.500000	101.056	170.1706
37.000000	101.020	169.6258
37.500000	100.983	169.0867
38.200001	100.929	168.3534
38.700001	100.891	167.8492
39.500000	100.830	167.0505
40.000000	100.791	166.5425
40.599998	100.739	165.9421
41.200001	100.684	165.3855
41.799999	100.632	164.8716
42.500000	100.579	164.2675
43.099998	100.532	163.7197
43.700001	100.480	163.1824
44.400002	100.417	162.6150
45.000000	100.370	162.1522
45.500000	100.332	161.7529
46.200001	100.276	161.1781
46.799999	100.223	160.7028
47.500000	100.161	160.1792
48.200001	100.101	159.6589
48.700001	100.055	159.2789
49.400002	99.985	158.7687
50.000000	99.924	158.3919
50.799999	99.857	157.9100
51.500000	99.801	157.3733
52.200001	99.721	156.8216
53.000000	99.625	156.4301
53.799999	99.569	156.0929
54.500000	99.525	155.6048
55.200001	99.457	155.1062
56.000000	99.378	154.6828
57.000000	99.293	154.1463
58.000000	99.202	153.6224
59.000000	99.109	153.0888
60.000000	99.003	152.6375
60.799999	98.931	152.3318
61.500000	98.869	152.0132
62.200001	98.803	151.6984
