* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: 0.343
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Nov 20, 2025 3:37:47 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	112.732	-162.2714
20.299999	112.733	-162.8279
20.600000	112.735	-163.3501
20.900000	112.740	-163.8463
21.200001	112.749	-164.3353
21.400000	112.758	-164.6691
21.799999	112.775	-165.3724
22.000000	112.781	-165.7416
22.400000	112.786	-166.4934
22.700001	112.781	-167.0364
23.000000	112.772	-167.5363
23.299999	112.761	-167.9833
23.600000	112.754	-168.3848
24.000000	112.752	-168.8884
24.299999	112.756	-169.2745
24.700001	112.763	-169.8262
25.000000	112.765	-170.2616
25.400000	112.762	-170.8426
25.799999	112.753	-171.3900
26.200001	112.742	-171.8936
26.500000	112.737	-172.2531
26.900000	112.731	-172.7300
27.200001	112.728	-173.0954
27.600000	112.722	-173.5924
28.000000	112.713	-174.0900
28.500000	112.698	-174.6958
29.000000	112.681	-175.2767
29.500000	112.663	-175.8315
30.000000	112.647	-176.3615
30.400000	112.637	-176.7770
30.700001	112.631	-177.0942
31.100000	112.623	-177.5347
31.500000	112.612	-177.9916
32.000000	112.590	-178.5489
32.500000	112.564	-179.0424
33.000000	112.542	-179.4684
33.500000	112.530	-179.8781
34.000000	112.522	179.6795
34.500000	112.512	179.2099
35.000000	112.497	178.7493
35.500000	112.481	178.3087
36.000000	112.465	177.8679
36.500000	112.446	177.4214
37.000000	112.422	176.9982
37.500000	112.398	176.6209
38.200001	112.371	176.1192
38.700001	112.355	175.7328
39.500000	112.320	175.1089
40.000000	112.298	174.7535
40.599998	112.278	174.3160
41.200001	112.254	173.8236
41.799999	112.219	173.3412
42.500000	112.174	172.8931
43.099998	112.148	172.5512
43.700001	112.127	172.1591
44.400002	112.095	171.6708
45.000000	112.064	171.2798
45.500000	112.039	170.9602
46.200001	111.999	170.5091
46.799999	111.961	170.1622
47.500000	111.922	169.8138
48.200001	111.893	169.4401
48.700001	111.871	169.1396
49.400002	111.834	168.7261
50.000000	111.802	168.4036
50.799999	111.767	167.9733
51.500000	111.736	167.5569
52.200001	111.696	167.1528
53.000000	111.650	166.7975
53.799999	111.620	166.4525
54.500000	111.591	166.0512
55.200001	111.544	165.6861
56.000000	111.493	165.4147
57.000000	111.446	164.9993
