* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: 0.343
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Nov 20, 2025 3:40:57 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	112.841	-161.5808
20.299999	112.845	-162.1762
20.600000	112.843	-162.7554
20.900000	112.837	-163.2969
21.200001	112.829	-163.7841
21.400000	112.826	-164.0774
21.799999	112.828	-164.6189
22.000000	112.834	-164.8872
22.400000	112.855	-165.4617
22.700001	112.872	-165.9503
23.000000	112.886	-166.4830
23.299999	112.891	-167.0350
23.600000	112.888	-167.5731
24.000000	112.875	-168.2218
24.299999	112.865	-168.6484
24.700001	112.857	-169.1625
25.000000	112.857	-169.5388
25.400000	112.861	-170.0618
25.799999	112.863	-170.6126
26.200001	112.860	-171.1643
26.500000	112.855	-171.5611
26.900000	112.849	-172.0621
27.200001	112.846	-172.4250
27.600000	112.843	-172.9113
28.000000	112.841	-173.4107
28.500000	112.832	-174.0410
29.000000	112.818	-174.6433
29.500000	112.803	-175.2021
30.000000	112.790	-175.7347
30.400000	112.781	-176.1568
30.700001	112.774	-176.4741
31.100000	112.764	-176.8959
31.500000	112.754	-177.3120
32.000000	112.741	-177.8210
32.500000	112.727	-178.3186
33.000000	112.713	-178.8066
33.500000	112.698	-179.2851
34.000000	112.683	-179.7545
34.500000	112.667	179.7846
35.000000	112.650	179.3344
35.500000	112.633	178.8992
36.000000	112.615	178.4807
36.500000	112.598	178.0742
37.000000	112.583	177.6701
37.500000	112.567	177.2604
38.200001	112.543	176.6810
38.700001	112.523	176.2767
39.500000	112.489	175.6617
40.000000	112.469	175.2871
40.599998	112.445	174.8346
41.200001	112.419	174.3864
41.799999	112.390	173.9597
42.500000	112.359	173.4916
43.099998	112.334	173.0966
43.700001	112.310	172.6953
44.400002	112.279	172.2315
45.000000	112.251	171.8510
45.500000	112.229	171.5431
46.200001	112.198	171.1108
46.799999	112.170	170.7362
47.500000	112.135	170.3090
48.200001	112.100	169.9027
48.700001	112.075	169.6208
49.400002	112.041	169.2274
50.000000	112.011	168.8931
50.799999	111.971	168.4686
51.500000	111.940	168.1102
52.200001	111.910	167.7274
53.000000	111.869	167.2668
53.799999	111.820	166.8705
54.500000	111.782	166.5839
55.200001	111.751	166.2807
56.000000	111.712	165.8993
57.000000	111.658	165.4633
58.000000	111.607	165.0274
59.000000	111.549	164.5973
60.000000	111.497	164.2239
60.799999	111.460	163.8824
61.500000	111.422	163.5699
62.200001	111.382	163.2892
63.000000	111.339	162.9842
64.000000	111.285	162.5988
65.000000	111.230	162.2452
66.000000	111.176	161.8945
67.000000	111.121	161.5732
68.000000	111.070	161.2546
69.000000	111.015	160.9297
70.000000	110.962	160.6324
71.000000	110.906	160.2988
72.000000	110.842	160.0259
73.000000	110.789	159.7870
74.000000	110.734	159.4934
75.000000	110.676	159.2550
76.199997	110.617	158.9398
77.500000	110.541	158.5727
78.800003	110.466	158.3070
80.000000	110.405	158.0467
81.199997	110.337	157.7907
82.500000	110.268	157.5427
83.800003	110.197	157.2871
85.000000	110.130	157.0610
86.199997	110.063	156.8573
87.500000	109.992	156.6407
88.500000	109.937	156.4916
90.000000	109.859	156.2743
91.199997	109.795	156.0931
92.500000	109.724	155.9190
93.800003	109.655	155.7556
95.000000	109.592	155.6130
96.199997	109.529	155.4780
97.500000	109.460	155.3391
98.800003	109.393	155.2189
100.000000	109.331	155.1150
101.500000	109.255	154.9920
103.000000	109.177	154.8821
104.400002	109.108	154.7955
106.000000	109.027	154.6895
107.500000	108.953	154.6080
109.000000	108.880	154.5429
110.599998	108.803	154.4870
112.000000	108.736	154.4457
113.800003	108.652	154.3979
115.000000	108.594	154.3647
117.199997	108.493	154.3272
118.000000	108.455	154.3370
120.599998	108.337	154.2612
122.000000	108.274	154.3564
124.099998	108.183	154.3975
125.000000	108.145	154.4201
126.500000	108.080	154.4523
128.000000	108.016	154.5165
131.500000	107.875	154.6490
132.000000	107.856	154.6693
134.000000	107.781	154.7758
136.000000	107.707	154.8673
138.000000	107.634	154.9640
140.000000	107.562	155.0452
143.000000	107.453	155.2152
145.000000	107.382	155.3288
147.500000	107.296	155.4936
150.000000	107.212	155.6591
152.500000	107.128	155.8286
155.000000	107.048	156.0228
157.500000	106.971	156.2044
160.000000	106.894	156.4027
162.500000	106.819	156.6277
165.000000	106.745	156.8531
167.500000	106.675	157.0834
170.000000	106.605	157.3142
172.500000	106.534	157.5416
175.000000	106.468	157.8078
177.500000	106.401	158.0668
180.000000	106.330	158.3316
182.500000	106.270	158.6168
185.000000	106.205	158.9192
187.500000	106.144	159.2388
190.000000	106.085	159.5865
192.500000	106.031	159.9858
195.000000	105.982	160.3747
197.500000	105.935	160.7916
200.000000	105.898	161.1988
203.000000	105.870	161.6826
206.000000	105.848	162.0996
209.000000	105.832	162.4503
212.000000	105.812	162.7429
214.000000	105.797	162.9524
218.000000	105.767	163.3511
220.000000	105.760	163.5414
224.000000	105.751	163.7723
227.000000	105.732	163.8937
230.000000	105.701	164.0006
233.000000	105.663	164.1404
236.000000	105.625	164.3081
240.000000	105.566	164.5598
243.000000	105.532	164.7792
