* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 17, 2024 5:33:04 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	105.832672	-169.7610
20.600000	105.831383	-170.1811
20.900000	105.827583	-170.5922
21.200001	105.824852	-171.0371
21.400000	105.823662	-171.3491
21.799999	105.821709	-171.9738
22.000000	105.820717	-172.2679
22.400000	105.819458	-172.7881
22.700001	105.820648	-173.1089
23.000000	105.824661	-173.3855
23.299999	105.831123	-173.6474
23.600000	105.838165	-173.9282
24.000000	105.842865	-174.3740
24.299999	105.839241	-174.7651
24.700001	105.823090	-175.3301
25.000000	105.805260	-175.7489
25.400000	105.781311	-176.2593
25.799999	105.765648	-176.7058
26.200001	105.760635	-177.1170
26.500000	105.760521	-177.4221
26.900000	105.758423	-177.8258
27.200001	105.753014	-178.1137
27.600000	105.743652	-178.4624
28.000000	105.738792	-178.7907
28.500000	105.743408	-179.2612
29.000000	105.743454	-179.8502
29.500000	105.717926	179.5701
30.000000	105.674149	179.2105
30.400000	105.647728	179.0829
30.700001	105.640289	178.9877
31.100000	105.639984	178.7246
31.500000	105.628281	178.2519
32.000000	105.572281	177.5579
32.500000	105.490524	177.1099
33.000000	105.451042	177.0208
33.500000	105.490845	176.9628
34.000000	105.565842	176.5615
34.500000	105.602913	175.8499
35.000000	105.575783	175.1764
35.500000	105.518425	174.7689
36.000000	105.476997	174.5300
36.500000	105.462646	174.2422
37.000000	105.457703	173.8470
37.500000	105.449768	173.4432
38.200001	105.438019	172.9844
38.700001	105.428200	172.6924
39.500000	105.394356	172.2370
40.000000	105.368553	171.9820
40.599998	105.348579	171.6559
41.200001	105.337524	171.2428
41.799999	105.321434	170.7855
42.500000	105.292274	170.3192
43.099998	105.266075	169.9786
43.700001	105.239746	169.6252
44.400002	105.203796	169.1917
45.000000	105.172874	168.8598
45.500000	105.153412	168.6201
46.200001	105.134918	168.2895
46.799999	105.116768	167.9850
47.500000	105.086784	167.6334
48.200001	105.054520	167.2847
48.700001	105.032295	167.0177
49.400002	105.000778	166.6328
50.000000	104.974899	166.3145
50.799999	104.942009	165.8908
51.500000	104.910149	165.5309
52.200001	104.878998	165.2089
53.000000	104.844818	164.8389
53.799999	104.797989	164.4786
54.500000	104.753822	164.2318
55.200001	104.722008	163.9816
56.000000	104.693779	163.6105
57.000000	104.651871	163.1541
58.000000	104.605850	162.7635
59.000000	104.558289	162.3199
60.000000	104.509544	161.8318
60.799999	104.473190	161.5172
61.500000	104.445457	161.2897
62.200001	104.414429	161.0590
63.000000	104.372375	160.7903
64.000000	104.319656	160.4211
65.000000	104.265236	160.0462
66.000000	104.217567	159.7049
67.000000	104.167267	159.3355
68.000000	104.113213	159.0120
69.000000	104.061813	158.6761
70.000000	104.010681	158.3602
71.000000	103.966942	158.0410
72.000000	103.913925	157.7255
73.000000	103.858978	157.4622
74.000000	103.806313	157.1545
75.000000	103.749130	156.8530
76.199997	103.689575	156.5381
77.500000	103.627472	156.1520
78.800003	103.555099	155.8321
80.000000	103.483597	155.5476
81.199997	103.418549	155.2339
82.500000	103.355751	154.9088
83.800003	103.286858	154.6314
85.000000	103.218216	154.3354
86.199997	103.152702	154.0691
87.500000	103.086334	153.8120
88.500000	103.030067	153.5850
90.000000	102.947693	153.2795
91.199997	102.883163	153.0626
92.500000	102.809929	152.8191
93.800003	102.740829	152.5844
95.000000	102.676956	152.3818
96.199997	102.609596	152.1850
97.500000	102.539299	152.0160
98.800003	102.465561	151.7952
100.000000	102.395927	151.6143
101.500000	102.318512	151.3930
103.000000	102.234833	151.2014
104.400002	102.156418	151.0234
106.000000	102.069618	150.8467
107.500000	101.985382	150.6656
109.000000	101.904686	150.5245
110.599998	101.815117	150.3683
112.000000	101.738609	150.2400
113.800003	101.641983	150.0835
115.000000	101.575531	150.0112
117.199997	101.454468	149.8332
118.000000	101.414520	149.7995
120.599998	101.270844	149.8026
122.000000	101.193497	149.5957
124.099998	101.078918	149.5467
125.000000	101.037140	149.5107
126.500000	100.953331	149.4368
128.000000	100.873932	149.4390
131.500000	100.696785	149.4055
132.000000	100.667908	149.3867
134.000000	100.563049	149.4166
136.000000	100.455940	149.4034
138.000000	100.357063	149.4646
140.000000	100.249275	149.4824
143.000000	100.104523	149.5915
145.000000	100.002037	149.6920
147.500000	99.878006	149.8159
150.000000	99.761612	149.9625
152.500000	99.636482	150.1112
155.000000	99.526398	150.3163
157.500000	99.406082	150.5085
160.000000	99.297028	150.7321
162.500000	99.180550	150.9742
165.000000	99.074844	151.2510
167.500000	98.967484	151.4951
170.000000	98.861641	151.8019
172.500000	98.761307	152.1002
175.000000	98.659622	152.4273
177.500000	98.559814	152.7628
180.000000	98.444870	153.2065
182.500000	98.374222	153.4125
185.000000	98.275841	153.7632
187.500000	98.186813	154.1642
190.000000	98.105782	154.5543
192.500000	98.017509	154.9241
195.000000	97.943222	155.2813
197.500000	97.854202	155.7216
200.000000	97.775635	156.1598
203.000000	97.688965	156.7104
206.000000	97.604691	157.2195
209.000000	97.524200	157.7482
212.000000	97.447716	158.2815
214.000000	97.396332	158.6210
218.000000	97.301811	159.3333
220.000000	97.253510	159.6973
224.000000	97.168129	160.4471
227.000000	97.105431	160.9829
230.000000	97.036377	161.5263
233.000000	96.971039	162.0388
236.000000	96.898293	162.5715
240.000000	96.854889	163.3197
243.000000	96.781601	163.6542
247.000000	96.712189	164.5173
250.000000	96.643730	165.1632
254.000000	96.560585	165.8368
258.000000	96.517303	166.7525
262.000000	96.432938	167.7225
265.000000	96.409744	168.3201
269.000000	96.395905	169.5100
272.000000	96.374451	170.1431
276.000000	96.425369	171.0903
280.000000	96.440842	171.6618
285.000000	96.472832	172.3752
290.000000	96.492508	172.9122
295.000000	96.494415	173.3718
300.000000	96.458878	174.0117
304.000000	96.462440	174.2359
307.000000	96.445381	174.6506
311.000000	96.442879	175.0881
315.000000	96.432137	175.4772
320.000000	96.419167	176.0302
325.000000	96.396294	176.5103
330.000000	96.383148	176.9903
335.000000	96.376564	177.4734
340.000000	96.364548	178.0079
345.000000	96.348137	178.4602
350.000000	96.339539	178.8996
355.000000	96.329681	179.3779
360.000000	96.309578	179.9099
365.000000	96.306015	-179.7439
370.000000	96.297997	-179.3312
375.000000	96.284393	-178.9128
382.000000	96.270943	-178.3232
387.000000	96.259003	-177.9298
395.000000	96.242897	-177.2966
400.000000	96.233391	-176.9167
406.000000	96.216911	-176.4713
412.000000	96.203056	-176.0125
418.000000	96.184418	-175.6323
425.000000	96.169746	-175.1200
431.000000	96.150162	-174.6955
437.000000	96.132782	-174.2636
444.000000	96.110519	-173.7688
450.000000	96.090179	-173.3470
455.000000	96.073700	-173.0234
462.000000	96.051514	-172.5310
468.000000	96.032623	-172.1072
475.000000	96.009651	-171.6272
482.000000	95.982979	-171.1168
487.000000	95.966263	-170.8121
494.000000	95.940674	-170.3183
500.000000	95.923492	-169.9057
508.000000	95.895271	-169.3532
515.000000	95.867065	-168.8777
522.000000	95.841888	-168.4111
530.000000	95.810776	-167.8649
538.000000	95.789848	-167.2724
545.000000	95.757462	-166.8447
552.000000	95.731178	-166.3583
560.000000	95.701431	-165.8257
570.000000	95.662529	-165.1465
580.000000	95.622940	-164.4539
590.000000	95.581253	-163.7573
600.000000	95.578262	-162.9434
608.000000	95.506851	-162.5083
615.000000	95.475990	-162.0023
622.000000	95.446716	-161.4981
630.000000	95.414246	-160.9269
640.000000	95.369659	-160.2005
650.000000	95.326248	-159.4666
660.000000	95.320320	-158.5973
670.000000	95.237381	-157.9512
680.000000	95.192703	-157.2043
690.000000	95.146461	-156.4270
700.000000	95.096642	-155.6160
710.000000	95.053680	-154.7710
720.000000	94.961037	-153.9600
730.000000	94.967278	-153.0646
740.000000	94.925507	-152.1967
750.000000	94.888565	-151.2898
762.000000	94.844933	-150.2029
775.000000	94.802200	-149.0441
788.000000	94.760132	-147.8146
800.000000	94.723419	-146.6751
812.000000	94.691742	-145.5230
825.000000	94.660973	-144.2602
838.000000	94.636665	-143.0213
850.000000	94.615639	-141.7870
862.000000	94.596169	-140.5782
