* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 17, 2024 5:34:09 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	105.458229	-170.0093
20.600000	105.460648	-170.4111
20.900000	105.458389	-170.7820
21.200001	105.455490	-171.1719
21.400000	105.453529	-171.4453
21.799999	105.449295	-172.0096
22.000000	105.447113	-172.2903
22.400000	105.443573	-172.8287
22.700001	105.442856	-173.2017
23.000000	105.444199	-173.5508
23.299999	105.446899	-173.8847
23.600000	105.449287	-174.2122
24.000000	105.448608	-174.6449
24.299999	105.443970	-174.9629
24.700001	105.433350	-175.3707
25.000000	105.424423	-175.6656
25.400000	105.414490	-176.0576
25.799999	105.407928	-176.4677
26.200001	105.402870	-176.9013
26.500000	105.398392	-177.2316
26.900000	105.390709	-177.6548
27.200001	105.384186	-177.9476
27.600000	105.375740	-178.3054
28.000000	105.367607	-178.6431
28.500000	105.355072	-179.0695
29.000000	105.337418	-179.5136
29.500000	105.318443	-179.9703
30.000000	105.305725	179.5524
30.400000	105.301247	179.1492
30.700001	105.299377	178.8447
31.100000	105.296326	178.4671
31.500000	105.292618	178.1614
32.000000	105.291763	177.8873
32.500000	105.297195	177.6413
33.000000	105.296379	177.2912
33.500000	105.271233	176.8193
34.000000	105.220413	176.3482
34.500000	105.166763	175.9934
35.000000	105.137970	175.7305
35.500000	105.138748	175.4426
36.000000	105.148842	175.0723
36.500000	105.147827	174.6770
37.000000	105.133110	174.3343
37.500000	105.113815	174.0442
38.200001	105.089127	173.6157
38.700001	105.071091	173.2642
39.500000	105.039574	172.7129
40.000000	105.021584	172.4142
40.599998	105.004082	172.0858
41.200001	104.989182	171.7361
41.799999	104.969910	171.3308
42.500000	104.934952	170.8600
43.099998	104.904900	170.5500
43.700001	104.888832	170.2830
44.400002	104.875557	169.8829
45.000000	104.848961	169.5013
45.500000	104.820061	169.2380
46.200001	104.790688	168.9323
46.799999	104.776566	168.6246
47.500000	104.754303	168.2207
48.200001	104.724220	167.8706
48.700001	104.703140	167.6446
49.400002	104.672318	167.3139
50.000000	104.644211	167.0296
50.799999	104.613487	166.6543
51.500000	104.591316	166.2979
52.200001	104.563934	165.9464
53.000000	104.527512	165.6009
53.799999	104.494583	165.2706
54.500000	104.469109	164.9458
55.200001	104.441002	164.6088
56.000000	104.402885	164.2841
57.000000	104.354790	163.9398
58.000000	104.305817	163.5375
59.000000	104.265556	163.1218
60.000000	104.228271	162.6951
60.799999	104.187943	162.3967
61.500000	104.153290	162.1382
62.200001	104.119804	161.8392
63.000000	104.082230	161.5262
64.000000	104.046982	161.2039
65.000000	104.001411	160.8274
66.000000	103.943321	160.4984
67.000000	103.899956	160.1704
68.000000	103.854874	159.8197
69.000000	103.803352	159.4995
70.000000	103.753792	159.2040
71.000000	103.712761	158.9088
72.000000	103.665833	158.5687
73.000000	103.607559	158.2412
74.000000	103.555588	157.9757
75.000000	103.517776	157.7010
76.199997	103.458130	157.3200
77.500000	103.393127	156.9880
78.800003	103.326286	156.6018
80.000000	103.260887	156.3507
81.199997	103.204361	156.0385
82.500000	103.138268	155.6981
83.800003	103.074638	155.4133
85.000000	103.015274	155.1214
