* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 5, 2024 7:04:33 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	104.198074	-169.1194
20.600000	104.202026	-169.9377
20.900000	104.195503	-170.6869
21.200001	104.184174	-171.3690
21.400000	104.177399	-171.7587
21.799999	104.176712	-172.3687
22.000000	104.186523	-172.6075
22.400000	104.226715	-173.0429
22.700001	104.266785	-173.4321
23.000000	104.302620	-173.9339
23.299999	104.322350	-174.5588
23.600000	104.318359	-175.2761
24.000000	104.276154	-176.2762
24.299999	104.227081	-176.9894
24.700001	104.159698	-177.8381
25.000000	104.120598	-178.4055
25.400000	104.091583	-179.1125
25.799999	104.083221	-179.8091
26.200001	104.080513	179.4985
26.500000	104.073792	178.9998
26.900000	104.053757	178.3896
27.200001	104.031311	177.9799
27.600000	103.997841	177.4775
28.000000	103.968079	176.9793
28.500000	103.943741	176.2769
29.000000	103.930000	175.4421
29.500000	103.914452	174.5361
30.000000	103.887459	173.7029
30.400000	103.859009	173.1603
30.700001	103.836975	172.8275
31.100000	103.810074	172.4442
31.500000	103.786438	172.0649
32.000000	103.757103	171.5202
32.500000	103.723381	170.8841
33.000000	103.687012	170.2038
33.500000	103.653412	169.5246
34.000000	103.624687	168.8660
34.500000	103.597595	168.2338
35.000000	103.567245	167.6324
35.500000	103.531395	167.0628
36.000000	103.491524	166.5178
36.500000	103.451263	165.9843
37.000000	103.413567	165.4475
37.500000	103.378235	164.9013
38.200001	103.327415	164.1525
38.700001	103.289024	163.6625
39.500000	103.229713	162.9344
40.000000	103.193443	162.4567
40.599998	103.145332	161.8404
41.200001	103.092133	161.2196
41.799999	103.039078	160.6286
42.500000	102.981255	159.9819
43.099998	102.936745	159.4614
43.700001	102.899391	158.9420
44.400002	102.857338	158.2807
45.000000	102.809128	157.7080
45.500000	102.759712	157.3002
46.200001	102.690681	156.8485
46.799999	102.638748	156.4667
47.500000	102.577896	155.9324
48.200001	102.512466	155.3562
48.700001	102.467789	154.9590
49.400002	102.410507	154.4287
50.000000	102.361557	154.0003
50.799999	102.292107	153.4670
51.500000	102.228539	153.0002
52.200001	102.163132	152.5112
53.000000	102.088737	151.9620
53.799999	102.019753	151.4669
54.500000	101.964424	151.0582
55.200001	101.906471	150.6254
56.000000	101.828598	150.1251
57.000000	101.735641	149.5737
58.000000	101.655899	148.9825
59.000000	101.558205	148.4896
60.000000	101.477516	148.0749
60.799999	101.413132	147.5502
61.500000	101.340370	147.1022
62.200001	101.272560	146.7778
63.000000	101.208878	146.4177
64.000000	101.117165	145.9208
65.000000	101.024582	145.4760
66.000000	100.936707	144.9873
67.000000	100.843605	144.5667
68.000000	100.757553	144.1480
69.000000	100.664734	143.7127
70.000000	100.577118	143.3266
71.000000	100.485519	142.9084
72.000000	100.387230	142.5651
73.000000	100.300041	142.2190
74.000000	100.207619	141.8457
75.000000	100.114670	141.5284
76.199997	100.007263	141.1436
77.500000	99.892303	140.7423
78.800003	99.773331	140.3666
80.000000	99.661163	140.0381
81.199997	99.551979	139.7162
82.500000	99.436813	139.4047
83.800003	99.320328	139.1089
85.000000	99.212410	138.8202
86.199997	99.103821	138.5724
87.500000	98.984764	138.3190
88.500000	98.895988	138.1844
90.000000	98.765411	137.9745
91.199997	98.658966	137.7828
92.500000	98.545166	137.6333
93.800003	98.442062	137.5186
95.000000	98.351791	137.4259
96.199997	98.265930	137.2206
97.500000	98.161949	137.0887
98.800003	98.054588	136.7534
100.000000	97.951202	136.6595
101.500000	97.834358	136.5032
103.000000	97.706062	136.3565
104.400002	97.594696	136.2469
106.000000	97.471153	136.1497
107.500000	97.344345	136.0980
109.000000	97.234428	135.9921
110.599998	97.101425	135.9760
112.000000	96.990013	135.9766
113.800003	96.861115	135.9943
115.000000	96.766861	135.9553
117.199997	96.598045	136.0599
118.000000	96.534721	136.0583
120.599998	96.344116	135.7707
122.000000	96.255829	136.2157
124.099998	96.092522	136.2241
125.000000	96.035378	136.3165
126.500000	95.922386	136.4120
128.000000	95.830490	136.5073
131.500000	95.598541	136.7741
132.000000	95.562859	136.8500
134.000000	95.413101	136.8587
136.000000	95.242554	137.2597
138.000000	95.179153	137.7031
140.000000	95.059883	137.9913
143.000000	94.875648	138.3247
145.000000	94.765854	138.7198
