* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 5, 2024 7:07:01 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	104.141762	-166.9949
20.600000	104.144051	-167.7229
20.900000	104.140701	-168.3853
21.200001	104.136475	-169.0573
21.400000	104.133560	-169.5150
21.799999	104.126671	-170.4427
22.000000	104.122490	-170.9029
22.400000	104.113510	-171.7934
22.700001	104.108002	-172.4217
23.000000	104.105026	-173.0193
23.299999	104.104721	-173.5985
23.600000	104.105743	-174.1737
24.000000	104.104790	-174.9476
24.299999	104.099716	-175.5285
24.700001	104.086304	-176.2868
25.000000	104.073021	-176.8376
25.400000	104.054070	-177.5569
25.799999	104.034683	-178.2823
26.200001	104.012604	-179.0227
26.500000	103.992966	-179.5742
26.900000	103.964691	179.7292
27.200001	103.945618	179.2505
27.600000	103.929359	178.6570
28.000000	103.925514	178.0676
28.500000	103.928497	177.2606
29.000000	103.919342	176.3806
29.500000	103.887932	175.5265
30.000000	103.844452	174.7818
30.400000	103.811874	174.2502
30.700001	103.791435	173.8597
31.100000	103.768089	173.3233
31.500000	103.745407	172.7688
32.000000	103.715218	172.0872
32.500000	103.685524	171.4492
33.000000	103.659081	170.8388
33.500000	103.633232	170.2236
34.000000	103.603699	169.5986
34.500000	103.570404	168.9789
35.000000	103.536583	168.3690
35.500000	103.503677	167.7599
36.000000	103.470222	167.1516
36.500000	103.434998	166.5553
37.000000	103.398514	165.9768
37.500000	103.361443	165.4101
38.200001	103.308823	164.6297
38.700001	103.272079	164.0849
39.500000	103.216888	163.2251
40.000000	103.181534	162.6918
40.599998	103.134827	162.0793
41.200001	103.086258	161.5088
41.799999	103.038986	160.9478
42.500000	102.981865	160.2690
43.099998	102.929420	159.6964
43.700001	102.879486	159.1582
44.400002	102.827583	158.5362
45.000000	102.781319	157.9865
45.500000	102.738197	157.5338
46.200001	102.675224	156.9157
46.799999	102.622543	156.3734
47.500000	102.561867	155.7390
48.200001	102.506447	155.1770
48.700001	102.473106	154.8235
49.400002	102.425301	154.3478
50.000000	102.371475	153.9586
50.799999	102.287910	153.4695
51.500000	102.220650	152.9570
52.200001	102.156441	152.3214
53.000000	102.084396	151.6417
53.799999	102.026398	151.1082
54.500000	101.974686	150.6608
55.200001	101.907356	150.2254
56.000000	101.828278	149.7437
57.000000	101.737534	149.0378
58.000000	101.642517	148.4274
59.000000	101.567245	147.8546
60.000000	101.473602	147.1375
60.799999	101.390472	146.7094
61.500000	101.333748	146.4072
62.200001	101.279488	146.0587
63.000000	101.203613	145.6255
64.000000	101.102905	145.0976
65.000000	101.013481	144.5744
66.000000	100.927338	144.0793
67.000000	100.833519	143.6209
68.000000	100.737885	143.1570
69.000000	100.646385	142.6859
70.000000	100.558098	142.2639
71.000000	100.466301	141.8817
72.000000	100.370659	141.4865
73.000000	100.275917	141.0583
74.000000	100.186386	140.6612
75.000000	100.097038	140.2926
76.199997	99.978676	139.8796
77.500000	99.858810	139.4109
78.800003	99.745056	138.9745
80.000000	99.640068	138.5952
81.199997	99.522682	138.2622
82.500000	99.408638	137.9266
83.800003	99.287750	137.5330
85.000000	99.175949	137.1592
86.199997	99.068848	136.8465
87.500000	98.948624	136.5280
88.500000	98.861633	136.3787
90.000000	98.737427	135.9951
91.199997	98.621605	135.7877
92.500000	98.510765	135.5040
93.800003	98.393524	135.2665
95.000000	98.286629	135.0425
96.199997	98.178612	134.8669
97.500000	98.065613	134.6814
98.800003	97.952362	134.4921
100.000000	97.849060	134.3202
101.500000	97.718536	134.1495
103.000000	97.590996	133.9803
104.400002	97.473244	133.8288
106.000000	97.333931	133.6913
107.500000	97.209915	133.6029
109.000000	97.087692	133.5051
110.599998	96.950256	133.4193
112.000000	96.843246	133.3463
113.800003	96.683357	133.2821
115.000000	96.597496	133.2241
117.199997	96.420815	133.2511
118.000000	96.346046	133.1664
120.599998	96.188698	133.1772
122.000000	96.030716	133.3912
124.099998	95.873016	133.4084
125.000000	95.814194	133.4833
126.500000	95.698448	133.5468
128.000000	95.590271	133.6439
131.500000	95.344574	133.7864
132.000000	95.307808	133.8169
134.000000	95.151009	133.9468
136.000000	95.013390	134.2975
138.000000	94.876343	134.3492
140.000000	94.734306	134.5200
143.000000	94.525986	135.0091
145.000000	94.388756	135.2789
147.500000	94.213524	135.7177
150.000000	94.035835	136.1728
152.500000	93.866470	136.8991
155.000000	93.705177	137.7814
157.500000	93.622208	138.8148
160.000000	93.609032	139.6924
162.500000	93.599052	139.9017
165.000000	93.537704	139.8619
167.500000	93.439255	139.8488
170.000000	93.324890	140.1246
172.500000	93.186165	140.2928
175.000000	93.083710	140.6177
177.500000	92.953590	140.9551
180.000000	92.908485	141.2827
182.500000	92.748787	141.8126
185.000000	92.649048	142.3589
187.500000	92.541046	142.7958
190.000000	92.443855	143.2372
192.500000	92.357445	143.6834
195.000000	92.270096	144.2763
197.500000	92.191391	144.7947
200.000000	92.106384	145.2341
203.000000	92.017868	145.8679
206.000000	91.936996	146.4659
209.000000	91.849060	147.0871
212.000000	91.773720	147.6428
214.000000	91.721268	148.0813
218.000000	91.620102	148.8587
220.000000	91.574486	149.2636
224.000000	91.490280	150.0317
227.000000	91.430489	150.6703
230.000000	91.373260	151.2598
233.000000	91.312904	151.8657
236.000000	91.262207	152.4632
240.000000	91.244774	153.1933
243.000000	91.153999	153.7538
247.000000	91.122955	154.5577
250.000000	91.089500	155.1059
254.000000	91.043617	155.7351
258.000000	90.995758	156.3983
262.000000	90.954330	157.0107
265.000000	90.928993	157.5113
269.000000	90.884933	158.1533
272.000000	90.862953	158.6389
276.000000	90.823044	159.2533
280.000000	90.782547	159.8740
285.000000	90.747688	160.5977
290.000000	90.718842	161.3305
295.000000	90.690948	162.0175
300.000000	90.663620	162.7786
304.000000	90.646362	163.3315
307.000000	90.632027	163.7314
311.000000	90.615776	164.2938
315.000000	90.603943	164.9119
320.000000	90.596191	165.5378
325.000000	90.594177	166.1779
330.000000	90.602524	166.6742
335.000000	90.602936	167.1641
340.000000	90.595192	167.6349
345.000000	90.576675	168.1162
350.000000	90.562759	168.5481
355.000000	90.545921	169.0457
360.000000	90.545868	169.5919
365.000000	90.528404	170.0589
370.000000	90.518867	170.5371
375.000000	90.515625	170.9457
382.000000	90.503021	171.6000
387.000000	90.498550	172.0318
395.000000	90.488335	172.6679
400.000000	90.492905	173.1232
406.000000	90.487671	173.6348
412.000000	90.471878	174.1274
418.000000	90.475304	174.5811
425.000000	90.466469	175.1096
431.000000	90.456139	175.5463
437.000000	90.449226	176.0094
444.000000	90.449944	176.5152
450.000000	90.423203	176.9603
455.000000	90.436691	177.3320
462.000000	90.426697	177.8018
468.000000	90.420166	178.2401
475.000000	90.410187	178.7538
482.000000	90.405571	179.2520
487.000000	90.399414	179.6830
494.000000	90.400978	-179.7555
500.000000	90.388794	-179.3567
508.000000	90.389412	-178.6501
515.000000	90.394585	-178.0924
