* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Oct 15, 2024 5:04:52 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	97.347	-142.8876
20.299999	97.399	-143.6102
20.600000	97.432	-144.3867
20.900000	97.446	-145.1442
21.200001	97.442	-145.8101
21.400000	97.436	-146.1779
21.799999	97.428	-146.7422
22.000000	97.433	-146.9654
22.400000	97.462	-147.3829
22.700001	97.498	-147.7480
23.000000	97.537	-148.1876
23.299999	97.572	-148.6911
23.600000	97.598	-149.2234
24.000000	97.620	-149.9110
24.299999	97.631	-150.3865
24.700001	97.644	-150.9743
25.000000	97.654	-151.3988
25.400000	97.663	-151.9490
25.799999	97.667	-152.4489
26.200001	97.670	-152.8603
26.500000	97.678	-153.1159
26.900000	97.703	-153.4452
27.200001	97.729	-153.7312
27.600000	97.765	-154.1988
28.000000	97.789	-154.7318
28.500000	97.798	-155.3621
29.000000	97.801	-155.8606
29.500000	97.818	-156.2956
30.000000	97.842	-156.7957
30.400000	97.855	-157.2501
30.700001	97.857	-157.5880
31.100000	97.854	-157.9911
31.500000	97.852	-158.3302
32.000000	97.858	-158.7173
32.500000	97.871	-159.1307
33.000000	97.882	-159.5726
33.500000	97.889	-160.0025
34.000000	97.896	-160.4106
34.500000	97.906	-160.8220
35.000000	97.915	-161.2461
35.500000	97.918	-161.6600
36.000000	97.919	-162.0397
36.500000	97.921	-162.3831
37.000000	97.926	-162.7026
37.500000	97.934	-163.0137
38.200001	97.949	-163.4680
38.700001	97.957	-163.8150
39.500000	97.961	-164.3576
40.000000	97.960	-164.6595
40.599998	97.961	-164.9925
41.200001	97.964	-165.3127
41.799999	97.972	-165.6362
42.500000	97.982	-166.0582
43.099998	97.984	-166.4576
43.700001	97.976	-166.8219
44.400002	97.971	-167.1658
45.000000	97.975	-167.4698
45.500000	97.977	-167.7592
46.200001	97.971	-168.1530
46.799999	97.963	-168.4305
47.500000	97.957	-168.7037
48.200001	97.957	-168.9273
48.700001	97.967	-169.0778
49.400002	97.991	-169.3880
50.000000	97.999	-169.7579
50.799999	97.985	-170.1934
51.500000	97.973	-170.4478
52.200001	97.970	-170.6971
53.000000	97.966	-171.0121
53.799999	97.959	-171.3409
54.500000	97.948	-171.6055
55.200001	97.944	-171.7977
56.000000	97.962	-172.1153
57.000000	97.950	-172.7221
58.000000	97.922	-172.9760
59.000000	97.943	-173.2979
60.000000	97.933	-173.7514
60.799999	97.925	-173.9623
61.500000	97.926	-174.1741
62.200001	97.922	-174.3800
63.000000	97.924	-174.5737
64.000000	97.929	-174.9530
65.000000	97.908	-175.2897
66.000000	97.903	-175.5291
67.000000	97.896	-175.8705
68.000000	97.883	-176.1199
69.000000	97.883	-176.3859
70.000000	97.875	-176.6574
71.000000	97.875	-176.9228
72.000000	97.860	-177.2462
73.000000	97.844	-177.4144
74.000000	97.844	-177.6687
75.000000	97.830	-177.9347
76.199997	97.817	-178.2719
77.500000	97.787	-178.4890
78.800003	97.800	-178.7787
80.000000	97.782	-179.1232
81.199997	97.770	-179.3742
82.500000	97.757	-179.6563
83.800003	97.740	-179.9468
85.000000	97.727	179.8448
86.199997	97.718	179.5865
87.500000	97.707	179.3113
88.500000	97.695	179.0963
90.000000	97.681	178.8189
91.199997	97.667	178.5880
92.500000	97.653	178.3682
93.800003	97.639	178.1407
95.000000	97.625	177.9316
96.199997	97.613	177.7054
97.500000	97.589	177.4539
98.800003	97.576	177.2845
100.000000	97.563	177.0512
101.500000	97.545	176.8228
103.000000	97.526	176.5976
104.400002	97.511	176.3669
106.000000	97.487	176.1599
107.500000	97.470	175.9130
109.000000	97.449	175.6879
110.599998	97.427	175.4680
112.000000	97.411	175.2857
113.800003	97.386	175.0533
115.000000	97.366	174.8914
117.199997	97.333	174.5831
118.000000	97.324	174.5060
120.599998	97.265	174.1242
122.000000	97.275	174.0004
124.099998	97.244	173.7688
125.000000	97.230	173.6580
126.500000	97.206	173.5048
128.000000	97.182	173.3377
131.500000	97.133	172.9647
132.000000	97.127	172.9260
134.000000	97.092	172.7877
136.000000	97.055	172.4881
138.000000	97.040	172.3572
140.000000	97.005	172.1835
143.000000	96.966	171.8525
145.000000	96.933	171.6897
147.500000	96.887	171.5019
150.000000	96.842	171.3138
152.500000	96.799	171.1457
155.000000	96.753	171.0312
157.500000	96.707	170.9622
160.000000	96.673	170.9356
162.500000	96.649	170.8740
165.000000	96.628	170.8579
167.500000	96.614	170.7331
170.000000	96.594	170.5687
172.500000	96.574	170.3824
175.000000	96.548	170.1903
177.500000	96.522	170.0047
180.000000	96.484	169.8570
182.500000	96.453	169.6724
185.000000	96.418	169.5261
187.500000	96.382	169.3672
190.000000	96.349	169.2917
192.500000	96.311	169.1254
195.000000	96.284	169.0132
197.500000	96.249	168.9061
200.000000	96.212	168.8257
203.000000	96.169	168.6809
206.000000	96.126	168.5661
209.000000	96.083	168.4501
212.000000	96.041	168.3700
214.000000	96.011	168.3176
218.000000	95.960	168.1943
220.000000	95.929	168.1571
224.000000	95.874	168.0492
227.000000	95.831	167.9714
230.000000	95.789	167.9012
233.000000	95.746	167.8662
236.000000	95.703	167.8398
240.000000	95.646	167.8456
243.000000	95.610	167.7523
247.000000	95.553	167.7006
250.000000	95.512	167.7058
254.000000	95.459	167.6777
258.000000	95.405	167.6722
262.000000	95.354	167.7034
265.000000	95.313	167.7031
269.000000	95.272	167.7309
272.000000	95.235	167.7415
276.000000	95.188	167.7679
280.000000	95.141	167.7712
285.000000	95.084	167.8093
290.000000	95.023	167.8052
295.000000	94.964	167.8593
300.000000	94.906	167.9008
304.000000	94.855	167.9569
307.000000	94.817	167.9734
311.000000	94.773	168.0678
315.000000	94.724	168.1268
320.000000	94.670	168.1943
325.000000	94.615	168.2915
330.000000	94.562	168.3624
335.000000	94.502	168.5106
340.000000	94.450	168.6411
345.000000	94.394	168.7678
