* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138. Timing signal peak level -13.1 dBFS, measurement signal peak level -9.2 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Jan 15, 2024 9:05:18 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.0766 ms (-26 mm, -1.03 in) using estimated IR delay relative to Acoustic reference on USB-C to 3.5mm Headphone Jack Adapter L with no timing offset
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	107.598251	166.3850
20.600000	107.555267	165.7793
20.900000	107.504692	165.2855
21.200001	107.454094	164.8194
21.400000	107.421371	164.5046
21.799999	107.356102	163.8319
22.000000	107.322205	163.4689
22.400000	107.250443	162.7029
22.700001	107.194702	162.1165
23.000000	107.140854	161.5373
23.299999	107.092308	160.9731
23.600000	107.050911	160.4254
24.000000	107.005219	159.7260
24.299999	106.974289	159.2408
24.700001	106.932007	158.6808
25.000000	106.897850	158.3417
25.400000	106.849350	157.9852
25.799999	106.797928	157.6730
26.200001	106.741035	157.3197
26.500000	106.692383	156.9973
26.900000	106.619850	156.4994
27.200001	106.563492	156.0990
27.600000	106.496162	155.5634
28.000000	106.446945	155.0302
28.500000	106.410728	154.3303
29.000000	106.378090	153.5800
29.500000	106.321243	152.8592
30.000000	106.234535	152.2805
30.400000	106.155586	151.9307
30.700001	106.098755	151.7013
31.100000	106.031418	151.3846
31.500000	105.973213	151.0155
32.000000	105.906525	150.4903
32.500000	105.840118	149.9625
33.000000	105.771935	149.4909
33.500000	105.702415	149.0753
34.000000	105.632050	148.6804
34.500000	105.562164	148.2774
35.000000	105.494614	147.8586
35.500000	105.429726	147.4350
36.000000	105.365593	147.0304
36.500000	105.300667	146.6635
37.000000	105.235435	146.3252
37.500000	105.170387	145.9816
38.200001	105.075470	145.4625
38.700001	105.003540	145.1130
39.500000	104.896530	144.6802
40.000000	104.840561	144.4054
40.599998	104.768654	143.9582
41.200001	104.678024	143.4878
41.799999	104.591415	143.1762
42.500000	104.531555	142.9185
43.099998	104.477150	142.5852
43.700001	104.363091	142.3190
44.400002	104.198196	142.4400
45.000000	104.119720	142.5819
45.500000	104.099930	142.3193
46.200001	104.062836	141.4664
46.799999	103.993500	140.9104
47.500000	103.920578	140.8247
48.200001	103.883537	140.8594
48.700001	103.856407	140.6972
49.400002	103.797607	140.3120
50.000000	103.749344	140.0671
50.799999	103.721802	139.8357
51.500000	103.678566	139.3635
52.200001	103.538208	138.7563
53.000000	103.347580	138.5502
53.799999	103.315147	138.4733
54.500000	103.349525	137.9031
55.200001	103.312538	137.3525
56.000000	103.217514	137.2507
57.000000	103.115219	137.0219
58.000000	103.007942	136.5196
59.000000	102.927086	136.1956
60.000000	102.836380	135.9656
60.799999	102.759674	135.7866
61.500000	102.698517	135.5652
62.200001	102.639694	135.3390
63.000000	102.573227	135.1346
64.000000	102.488304	134.9212
65.000000	102.402145	134.6716
66.000000	102.314552	134.4297
67.000000	102.236862	134.2127
68.000000	102.159004	133.9787
69.000000	102.082741	133.7986
70.000000	102.009422	133.5977
71.000000	101.931877	133.3973
72.000000	101.856239	133.2259
73.000000	101.783012	133.0656
74.000000	101.709969	132.9161
75.000000	101.646004	132.7982
76.199997	101.575531	132.5430
77.500000	101.483139	132.2951
78.800003	101.407776	132.0860
80.000000	101.327805	131.9001
81.199997	101.256248	131.7009
82.500000	101.171768	131.4954
83.800003	101.099678	131.3571
85.000000	101.028198	131.1524
86.199997	100.954475	130.9935
87.500000	100.876503	130.8643
88.500000	100.823837	130.7689
