* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138. Timing signal peak level -37.8 dBFS, measurement signal peak level -9.3 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Jan 15, 2024 9:11:03 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.0227 ms (-7.8 mm, -0.31 in) using estimated IR delay relative to Acoustic reference on USB-C to 3.5mm Headphone Jack Adapter L with no timing offset
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	107.460907	162.6864
20.600000	107.412392	162.0467
20.900000	107.359833	161.5240
21.200001	107.313400	161.0544
21.400000	107.288315	160.7527
21.799999	107.248146	160.1173
22.000000	107.228760	159.7662
22.400000	107.180191	159.0029
22.700001	107.128174	158.4186
23.000000	107.064041	157.8719
23.299999	106.994629	157.3881
23.600000	106.928825	156.9587
24.000000	106.855896	156.3974
24.299999	106.808533	155.9350
24.700001	106.739548	155.2701
25.000000	106.674683	154.8185
25.400000	106.574593	154.4271
25.799999	106.487473	154.3434
26.200001	106.446442	154.3495
26.500000	106.449135	154.2308
26.900000	106.467651	153.6371
27.200001	106.463905	152.8552
27.600000	106.402550	151.5923
28.000000	106.275978	150.4577
28.500000	106.087021	149.7295
29.000000	105.967529	149.7406
29.500000	105.951675	149.8698
30.000000	105.967651	149.5456
30.400000	105.945900	148.9567
30.700001	105.898293	148.4417
31.100000	105.804459	147.8021
31.500000	105.703857	147.2918
32.000000	105.605606	146.7920
32.500000	105.546791	146.3247
33.000000	105.505066	145.8382
33.500000	105.454956	145.3741
34.000000	105.385307	144.9745
34.500000	105.300232	144.6218
35.000000	105.210968	144.2541
35.500000	105.127045	143.8283
36.000000	105.054100	143.3643
36.500000	104.995262	142.9161
37.000000	104.947922	142.5013
37.500000	104.897491	142.0901
38.200001	104.782593	141.5501
38.700001	104.669945	141.3063
39.500000	104.532265	141.0728
40.000000	104.504402	140.6499
40.599998	104.475876	139.6953
41.200001	104.389755	138.7883
41.799999	104.267052	138.5679
42.500000	104.173546	139.0292
43.099998	104.137177	139.2195
43.700001	104.067978	138.8661
44.400002	103.919670	138.2557
45.000000	103.803619	138.0131
45.500000	103.757858	137.9715
46.200001	103.738167	137.8221
46.799999	103.683167	137.6085
47.500000	103.569016	137.6480
48.200001	103.516205	137.7929
48.700001	103.527122	137.4804
49.400002	103.499870	136.5113
50.000000	103.407219	135.9795
50.799999	103.323257	136.0975
51.500000	103.316841	135.9874
52.200001	103.256248	135.4460
53.000000	103.139786	135.0882
53.799999	103.078621	134.8423
54.500000	103.029076	134.4473
55.200001	102.960587	134.1294
56.000000	102.882721	133.8243
57.000000	102.759750	133.4703
58.000000	102.667816	133.2392
59.000000	102.590973	132.6819
60.000000	102.484985	132.3292
60.799999	102.418152	132.1649
61.500000	102.356453	131.9476
62.200001	102.288826	131.7359
63.000000	102.218796	131.5088
64.000000	102.134209	131.2222
65.000000	102.051079	130.9659
66.000000	101.966156	130.6740
67.000000	101.878571	130.4718
68.000000	101.802727	130.3100
69.000000	101.723343	130.0515
70.000000	101.634468	129.7902
71.000000	101.566589	129.6678
72.000000	101.516693	129.4344
73.000000	101.420753	129.2068
74.000000	101.343407	129.1339
75.000000	101.285942	128.7718
76.199997	101.202469	128.5556
77.500000	101.140663	128.3741
78.800003	101.066284	128.0815
80.000000	100.969269	127.7028
81.199997	100.880775	127.7154
82.500000	100.820969	127.4270
83.800003	100.730385	127.2931
85.000000	100.663269	127.1799
