* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 16, 2024 1:59:33 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	104.940170	-167.9003
20.600000	104.957962	-168.3921
20.900000	104.967796	-168.8434
21.200001	104.975670	-169.3054
21.400000	104.980972	-169.6230
21.799999	104.992165	-170.2762
22.000000	104.997993	-170.6059
22.400000	105.009712	-171.2543
22.700001	105.018646	-171.7169
23.000000	105.028008	-172.1549
23.299999	105.037971	-172.5718
23.600000	105.048378	-172.9763
24.000000	105.061737	-173.5132
24.299999	105.070351	-173.9215
24.700001	105.079193	-174.4738
25.000000	105.084175	-174.8893
25.400000	105.089912	-175.4377
25.799999	105.096115	-175.9755
26.200001	105.103149	-176.5023
26.500000	105.108482	-176.8902
26.900000	105.114754	-177.3961
27.200001	105.118507	-177.7660
27.600000	105.122498	-178.2478
28.000000	105.125862	-178.7223
28.500000	105.129547	-179.3168
29.000000	105.131996	-179.9176
29.500000	105.132568	179.4853
30.000000	105.132004	178.9064
30.400000	105.131607	178.4590
30.700001	105.131607	178.1302
31.100000	105.131851	177.6964
31.500000	105.131935	177.2635
32.000000	105.131042	176.7218
32.500000	105.128647	176.1812
33.000000	105.124855	175.6477
33.500000	105.120438	175.1263
34.000000	105.116386	174.6172
34.500000	105.112984	174.1141
35.000000	105.108932	173.6121
35.500000	105.102646	173.1156
36.000000	105.094139	172.6349
36.500000	105.085289	172.1711
37.000000	105.077652	171.7103
37.500000	105.070679	171.2379
38.200001	105.058990	170.5626
38.700001	105.049156	170.0908
39.500000	105.034279	169.3708
40.000000	105.025391	168.9329
40.599998	105.013161	168.4135
41.200001	104.999161	167.9033
41.799999	104.984962	167.3987
42.500000	104.968842	166.8081
43.099998	104.954414	166.3033
43.700001	104.939034	165.8090
44.400002	104.920593	165.2490
45.000000	104.905052	164.7782
45.500000	104.892242	164.3868
46.200001	104.873550	163.8386
46.799999	104.856346	163.3749
47.500000	104.836014	162.8450
48.200001	104.815582	162.3175
48.700001	104.800079	161.9428
49.400002	104.777679	161.4305
50.000000	104.759186	160.9987
50.799999	104.734344	160.4227
51.500000	104.711975	159.9314
52.200001	104.691750	159.4476
53.000000	104.667908	158.8750
53.799999	104.637802	158.3159
54.500000	104.611702	157.8619
55.200001	104.588409	157.4055
56.000000	104.559189	156.8713
57.000000	104.519928	156.2338
58.000000	104.483711	155.6024
59.000000	104.446930	154.9706
60.000000	104.409821	154.3598
60.799999	104.380882	153.8807
61.500000	104.355225	153.4591
62.200001	104.327660	153.0424
63.000000	104.295708	152.5832
64.000000	104.257759	152.0065
65.000000	104.218857	151.4290
66.000000	104.180161	150.8748
67.000000	104.139938	150.3325
68.000000	104.099434	149.7876
69.000000	104.058151	149.2395
70.000000	104.017982	148.7281
71.000000	103.979347	148.2196
72.000000	103.937195	147.7060
73.000000	103.895645	147.2096
74.000000	103.856262	146.7159
75.000000	103.814743	146.2189
76.199997	103.762817	145.6466
77.500000	103.709808	145.0430
78.800003	103.655655	144.4397
80.000000	103.606201	143.8890
81.199997	103.557304	143.3520
82.500000	103.503799	142.7896
83.800003	103.448135	142.2369
85.000000	103.397491	141.7269
86.199997	103.347321	141.2208
87.500000	103.293816	140.6868
88.500000	103.252449	140.2885
90.000000	103.190475	139.7027
91.199997	103.141533	139.2327
92.500000	103.088715	138.7313
93.800003	103.034805	138.2476
95.000000	102.984612	137.8033
96.199997	102.934677	137.3578
97.500000	102.883430	136.9071
98.800003	102.830513	136.4349
100.000000	102.781288	136.0264
101.500000	102.720451	135.5101
103.000000	102.660736	135.0121
104.400002	102.604782	134.5614
106.000000	102.538437	134.0445
107.500000	102.481033	133.5730
109.000000	102.424294	133.1020
110.599998	102.361076	132.6239
112.000000	102.306992	132.2031
113.800003	102.237793	131.6811
115.000000	102.192093	131.3382
117.199997	102.108841	130.7255
118.000000	102.079247	130.5117
120.599998	101.981293	129.7938
122.000000	101.930870	129.4290
124.099998	101.853851	128.8834
125.000000	101.820938	128.6574
126.500000	101.767944	128.2797
128.000000	101.713654	127.9015
131.500000	101.590355	127.0825
132.000000	101.572922	126.9643
134.000000	101.504257	126.4932
136.000000	101.436935	126.0518
138.000000	101.369507	125.6180
140.000000	101.301987	125.1913
143.000000	101.204185	124.5646
145.000000	101.138916	124.1660
147.500000	101.061722	123.6763
150.000000	100.986328	123.1793
152.500000	100.908752	122.7070
155.000000	100.833099	122.2528
157.500000	100.758377	121.7985
160.000000	100.683235	121.3819
162.500000	100.613991	120.9412
165.000000	100.541504	120.5009
167.500000	100.475067	120.1281
170.000000	100.406509	119.7443
172.500000	100.337486	119.3654
175.000000	100.273941	118.9990
177.500000	100.207611	118.6284
180.000000	100.145523	118.2671
182.500000	100.083313	117.9181
185.000000	100.023087	117.5832
187.500000	99.962860	117.2652
190.000000	99.903435	116.9391
192.500000	99.847748	116.6254
195.000000	99.789963	116.3180
197.500000	99.734818	116.0365
200.000000	99.679947	115.7411
203.000000	99.616615	115.3976
206.000000	99.554474	115.0661
209.000000	99.492714	114.7473
212.000000	99.433968	114.4344
214.000000	99.394020	114.2424
218.000000	99.318871	113.8481
220.000000	99.281677	113.6736
224.000000	99.207825	113.3105
227.000000	99.156250	113.0311
230.000000	99.106232	112.7787
233.000000	99.053665	112.5284
236.000000	99.005768	112.2823
240.000000	98.944229	111.9745
243.000000	98.892387	111.7603
247.000000	98.837379	111.4810
250.000000	98.787270	111.3011
254.000000	98.731583	111.0595
258.000000	98.676926	110.8286
262.000000	98.631004	110.6506
265.000000	98.595139	110.5246
269.000000	98.568451	110.3177
272.000000	98.543434	110.1277
276.000000	98.510094	109.8649
280.000000	98.472214	109.5953
285.000000	98.420120	109.2664
290.000000	98.371178	108.9980
295.000000	98.322968	108.7515
300.000000	98.278839	108.5376
304.000000	98.245041	108.3709
307.000000	98.221512	108.2324
311.000000	98.188873	108.0933
315.000000	98.161179	107.9551
320.000000	98.129318	107.7977
325.000000	98.103127	107.6491
330.000000	98.078995	107.4611
335.000000	98.058189	107.2875
340.000000	98.031853	107.1208
345.000000	98.007751	106.9489
350.000000	97.985161	106.8060
355.000000	97.962555	106.6649
360.000000	97.942490	106.5508
365.000000	97.925087	106.4337
370.000000	97.907249	106.3319
375.000000	97.892288	106.2408
382.000000	97.876305	106.1097
387.000000	97.863548	106.0400
395.000000	97.849281	105.9145
400.000000	97.840889	105.8566
406.000000	97.834358	105.7858
412.000000	97.830139	105.7116
418.000000	97.823341	105.6544
425.000000	97.820404	105.6037
431.000000	97.821388	105.5494
437.000000	97.821907	105.5296
444.000000	97.823509	105.4926
450.000000	97.826462	105.4691
455.000000	97.830254	105.4582
462.000000	97.837479	105.4347
468.000000	97.844551	105.4476
475.000000	97.855202	105.4294
482.000000	97.865646	105.4299
487.000000	97.873856	105.4356
494.000000	97.889091	105.4654
500.000000	97.899353	105.4791
508.000000	97.914825	105.5217
515.000000	97.932159	105.5388
522.000000	97.949005	105.5810
530.000000	97.969109	105.6365
538.000000	97.993225	105.6895
545.000000	98.012390	105.7347
552.000000	98.034386	105.7987
560.000000	98.057968	105.8867
570.000000	98.088463	105.9949
580.000000	98.122169	106.1009
590.000000	98.155746	106.2343
600.000000	98.191803	106.3696
608.000000	98.222160	106.4937
615.000000	98.246758	106.6006
622.000000	98.274811	106.7284
630.000000	98.306717	106.8642
640.000000	98.349434	107.0500
650.000000	98.396378	107.2291
660.000000	98.445724	107.4136
670.000000	98.494209	107.5770
680.000000	98.541458	107.7115
690.000000	98.585098	107.8940
700.000000	98.628838	108.0795
710.000000	98.674202	108.2660
720.000000	98.717674	108.4374
730.000000	98.760132	108.6390
740.000000	98.805344	108.8586
750.000000	98.849426	109.0765
762.000000	98.903168	109.3654
775.000000	98.960754	109.6907
788.000000	99.021614	110.0327
800.000000	99.079498	110.3604
812.000000	99.136765	110.6841
825.000000	99.200096	111.0482
838.000000	99.266205	111.4381
850.000000	99.327766	111.7817
862.000000	99.391006	112.1535
875.000000	99.462273	112.5585
885.000000	99.517624	112.8682
900.000000	99.603981	113.3347
912.000000	99.674728	113.7178
925.000000	99.752258	114.1405
938.000000	99.831627	114.5496
950.000000	99.906685	114.9299
962.000000	99.986557	115.3125
975.000000	100.071686	115.7076
988.000000	100.161613	116.1179
1000.000000	100.247772	116.4506
1015.000000	100.355789	116.8813
1030.000000	100.467422	117.2850
1044.000000	100.573448	117.6411
1060.000000	100.694275	117.9937
1075.000000	100.807503	118.3063
1090.000000	100.921509	118.5620
1106.000000	101.040756	118.8138
1120.000000	101.146042	118.9985
1138.000000	101.274200	119.1995
1150.000000	101.358002	119.3083
1172.000000	101.503555	119.4711
1180.000000	101.555038	119.5139
1206.000000	101.708954	119.6111
1220.000000	101.789383	119.6481
1241.000000	101.897278	119.6905
1250.000000	101.940025	119.6987
1265.000000	102.009666	119.7161
1280.000000	102.072578	119.7343
1315.000000	102.200439	119.7872
1320.000000	102.215332	119.7931
1340.000000	102.276260	119.8363
1360.000000	102.329544	119.9079
1380.000000	102.377899	119.9937
1400.000000	102.417976	120.1080
1430.000000	102.472794	120.3196
1450.000000	102.502045	120.5132
1475.000000	102.535286	120.7749
1500.000000	102.564117	121.0679
1525.000000	102.590027	121.4081
1550.000000	102.613335	121.7754
1575.000000	102.634666	122.1891
1600.000000	102.654190	122.6220
1625.000000	102.674904	123.0953
1650.000000	102.693344	123.5840
1675.000000	102.712349	124.1005
1700.000000	102.732193	124.6252
1725.000000	102.750092	125.1657
1750.000000	102.770393	125.7180
1775.000000	102.790550	126.2839
1800.000000	102.812103	126.8580
1825.000000	102.832726	127.4259
1850.000000	102.854752	128.0016
1875.000000	102.876602	128.5765
1900.000000	102.900124	129.1465
1925.000000	102.922760	129.7154
1950.000000	102.945572	130.2709
1975.000000	102.968781	130.8162
2000.000000	102.988556	131.3450
2030.000000	103.014038	131.9824
2060.000000	103.037613	132.5990
2090.000000	103.057404	133.1999
2120.000000	103.077370	133.7702
2140.000000	103.087387	134.1582
2180.000000	103.105492	134.8689
2200.000000	103.113426	135.2241
2240.000000	103.119797	135.9055
2270.000000	103.118874	136.3995
2300.000000	103.114510	136.8802
2330.000000	103.105911	137.3527
2360.000000	103.087982	137.8103
2400.000000	103.057709	138.4189
2430.000000	103.028358	138.8808
2470.000000	102.979980	139.5077
2500.000000	102.939507	139.9855
2540.000000	102.881149	140.6328
2580.000000	102.815796	141.2875
2620.000000	102.746117	141.9303
2650.000000	102.687378	142.4095
2690.000000	102.606956	143.0264
2720.000000	102.538681	143.4895
2760.000000	102.440277	144.0999
2800.000000	102.334084	144.6689
2850.000000	102.182816	145.3649
2900.000000	102.009628	145.9890
2950.000000	101.806870	146.5463
3000.000000	101.562088	147.0265
3040.000000	101.317581	147.3951
3070.000000	101.102325	147.6876
3110.000000	100.762505	148.2210
3150.000000	100.353401	148.9973
3200.000000	99.757195	150.6885
3250.000000	99.101135	153.6077
3300.000000	98.480164	158.0302
3350.000000	98.016312	163.7985
3400.000000	97.805283	170.2749
3450.000000	97.841980	176.4844
3500.000000	98.052261	-178.1224
3550.000000	98.345222	-173.7090
3600.000000	98.666046	-170.1338
3650.000000	98.978958	-167.2441
3700.000000	99.272995	-164.8362
3750.000000	99.540070	-162.7766
3820.000000	99.873680	-160.3742
3870.000000	100.088936	-158.9205
3950.000000	100.394073	-156.9867
4000.000000	100.564842	-156.0045
4060.000000	100.747772	-155.0239
4120.000000	100.910881	-154.2846
4180.000000	101.044418	-153.7888
4250.000000	101.170792	-153.5048
4310.000000	101.243530	-153.5006
4370.000000	101.279984	-153.7196
4440.000000	101.274109	-154.2368
4500.000000	101.221039	-154.8760
4550.000000	101.142403	-155.5076
4620.000000	100.977127	-156.5462
4680.000000	100.784012	-157.4972
4750.000000	100.499100	-158.6599
4820.000000	100.164085	-159.8049
4870.000000	99.892334	-160.6162
4940.000000	99.488968	-161.7095
5000.000000	99.120956	-162.6396
5080.000000	98.616669	-163.8316
5150.000000	98.182205	-164.9030
5220.000000	97.767509	-166.0850
5300.000000	97.328789	-167.6183
5380.000000	96.958656	-169.4333
5450.000000	96.716850	-171.3616
5520.000000	96.571625	-173.5783
5600.000000	96.542198	-176.6685
5700.000000	96.718658	178.9365
5800.000000	97.262314	174.2043
5900.000000	98.212807	168.0605
6000.000000	99.357643	160.3289
6080.000000	100.331703	153.3203
6150.000000	101.173798	146.5822
6220.000000	101.933907	139.2914
6300.000000	102.609863	130.5512
6400.000000	103.057777	119.9592
6500.000000	103.071938	111.0216
6600.000000	102.797348	104.5542
6700.000000	102.397942	100.6013
6800.000000	101.993378	98.7685
6900.000000	101.647499	98.5670
7000.000000	101.385773	99.5612
7100.000000	101.224579	101.4175
7200.000000	101.170456	103.7866
7300.000000	101.204231	106.3632
7400.000000	101.314110	108.9562
7500.000000	101.494850	111.3928
7620.000000	101.774803	113.8274
7750.000000	102.108482	115.5078
7880.000000	102.405090	116.0515
8000.000000	102.561661	115.4615
8120.000000	102.522591	114.2319
8250.000000	102.229431	112.8323
8380.000000	101.708511	112.0739
8500.000000	101.089149	112.2068
8620.000000	100.385445	113.2540
8750.000000	99.575912	115.4314
8850.000000	98.943710	117.8589
9000.000000	98.040634	122.5315
9120.000000	97.380829	127.0060
9250.000000	96.742554	132.3615
9380.000000	96.178886	138.0980
9500.000000	95.694130	143.7664
9620.000000	95.370949	149.9413
9750.000000	95.089386	156.1432
9880.000000	94.845833	162.3729
10000.000000	94.661942	168.1582
10150.000000	94.497116	175.3912
10300.000000	94.399612	-177.2772
10440.000000	94.370270	-170.4053
10600.000000	94.424561	-162.4589
10750.000000	94.570641	-154.9996
10900.000000	94.839111	-147.6875
11060.000000	95.264359	-140.5031
11200.000000	95.737633	-135.0743
11380.000000	96.397514	-129.4504
11500.000000	96.840172	-126.7241
11720.000000	97.525879	-123.8199
11800.000000	97.693504	-123.3407
12060.000000	97.887749	-122.8141
12200.000000	97.797501	-122.7388
12410.000000	97.388527	-122.8300
12500.000000	97.107468	-122.7226
12650.000000	96.514076	-122.0533
12800.000000	95.821030	-120.5471
13150.000000	94.077553	-114.0642
13200.000000	93.843842	-112.7828
13400.000000	92.941826	-107.5010
13600.000000	92.145561	-101.7092
13800.000000	91.477051	-95.9695
14000.000000	90.965065	-90.4384
14300.000000	90.493050	-83.1009
14500.000000	90.431274	-79.9925
14750.000000	90.435623	-77.2761
15000.000000	90.875305	-77.3964
