* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 19, 2024 6:39:21 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	101.850365	-130.5265
20.600000	101.909576	-131.3659
20.900000	101.964706	-132.1526
21.200001	102.017586	-132.9528
21.400000	102.051132	-133.4864
21.799999	102.113647	-134.5159
22.000000	102.143127	-134.9958
22.400000	102.201118	-135.8697
22.700001	102.246262	-136.4577
23.000000	102.293396	-137.0142
23.299999	102.340942	-137.5683
23.600000	102.385818	-138.1419
24.000000	102.435913	-138.9445
24.299999	102.464752	-139.5589
24.700001	102.494507	-140.3616
25.000000	102.515213	-140.9388
25.400000	102.547043	-141.6817
25.799999	102.586266	-142.4214
26.200001	102.629326	-143.1765
26.500000	102.660431	-143.7469
26.900000	102.697502	-144.4855
27.200001	102.722275	-145.0062
27.600000	102.754356	-145.6513
28.000000	102.788193	-146.2613
28.500000	102.832375	-147.0285
29.000000	102.871407	-147.8351
29.500000	102.899200	-148.6579
30.000000	102.917877	-149.4478
30.400000	102.931396	-150.0422
30.700001	102.943321	-150.4710
31.100000	102.962891	-151.0326
31.500000	102.986069	-151.5950
32.000000	103.016731	-152.3056
32.500000	103.044876	-153.0160
33.000000	103.067360	-153.7076
33.500000	103.084137	-154.3652
34.000000	103.098007	-154.9862
34.500000	103.112335	-155.5814
35.000000	103.128761	-156.1658
35.500000	103.146698	-156.7475
36.000000	103.164246	-157.3278
36.500000	103.179077	-157.9078
37.000000	103.189087	-158.4867
37.500000	103.194160	-159.0550
38.200001	103.200653	-159.8154
38.700001	103.211060	-160.3482
39.500000	103.232224	-161.2303
40.000000	103.238304	-161.7703
40.599998	103.237686	-162.3485
41.200001	103.237671	-162.8827
41.799999	103.239098	-163.4590
42.500000	103.232880	-164.1719
43.099998	103.226486	-164.7109
43.700001	103.233696	-165.1875
44.400002	103.252434	-165.8048
45.000000	103.256897	-166.3920
45.500000	103.251305	-166.8505
46.200001	103.246452	-167.4141
46.799999	103.251450	-167.8849
47.500000	103.255974	-168.4491
48.200001	103.251633	-168.9877
48.700001	103.245224	-169.3628
49.400002	103.234116	-169.9055
50.000000	103.224823	-170.3801
50.799999	103.216759	-170.9962
51.500000	103.210976	-171.5032
52.200001	103.202530	-171.9743
53.000000	103.189835	-172.5046
53.799999	103.175766	-173.0459
54.500000	103.167587	-173.5206
55.200001	103.160233	-174.0116
