* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 12, 2026 9:09:31 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	103.754	-136.1052
20.299999	103.802	-136.8701
20.600000	103.849	-137.6200
20.900000	103.895	-138.3594
21.200001	103.940	-139.0932
21.400000	103.970	-139.5809
21.799999	104.026	-140.5530
22.000000	104.053	-141.0364
22.400000	104.102	-141.9935
22.700001	104.136	-142.6986
23.000000	104.168	-143.3900
23.299999	104.199	-144.0667
23.600000	104.228	-144.7293
24.000000	104.265	-145.5937
24.299999	104.292	-146.2307
24.700001	104.326	-147.0681
25.000000	104.351	-147.6880
25.400000	104.381	-148.5016
25.799999	104.409	-149.2950
26.200001	104.434	-150.0629
26.500000	104.453	-150.6216
26.900000	104.477	-151.3484
27.200001	104.496	-151.8848
27.600000	104.521	-152.5956
28.000000	104.545	-153.3044
28.500000	104.571	-154.1826
29.000000	104.592	-155.0400
29.500000	104.611	-155.8692
30.000000	104.628	-156.6721
30.400000	104.640	-157.2992
30.700001	104.650	-157.7626
31.100000	104.661	-158.3734
31.500000	104.672	-158.9787
32.000000	104.684	-159.7297
32.500000	104.693	-160.4695
33.000000	104.698	-161.1864
33.500000	104.703	-161.8746
34.000000	104.708	-162.5417
34.500000	104.714	-163.2018
35.000000	104.720	-163.8621
35.500000	104.723	-164.5186
36.000000	104.724	-165.1631
36.500000	104.723	-165.7910
37.000000	104.721	-166.4001
37.500000	104.718	-166.9898
38.200001	104.714	-167.7908
38.700001	104.711	-168.3575
39.500000	104.704	-169.2587
40.000000	104.697	-169.8050
40.599998	104.688	-170.4380
41.200001	104.680	-171.0618
41.799999	104.671	-171.6834
42.500000	104.657	-172.3890
43.099998	104.644	-172.9722
43.700001	104.631	-173.5485
44.400002	104.614	-174.2048
45.000000	104.598	-174.7364
45.500000	104.587	-175.1700
46.200001	104.573	-175.7972
46.799999	104.555	-176.3404
47.500000	104.531	-176.9257
48.200001	104.511	-177.4718
48.700001	104.499	-177.8744
49.400002	104.480	-178.4606
50.000000	104.460	-178.9530
50.799999	104.430	-179.5701
51.500000	104.405	179.9199
52.200001	104.383	179.4193
53.000000	104.358	178.8380
53.799999	104.328	178.2718
54.500000	104.303	177.8034
55.200001	104.278	177.3410
56.000000	104.250	176.8127
57.000000	104.212	176.1441
58.000000	104.166	175.5280
59.000000	104.131	174.9477
60.000000	104.090	174.2806
60.799999	104.047	173.8299
61.500000	104.017	173.4762
62.200001	103.990	173.0956
63.000000	103.955	172.6794
64.000000	103.918	172.1700
65.000000	103.874	171.6362
66.000000	103.828	171.1566
67.000000	103.785	170.6766
68.000000	103.742	170.2086
69.000000	103.696	169.7234
70.000000	103.648	169.2870
71.000000	103.605	168.8536
72.000000	103.560	168.4271
73.000000	103.516	168.0135
74.000000	103.468	167.6093
75.000000	103.425	167.2477
76.199997	103.371	166.7572
77.500000	103.307	166.3166
78.800003	103.251	165.8540
80.000000	103.196	165.4343
81.199997	103.141	165.0333
82.500000	103.082	164.6117
83.800003	103.022	164.2023
85.000000	102.965	163.8445
86.199997	102.911	163.5044
87.500000	102.851	163.1346
88.500000	102.806	162.8636
90.000000	102.737	162.4681
91.199997	102.683	162.1671
92.500000	102.624	161.8431
93.800003	102.565	161.5363
95.000000	102.511	161.2582
96.199997	102.457	160.9872
97.500000	102.398	160.7114
98.800003	102.341	160.4424
100.000000	102.288	160.1960
101.500000	102.222	159.9040
103.000000	102.155	159.6351
104.400002	102.095	159.3816
106.000000	102.026	159.1055
107.500000	101.961	158.8569
109.000000	101.897	158.6124
110.599998	101.830	158.3677
112.000000	101.768	158.1696
113.800003	101.694	157.9258
115.000000	101.643	157.7668
117.199997	101.552	157.4806
118.000000	101.519	157.3976
120.599998	101.409	157.0687
122.000000	101.357	156.9562
124.099998	101.274	156.7440
125.000000	101.238	156.6497
126.500000	101.179	156.5108
128.000000	101.120	156.3785
131.500000	100.987	156.0858
132.000000	100.968	156.0399
134.000000	100.888	155.9097
136.000000	100.814	155.7735
138.000000	100.734	155.6432
140.000000	100.658	155.5269
143.000000	100.540	155.3946
145.000000	100.467	155.3293
147.500000	100.374	155.2604
150.000000	100.276	155.2405
152.500000	100.184	155.2905
155.000000	100.104	155.3868
157.500000	100.041	155.4940
160.000000	99.990	155.5002
162.500000	99.936	155.4196
165.000000	99.873	155.2952
167.500000	99.802	155.2101
170.000000	99.729	155.1274
172.500000	99.652	155.0791
175.000000	99.579	155.0383
177.500000	99.506	155.0206
180.000000	99.440	155.0232
182.500000	99.367	155.0459
185.000000	99.297	155.0992
187.500000	99.230	155.1171
190.000000	99.167	155.1465
192.500000	99.100	155.1708
195.000000	99.038	155.2176
197.500000	98.973	155.2403
200.000000	98.908	155.2876
203.000000	98.832	155.3573
206.000000	98.758	155.4420
209.000000	98.685	155.5286
212.000000	98.613	155.6240
214.000000	98.569	155.6875
218.000000	98.478	155.8243
220.000000	98.433	155.8840
224.000000	98.345	156.0333
227.000000	98.278	156.1424
230.000000	98.212	156.2664
233.000000	98.149	156.3795
236.000000	98.085	156.5210
240.000000	98.000	156.7095
243.000000	97.943	156.8561
247.000000	97.863	157.0556
250.000000	97.804	157.2189
254.000000	97.733	157.4196
258.000000	97.660	157.6175
262.000000	97.586	157.8229
265.000000	97.535	158.0003
269.000000	97.466	158.1989
272.000000	97.415	158.3813
276.000000	97.345	158.5999
280.000000	97.279	158.8199
285.000000	97.198	159.1170
290.000000	97.120	159.4138
295.000000	97.043	159.7349
300.000000	96.967	160.0225
304.000000	96.907	160.2888
307.000000	96.862	160.4592
311.000000	96.808	160.7156
315.000000	96.750	160.9764
320.000000	96.684	161.3205
325.000000	96.617	161.6389
330.000000	96.554	161.9612
335.000000	96.491	162.3069
340.000000	96.431	162.6284
345.000000	96.371	162.9893
350.000000	96.310	163.3195
355.000000	96.255	163.6492
360.000000	96.198	163.9920
365.000000	96.144	164.3438
370.000000	96.090	164.6912
375.000000	96.039	165.0410
382.000000	95.967	165.5087
387.000000	95.920	165.8580
395.000000	95.843	166.4264
400.000000	95.797	166.7879
406.000000	95.741	167.2039
412.000000	95.688	167.6343
418.000000	95.636	168.0443
425.000000	95.579	168.5480
431.000000	95.531	168.9642
437.000000	95.483	169.3992
444.000000	95.432	169.8979
450.000000	95.386	170.3299
455.000000	95.350	170.6953
462.000000	95.299	171.1838
468.000000	95.260	171.6132
475.000000	95.209	172.1072
482.000000	95.166	172.6121
487.000000	95.133	172.9685
494.000000	95.096	173.4886
500.000000	95.060	173.9205
508.000000	95.012	174.4839
515.000000	94.973	174.9844
522.000000	94.937	175.5043
530.000000	94.895	176.0808
538.000000	94.855	176.6600
545.000000	94.821	177.1609
552.000000	94.788	177.6706
560.000000	94.753	178.2611
570.000000	94.709	178.9778
580.000000	94.669	179.6979
590.000000	94.630	-179.5647
600.000000	94.593	-178.8285
608.000000	94.567	-178.2479
615.000000	94.544	-177.7194
622.000000	94.521	-177.2288
630.000000	94.495	-176.6238
640.000000	94.470	-175.8823
650.000000	94.441	-175.1373
660.000000	94.415	-174.3950
670.000000	94.396	-173.6653
680.000000	94.375	-172.9057
690.000000	94.357	-172.1514
700.000000	94.342	-171.4077
710.000000	94.326	-170.6591
720.000000	94.316	-169.8977
730.000000	94.306	-169.1415
740.000000	94.298	-168.3745
750.000000	94.290	-167.6144
762.000000	94.289	-166.6941
775.000000	94.286	-165.6859
788.000000	94.291	-164.6733
800.000000	94.298	-163.7573
812.000000	94.312	-162.8158
825.000000	94.325	-161.8018
838.000000	94.345	-160.7906
850.000000	94.371	-159.8652
862.000000	94.397	-158.9484
875.000000	94.435	-157.9418
885.000000	94.461	-157.1891
900.000000	94.513	-156.0399
912.000000	94.557	-155.1442
925.000000	94.610	-154.1699
938.000000	94.670	-153.2115
950.000000	94.729	-152.3656
962.000000	94.794	-151.5095
975.000000	94.864	-150.6196
988.000000	94.943	-149.7444
1000.000000	95.018	-148.9793
1015.000000	95.117	-148.0357
1030.000000	95.223	-147.1378
1044.000000	95.322	-146.3289
1060.000000	95.441	-145.4631
1075.000000	95.556	-144.7045
1090.000000	95.674	-143.9849
1106.000000	95.796	-143.2661
1120.000000	95.907	-142.6851
1138.000000	96.050	-142.0056
1150.000000	96.146	-141.5613
1172.000000	96.319	-140.8390
1180.000000	96.383	-140.6067
1206.000000	96.579	-139.8867
1220.000000	96.682	-139.5531
1241.000000	96.834	-139.0894
1250.000000	96.896	-138.9153
1265.000000	96.998	-138.6291
1280.000000	97.098	-138.3483
1315.000000	97.317	-137.7712
1320.000000	97.346	-137.7160
1340.000000	97.466	-137.4058
1360.000000	97.579	-137.1219
1380.000000	97.687	-136.8403
1400.000000	97.792	-136.5860
1430.000000	97.945	-136.1557
1450.000000	98.043	-135.9074
1475.000000	98.161	-135.5502
1500.000000	98.281	-135.2056
1525.000000	98.395	-134.8680
1550.000000	98.513	-134.5147
1575.000000	98.626	-134.1660
1600.000000	98.742	-133.8055
1625.000000	98.857	-133.4758
1650.000000	98.974	-133.1311
1675.000000	99.090	-132.7757
1700.000000	99.208	-132.4403
1725.000000	99.326	-132.1161
1750.000000	99.447	-131.8005
1775.000000	99.569	-131.5064
1800.000000	99.693	-131.2026
1825.000000	99.818	-130.9142
1850.000000	99.945	-130.6538
1875.000000	100.072	-130.4196
1900.000000	100.201	-130.1720
1925.000000	100.332	-129.9625
1950.000000	100.465	-129.7738
1975.000000	100.597	-129.5984
2000.000000	100.729	-129.4419
2030.000000	100.890	-129.3008
2060.000000	101.054	-129.1870
2090.000000	101.217	-129.1146
2120.000000	101.381	-129.0736
2140.000000	101.489	-129.0645
2180.000000	101.710	-129.0999
2200.000000	101.819	-129.1559
2240.000000	102.037	-129.2888
2270.000000	102.200	-129.4446
2300.000000	102.361	-129.6440
2330.000000	102.520	-129.8799
2360.000000	102.677	-130.1694
2400.000000	102.882	-130.5948
2430.000000	103.033	-130.9627
2470.000000	103.229	-131.5034
2500.000000	103.373	-131.9572
2540.000000	103.560	-132.6104
2580.000000	103.738	-133.3303
2620.000000	103.909	-134.0875
2650.000000	104.038	-134.6792
2690.000000	104.202	-135.5698
2720.000000	104.316	-136.2704
2760.000000	104.459	-137.2464
