* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 12, 2026 9:14:25 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	103.964	-137.9580
20.299999	104.010	-138.7456
20.600000	104.054	-139.5193
20.900000	104.097	-140.2808
21.200001	104.138	-141.0321
21.400000	104.165	-141.5289
21.799999	104.216	-142.5154
22.000000	104.240	-143.0053
22.400000	104.285	-143.9750
22.700001	104.314	-144.6872
23.000000	104.341	-145.3799
23.299999	104.365	-146.0489
23.600000	104.389	-146.6939
24.000000	104.421	-147.5247
24.299999	104.446	-148.1359
24.700001	104.479	-148.9478
25.000000	104.502	-149.5570
25.400000	104.531	-150.3637
25.799999	104.555	-151.1508
26.200001	104.578	-151.9101
26.500000	104.595	-152.4637
26.900000	104.618	-153.1913
27.200001	104.636	-153.7363
27.600000	104.658	-154.4657
28.000000	104.676	-155.1936
28.500000	104.695	-156.0872
29.000000	104.710	-156.9520
29.500000	104.721	-157.7869
30.000000	104.730	-158.5899
30.400000	104.735	-159.2061
30.700001	104.740	-159.6541
31.100000	104.748	-160.2389
31.500000	104.756	-160.8201
32.000000	104.766	-161.5509
32.500000	104.773	-162.2796
33.000000	104.778	-162.9903
33.500000	104.782	-163.6811
34.000000	104.786	-164.3655
34.500000	104.788	-165.0510
35.000000	104.787	-165.7280
35.500000	104.784	-166.3833
36.000000	104.780	-167.0161
36.500000	104.776	-167.6334
37.000000	104.771	-168.2374
37.500000	104.766	-168.8250
38.200001	104.758	-169.6246
38.700001	104.753	-170.1886
39.500000	104.741	-171.0750
40.000000	104.733	-171.6116
40.599998	104.722	-172.2454
41.200001	104.710	-172.8756
41.799999	104.694	-173.4888
42.500000	104.675	-174.1670
43.099998	104.661	-174.7372
43.700001	104.647	-175.3193
44.400002	104.626	-175.9938
45.000000	104.606	-176.5401
45.500000	104.591	-176.9769
46.200001	104.572	-177.5876
46.799999	104.554	-178.1145
47.500000	104.530	-178.7095
48.200001	104.508	-179.2804
48.700001	104.492	-179.6881
49.400002	104.468	179.7402
50.000000	104.443	179.2727
50.799999	104.413	178.6908
51.500000	104.389	178.1815
52.200001	104.363	177.6606
53.000000	104.330	177.0953
53.799999	104.299	176.5596
54.500000	104.272	176.0811
55.200001	104.241	175.6134
56.000000	104.206	175.1220
57.000000	104.168	174.5147
58.000000	104.127	173.8950
59.000000	104.082	173.2826
60.000000	104.033	172.7049
60.799999	103.997	172.2614
61.500000	103.965	171.8552
62.200001	103.929	171.4684
63.000000	103.892	171.0654
64.000000	103.850	170.5245
65.000000	103.799	170.0221
66.000000	103.757	169.5601
67.000000	103.711	169.0524
68.000000	103.661	168.6149
69.000000	103.617	168.1818
70.000000	103.569	167.7357
71.000000	103.521	167.3123
72.000000	103.473	166.8891
73.000000	103.423	166.4834
74.000000	103.375	166.1071
75.000000	103.329	165.7204
76.199997	103.271	165.2843
77.500000	103.211	164.8144
78.800003	103.147	164.3725
80.000000	103.090	163.9611
81.199997	103.031	163.5922
82.500000	102.971	163.1765
83.800003	102.909	162.7913
85.000000	102.852	162.4285
86.199997	102.794	162.1004
87.500000	102.732	161.7466
88.500000	102.685	161.4848
90.000000	102.614	161.1021
91.199997	102.559	160.8007
92.500000	102.496	160.4920
93.800003	102.438	160.1960
95.000000	102.380	159.9221
96.199997	102.325	159.6737
97.500000	102.265	159.3969
98.800003	102.206	159.1362
100.000000	102.152	158.9012
101.500000	102.082	158.6103
103.000000	102.016	158.3550
104.400002	101.953	158.1126
106.000000	101.884	157.8474
107.500000	101.816	157.6151
109.000000	101.751	157.3849
110.599998	101.682	157.1537
112.000000	101.620	156.9596
113.800003	101.543	156.7144
115.000000	101.493	156.5806
117.199997	101.399	156.3098
118.000000	101.366	156.2283
120.599998	101.263	155.9513
122.000000	101.201	155.7960
124.099998	101.116	155.5884
125.000000	101.078	155.5054
126.500000	101.019	155.3848
128.000000	100.959	155.2503
131.500000	100.822	154.9856
132.000000	100.803	154.9494
134.000000	100.725	154.8065
136.000000	100.649	154.6829
138.000000	100.574	154.5794
140.000000	100.500	154.4657
143.000000	100.387	154.3348
145.000000	100.314	154.2486
147.500000	100.223	154.1484
150.000000	100.133	154.0754
152.500000	100.044	154.0075
155.000000	99.957	153.9654
157.500000	99.872	153.9232
160.000000	99.784	153.9196
162.500000	99.701	153.9159
165.000000	99.620	153.9340
167.500000	99.542	153.9780
170.000000	99.466	154.0390
172.500000	99.397	154.0952
175.000000	99.329	154.1040
177.500000	99.262	154.1253
180.000000	99.189	154.1543
182.500000	99.121	154.1706
185.000000	99.053	154.2032
187.500000	98.985	154.2575
190.000000	98.918	154.2743
192.500000	98.842	154.3307
195.000000	98.777	154.4115
197.500000	98.709	154.4802
200.000000	98.636	154.5826
