* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 20, 2025 1:20:01 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: 0 ohm L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	103.693	-158.9824
20.600000	103.702	-159.6759
20.900000	103.704	-160.2984
21.200001	103.704	-160.9157
21.400000	103.704	-161.3266
21.799999	103.704	-162.1424
22.000000	103.704	-162.5442
22.400000	103.705	-163.3302
22.700001	103.706	-163.9048
23.000000	103.709	-164.4716
23.299999	103.712	-165.0360
23.600000	103.713	-165.6007
24.000000	103.712	-166.3492
24.299999	103.708	-166.8998
24.700001	103.701	-167.6118
25.000000	103.696	-168.1317
25.400000	103.688	-168.8170
25.799999	103.679	-169.5032
26.200001	103.666	-170.1829
26.500000	103.655	-170.6754
26.900000	103.639	-171.2938
27.200001	103.631	-171.7286
27.600000	103.624	-172.2894
28.000000	103.623	-172.8561
28.500000	103.619	-173.5941
29.000000	103.603	-174.3317
29.500000	103.574	-175.0144
30.000000	103.543	-175.6336
30.400000	103.522	-176.1151
30.700001	103.509	-176.4880
31.100000	103.494	-177.0100
31.500000	103.479	-177.5490
32.000000	103.457	-178.2087
32.500000	103.433	-178.8209
33.000000	103.409	-179.3868
33.500000	103.385	-179.9313
34.000000	103.359	179.5237
34.500000	103.330	178.9750
35.000000	103.299	178.4329
35.500000	103.269	177.9049
36.000000	103.241	177.3879
36.500000	103.214	176.8770
37.000000	103.184	176.3782
37.500000	103.153	175.9043
38.200001	103.108	175.2778
38.700001	103.077	174.8299
39.500000	103.024	174.0952
40.000000	102.989	173.6513
40.599998	102.948	173.1447
41.200001	102.910	172.6411
41.799999	102.869	172.1376
42.500000	102.816	171.5865
43.099998	102.773	171.1388
43.700001	102.732	170.6754
44.400002	102.680	170.1314
45.000000	102.632	169.7111
45.500000	102.592	169.3866
46.200001	102.538	168.9160
46.799999	102.490	168.4905
47.500000	102.435	168.0222
48.200001	102.388	167.5991
48.700001	102.356	167.3059
49.400002	102.305	166.8976
50.000000	102.252	166.5511
50.799999	102.174	166.1012
51.500000	102.109	165.7407
52.200001	102.059	165.3874
53.000000	102.007	164.9386
53.799999	101.948	164.5262
54.500000	101.897	164.2267
55.200001	101.838	163.9149
56.000000	101.750	163.5765
57.000000	101.651	163.0544
58.000000	101.560	162.2407
59.000000	101.480	161.8904
60.000000	101.444	161.8081
60.799999	101.378	161.6131
61.500000	101.301	161.4247
62.200001	101.233	161.1726
63.000000	101.164	160.8581
64.000000	101.095	160.5605
65.000000	101.025	160.2381
66.000000	100.944	159.9973
67.000000	100.853	159.7726
68.000000	100.746	159.5768
69.000000	100.660	159.3469
70.000000	100.580	159.0993
71.000000	100.498	158.9808
72.000000	100.413	158.8263
73.000000	100.324	158.6480
74.000000	100.243	158.5182
75.000000	100.162	158.3831
76.199997	100.062	158.2661
77.500000	99.967	158.1519
78.800003	99.856	158.0251
80.000000	99.754	157.9788
81.199997	99.667	157.9451
82.500000	99.563	157.9241
83.800003	99.461	157.8989
85.000000	99.371	157.8996
86.199997	99.278	157.9299
87.500000	99.167	158.0356
88.500000	99.104	158.0728
90.000000	98.997	158.1069
91.199997	98.914	158.2209
92.500000	98.821	158.3182
93.800003	98.734	158.4640
95.000000	98.651	158.6115
96.199997	98.572	158.7445
97.500000	98.488	158.9237
98.800003	98.406	159.1165
100.000000	98.331	159.3007
101.500000	98.239	159.5556
103.000000	98.152	159.8266
104.400002	98.072	160.0745
106.000000	97.984	160.3862
107.500000	97.904	160.7021
109.000000	97.826	161.0456
110.599998	97.746	161.3751
112.000000	97.684	161.6966
113.800003	97.594	162.1405
115.000000	97.545	162.4094
117.199997	97.449	162.9634
118.000000	97.412	163.1650
120.599998	97.322	163.6762
122.000000	97.273	164.2205
124.099998	97.195	164.7342
125.000000	97.170	164.9629
126.500000	97.120	165.3704
128.000000	97.080	165.7618
131.500000	96.984	166.7000
132.000000	96.972	166.8343
134.000000	96.923	167.3842
136.000000	96.882	167.9277
138.000000	96.841	168.4688
140.000000	96.804	169.0360
143.000000	96.764	169.7857
145.000000	96.738	170.3236
147.500000	96.711	170.9361
