* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 20, 2025 4:41:18 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: 0 ohm R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	103.810	-165.4939
20.600000	103.799	-166.1228
20.900000	103.782	-166.6638
21.200001	103.768	-167.1836
21.400000	103.763	-167.5273
21.799999	103.763	-168.2292
22.000000	103.767	-168.5938
22.400000	103.777	-169.3509
22.700001	103.783	-169.9325
23.000000	103.784	-170.5091
23.299999	103.778	-171.0649
23.600000	103.766	-171.5890
24.000000	103.746	-172.2362
24.299999	103.731	-172.6947
24.700001	103.716	-173.2967
25.000000	103.708	-173.7568
25.400000	103.701	-174.3898
25.799999	103.696	-175.0341
26.200001	103.689	-175.6676
26.500000	103.682	-176.1251
26.900000	103.669	-176.7085
27.200001	103.657	-177.1292
27.600000	103.636	-177.6755
28.000000	103.612	-178.2101
28.500000	103.579	-178.8604
29.000000	103.549	-179.4868
29.500000	103.525	179.9054
30.000000	103.508	179.3037
30.400000	103.495	178.8236
30.700001	103.483	178.4674
31.100000	103.464	178.0031
31.500000	103.441	177.5530
32.000000	103.412	177.0000
32.500000	103.382	176.4386
33.000000	103.351	175.8640
33.500000	103.319	175.2966
34.000000	103.286	174.7611
34.500000	103.255	174.2572
35.000000	103.225	173.7620
35.500000	103.192	173.2601
36.000000	103.154	172.7620
36.500000	103.112	172.2892
37.000000	103.070	171.8497
37.500000	103.032	171.4314
38.200001	102.985	170.8437
38.700001	102.952	170.4082
39.500000	102.894	169.7043
40.000000	102.853	169.2858
40.599998	102.804	168.8131
41.200001	102.757	168.3493
41.799999	102.711	167.8797
42.500000	102.657	167.3446
43.099998	102.613	166.9028
43.700001	102.570	166.4508
44.400002	102.515	165.9078
45.000000	102.465	165.4650
45.500000	102.426	165.1227
46.200001	102.379	164.6675
46.799999	102.340	164.2972
47.500000	102.292	163.9017
48.200001	102.235	163.5267
48.700001	102.189	163.2591
49.400002	102.120	162.8955
50.000000	102.063	162.5888
50.799999	101.990	162.1446
51.500000	101.924	161.7436
52.200001	101.863	161.3713
53.000000	101.811	160.9312
53.799999	101.758	160.5009
54.500000	101.699	160.2605
55.200001	101.634	160.1160
56.000000	101.546	159.8787
57.000000	101.425	159.4190
58.000000	101.333	158.8683
59.000000	101.253	158.3806
60.000000	101.163	158.1412
60.799999	101.092	157.9566
61.500000	101.027	157.7005
62.200001	100.959	157.4189
63.000000	100.887	157.1562
64.000000	100.808	156.8886
65.000000	100.717	156.6439
66.000000	100.620	156.4388
67.000000	100.526	156.2022
68.000000	100.433	155.9902
69.000000	100.345	155.7973
70.000000	100.251	155.5984
71.000000	100.156	155.4543
72.000000	100.069	155.3270
73.000000	99.981	155.1816
74.000000	99.889	155.0582
75.000000	99.797	154.9624
76.199997	99.691	154.8970
77.500000	99.574	154.7419
78.800003	99.452	154.7144
80.000000	99.358	154.6784
81.199997	99.249	154.6699
82.500000	99.137	154.6577
83.800003	99.025	154.6786
85.000000	98.926	154.7411
86.199997	98.827	154.8142
87.500000	98.718	154.8970
88.500000	98.635	154.9731
90.000000	98.519	155.1216
91.199997	98.423	155.2647
92.500000	98.322	155.4399
93.800003	98.224	155.6152
95.000000	98.135	155.7984
96.199997	98.045	155.9990
97.500000	97.951	156.2275
98.800003	97.860	156.4791
100.000000	97.777	156.7188
101.500000	97.676	157.0395
103.000000	97.580	157.3788
104.400002	97.491	157.7155
106.000000	97.393	158.1095
107.500000	97.304	158.5053
109.000000	97.218	158.9052
110.599998	97.131	159.3494
112.000000	97.058	159.7693
113.800003	96.966	160.2817
115.000000	96.909	160.6573
117.199997	96.809	161.3162
118.000000	96.776	161.5303
120.599998	96.679	162.4442
122.000000	96.607	162.8484
124.099998	96.538	163.5439
125.000000	96.510	163.8493
126.500000	96.460	164.3292
128.000000	96.418	164.8208
131.500000	96.326	165.9947
132.000000	96.313	166.1632
134.000000	96.269	166.8201
136.000000	96.229	167.4846
138.000000	96.192	168.1516
140.000000	96.161	168.7663
143.000000	96.122	169.7268
145.000000	96.101	170.3542
147.500000	96.079	171.1063
150.000000	96.067	171.8528
152.500000	96.056	172.6077
155.000000	96.053	173.2969
157.500000	96.049	173.9796
160.000000	96.055	174.6347
162.500000	96.062	175.2700
165.000000	96.073	175.8964
167.500000	96.084	176.5035
170.000000	96.098	177.0623
172.500000	96.116	177.6234
175.000000	96.135	178.1411
177.500000	96.157	178.6721
180.000000	96.179	179.1484
182.500000	96.207	179.6355
185.000000	96.235	-179.9269
187.500000	96.261	-179.5027
190.000000	96.291	-179.0841
192.500000	96.321	-178.7115
195.000000	96.348	-178.3401
197.500000	96.376	-177.9739
200.000000	96.406	-177.6376
203.000000	96.444	-177.2558
206.000000	96.477	-176.8850
209.000000	96.513	-176.5461
212.000000	96.548	-176.2167
214.000000	96.571	-176.0069
218.000000	96.615	-175.6000
220.000000	96.637	-175.4207
224.000000	96.681	-175.0579
227.000000	96.711	-174.8078
230.000000	96.741	-174.5596
233.000000	96.765	-174.3111
236.000000	96.792	-174.0572
240.000000	96.837	-173.7162
243.000000	96.844	-173.4519
247.000000	96.876	-172.9949
250.000000	96.913	-172.6387
254.000000	96.986	-172.2148
258.000000	97.067	-171.9734
262.000000	97.138	-171.8559
265.000000	97.179	-171.8288
269.000000	97.227	-171.7798
272.000000	97.256	-171.7545
276.000000	97.292	-171.6924
280.000000	97.324	-171.6168
285.000000	97.362	-171.5078
290.000000	97.397	-171.4112
295.000000	97.432	-171.3242
300.000000	97.466	-171.2276
304.000000	97.487	-171.1651
307.000000	97.504	-171.1150
311.000000	97.526	-171.0431
315.000000	97.547	-170.9706
320.000000	97.571	-170.8717
325.000000	97.596	-170.7975
330.000000	97.619	-170.7148
335.000000	97.641	-170.6277
340.000000	97.663	-170.5610
345.000000	97.684	-170.4917
350.000000	97.702	-170.4153
355.000000	97.718	-170.3621
360.000000	97.731	-170.2879
365.000000	97.747	-170.2259
370.000000	97.761	-170.1621
375.000000	97.775	-170.0860
382.000000	97.791	-169.9989
387.000000	97.803	-169.9186
395.000000	97.820	-169.8043
400.000000	97.827	-169.7367
406.000000	97.837	-169.6482
412.000000	97.846	-169.5599
418.000000	97.853	-169.4594
425.000000	97.866	-169.3450
431.000000	97.872	-169.2413
437.000000	97.878	-169.1607
444.000000	97.886	-169.0283
450.000000	97.890	-168.9377
455.000000	97.895	-168.8537
462.000000	97.902	-168.7286
468.000000	97.905	-168.6215
475.000000	97.907	-168.4780
482.000000	97.915	-168.3705
487.000000	97.914	-168.2666
494.000000	97.917	-168.1275
500.000000	97.920	-168.0016
508.000000	97.922	-167.8542
515.000000	97.922	-167.7153
522.000000	97.924	-167.5670
530.000000	97.922	-167.4041
538.000000	97.923	-167.2327
