* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Oct 5, 2024 10:32:09 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	103.520020	-158.3983
20.600000	103.542953	-158.7817
20.900000	103.559525	-159.1233
21.200001	103.574875	-159.4689
21.400000	103.585297	-159.7059
21.799999	103.606705	-160.1936
22.000000	103.617577	-160.4406
22.400000	103.639244	-160.9294
22.700001	103.655373	-161.2827
23.000000	103.671478	-161.6226
23.299999	103.687469	-161.9519
23.600000	103.703026	-162.2758
24.000000	103.722107	-162.7071
24.299999	103.734619	-163.0311
24.700001	103.748917	-163.4591
25.000000	103.758682	-163.7722
25.400000	103.772003	-164.1760
25.799999	103.786850	-164.5677
26.200001	103.802948	-164.9547
26.500000	103.814880	-165.2447
26.900000	103.829308	-165.6291
27.200001	103.838661	-165.9127
27.600000	103.849815	-166.2806
28.000000	103.860741	-166.6377
28.500000	103.875534	-167.0764
29.000000	103.891014	-167.5129
29.500000	103.905327	-167.9406
30.000000	103.917686	-168.3471
30.400000	103.926796	-168.6560
30.700001	103.933609	-168.8824
31.100000	103.942856	-169.1845
31.500000	103.952003	-169.4917
32.000000	103.962822	-169.8800
32.500000	103.973114	-170.2616
33.000000	103.983719	-170.6265
33.500000	103.994812	-170.9762
34.000000	104.005333	-171.3200
34.500000	104.013855	-171.6641
35.000000	104.020035	-172.0075
35.500000	104.024963	-172.3445
36.000000	104.030464	-172.6703
36.500000	104.037621	-172.9852
37.000000	104.046028	-173.2942
37.500000	104.054100	-173.6032
38.200001	104.062180	-174.0384
38.700001	104.065720	-174.3465
39.500000	104.071434	-174.8253
40.000000	104.076530	-175.1158
40.599998	104.083214	-175.4576
41.200001	104.088531	-175.7924
41.799999	104.091797	-176.1219
42.500000	104.094337	-176.5054
43.099998	104.096924	-176.8345
43.700001	104.100502	-177.1572
44.400002	104.105530	-177.5194
45.000000	104.109207	-177.8221
45.500000	104.110786	-178.0734
46.200001	104.111069	-178.4245
46.799999	104.111549	-178.7233
47.500000	104.114052	-179.0715
48.200001	104.116943	-179.4144
48.700001	104.118256	-179.6495
49.400002	104.119324	-179.9680
50.000000	104.119492	179.7571
50.799999	104.118134	179.3844
51.500000	104.116776	179.0642
52.200001	104.116226	178.7551
53.000000	104.115631	178.4160
53.799999	104.113815	178.0804
54.500000	104.109894	177.7809
55.200001	104.105789	177.4874
56.000000	104.105637	177.1552
57.000000	104.105225	176.7410
58.000000	104.100372	176.3641
59.000000	104.089882	175.9212
60.000000	104.071075	175.5100
60.799999	104.072807	175.2520
61.500000	104.081230	174.9917
62.200001	104.080757	174.7173
63.000000	104.072426	174.4341
64.000000	104.062790	174.0685
65.000000	104.054382	173.6987
66.000000	104.049232	173.3397
67.000000	104.041420	172.9831
68.000000	104.034485	172.6426
69.000000	104.026955	172.3022
70.000000	104.017372	171.9723
71.000000	104.007507	171.6306
72.000000	103.997047	171.2938
73.000000	103.988693	170.9724
74.000000	103.980263	170.6473
75.000000	103.969574	170.3259
76.199997	103.956131	169.9528
77.500000	103.942131	169.5315
78.800003	103.927956	169.1352
80.000000	103.916718	168.7731
81.199997	103.897369	168.4286
82.500000	103.882561	168.0497
83.800003	103.866425	167.6521
85.000000	103.851845	167.3055
86.199997	103.836472	166.9661
87.500000	103.818932	166.5913
88.500000	103.805130	166.3119
90.000000	103.784149	165.8848
91.199997	103.765533	165.5766
92.500000	103.748016	165.2260
93.800003	103.727142	164.8793
95.000000	103.709381	164.5699
96.199997	103.690964	164.2594
97.500000	103.671165	163.9218
98.800003	103.650543	163.5994
100.000000	103.632179	163.2961
101.500000	103.607040	162.9378
103.000000	103.583023	162.5801
104.400002	103.559669	162.2433
106.000000	103.533539	161.8647
107.500000	103.507668	161.5142
109.000000	103.481514	161.1688
110.599998	103.452728	160.8137
112.000000	103.427277	160.4891
113.800003	103.396912	160.0948
115.000000	103.373276	159.8443
117.199997	103.333069	159.3667
118.000000	103.321297	159.2203
120.599998	103.255554	158.7123
122.000000	103.243607	158.3477
124.099998	103.201660	157.9545
125.000000	103.181335	157.7686
126.500000	103.153793	157.4897
128.000000	103.121094	157.2116
131.500000	103.050842	156.5788
132.000000	103.040459	156.4829
134.000000	103.000305	156.1450
136.000000	102.957695	155.8163
138.000000	102.916100	155.4937
140.000000	102.876015	155.1794
143.000000	102.823204	154.7455
145.000000	102.786186	154.4457
147.500000	102.745346	154.0872
150.000000	102.704872	153.7191
152.500000	102.663612	153.3254
155.000000	102.619843	152.9344
157.500000	102.574425	152.5340
160.000000	102.527565	152.1569
162.500000	102.478531	151.7953
165.000000	102.426895	151.4302
167.500000	102.380188	151.0865
170.000000	102.329987	150.7706
172.500000	102.280273	150.4995
175.000000	102.241997	150.2185
177.500000	102.192657	149.8153
180.000000	102.255104	150.0500
182.500000	102.103561	149.4103
185.000000	102.079185	149.1257
187.500000	102.042778	148.7880
190.000000	102.004883	148.4504
192.500000	101.967407	148.1349
195.000000	101.928711	147.7383
197.500000	101.888924	147.4006
200.000000	101.844292	147.0670
203.000000	101.786087	146.6727
206.000000	101.729874	146.2881
209.000000	101.671570	145.9371
212.000000	101.613220	145.5931
214.000000	101.574455	145.3638
218.000000	101.501190	144.9104
220.000000	101.460709	144.6944
224.000000	101.383789	144.2449
227.000000	101.324730	143.9214
230.000000	101.264420	143.6168
233.000000	101.203499	143.3043
236.000000	101.142509	143.0256
240.000000	101.079033	142.6538
243.000000	101.001556	142.3838
247.000000	100.917953	142.0537
250.000000	100.858734	141.8121
254.000000	100.779366	141.4976
258.000000	100.699806	141.2045
262.000000	100.621826	140.9279
265.000000	100.563385	140.7203
269.000000	100.487915	140.4313
272.000000	100.430161	140.2501
276.000000	100.354431	140.0031
280.000000	100.277779	139.7634
285.000000	100.186539	139.4705
290.000000	100.093575	139.1968
295.000000	100.002350	138.9363
300.000000	99.909348	138.7085
304.000000	99.837845	138.5047
307.000000	99.784966	138.3583
311.000000	99.713989	138.1907
315.000000	99.642906	138.0162
320.000000	99.555840	137.8259
325.000000	99.469635	137.6326
330.000000	99.382126	137.4650
335.000000	99.298073	137.3103
340.000000	99.215294	137.1677
345.000000	99.134567	137.0094
350.000000	99.053543	136.8838
355.000000	98.972992	136.7728
360.000000	98.895958	136.6506
365.000000	98.812424	136.5549
370.000000	98.732353	136.4635
375.000000	98.655128	136.3965
382.000000	98.549423	136.3210
387.000000	98.474899	136.2917
395.000000	98.360390	136.2720
400.000000	98.293716	136.2742
406.000000	98.218262	136.2886
412.000000	98.148979	136.2979
418.000000	98.086296	136.3014
425.000000	98.012833	136.2505
431.000000	97.952263	136.1599
437.000000	97.886711	136.0542
444.000000	97.806892	135.9376
450.000000	97.734177	135.8437
455.000000	97.671768	135.7939
462.000000	97.584984	135.7358
468.000000	97.511360	135.7028
475.000000	97.423592	135.6835
482.000000	97.340378	135.7062
