* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Oct 5, 2024 10:30:58 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	103.915504	-159.3918
20.600000	103.933868	-159.7919
20.900000	103.945404	-160.1458
21.200001	103.956963	-160.4981
21.400000	103.966171	-160.7376
21.799999	103.988426	-161.2332
22.000000	104.000900	-161.4881
22.400000	104.026405	-162.0014
22.700001	104.044220	-162.3765
23.000000	104.060204	-162.7341
23.299999	104.074409	-163.0716
23.600000	104.087357	-163.3926
24.000000	104.103416	-163.8086
24.299999	104.114861	-164.1222
24.700001	104.129242	-164.5510
25.000000	104.139374	-164.8794
25.400000	104.152252	-165.3179
25.799999	104.165184	-165.7456
26.200001	104.178841	-166.1549
26.500000	104.189651	-166.4492
26.900000	104.204399	-166.8284
27.200001	104.215317	-167.1061
27.600000	104.229057	-167.4723
28.000000	104.241539	-167.8371
28.500000	104.255348	-168.2923
29.000000	104.267792	-168.7419
29.500000	104.279800	-169.1794
30.000000	104.291977	-169.6020
30.400000	104.301720	-169.9311
30.700001	104.308746	-170.1741
31.100000	104.317398	-170.4945
31.500000	104.325027	-170.8107
32.000000	104.333397	-171.1989
32.500000	104.341278	-171.5787
33.000000	104.349503	-171.9511
33.500000	104.358276	-172.3188
34.000000	104.367134	-172.6839
34.500000	104.375374	-173.0465
35.000000	104.382545	-173.4042
35.500000	104.388741	-173.7546
36.000000	104.394447	-174.0971
36.500000	104.399979	-174.4329
37.000000	104.405334	-174.7632
37.500000	104.410461	-175.0877
38.200001	104.417358	-175.5348
38.700001	104.421822	-175.8524
39.500000	104.426910	-176.3582
40.000000	104.428833	-176.6667
40.599998	104.431107	-177.0239
41.200001	104.434357	-177.3699
41.799999	104.438370	-177.7110
42.500000	104.442863	-178.1091
43.099998	104.445610	-178.4550
43.700001	104.446625	-178.8040
44.400002	104.446312	-179.2020
45.000000	104.446625	-179.5281
45.500000	104.447662	-179.7935
46.200001	104.448502	179.8404
46.799999	104.447792	179.5358
47.500000	104.447090	179.1874
48.200001	104.446724	178.8309
48.700001	104.445435	178.5747
49.400002	104.443115	178.2298
50.000000	104.442429	177.9386
50.799999	104.440773	177.5385
51.500000	104.437065	177.2076
52.200001	104.436394	176.9108
53.000000	104.439102	176.5581
53.799999	104.434204	176.1687
54.500000	104.423515	175.8400
55.200001	104.415955	175.5349
56.000000	104.414627	175.1833
57.000000	104.409508	174.7390
58.000000	104.398659	174.3356
59.000000	104.393333	173.8639
60.000000	104.379616	173.3807
60.799999	104.371529	173.1116
61.500000	104.371590	172.8814
62.200001	104.367630	172.6019
63.000000	104.355927	172.2777
64.000000	104.346382	171.8890
65.000000	104.336823	171.4834
66.000000	104.322952	171.1133
67.000000	104.312981	170.7378
68.000000	104.301918	170.3589
69.000000	104.292358	170.0052
70.000000	104.279846	169.6309
71.000000	104.264183	169.2811
72.000000	104.253571	168.9347
73.000000	104.240669	168.5857
74.000000	104.228279	168.2509
75.000000	104.214539	167.9010
76.199997	104.198166	167.4996
77.500000	104.178505	167.0555
78.800003	104.158813	166.6261
80.000000	104.139908	166.2206
81.199997	104.125351	165.8655
82.500000	104.103615	165.4431
83.800003	104.079582	165.0472
85.000000	104.060120	164.6753
86.199997	104.040596	164.3139
87.500000	104.017159	163.9158
88.500000	104.001167	163.6217
90.000000	103.974854	163.1913
91.199997	103.952766	162.8502
92.500000	103.930855	162.4847
93.800003	103.908859	162.1159
95.000000	103.885017	161.7864
96.199997	103.862213	161.4564
97.500000	103.839317	161.0987
98.800003	103.813484	160.7491
100.000000	103.790497	160.4429
101.500000	103.761230	160.0493
103.000000	103.731804	159.6612
104.400002	103.702820	159.3029
106.000000	103.671089	158.9008
107.500000	103.640747	158.5294
109.000000	103.611771	158.1654
110.599998	103.576080	157.7741
112.000000	103.548744	157.4498
113.800003	103.507805	157.0456
115.000000	103.481804	156.7497
117.199997	103.435730	156.2539
118.000000	103.413124	156.0849
120.599998	103.358536	155.3778
122.000000	103.333389	155.2325
124.099998	103.281570	154.7692
125.000000	103.263092	154.5729
126.500000	103.229088	154.2824
128.000000	103.194870	153.9653
131.500000	103.113785	153.2773
132.000000	103.102325	153.1785
134.000000	103.056389	152.8069
136.000000	103.007858	152.4442
138.000000	102.960800	152.0838
140.000000	102.913460	151.7254
143.000000	102.845016	151.2300
145.000000	102.802292	150.9108
147.500000	102.748047	150.5283
150.000000	102.694534	150.1113
152.500000	102.640137	149.7236
155.000000	102.585220	149.3191
157.500000	102.531876	148.9113
160.000000	102.478333	148.5256
162.500000	102.419044	148.1631
165.000000	102.359940	147.7623
167.500000	102.306038	147.4923
170.000000	102.250305	147.1749
172.500000	102.179413	146.8743
175.000000	102.111336	146.6646
177.500000	102.055473	146.4911
180.000000	101.921516	145.4136
182.500000	101.998505	145.5628
185.000000	101.947578	145.3281
187.500000	101.886536	145.2813
190.000000	101.837181	144.8971
192.500000	101.798347	144.4641
195.000000	101.763092	144.2004
197.500000	101.700569	143.8906
