* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 21, 2023 6:29:35 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	100.950890	-156.9737
20.600000	100.956627	-157.7597
20.900000	100.954376	-158.4822
21.200001	100.951157	-159.2047
21.400000	100.950180	-159.6888
21.799999	100.951233	-160.6660
22.000000	100.952377	-161.1573
22.400000	100.952728	-162.1313
22.700001	100.948891	-162.8333
23.000000	100.941444	-163.4939
23.299999	100.932068	-164.1054
23.600000	100.923355	-164.6727
24.000000	100.916367	-165.3895
24.299999	100.914536	-165.9226
24.700001	100.912895	-166.6466
25.000000	100.908577	-167.1905
25.400000	100.895752	-167.8849
25.799999	100.876442	-168.5111
26.200001	100.856209	-169.0739
26.500000	100.843460	-169.4838
26.900000	100.830513	-170.0662
27.200001	100.822754	-170.5544
27.600000	100.812927	-171.2765
28.000000	100.803505	-172.0516
28.500000	100.794388	-173.0305
29.000000	100.786171	-173.9556
29.500000	100.768608	-174.7631
30.000000	100.735085	-175.3713
30.400000	100.704788	-175.7018
30.700001	100.688583	-175.9056
31.100000	100.682213	-176.2337
31.500000	100.687119	-176.7648
32.000000	100.677368	-177.7643
32.500000	100.616394	-178.8824
33.000000	100.512459	-179.6510
33.500000	100.420532	-179.8450
34.000000	100.392227	-179.7422
34.500000	100.419022	-179.8388
35.000000	100.445709	179.6245
35.500000	100.434479	178.7852
36.000000	100.390038	177.9111
36.500000	100.332657	177.1801
37.000000	100.273903	176.6906
37.500000	100.224228	176.4855
38.200001	100.195663	176.3355
38.700001	100.182716	175.8434
39.500000	100.044052	174.2941
40.000000	99.891876	173.5728
40.599998	99.788589	173.4386
41.200001	99.847061	173.4232
41.799999	99.945343	172.8816
42.500000	99.930702	172.1108
43.099998	99.848106	171.8944
43.700001	99.793304	171.7342
44.400002	99.744041	171.0953
45.000000	99.679108	170.4826
45.500000	99.628624	170.1638
46.200001	99.583786	169.8662
46.799999	99.547974	169.5598
47.500000	99.495720	169.1353
48.200001	99.438004	168.6800
48.700001	99.391350	168.4262
49.400002	99.335739	168.2454
50.000000	99.303192	168.0046
50.799999	99.228065	167.3829
51.500000	99.159409	167.0632
52.200001	99.191017	166.8951
53.000000	99.249489	166.1576
53.799999	99.132721	165.5683
54.500000	98.986626	165.8164
55.200001	98.928780	165.9415
56.000000	98.890488	165.2952
57.000000	98.801208	164.7108
58.000000	98.759514	164.5815
59.000000	98.646759	164.0161
60.000000	98.498749	163.7957
60.799999	98.488083	163.6979
61.500000	98.494400	163.3238
62.200001	98.452629	163.0115
63.000000	98.393707	162.9356
64.000000	98.336548	162.6950
65.000000	98.253609	162.4183
66.000000	98.185944	162.1635
67.000000	98.107605	161.8930
68.000000	98.051926	161.7803
69.000000	97.988228	161.6158
70.000000	97.916374	161.4962
71.000000	97.844086	161.1766
72.000000	97.771309	160.9977
73.000000	97.731071	160.7738
74.000000	97.659828	160.5219
75.000000	97.590637	160.4912
76.199997	97.503403	160.3632
77.500000	97.400078	160.2487
78.800003	97.344193	160.0740
80.000000	97.223557	160.1665
81.199997	97.194191	160.3960
82.500000	97.069374	159.9379
83.800003	97.026718	160.1541
85.000000	96.950760	159.6503
86.199997	96.890221	160.1698
87.500000	96.864716	160.1896
88.500000	96.873383	160.1738
90.000000	96.878082	160.2819
91.199997	96.847183	160.3294
92.500000	96.753479	159.8150
93.800003	96.730545	159.7608
95.000000	96.681763	159.6631
96.199997	96.587280	159.0208
97.500000	96.506477	159.1377
