* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 21, 2023 6:14:32 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	104.684807	-134.1551
20.600000	104.729843	-134.9464
20.900000	104.767548	-135.6369
21.200001	104.806396	-136.3023
21.400000	104.835075	-136.7402
21.799999	104.899712	-137.6227
22.000000	104.934723	-138.0730
22.400000	105.006058	-138.9903
22.700001	105.056656	-139.6814
23.000000	105.102539	-140.3602
23.299999	105.143242	-141.0148
23.600000	105.179688	-141.6399
24.000000	105.224564	-142.4340
24.299999	105.257263	-143.0140
24.700001	105.300659	-143.7882
25.000000	105.332443	-144.3775
25.400000	105.372375	-145.1718
25.799999	105.408493	-145.9570
26.200001	105.441628	-146.7124
26.500000	105.465874	-147.2542
26.900000	105.498993	-147.9515
27.200001	105.524727	-148.4662
27.600000	105.559021	-149.1554
28.000000	105.591316	-149.8506
28.500000	105.626862	-150.7092
29.000000	105.658524	-151.5272
29.500000	105.688957	-152.2990
30.000000	105.717773	-153.0426
30.400000	105.737862	-153.6249
30.700001	105.750977	-154.0537
31.100000	105.767349	-154.6151
31.500000	105.785049	-155.1757
32.000000	105.810432	-155.9046
32.500000	105.835175	-156.6782
33.000000	105.853027	-157.4524
33.500000	105.864571	-158.1582
34.000000	105.877579	-158.7744
34.500000	105.897003	-159.3507
35.000000	105.918388	-159.9521
35.500000	105.933624	-160.5909
36.000000	105.940353	-161.2323
36.500000	105.942993	-161.8496
37.000000	105.946198	-162.4476
37.500000	105.950775	-163.0372
38.200001	105.958481	-163.8427
38.700001	105.965347	-164.4050
39.500000	105.973984	-165.3110
40.000000	105.973808	-165.8672
40.599998	105.971725	-166.4940
41.200001	105.974861	-167.1054
41.799999	105.979774	-167.7473
42.500000	105.976082	-168.4886
43.099998	105.969070	-169.0519
43.700001	105.966766	-169.5980
44.400002	105.959427	-170.2901
45.000000	105.943237	-170.8403
45.500000	105.935280	-171.2212
46.200001	105.941505	-171.7805
46.799999	105.934868	-172.3848
47.500000	105.892128	-173.0074
48.200001	105.870300	-173.4072
48.700001	105.889053	-173.7765
49.400002	105.904724	-174.5319
50.000000	105.876068	-175.0079
50.799999	105.856850	-175.2320
51.500000	105.864326	-175.8803
52.200001	105.779633	-176.9827
53.000000	105.638321	-177.5047
53.799999	105.680870	-177.5245
54.500000	105.774063	-178.1603
55.200001	105.766014	-178.8834
56.000000	105.717453	-179.1871
57.000000	105.697876	-179.8082
58.000000	105.640282	179.5588
59.000000	105.641724	179.0281
60.000000	105.598343	178.2676
60.799999	105.562988	178.1452
61.500000	105.582947	178.0866
62.200001	105.601692	177.8105
63.000000	105.593704	177.3787
64.000000	105.577957	176.7479
65.000000	105.575943	176.1017
66.000000	105.573013	175.4581
67.000000	105.531960	174.9024
68.000000	105.502144	174.4137
69.000000	105.479683	173.7705
70.000000	105.445358	173.1943
71.000000	105.407089	172.6591
72.000000	105.370155	172.1722
73.000000	105.345833	171.6738
74.000000	105.309937	171.1925
75.000000	105.270462	170.7724
76.199997	105.227928	170.2180
77.500000	105.185188	169.6236
78.800003	105.135567	169.0883
80.000000	105.089722	168.5912
81.199997	105.042030	168.0962
82.500000	104.993210	167.6031
83.800003	104.943840	167.1107
85.000000	104.897339	166.6760
86.199997	104.849739	166.2607
87.500000	104.800385	165.8099
88.500000	104.762207	165.4781
90.000000	104.701950	165.0026
91.199997	104.654854	164.6227
92.500000	104.604210	164.2193
93.800003	104.554985	163.8448
95.000000	104.508064	163.4977
96.199997	104.460320	163.1599
97.500000	104.409348	162.8086
98.800003	104.359451	162.4424
100.000000	104.311035	162.1407
101.500000	104.253387	161.7661
103.000000	104.193146	161.3997
104.400002	104.141296	161.0621
106.000000	104.071663	160.6996
107.500000	104.017471	160.3715
109.000000	103.961243	160.0524
110.599998	103.897209	159.7118
112.000000	103.844955	159.4405
113.800003	103.773544	159.0894
115.000000	103.728851	158.8711
117.199997	103.643723	158.4643
118.000000	103.612671	158.3217
120.599998	103.517120	157.9092
122.000000	103.458611	157.6760
124.099998	103.378403	157.3389
125.000000	103.343948	157.2199
126.500000	103.289581	156.9980
128.000000	103.231628	156.7878
131.500000	103.099472	156.3283
132.000000	103.079819	156.2673
134.000000	103.004326	156.0367
136.000000	102.928177	155.7985
138.000000	102.852020	155.5923
140.000000	102.778114	155.4127
143.000000	102.659187	155.1394
145.000000	102.585716	155.0184
147.500000	102.488388	154.8589
150.000000	102.392082	154.7709
152.500000	102.303963	154.7007
155.000000	102.212967	154.6838
157.500000	102.130997	154.7191
160.000000	102.056961	154.7671
162.500000	101.989265	154.8588
165.000000	101.930824	155.0065
167.500000	101.889984	155.1078
170.000000	101.866165	155.1504
172.500000	101.851837	155.1027
175.000000	101.836166	154.9524
