* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 2, 2025 3:28:29 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	99.010	-146.6591
20.600000	99.044	-147.4772
20.900000	99.068	-148.1983
21.200001	99.089	-148.9077
21.400000	99.103	-149.3822
21.799999	99.133	-150.3428
22.000000	99.149	-150.8283
22.400000	99.181	-151.7994
22.700001	99.205	-152.5149
23.000000	99.230	-153.2094
23.299999	99.253	-153.8774
23.600000	99.277	-154.5178
24.000000	99.306	-155.3352
24.299999	99.328	-155.9312
24.700001	99.354	-156.7213
25.000000	99.372	-157.3208
25.400000	99.391	-158.1332
25.799999	99.403	-158.9470
26.200001	99.410	-159.7356
26.500000	99.414	-160.2973
26.900000	99.421	-161.0063
27.200001	99.430	-161.5184
27.600000	99.445	-162.2007
28.000000	99.461	-162.9020
28.500000	99.477	-163.8047
29.000000	99.485	-164.6973
29.500000	99.489	-165.5466
30.000000	99.497	-166.3580
30.400000	99.504	-166.9964
30.700001	99.510	-167.4725
31.100000	99.516	-168.0974
31.500000	99.518	-168.6987
32.000000	99.518	-169.4111
32.500000	99.517	-170.1015
33.000000	99.515	-170.8055
33.500000	99.509	-171.5331
34.000000	99.499	-172.2581
34.500000	99.488	-172.9483
35.000000	99.482	-173.5964
35.500000	99.481	-174.2203
36.000000	99.482	-174.8397
36.500000	99.477	-175.4562
37.000000	99.466	-176.0578
37.500000	99.450	-176.6383
38.200001	99.428	-177.4381
38.700001	99.418	-178.0240
39.500000	99.403	-178.9877
40.000000	99.389	-179.5744
40.599998	99.368	179.7681
41.200001	99.346	179.1476
41.799999	99.327	178.5235
42.500000	99.307	177.7719
43.099998	99.289	177.1454
43.700001	99.272	176.5672
44.400002	99.251	175.9254
45.000000	99.228	175.3640
45.500000	99.205	174.8885
46.200001	99.174	174.2325
46.799999	99.153	173.6776
47.500000	99.131	173.0356
48.200001	99.105	172.4365
48.700001	99.085	172.0409
49.400002	99.059	171.4832
50.000000	99.035	170.9791
50.799999	98.997	170.3263
51.500000	98.967	169.8017
52.200001	98.940	169.2857
53.000000	98.909	168.6882
53.799999	98.873	168.0742
54.500000	98.834	167.5439
55.200001	98.795	167.0793
56.000000	98.766	166.5762
57.000000	98.731	165.8289
58.000000	98.670	165.1422
59.000000	98.618	164.5489
60.000000	98.579	163.9137
60.799999	98.544	163.4284
61.500000	98.507	163.0532
62.200001	98.470	162.6964
63.000000	98.434	162.2092
64.000000	98.387	161.5181
65.000000	98.344	160.9737
66.000000	98.304	160.4585
67.000000	98.248	159.9146
68.000000	98.197	159.4090
69.000000	98.154	158.8882
70.000000	98.104	158.3871
71.000000	98.053	157.9314
72.000000	98.009	157.4603
73.000000	97.959	156.9691
74.000000	97.910	156.5235
75.000000	97.867	156.0157
76.199997	97.798	155.4926
77.500000	97.745	155.0202
78.800003	97.679	154.4557
80.000000	97.626	154.0153
81.199997	97.567	153.5164
82.500000	97.504	153.0320
83.800003	97.446	152.5598
85.000000	97.390	152.1187
86.199997	97.334	151.6876
87.500000	97.274	151.2353
88.500000	97.228	150.9091
90.000000	97.157	150.4234
91.199997	97.102	150.0402
92.500000	97.045	149.6219
93.800003	96.985	149.2172
95.000000	96.935	148.8935
96.199997	96.882	148.5314
97.500000	96.822	148.1679
98.800003	96.765	147.7977
100.000000	96.714	147.4730
101.500000	96.651	147.0676
103.000000	96.585	146.6714
104.400002	96.524	146.3306
106.000000	96.458	145.9337
107.500000	96.392	145.5824
109.000000	96.327	145.2321
110.599998	96.265	144.8716
112.000000	96.202	144.5396
113.800003	96.129	144.1948
115.000000	96.081	143.9449
117.199997	95.992	143.5161
118.000000	95.960	143.3617
120.599998	95.862	142.8746
122.000000	95.804	142.6625
124.099998	95.722	142.2892
125.000000	95.690	142.1331
126.500000	95.633	141.9101
128.000000	95.577	141.6633
131.500000	95.463	141.1430
132.000000	95.448	141.0616
134.000000	95.384	140.7686
136.000000	95.311	140.4664
138.000000	95.236	140.1625
140.000000	95.166	139.8694
143.000000	95.066	139.5210
145.000000	94.995	139.3140
147.500000	94.905	139.0437
150.000000	94.833	138.8423
152.500000	94.756	138.7155
155.000000	94.686	138.5583
157.500000	94.634	138.4139
160.000000	94.590	138.2760
162.500000	94.560	138.0498
165.000000	94.517	137.7365
167.500000	94.475	137.4158
170.000000	94.418	137.0548
172.500000	94.365	136.7408
175.000000	94.307	136.4046
177.500000	94.242	136.1757
180.000000	94.185	135.7405
182.500000	94.140	135.6488
185.000000	94.087	135.3878
187.500000	94.040	135.1330
190.000000	93.987	134.8627
192.500000	93.939	134.5575
195.000000	93.880	134.3487
197.500000	93.831	134.0411
200.000000	93.771	133.8303
203.000000	93.707	133.5535
206.000000	93.642	133.3264
209.000000	93.581	133.0645
212.000000	93.515	132.8598
214.000000	93.475	132.7029
218.000000	93.393	132.4393
220.000000	93.359	132.3132
224.000000	93.281	132.0640
227.000000	93.220	131.8904
230.000000	93.168	131.7436
233.000000	93.113	131.6066
236.000000	93.059	131.4963
240.000000	93.000	131.4584
243.000000	92.967	131.3282
247.000000	92.922	131.1888
250.000000	92.890	131.0482
254.000000	92.854	130.8240
258.000000	92.817	130.5681
262.000000	92.776	130.2948
265.000000	92.745	130.0907
269.000000	92.699	129.8426
272.000000	92.662	129.6794
276.000000	92.614	129.4620
280.000000	92.570	129.2540
285.000000	92.522	129.0009
290.000000	92.470	128.7697
295.000000	92.419	128.5277
300.000000	92.372	128.3233
304.000000	92.333	128.1884
307.000000	92.309	128.0856
311.000000	92.277	127.9482
315.000000	92.254	127.8188
320.000000	92.221	127.6344
325.000000	92.193	127.4106
330.000000	92.166	127.2141
335.000000	92.136	127.0720
340.000000	92.120	126.9415
345.000000	92.115	126.7722
350.000000	92.120	126.5231
355.000000	92.124	126.1915
360.000000	92.113	125.7883
365.000000	92.099	125.4114
370.000000	92.076	125.0222
375.000000	92.048	124.6549
382.000000	92.009	124.1882
387.000000	91.983	123.8927
395.000000	91.943	123.4490
400.000000	91.919	123.1936
406.000000	91.888	122.8521
412.000000	91.862	122.5443
418.000000	91.833	122.2175
425.000000	91.811	121.8809
431.000000	91.788	121.5729
437.000000	91.765	121.2643
444.000000	91.738	120.9136
450.000000	91.718	120.6223
455.000000	91.703	120.3753
462.000000	91.679	120.0445
468.000000	91.659	119.7319
475.000000	91.634	119.3791
482.000000	91.616	119.0591
487.000000	91.598	118.8208
