* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: 0.343
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 28, 2026 2:29:41 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	102.913	-143.8165
20.299999	102.949	-144.5650
20.600000	102.989	-145.3026
20.900000	103.031	-146.0602
21.200001	103.073	-146.8612
21.400000	103.097	-147.4206
21.799999	103.129	-148.5573
22.000000	103.137	-149.1072
22.400000	103.140	-150.1141
22.700001	103.140	-150.7592
23.000000	103.145	-151.3226
23.299999	103.162	-151.8435
23.600000	103.189	-152.3721
24.000000	103.235	-153.1555
24.299999	103.268	-153.8111
24.700001	103.300	-154.7363
25.000000	103.313	-155.4208
25.400000	103.319	-156.2671
25.799999	103.324	-157.0199
26.200001	103.333	-157.7081
26.500000	103.344	-158.2112
26.900000	103.362	-158.8938
27.200001	103.375	-159.4212
27.600000	103.388	-160.1340
28.000000	103.394	-160.8333
28.500000	103.395	-161.6498
29.000000	103.398	-162.3942
29.500000	103.407	-163.1135
30.000000	103.421	-163.8748
30.400000	103.427	-164.5216
30.700001	103.425	-165.0079
31.100000	103.417	-165.6220
31.500000	103.407	-166.1746
32.000000	103.401	-166.8079
32.500000	103.405	-167.4551
33.000000	103.408	-168.1521
33.500000	103.403	-168.8489
34.000000	103.395	-169.4912
34.500000	103.393	-170.1062
35.000000	103.394	-170.7608
35.500000	103.385	-171.4487
36.000000	103.363	-172.0773
36.500000	103.342	-172.5866
37.000000	103.335	-173.0417
37.500000	103.339	-173.5612
38.200001	103.333	-174.4250
38.700001	103.310	-175.0175
39.500000	103.273	-175.8012
40.000000	103.259	-176.2782
40.599998	103.242	-176.8998
41.200001	103.218	-177.5202
41.799999	103.193	-178.1059
42.500000	103.167	-178.7795
43.099998	103.146	-179.3541
43.700001	103.125	-179.9183
44.400002	103.101	179.4237
45.000000	103.076	178.8941
45.500000	103.057	178.4996
46.200001	103.038	177.9561
46.799999	103.019	177.4555
47.500000	102.986	176.9280
48.200001	102.960	176.4647
48.700001	102.946	176.0586
49.400002	102.900	175.3931
50.000000	102.833	174.9412
50.799999	102.756	174.5954
51.500000	102.718	174.2806
52.200001	102.686	173.8752
53.000000	102.657	173.3848
53.799999	102.642	172.7878
54.500000	102.626	172.1628
55.200001	102.600	171.5233
56.000000	102.560	170.8556
57.000000	102.506	170.1795
58.000000	102.458	169.6480
59.000000	102.420	169.1714
60.000000	102.374	168.6529
60.799999	102.328	168.2900
61.500000	102.294	167.9773
62.200001	102.258	167.6039
63.000000	102.207	167.1767
64.000000	102.148	166.6888
65.000000	102.095	166.1607
66.000000	102.038	165.6558
67.000000	101.983	165.2076
68.000000	101.931	164.7809
69.000000	101.876	164.3875
70.000000	101.820	164.0167
71.000000	101.766	163.6830
72.000000	101.728	163.2525
73.000000	101.656	162.6862
74.000000	101.585	162.4438
75.000000	101.556	161.9977
76.199997	101.456	161.4431
77.500000	101.391	161.1852
78.800003	101.322	160.7511
80.000000	101.260	160.3767
81.199997	101.184	159.9967
82.500000	101.109	159.6348
83.800003	101.036	159.2485
85.000000	100.965	158.9044
86.199997	100.897	158.5950
87.500000	100.825	158.2615
88.500000	100.767	158.0126
90.000000	100.684	157.6756
91.199997	100.612	157.3755
92.500000	100.540	157.1210
93.800003	100.466	156.8156
95.000000	100.399	156.5796
96.199997	100.331	156.3333
97.500000	100.256	156.0866
98.800003	100.183	155.8728
100.000000	100.115	155.6357
101.500000	100.025	155.4281
103.000000	99.944	155.1879
104.400002	99.863	154.9999
106.000000	99.774	154.8076
107.500000	99.694	154.6258
109.000000	99.608	154.4566
110.599998	99.522	154.2763
112.000000	99.440	154.1304
113.800003	99.340	153.9672
115.000000	99.278	153.8979
117.199997	99.159	153.7490
118.000000	99.114	153.6759
120.599998	98.990	153.6337
122.000000	98.896	153.5080
124.099998	98.783	153.4226
125.000000	98.737	153.4165
126.500000	98.664	153.3734
128.000000	98.590	153.3281
131.500000	98.417	153.2943
132.000000	98.392	153.3015
134.000000	98.297	153.3118
136.000000	98.205	153.3102
138.000000	98.102	153.3643
140.000000	98.002	153.4286
143.000000	97.854	153.4766
145.000000	97.768	153.5551
147.500000	97.657	153.7242
150.000000	97.543	153.8338
152.500000	97.428	154.0528
155.000000	97.321	154.2292
157.500000	97.201	154.4207
160.000000	97.104	154.6324
162.500000	96.992	154.9285
165.000000	96.884	155.1832
167.500000	96.780	155.5456
170.000000	96.678	155.9396
172.500000	96.578	156.3411
175.000000	96.487	156.7652
177.500000	96.397	157.2809
180.000000	96.324	157.7687
182.500000	96.260	158.5630
185.000000	96.224	159.2466
187.500000	96.232	159.7267
190.000000	96.238	160.0305
192.500000	96.229	160.2010
195.000000	96.187	160.3092
197.500000	96.142	160.3474
200.000000	96.089	160.4519
203.000000	96.016	160.7137
206.000000	95.951	160.9646
209.000000	95.882	161.2971
212.000000	95.811	161.6656
214.000000	95.771	161.8742
218.000000	95.690	162.3716
220.000000	95.655	162.6896
224.000000	95.582	163.2076
227.000000	95.533	163.6754
230.000000	95.490	164.1055
233.000000	95.454	164.4594
236.000000	95.415	164.9255
240.000000	95.370	165.5481
243.000000	95.340	165.8329
247.000000	95.300	166.3106
250.000000	95.271	166.7162
254.000000	95.246	167.2372
258.000000	95.217	167.7675
262.000000	95.200	168.1504
265.000000	95.184	168.5057
269.000000	95.170	168.8871
272.000000	95.147	169.1479
276.000000	95.122	169.4868
280.000000	95.095	169.8634
285.000000	95.060	170.3035
290.000000	95.029	170.8054
295.000000	94.992	171.2165
300.000000	94.964	171.7595
304.000000	94.939	172.1344
307.000000	94.927	172.4196
311.000000	94.902	172.8134
315.000000	94.886	173.1962
320.000000	94.867	173.6739
325.000000	94.853	174.1590
330.000000	94.847	174.7381
335.000000	94.845	175.1425
340.000000	94.835	175.5612
345.000000	94.836	175.9450
350.000000	94.838	176.3118
