* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: 0.343
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 28, 2026 2:26:55 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	102.465	-148.2938
20.299999	102.476	-148.9688
20.600000	102.492	-149.6040
20.900000	102.513	-150.2209
21.200001	102.537	-150.8353
21.400000	102.553	-151.2475
21.799999	102.587	-152.0764
22.000000	102.604	-152.4915
22.400000	102.637	-153.3213
22.700001	102.662	-153.9488
23.000000	102.687	-154.5897
23.299999	102.710	-155.2513
23.600000	102.729	-155.9340
24.000000	102.744	-156.8586
24.299999	102.747	-157.5372
24.700001	102.742	-158.3849
25.000000	102.735	-158.9652
25.400000	102.728	-159.6723
25.799999	102.727	-160.3357
26.200001	102.730	-160.9880
26.500000	102.733	-161.4771
26.900000	102.739	-162.1240
27.200001	102.743	-162.6019
27.600000	102.751	-163.2364
28.000000	102.761	-163.8857
28.500000	102.771	-164.7394
29.000000	102.770	-165.6154
29.500000	102.755	-166.4509
30.000000	102.735	-167.1988
30.400000	102.720	-167.7377
30.700001	102.712	-168.1210
31.100000	102.705	-168.6224
31.500000	102.702	-169.1291
32.000000	102.701	-169.7858
32.500000	102.698	-170.4701
33.000000	102.689	-171.1611
33.500000	102.676	-171.8296
34.000000	102.662	-172.4655
34.500000	102.648	-173.0837
35.000000	102.633	-173.6905
35.500000	102.615	-174.2622
36.000000	102.599	-174.7800
36.500000	102.591	-175.2758
37.000000	102.589	-175.8110
37.500000	102.582	-176.4003
38.200001	102.553	-177.2050
38.700001	102.528	-177.7064
39.500000	102.493	-178.4687
40.000000	102.469	-178.9554
40.599998	102.433	-179.4929
41.200001	102.405	-179.9866
41.799999	102.381	179.4713
42.500000	102.342	178.7962
43.099998	102.303	178.3031
43.700001	102.278	177.8389
44.400002	102.248	177.1901
45.000000	102.205	176.6892
45.500000	102.174	176.4214
46.200001	102.172	176.0597
46.799999	102.178	175.5145
47.500000	102.142	174.8109
48.200001	102.089	174.3596
48.700001	102.064	174.1006
49.400002	102.030	173.6732
50.000000	101.993	173.3227
50.799999	101.942	172.8163
51.500000	101.862	172.3536
52.200001	101.772	172.3344
53.000000	101.795	172.4774
53.799999	101.865	171.5250
54.500000	101.792	170.3369
55.200001	101.661	169.8645
56.000000	101.611	169.7651
57.000000	101.596	169.0393
58.000000	101.517	168.3793
59.000000	101.461	168.0424
60.000000	101.428	167.6122
60.799999	101.385	167.1839
61.500000	101.336	166.8752
62.200001	101.291	166.6120
63.000000	101.242	166.2760
64.000000	101.179	165.8629
65.000000	101.123	165.4099
66.000000	101.060	164.9716
67.000000	101.010	164.5871
68.000000	100.954	164.1354
69.000000	100.889	163.8286
70.000000	100.840	163.5343
71.000000	100.782	163.2195
72.000000	100.727	162.9126
73.000000	100.665	162.5828
74.000000	100.610	162.2794
75.000000	100.547	161.8818
76.199997	100.467	161.5674
77.500000	100.390	161.1335
78.800003	100.303	160.9185
80.000000	100.254	160.6161
81.199997	100.182	160.2226
82.500000	100.094	159.8913
83.800003	100.022	159.6277
85.000000	99.952	159.2942
86.199997	99.879	159.0728
87.500000	99.807	158.8217
88.500000	99.751	158.6605
90.000000	99.667	158.4227
91.199997	99.602	158.2400
92.500000	99.522	158.0131
93.800003	99.444	157.8685
95.000000	99.381	157.7067
96.199997	99.318	157.5024
97.500000	99.239	157.3101
98.800003	99.174	157.1859
100.000000	99.108	156.9937
101.500000	99.018	156.8777
103.000000	98.936	156.7825
104.400002	98.857	156.6411
106.000000	98.770	156.5213
107.500000	98.686	156.4306
109.000000	98.610	156.3188
110.599998	98.526	156.2853
112.000000	98.456	156.2614
113.800003	98.358	156.1682
115.000000	98.298	156.1628
117.199997	98.179	156.0836
118.000000	98.143	156.1533
120.599998	98.016	155.9031
122.000000	97.958	156.0789
124.099998	97.852	156.1271
125.000000	97.810	156.1479
126.500000	97.738	156.1837
128.000000	97.669	156.2035
131.500000	97.503	156.3364
132.000000	97.475	156.3616
134.000000	97.376	156.4426
136.000000	97.284	156.6135
138.000000	97.199	156.7913
140.000000	97.106	157.0034
143.000000	96.995	157.3317
145.000000	96.918	157.6215
147.500000	96.822	157.9179
150.000000	96.750	158.1801
152.500000	96.666	158.4651
155.000000	96.597	158.6841
157.500000	96.511	158.9457
160.000000	96.427	159.2040
162.500000	96.359	159.5056
165.000000	96.276	159.8214
167.500000	96.203	160.1225
170.000000	96.125	160.5391
172.500000	96.055	161.0040
175.000000	95.986	161.3187
177.500000	95.943	161.7417
180.000000	95.873	162.2688
182.500000	95.846	162.6414
185.000000	95.806	163.0302
187.500000	95.774	163.2707
190.000000	95.752	163.7319
192.500000	95.730	164.2608
195.000000	95.691	164.6015
197.500000	95.685	164.6973
200.000000	95.670	165.0402
203.000000	95.635	165.2812
206.000000	95.604	165.5197
209.000000	95.563	165.8192
212.000000	95.525	166.0446
214.000000	95.504	166.2456
218.000000	95.445	166.5826
220.000000	95.428	166.8878
224.000000	95.383	167.2153
227.000000	95.365	167.6251
230.000000	95.329	167.8804
233.000000	95.282	168.2710
236.000000	95.273	168.5305
240.000000	95.206	169.1024
243.000000	95.207	169.3287
247.000000	95.185	169.7643
250.000000	95.167	170.0215
254.000000	95.132	170.4290
258.000000	95.119	170.8615
262.000000	95.112	171.1574
265.000000	95.094	171.5268
269.000000	95.085	171.8181
272.000000	95.078	172.0435
276.000000	95.069	172.3092
280.000000	95.046	172.5836
285.000000	95.053	172.9690
290.000000	95.014	173.3300
295.000000	94.996	173.6755
300.000000	94.982	174.0514
304.000000	94.964	174.3083
307.000000	94.948	174.5504
311.000000	94.932	174.8019
315.000000	94.929	175.0444
320.000000	94.910	175.3911
325.000000	94.897	175.7429
330.000000	94.891	175.9569
335.000000	94.874	176.3359
340.000000	94.859	176.6917
345.000000	94.854	177.0018
350.000000	94.843	177.3051
355.000000	94.838	177.5602
360.000000	94.821	177.8320
365.000000	94.823	178.1107
370.000000	94.814	178.3777
375.000000	94.803	178.5917
382.000000	94.795	178.9974
387.000000	94.781	179.2060
395.000000	94.767	179.6344
400.000000	94.759	179.8355
406.000000	94.744	-179.8730
412.000000	94.733	-179.6432
418.000000	94.725	-179.3379
425.000000	94.707	-179.0336
431.000000	94.695	-178.8008
437.000000	94.681	-178.5015
444.000000	94.664	-178.2025
450.000000	94.648	-177.9286
455.000000	94.635	-177.7468
462.000000	94.614	-177.3911
468.000000	94.603	-177.1182
475.000000	94.583	-176.8210
482.000000	94.563	-176.5181
487.000000	94.551	-176.2924
494.000000	94.531	-175.9843
500.000000	94.514	-175.6845
508.000000	94.496	-175.3697
515.000000	94.483	-174.9828
522.000000	94.459	-174.6500
530.000000	94.436	-174.2635
538.000000	94.417	-173.9065
545.000000	94.403	-173.5085
552.000000	94.387	-173.2258
560.000000	94.362	-172.8281
570.000000	94.338	-172.3122
580.000000	94.314	-171.8046
590.000000	94.289	-171.3195
600.000000	94.270	-170.7314
608.000000	94.246	-170.3556
615.000000	94.229	-169.9996
622.000000	94.216	-169.6098
630.000000	94.194	-169.1881
640.000000	94.173	-168.6241
650.000000	94.154	-168.0488
660.000000	94.132	-167.4147
670.000000	94.116	-166.9048
680.000000	94.096	-166.2666
690.000000	94.078	-165.6328
700.000000	94.070	-164.9990
710.000000	94.063	-164.3881
720.000000	94.038	-163.7149
730.000000	94.035	-163.0770
740.000000	94.039	-162.4065
750.000000	94.031	-161.8123
762.000000	94.034	-161.0095
775.000000	94.032	-160.1068
788.000000	94.046	-159.1888
800.000000	94.053	-158.3712
812.000000	94.068	-157.5281
825.000000	94.090	-156.6675
838.000000	94.103	-155.6992
850.000000	94.133	-154.8750
862.000000	94.156	-154.0092
875.000000	94.195	-153.0992
885.000000	94.221	-152.3780
900.000000	94.274	-151.3546
912.000000	94.332	-150.4130
925.000000	94.395	-149.4768
938.000000	94.450	-148.5954
950.000000	94.522	-147.7889
962.000000	94.589	-146.9503
975.000000	94.672	-146.0739
988.000000	94.765	-145.2604
1000.000000	94.853	-144.5097
1015.000000	94.966	-143.6530
1030.000000	95.086	-142.8138
1044.000000	95.195	-142.1558
1060.000000	95.335	-141.3639
1075.000000	95.465	-140.6752
1090.000000	95.594	-140.0739
1106.000000	95.732	-139.4963
1120.000000	95.854	-139.0060
1138.000000	96.013	-138.4508
1150.000000	96.120	-138.1575
1172.000000	96.307	-137.6291
1180.000000	96.374	-137.4774
1206.000000	96.582	-136.9958
1220.000000	96.687	-136.8021
1241.000000	96.844	-136.5397
1250.000000	96.913	-136.4251
1265.000000	97.019	-136.2605
1280.000000	97.118	-136.1440
1315.000000	97.340	-135.8794
