* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 27, 2025 4:42:40 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	99.946	-142.0218
20.600000	99.996	-142.7865
20.900000	100.035	-143.4979
21.200001	100.066	-144.2185
21.400000	100.084	-144.7002
21.799999	100.116	-145.6561
22.000000	100.132	-146.1294
22.400000	100.168	-147.0763
22.700001	100.198	-147.8005
23.000000	100.228	-148.5423
23.299999	100.254	-149.2935
23.600000	100.273	-150.0329
24.000000	100.287	-150.9500
24.299999	100.293	-151.5603
24.700001	100.304	-152.2717
25.000000	100.320	-152.7636
25.400000	100.352	-153.4341
25.799999	100.391	-154.1859
26.200001	100.423	-155.0248
26.500000	100.438	-155.6774
26.900000	100.444	-156.5118
27.200001	100.442	-157.0766
27.600000	100.441	-157.7396
28.000000	100.446	-158.3379
28.500000	100.466	-159.0933
29.000000	100.489	-159.9301
29.500000	100.504	-160.8246
30.000000	100.508	-161.6943
30.400000	100.509	-162.3371
30.700001	100.510	-162.7883
31.100000	100.513	-163.3633
31.500000	100.517	-163.9266
32.000000	100.518	-164.6333
32.500000	100.515	-165.3486
33.000000	100.507	-166.0666
33.500000	100.496	-166.7745
34.000000	100.488	-167.4577
34.500000	100.486	-168.1152
35.000000	100.487	-168.7641
35.500000	100.488	-169.4194
36.000000	100.482	-170.0704
36.500000	100.466	-170.6869
37.000000	100.446	-171.2479
37.500000	100.430	-171.7601
38.200001	100.419	-172.4561
38.700001	100.419	-172.9897
39.500000	100.411	-173.9557
40.000000	100.390	-174.5828
40.599998	100.352	-175.2487
41.200001	100.317	-175.7773
