* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 27, 2025 4:43:36 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	99.545	-141.2646
20.600000	99.581	-142.0093
20.900000	99.616	-142.6649
21.200001	99.655	-143.3277
21.400000	99.683	-143.7877
21.799999	99.740	-144.7564
22.000000	99.766	-145.2579
22.400000	99.811	-146.2648
22.700001	99.838	-146.9950
23.000000	99.861	-147.6922
23.299999	99.881	-148.3593
23.600000	99.900	-149.0079
24.000000	99.926	-149.8643
24.299999	99.944	-150.5036
24.700001	99.966	-151.3412
25.000000	99.982	-151.9477
25.400000	100.006	-152.7249
25.799999	100.032	-153.4828
26.200001	100.057	-154.2447
26.500000	100.073	-154.8231
26.900000	100.088	-155.5889
27.200001	100.095	-156.1443
27.600000	100.102	-156.8444
28.000000	100.112	-157.5047
28.500000	100.133	-158.3152
29.000000	100.157	-159.1506
29.500000	100.172	-159.9991
30.000000	100.175	-160.8100
30.400000	100.174	-161.4155
30.700001	100.173	-161.8537
31.100000	100.175	-162.4395
31.500000	100.180	-163.0475
32.000000	100.186	-163.8344
32.500000	100.187	-164.6068
33.000000	100.185	-165.3183
33.500000	100.184	-165.9698
34.000000	100.184	-166.6016
34.500000	100.182	-167.2463
35.000000	100.175	-167.9005
35.500000	100.165	-168.5410
36.000000	100.155	-169.1571
36.500000	100.148	-169.7609
37.000000	100.142	-170.3695
37.500000	100.134	-170.9832
38.200001	100.114	-171.8127
38.700001	100.099	-172.3641
39.500000	100.081	-173.2175
40.000000	100.071	-173.7732
40.599998	100.051	-174.4513
41.200001	100.025	-175.0791
41.799999	100.002	-175.6383
42.500000	99.988	-176.2905
43.099998	99.973	-176.8963
43.700001	99.946	-177.4837
44.400002	99.911	-178.0809
45.000000	99.890	-178.5846
45.500000	99.873	-179.0476
46.200001	99.840	-179.7123
46.799999	99.809	179.7747
47.500000	99.779	179.2098
48.200001	99.750	178.6172
48.700001	99.724	178.2080
49.400002	99.688	177.6896
50.000000	99.662	177.2416
50.799999	99.620	176.6096
51.500000	99.576	176.1202
52.200001	99.542	175.6878
53.000000	99.507	175.1569
53.799999	99.463	174.6109
54.500000	99.422	174.1496
55.200001	99.381	173.6976
56.000000	99.337	173.2146
57.000000	99.282	172.6084
58.000000	99.217	172.0418
59.000000	99.179	171.3973
60.000000	99.118	170.6674
60.799999	99.054	170.3907
61.500000	99.019	170.2029
62.200001	98.982	169.8605
63.000000	98.925	169.4257
64.000000	98.864	168.9613
65.000000	98.806	168.4980
66.000000	98.742	168.0954
67.000000	98.683	167.6660
68.000000	98.619	167.2711
69.000000	98.558	166.8962
70.000000	98.493	166.4831
71.000000	98.429	166.1577
72.000000	98.373	165.8436
73.000000	98.302	165.4893
74.000000	98.234	165.1760
75.000000	98.176	164.8557
76.199997	98.102	164.5313
77.500000	98.019	164.1909
78.800003	97.937	163.8606
80.000000	97.864	163.5860
81.199997	97.785	163.2963
82.500000	97.713	163.0568
83.800003	97.634	162.7129
85.000000	97.555	162.5262
86.199997	97.485	162.3177
87.500000	97.407	162.1390
88.500000	97.343	161.9688
90.000000	97.255	161.7571
91.199997	97.187	161.6280
92.500000	97.115	161.5223
93.800003	97.033	161.3596
95.000000	96.965	161.2334
96.199997	96.898	161.1196
97.500000	96.825	161.0591
98.800003	96.755	160.9683
100.000000	96.684	160.8854
101.500000	96.605	160.8373
103.000000	96.523	160.7692
104.400002	96.455	160.7286
106.000000	96.367	160.7083
107.500000	96.294	160.7082
109.000000	96.216	160.7417
110.599998	96.134	160.7386
112.000000	96.071	160.7359
113.800003	95.985	160.8307
115.000000	95.924	160.8090
117.199997	95.824	160.9422
118.000000	95.781	161.0546
120.599998	95.638	161.0193
122.000000	95.622	161.2607
124.099998	95.517	161.4543
125.000000	95.478	161.5349
126.500000	95.421	161.7144
128.000000	95.351	161.8453
131.500000	95.224	162.3687
132.000000	95.205	162.4113
134.000000	95.142	162.6863
136.000000	95.083	163.0089
138.000000	95.034	163.3530
140.000000	94.973	163.6164
143.000000	94.929	164.0533
145.000000	94.882	164.2851
147.500000	94.844	164.6297
150.000000	94.805	164.8070
152.500000	94.758	165.1276
155.000000	94.714	165.4315
157.500000	94.675	165.6333
160.000000	94.416	165.4504
162.500000	94.626	165.9009
165.000000	94.551	166.2694
167.500000	94.525	166.6110
170.000000	94.494	166.8636
172.500000	94.458	167.1233
175.000000	94.427	167.3904
177.500000	94.396	167.6162
180.000000	94.382	167.8756
182.500000	94.342	168.1518
185.000000	94.321	168.4486
187.500000	94.302	168.7129
190.000000	94.286	168.9674
192.500000	94.274	169.2275
195.000000	94.260	169.4481
197.500000	94.260	169.6348
200.000000	94.243	169.8401
203.000000	94.236	170.0501
206.000000	94.224	170.2190
209.000000	94.207	170.4012
212.000000	94.193	170.5651
214.000000	94.184	170.6956
218.000000	94.166	170.9146
220.000000	94.155	171.0316
224.000000	94.137	171.2380
227.000000	94.123	171.4308
230.000000	94.111	171.5991
233.000000	94.096	171.7676
236.000000	94.085	171.9217
240.000000	94.084	172.1015
243.000000	94.060	172.2911
247.000000	94.045	172.5052
250.000000	94.040	172.6404
254.000000	94.027	172.8314
258.000000	94.016	173.0285
262.000000	94.004	173.1798
265.000000	93.999	173.3204
269.000000	93.986	173.4640
272.000000	93.975	173.5641
276.000000	93.966	173.7475
280.000000	93.953	173.9095
285.000000	93.936	174.0820
290.000000	93.923	174.2686
295.000000	93.908	174.4457
300.000000	93.892	174.5425
304.000000	93.887	174.7717
307.000000	93.878	174.8786
311.000000	93.867	174.9919
315.000000	93.856	175.1498
320.000000	93.843	175.3815
325.000000	93.837	175.4949
330.000000	93.827	175.6545
335.000000	93.816	175.7939
340.000000	93.811	175.9230
345.000000	93.801	176.0681
350.000000	93.794	176.1703
355.000000	93.786	176.2812
360.000000	93.773	176.3862
365.000000	93.760	176.4791
370.000000	93.746	176.5454
375.000000	93.733	176.6593
382.000000	93.709	176.7634
387.000000	93.694	176.8743
395.000000	93.665	177.0186
400.000000	93.648	177.1532
406.000000	93.620	177.2697
412.000000	93.601	177.3801
418.000000	93.574	177.4971
425.000000	93.546	177.6671
431.000000	93.520	177.8073
437.000000	93.493	177.9366
444.000000	93.466	178.1309
450.000000	93.440	178.2904
455.000000	93.421	178.4136
462.000000	93.389	178.5759
468.000000	93.362	178.7505
475.000000	93.334	178.9606
482.000000	93.301	179.1581
487.000000	93.279	179.3141
494.000000	93.251	179.5085
500.000000	93.224	179.6987
508.000000	93.187	179.9396
515.000000	93.155	-179.8260
522.000000	93.122	-179.6022
530.000000	93.087	-179.3110
538.000000	93.051	-179.0023
545.000000	93.022	-178.7698
552.000000	92.991	-178.5127
560.000000	92.957	-178.2117
570.000000	92.913	-177.7983
580.000000	92.875	-177.3675
590.000000	92.834	-176.9560
600.000000	92.802	-176.5201
608.000000	92.769	-176.1457
615.000000	92.752	-175.8239
622.000000	92.730	-175.5163
630.000000	92.702	-175.1432
640.000000	92.673	-174.6925
650.000000	92.644	-174.2526
660.000000	92.611	-173.8854
670.000000	92.582	-173.3716
680.000000	92.552	-172.9053
690.000000	92.516	-172.3788
700.000000	92.490	-171.9029
710.000000	92.465	-171.3692
720.000000	92.437	-170.8433
730.000000	92.418	-170.3277
740.000000	92.396	-169.7617
750.000000	92.368	-169.2558
762.000000	92.344	-168.5919
775.000000	92.313	-167.8756
788.000000	92.287	-167.0602
800.000000	92.270	-166.2878
812.000000	92.258	-165.5145
825.000000	92.246	-164.6528
838.000000	92.241	-163.7742
850.000000	92.248	-162.9339
862.000000	92.256	-162.1188
875.000000	92.273	-161.2287
885.000000	92.288	-160.5318
900.000000	92.334	-159.5663
912.000000	92.355	-158.6693
925.000000	92.397	-157.8114
938.000000	92.446	-156.9632
950.000000	92.495	-156.1689
962.000000	92.549	-155.4124
975.000000	92.611	-154.6380
988.000000	92.684	-153.8471
1000.000000	92.754	-153.1658
1015.000000	92.840	-152.3597
1030.000000	92.933	-151.5964
1044.000000	93.030	-150.9214
1060.000000	93.136	-150.1971
1075.000000	93.243	-149.5531
1090.000000	93.354	-149.0175
1106.000000	93.472	-148.4694
1120.000000	93.575	-148.0209
1138.000000	93.705	-147.5591
1150.000000	93.794	-147.2734
1172.000000	93.944	-146.8212
1180.000000	94.003	-146.7006
1206.000000	94.170	-146.2941
1220.000000	94.254	-146.1245
1241.000000	94.378	-145.9212
1250.000000	94.429	-145.8566
1265.000000	94.510	-145.7286
1280.000000	94.581	-145.6339
1315.000000	94.743	-145.4353
1320.000000	94.762	-145.3964
1340.000000	94.845	-145.3124
1360.000000	94.918	-145.1963
1380.000000	94.985	-145.1065
1400.000000	95.048	-144.9561
1430.000000	95.137	-144.7249
1450.000000	95.193	-144.5607
1475.000000	95.260	-144.3372
1500.000000	95.326	-144.1551
1525.000000	95.386	-143.8231
1550.000000	95.448	-143.5381
1575.000000	95.509	-143.2222
1600.000000	95.570	-142.9077
1625.000000	95.629	-142.5510
1650.000000	95.688	-142.1716
1675.000000	95.754	-141.7746
1700.000000	95.827	-141.3905
1725.000000	95.895	-140.9999
1750.000000	95.969	-140.5474
1775.000000	96.044	-140.1517
1800.000000	96.122	-139.7255
1825.000000	96.204	-139.2954
1850.000000	96.292	-138.8759
1875.000000	96.383	-138.4699
1900.000000	96.474	-138.0714
1925.000000	96.573	-137.6885
1950.000000	96.672	-137.3210
1975.000000	96.771	-136.9295
2000.000000	96.878	-136.5809
2030.000000	97.011	-136.1603
2060.000000	97.147	-135.7699
2090.000000	97.288	-135.4213
2120.000000	97.436	-135.1039
2140.000000	97.534	-134.9058
2180.000000	97.739	-134.5729
2200.000000	97.845	-134.4274
2240.000000	98.058	-134.2331
2270.000000	98.225	-134.1271
2300.000000	98.392	-134.0736
2330.000000	98.558	-134.0904
2360.000000	98.729	-134.1529
2400.000000	98.958	-134.3313
2430.000000	99.131	-134.5444
2470.000000	99.359	-134.9240
2500.000000	99.528	-135.2958
2540.000000	99.749	-135.8745
2580.000000	99.964	-136.6180
2620.000000	100.170	-137.4626
2650.000000	100.314	-138.1829
2690.000000	100.496	-139.2271
2720.000000	100.622	-140.0889
2760.000000	100.775	-141.3144
2800.000000	100.907	-142.6297
2850.000000	101.039	-144.3654
2900.000000	101.134	-146.1654
2950.000000	101.191	-147.9620
3000.000000	101.213	-149.7644
3040.000000	101.203	-151.1202
3070.000000	101.186	-152.1139
3110.000000	101.144	-153.3878
3150.000000	101.087	-154.5620
3200.000000	101.003	-155.9317
3250.000000	100.900	-157.1963
3300.000000	100.779	-158.3120
3350.000000	100.649	-159.2788
3400.000000	100.511	-160.0993
3450.000000	100.369	-160.7386
3500.000000	100.230	-161.2484
3550.000000	100.098	-161.6036
3600.000000	99.979	-161.8723
3650.000000	99.869	-162.0797
3700.000000	99.764	-162.2598
3750.000000	99.667	-162.4143
3820.000000	99.533	-162.5578
3870.000000	99.438	-162.5870
3950.000000	99.307	-162.5536
4000.000000	99.227	-162.5064
4060.000000	99.146	-162.3873
4120.000000	99.069	-162.2680
4180.000000	99.004	-162.1384
4250.000000	98.935	-161.9515
4310.000000	98.884	-161.7906
4370.000000	98.842	-161.6134
4440.000000	98.803	-161.3911
4500.000000	98.785	-161.2189
4550.000000	98.777	-161.0920
4620.000000	98.784	-160.9783
4680.000000	98.798	-160.9601
4750.000000	98.825	-161.0829
4820.000000	98.861	-161.3073
4870.000000	98.888	-161.5745
4940.000000	98.925	-162.1163
5000.000000	98.953	-162.7428
5080.000000	98.970	-163.7661
5150.000000	98.966	-164.8539
5220.000000	98.929	-166.0575
5300.000000	98.850	-167.5914
5380.000000	98.719	-169.1782
5450.000000	98.563	-170.5594
5520.000000	98.365	-171.8633
5600.000000	98.096	-173.1782
5700.000000	97.703	-174.5044
5800.000000	97.270	-175.3153
5900.000000	96.815	-175.6373
6000.000000	96.361	-175.4536
6080.000000	96.012	-174.9327
6150.000000	95.728	-174.2914
6220.000000	95.455	-173.4707
6300.000000	95.174	-172.3162
6400.000000	94.863	-170.6281
6500.000000	94.615	-168.7935
6600.000000	94.421	-166.7548
6700.000000	94.291	-164.6209
6800.000000	94.214	-162.4983
6900.000000	94.216	-160.2996
7000.000000	94.285	-158.2248
