* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Oct 5, 2024 10:24:02 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	101.531815	-159.6071
20.600000	101.538330	-160.3556
20.900000	101.538666	-161.0380
21.200001	101.537056	-161.7263
21.400000	101.535248	-162.1907
21.799999	101.529305	-163.1198
22.000000	101.525101	-163.5755
22.400000	101.515106	-164.4501
22.700001	101.507896	-165.0650
23.000000	101.502251	-165.6503
23.299999	101.498405	-166.2193
23.600000	101.495277	-166.7870
24.000000	101.488739	-167.5556
24.299999	101.479897	-168.1362
24.700001	101.462318	-168.8961
25.000000	101.446732	-169.4435
25.400000	101.426437	-170.1415
25.799999	101.409271	-170.8211
26.200001	101.393997	-171.5022
26.500000	101.381630	-172.0157
26.900000	101.361938	-172.6882
27.200001	101.344986	-173.1705
27.600000	101.322090	-173.7748
28.000000	101.301720	-174.3438
28.500000	101.280670	-175.0402
29.000000	101.259567	-175.7468
29.500000	101.233261	-176.4518
30.000000	101.201820	-177.1269
30.400000	101.175629	-177.6409
30.700001	101.156548	-178.0169
31.100000	101.132042	-178.5144
31.500000	101.107697	-179.0119
32.000000	101.075836	-179.6273
32.500000	101.041870	179.7789
33.000000	101.006912	179.2149
33.500000	100.972244	178.6750
34.000000	100.938034	178.1453
34.500000	100.903313	177.6176
35.000000	100.867256	177.0965
35.500000	100.830421	176.5926
36.000000	100.794365	176.1089
36.500000	100.759567	175.6373
37.000000	100.724602	175.1694
37.500000	100.687813	174.7077
38.200001	100.633896	174.0857
38.700001	100.595467	173.6592
39.500000	100.535004	173.0006
40.000000	100.497688	172.6069
40.599998	100.453712	172.1493
41.200001	100.409225	171.6964
41.799999	100.362350	171.2521
42.500000	100.307022	170.7610
43.099998	100.262390	170.3506
43.700001	100.218269	169.9338
44.400002	100.163567	169.4652
45.000000	100.116684	169.1005
45.500000	100.079689	168.8073
46.200001	100.027710	168.3875
46.799999	99.979332	168.0349
47.500000	99.922401	167.6595
48.200001	99.870773	167.2903
48.700001	99.835037	167.0080
49.400002	99.781235	166.6174
50.000000	99.733704	166.3326
50.799999	99.676109	166.0038
51.500000	99.625381	165.6857
52.200001	99.564400	165.3499
53.000000	99.493118	165.0243
53.799999	99.438484	164.7231
54.500000	99.397598	164.4236
55.200001	99.350563	164.1132
56.000000	99.287193	163.7967
57.000000	99.213257	163.4850
58.000000	99.153000	163.1445
59.000000	99.068016	162.8424
60.000000	98.989937	162.6891
60.799999	98.948090	162.3976
61.500000	98.900848	162.0480
62.200001	98.843224	161.7979
63.000000	98.784470	161.6539
64.000000	98.728081	161.4546
65.000000	98.665962	161.1284
66.000000	98.586662	160.9091
67.000000	98.524147	160.7996
68.000000	98.468575	160.5278
69.000000	98.396072	160.2529
70.000000	98.324646	160.1259
71.000000	98.266701	160.0209
72.000000	98.211632	159.8118
73.000000	98.147591	159.6095
74.000000	98.085594	159.4706
75.000000	98.023743	159.3326
76.199997	97.951660	159.1949
77.500000	97.873764	159.0240
78.800003	97.796463	158.8780
80.000000	97.726303	158.7574
81.199997	97.657249	158.6855
82.500000	97.588043	158.5194
83.800003	97.512840	158.4196
85.000000	97.452225	158.3510
86.199997	97.387619	158.2731
87.500000	97.322289	158.1907
88.500000	97.268166	158.1302
90.000000	97.189240	158.0542
91.199997	97.129852	158.0358
92.500000	97.067787	157.9678
93.800003	97.003014	157.9272
95.000000	96.944633	157.8970
96.199997	96.890541	157.9108
97.500000	96.833199	157.8692
98.800003	96.776459	157.8837
100.000000	96.719696	157.8376
101.500000	96.649673	157.8793
103.000000	96.573502	157.8170
104.400002	96.518394	157.8632
106.000000	96.444023	157.8174
107.500000	96.387390	157.8275
109.000000	96.327042	157.9016
110.599998	96.258713	157.8801
112.000000	96.210236	158.0021
113.800003	96.130325	158.0744
115.000000	96.085129	158.0448
117.199997	95.998032	158.1455
118.000000	95.960480	158.1932
120.599998	95.872025	158.0392
122.000000	95.836624	158.4109
124.099998	95.745667	158.5271
125.000000	95.716087	158.5305
126.500000	95.658073	158.5504
128.000000	95.613350	158.6284
131.500000	95.496208	158.9000
132.000000	95.479263	158.9352
134.000000	95.418442	159.0123
136.000000	95.357468	159.1886
138.000000	95.295280	159.3015
140.000000	95.234856	159.4598
143.000000	95.148811	159.6687
145.000000	95.091324	159.8187
147.500000	95.016708	159.9954
150.000000	94.950066	160.2055
152.500000	94.879021	160.4214
155.000000	94.813675	160.6340
157.500000	94.746368	160.8866
160.000000	94.689400	161.1223
162.500000	94.613464	161.3833
165.000000	94.572144	161.7355
167.500000	94.517830	161.9981
170.000000	94.470764	162.2906
172.500000	94.435043	162.5045
175.000000	94.391655	162.6795
177.500000	94.349083	162.7832
180.000000	94.374771	163.6510
182.500000	94.223953	163.3320
185.000000	94.189728	163.5497
187.500000	94.138420	163.7723
190.000000	94.086395	164.0418
192.500000	94.038986	164.3696
195.000000	94.002281	164.6622
197.500000	93.958168	164.9772
200.000000	93.928223	165.3898
203.000000	93.896019	165.7169
206.000000	93.867966	166.1071
209.000000	93.846382	166.4439
212.000000	93.830559	166.7490
214.000000	93.818756	166.9487
218.000000	93.805351	167.2766
220.000000	93.802940	167.3946
224.000000	93.776344	167.6007
227.000000	93.751358	167.7418
230.000000	93.726196	167.8606
233.000000	93.695755	167.9712
236.000000	93.659660	168.1121
240.000000	93.563896	168.4131
243.000000	93.574715	168.5349
247.000000	93.522484	168.7755
250.000000	93.488770	169.0065
254.000000	93.441940	169.2872
258.000000	93.399673	169.5756
262.000000	93.357239	169.8705
265.000000	93.324898	170.1154
269.000000	93.285980	170.4168
272.000000	93.255035	170.6545
276.000000	93.219299	170.9673
280.000000	93.184570	171.2849
285.000000	93.142021	171.6704
290.000000	93.098099	172.0874
295.000000	93.053955	172.4833
300.000000	93.013138	172.9115
304.000000	92.986580	173.2364
307.000000	92.964737	173.4826
311.000000	92.936760	173.8485
315.000000	92.913376	174.2166
320.000000	92.889030	174.6550
325.000000	92.875160	175.0629
330.000000	92.858849	175.4238
335.000000	92.836929	175.7207
340.000000	92.811569	176.0220
345.000000	92.786201	176.3524
350.000000	92.756920	176.6967
355.000000	92.734055	177.0328
360.000000	92.706070	177.3286
365.000000	92.679703	177.7330
370.000000	92.656250	178.0908
375.000000	92.634003	178.4680
382.000000	92.601357	178.9731
387.000000	92.580521	179.3307
395.000000	92.548836	179.9171
400.000000	92.528015	-179.7155
406.000000	92.506538	-179.2874
412.000000	92.484711	-178.8579
418.000000	92.466568	-178.3793
425.000000	92.449730	-177.8929
431.000000	92.436745	-177.4558
437.000000	92.426155	-177.0479
444.000000	92.412338	-176.5928
450.000000	92.402534	-176.2133
455.000000	92.391266	-175.8877
462.000000	92.378029	-175.4578
468.000000	92.363274	-175.0496
475.000000	92.348717	-174.6119
482.000000	92.335121	-174.1581
487.000000	92.322464	-173.8406
494.000000	92.308327	-173.4031
500.000000	92.298241	-173.0103
508.000000	92.284065	-172.4862
515.000000	92.269577	-172.0175
522.000000	92.260040	-171.5623
530.000000	92.246788	-171.0480
538.000000	92.233620	-170.5291
545.000000	92.225502	-170.0639
552.000000	92.218353	-169.5889
560.000000	92.210922	-169.0999
570.000000	92.200203	-168.4181
580.000000	92.191795	-167.7887
590.000000	92.181412	-167.1297
600.000000	92.187851	-166.5330
608.000000	92.175514	-165.9646
615.000000	92.172829	-165.4858
622.000000	92.166122	-165.0342
630.000000	92.169151	-164.5266
640.000000	92.167618	-163.8690
650.000000	92.170708	-163.1923
660.000000	92.170776	-162.5285
670.000000	92.174004	-161.8883
680.000000	92.179726	-161.2124
690.000000	92.182365	-160.5394
700.000000	92.191063	-159.8560
710.000000	92.202362	-159.1939
720.000000	92.207207	-158.4926
730.000000	92.224091	-157.8653
740.000000	92.240807	-157.1827
750.000000	92.253105	-156.5175
762.000000	92.276123	-155.7109
775.000000	92.297989	-154.8194
788.000000	92.326958	-153.9447
800.000000	92.362083	-153.1046
812.000000	92.396812	-152.2833
825.000000	92.434799	-151.4238
838.000000	92.474060	-150.5371
850.000000	92.520180	-149.7246
862.000000	92.565308	-148.9136
875.000000	92.621590	-148.0427
885.000000	92.664406	-147.3687
900.000000	92.744278	-146.4289
912.000000	92.799423	-145.6057
925.000000	92.869537	-144.7631
938.000000	92.945488	-143.9598
950.000000	93.019745	-143.1919
962.000000	93.095703	-142.4725
975.000000	93.181984	-141.7160
988.000000	93.269714	-140.9790
1000.000000	93.356010	-140.3225
1015.000000	93.466553	-139.5426
1030.000000	93.587288	-138.7910
1044.000000	93.695229	-138.1238
1060.000000	93.825050	-137.3988
1075.000000	93.946854	-136.7754
1090.000000	94.073257	-136.2041
1106.000000	94.206314	-135.6369
1120.000000	94.324425	-135.1475
1138.000000	94.476273	-134.6157
1150.000000	94.571945	-134.2946
1172.000000	94.748550	-133.7515
1180.000000	94.814301	-133.5954
1206.000000	95.019470	-133.1007
1220.000000	95.123268	-132.8871
1241.000000	95.268417	-132.6287
1250.000000	95.324417	-132.5251
1265.000000	95.405632	-132.3659
1280.000000	95.478729	-132.0647
1315.000000	95.707214	-131.1959
1320.000000	95.750061	-131.1305
1340.000000	95.891151	-130.8184
1360.000000	96.026909	-130.6185
1380.000000	96.151047	-130.4551
1400.000000	96.270058	-130.2575
1430.000000	96.444077	-129.9629
1450.000000	96.557083	-129.7897
1475.000000	96.695747	-129.5644
1500.000000	96.829384	-129.3649
1525.000000	96.966949	-129.1437
1550.000000	97.102982	-128.9162
1575.000000	97.237976	-128.7213
1600.000000	97.369247	-128.5325
1625.000000	97.506104	-128.3666
1650.000000	97.640427	-128.2079
1675.000000	97.773796	-128.0682
1700.000000	97.908646	-127.9299
1725.000000	98.047096	-127.8086
1750.000000	98.185051	-127.7234
1775.000000	98.325439	-127.6510
1800.000000	98.467262	-127.6156
1825.000000	98.604904	-127.6384
1850.000000	98.744308	-127.6662
1875.000000	98.881195	-127.7345
1900.000000	99.022781	-127.8258
1925.000000	99.165192	-127.9784
1950.000000	99.301025	-128.1681
1975.000000	99.435959	-128.4197
2000.000000	99.567841	-128.7068
2030.000000	99.718384	-129.0936
2060.000000	99.863037	-129.5342
2090.000000	99.998192	-130.0148
2120.000000	100.130219	-130.5217
2140.000000	100.209946	-130.8906
2180.000000	100.366348	-131.6620
2200.000000	100.436676	-132.0728
2240.000000	100.570389	-132.9313
2270.000000	100.655472	-133.6048
2300.000000	100.734818	-134.2819
2330.000000	100.802010	-134.9881
2360.000000	100.860718	-135.6718
2400.000000	100.921150	-136.6055
2430.000000	100.955956	-137.2837
2470.000000	100.985641	-138.1725
2500.000000	100.998703	-138.8013
2540.000000	100.999985	-139.5870
2580.000000	100.987389	-140.2928
2620.000000	100.963196	-140.9212
2650.000000	100.937538	-141.2913
2690.000000	100.896324	-141.6746
2720.000000	100.867302	-141.8698
2760.000000	100.839096	-141.9991
2800.000000	100.831520	-142.0182
2850.000000	100.858131	-142.1194
2900.000000	100.899193	-142.4390
2950.000000	100.917503	-142.9165
3000.000000	100.909187	-143.4054
3040.000000	100.887169	-143.7508
3070.000000	100.868271	-143.9624
3110.000000	100.835342	-144.1721
3150.000000	100.801033	-144.3361
3200.000000	100.756683	-144.4350
3250.000000	100.717392	-144.4410
3300.000000	100.681389	-144.3936
3350.000000	100.648285	-144.2768
3400.000000	100.620850	-144.1008
3450.000000	100.599724	-143.8375
3500.000000	100.596069	-143.5127
3550.000000	100.607933	-143.1715
3600.000000	100.630104	-142.8659
3650.000000	100.660133	-142.5620
3700.000000	100.700264	-142.2506
3750.000000	100.753250	-141.9270
3820.000000	100.863342	-141.5582
3870.000000	100.961700	-141.4518
3950.000000	101.116188	-141.5932
4000.000000	101.203812	-141.8310
4060.000000	101.297165	-142.1666
4120.000000	101.383011	-142.5645
4180.000000	101.460114	-143.0006
4250.000000	101.551567	-143.5365
4310.000000	101.625397	-144.0938
4370.000000	101.697144	-144.7212
4440.000000	101.768539	-145.5730
4500.000000	101.818810	-146.3832
4550.000000	101.848389	-147.0857
4620.000000	101.879883	-148.1190
4680.000000	101.895302	-149.0393
4750.000000	101.896843	-150.1656
4820.000000	101.882782	-151.3426
4870.000000	101.860123	-152.1951
4940.000000	101.811760	-153.4390
