* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 21, 2023 6:20:59 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	104.699539	-164.0594
20.600000	104.696564	-164.7505
20.900000	104.689232	-165.3857
21.200001	104.682396	-166.0290
21.400000	104.678780	-166.4632
21.799999	104.673195	-167.3328
22.000000	104.670715	-167.7603
22.400000	104.665382	-168.5840
22.700001	104.660400	-169.1653
23.000000	104.654297	-169.7165
23.299999	104.646866	-170.2457
23.600000	104.637756	-170.7636
24.000000	104.622505	-171.4526
24.299999	104.608864	-171.9727
24.700001	104.588936	-172.6678
25.000000	104.574181	-173.1838
25.400000	104.556808	-173.8561
25.799999	104.543190	-174.5057
26.200001	104.532318	-175.1340
26.500000	104.524246	-175.5941
26.900000	104.510681	-176.1955
27.200001	104.496834	-176.6372
27.600000	104.472778	-177.2092
28.000000	104.444038	-177.7554
28.500000	104.407860	-178.3996
29.000000	104.379257	-179.0226
29.500000	104.359909	-179.6598
30.000000	104.342964	179.6756
30.400000	104.325790	179.1428
30.700001	104.309891	178.7579
31.100000	104.286072	178.2731
31.500000	104.262138	177.8113
32.000000	104.233757	177.2306
32.500000	104.203995	176.6228
33.000000	104.168907	176.0161
33.500000	104.130280	175.4571
34.000000	104.093689	174.9536
34.500000	104.060944	174.4696
35.000000	104.028130	173.9732
35.500000	103.992096	173.4703
36.000000	103.955353	172.9818
36.500000	103.922424	172.5087
37.000000	103.893471	172.0367
37.500000	103.864044	171.5658
38.200001	103.815788	170.9424
38.700001	103.777328	170.5300
39.500000	103.715546	169.8799
40.000000	103.679260	169.4572
40.599998	103.638863	168.9350
41.200001	103.599075	168.4197
41.799999	103.556076	167.9516
42.500000	103.503799	167.4916
43.099998	103.462242	167.1218
43.700001	103.422272	166.7096
44.400002	103.371384	166.1859
45.000000	103.325989	165.7590
45.500000	103.290657	165.4310
46.200001	103.244568	164.9880
46.799999	103.203835	164.6090
47.500000	103.152664	164.1714
48.200001	103.098099	163.7416
48.700001	103.057274	163.4476
49.400002	103.000893	163.0670
50.000000	102.956535	162.7529
50.799999	102.900200	162.3203
51.500000	102.849411	161.9495
52.200001	102.798645	161.5945
53.000000	102.739006	161.1826
53.799999	102.679291	160.7969
54.500000	102.633980	160.4755
55.200001	102.586021	160.1409
56.000000	102.519455	159.8170
57.000000	102.448547	159.3924
58.000000	102.373352	158.8333
59.000000	102.322220	158.6331
60.000000	102.302063	158.2532
60.799999	102.213203	157.7943
61.500000	102.119820	157.5988
62.200001	102.064613	157.4122
63.000000	102.018852	157.0516
64.000000	101.948547	156.7151
65.000000	101.875580	156.4262
66.000000	101.796432	156.1122
67.000000	101.732666	155.7834
68.000000	101.658478	155.4998
69.000000	101.590607	155.2929
70.000000	101.518906	154.9927
71.000000	101.446365	154.7762
72.000000	101.381187	154.5054
73.000000	101.304199	154.2825
74.000000	101.239944	154.1194
75.000000	101.167252	153.9512
76.199997	101.090958	153.7692
77.500000	100.998955	153.4080
78.800003	100.910202	153.2780
80.000000	100.842529	153.1062
81.199997	100.759499	152.9430
82.500000	100.679276	152.8447
83.800003	100.604645	152.6760
85.000000	100.540062	152.5930
86.199997	100.476051	152.4962
87.500000	100.409294	152.3398
88.500000	100.361542	152.2247
90.000000	100.292297	152.0810
91.199997	100.231255	151.9174
92.500000	100.165573	151.7350
93.800003	100.102921	151.5843
95.000000	100.036003	151.4195
96.199997	99.972183	151.2932
97.500000	99.905014	151.1534
98.800003	99.838707	151.0334
100.000000	99.770851	150.9055
101.500000	99.689163	150.8138
103.000000	99.611885	150.5971
104.400002	99.536774	150.5182
106.000000	99.447487	150.4185
107.500000	99.367783	150.3107
109.000000	99.287949	150.2469
110.599998	99.201302	150.1582
112.000000	99.129082	150.1088
113.800003	99.034546	150.0707
115.000000	98.970222	150.0144
117.199997	98.857681	149.9670
118.000000	98.814026	149.9613
120.599998	98.678543	149.9397
122.000000	98.610016	149.9771
124.099998	98.498138	150.0035
125.000000	98.451523	150.0307
126.500000	98.371788	150.0627
128.000000	98.293602	150.1610
131.500000	98.108948	150.3660
132.000000	98.082069	150.4149
134.000000	97.976440	150.6033
136.000000	97.860992	150.8218
138.000000	97.774544	151.1434
140.000000	97.675110	151.5978
143.000000	97.549385	152.3322
145.000000	97.482109	152.9121
147.500000	97.445068	153.6400
150.000000	97.449806	154.3003
152.500000	97.482040	154.6911
155.000000	97.512573	154.8395
157.500000	97.527115	154.7242
160.000000	97.512344	154.4777
162.500000	97.486397	154.2359
165.000000	97.432648	154.0228
167.500000	97.372017	153.8112
170.000000	97.305733	153.6803
172.500000	97.230324	153.5942
175.000000	97.151588	153.5330
177.500000	97.075371	153.5555
180.000000	96.982414	153.4651
182.500000	96.929123	153.6120
185.000000	96.851196	153.6855
187.500000	96.779442	153.7715
190.000000	96.708298	153.8744
192.500000	96.641441	153.9965
195.000000	96.571388	154.1229
197.500000	96.503723	154.2725
200.000000	96.441040	154.3929
203.000000	96.362793	154.5790
206.000000	96.288849	154.7755
209.000000	96.217102	154.9621
212.000000	96.146881	155.1691
214.000000	96.100838	155.3378
218.000000	96.008141	155.6238
220.000000	95.965797	155.7534
224.000000	95.876801	156.0701
227.000000	95.817024	156.3143
230.000000	95.756088	156.5394
233.000000	95.692398	156.7762
236.000000	95.633499	157.0325
240.000000	95.569763	157.3862
243.000000	95.502922	157.6370
247.000000	95.433220	157.9561
250.000000	95.378151	158.2255
254.000000	95.310646	158.5595
258.000000	95.246674	158.9326
262.000000	95.182571	159.2662
265.000000	95.134857	159.5454
269.000000	95.074188	159.9125
272.000000	95.029541	160.1962
276.000000	94.972321	160.5542
280.000000	94.916504	160.9113
285.000000	94.856728	161.3586
290.000000	94.796806	161.8271
295.000000	94.739052	162.2607
300.000000	94.682983	162.5102
304.000000	94.641602	162.9889
307.000000	94.607422	163.2140
311.000000	94.559921	163.5273
315.000000	94.508217	163.8499
320.000000	94.447945	164.2932
325.000000	94.385956	164.7668
330.000000	94.326469	165.3354
335.000000	94.281677	165.9521
340.000000	94.256348	166.5715
345.000000	94.248642	167.1180
350.000000	94.253036	167.5051
355.000000	94.246452	167.7711
360.000000	94.226021	167.9687
365.000000	94.193520	168.1763
370.000000	94.154640	168.4101
375.000000	94.116249	168.6705
382.000000	94.054871	169.0986
387.000000	94.011826	169.4071
395.000000	93.945305	169.9365
400.000000	93.910622	170.2800
406.000000	93.860863	170.7187
412.000000	93.818626	171.1445
418.000000	93.772720	171.6253
425.000000	93.726028	172.0898
431.000000	93.685989	172.5512
437.000000	93.650543	173.0021
444.000000	93.608215	173.4988
450.000000	93.575180	173.9431
455.000000	93.546242	174.3166
462.000000	93.505836	174.8461
468.000000	93.477669	175.2944
475.000000	93.441353	175.8023
482.000000	93.409615	176.3419
487.000000	93.381828	176.6651
494.000000	93.353539	177.1894
500.000000	93.325279	177.6458
508.000000	93.292542	178.2119
515.000000	93.269012	178.7283
522.000000	93.239769	179.2388
530.000000	93.210121	179.8325
538.000000	93.182060	-179.5850
545.000000	93.158348	-179.1023
552.000000	93.138344	-178.6026
560.000000	93.111656	-178.0093
570.000000	93.083054	-177.2696
580.000000	93.058174	-176.5812
590.000000	93.031433	-175.8615
600.000000	93.008972	-175.1730
608.000000	92.991867	-174.5529
615.000000	92.978462	-174.0894
622.000000	92.965912	-173.5607
630.000000	92.952324	-173.0160
640.000000	92.933502	-172.2747
650.000000	92.921860	-171.5705
660.000000	92.930153	-170.8586
670.000000	92.897636	-170.1276
680.000000	92.886955	-169.4280
690.000000	92.881897	-168.7101
700.000000	92.875977	-168.0074
710.000000	92.876968	-167.3029
720.000000	92.885368	-166.6358
730.000000	92.879829	-165.9191
740.000000	92.888634	-165.2623
750.000000	92.899612	-164.6477
762.000000	92.903282	-164.0267
775.000000	92.870293	-163.3807
788.000000	92.829147	-162.3592
800.000000	92.824921	-161.2863
812.000000	92.842659	-160.2529
825.000000	92.860641	-159.1813
838.000000	92.883522	-158.1563
850.000000	92.904449	-157.2029
862.000000	92.931030	-156.2705
875.000000	92.963501	-155.2674
885.000000	92.987701	-154.4841
900.000000	93.072639	-153.2778
912.000000	93.072388	-152.3620
925.000000	93.118706	-151.2943
938.000000	93.175423	-150.2327
950.000000	93.230278	-149.2289
962.000000	93.305450	-148.2218
975.000000	93.389626	-147.1840
988.000000	93.493149	-146.1862
1000.000000	93.590622	-145.2733
1015.000000	93.728699	-144.3062
1030.000000	93.872322	-143.4063
1044.000000	94.001541	-142.6941
1060.000000	94.146835	-141.9369
1075.000000	94.279137	-141.2809
1090.000000	94.406921	-140.6852
1106.000000	94.546654	-140.1147
1120.000000	94.662743	-139.6439
1138.000000	94.804581	-139.0683
1150.000000	94.906746	-138.7469
1172.000000	95.078827	-138.1955
1180.000000	95.135048	-138.0286
1206.000000	95.321335	-137.4881
1220.000000	95.416069	-137.2097
1241.000000	95.552979	-136.8372
