* Measurement data measured by REW V5.40 beta 124
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: 0.310
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 31, 2026, 4:07:16 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	105.338	-163.4972
20.299999	105.343	-164.0826
20.600000	105.352	-164.6613
20.900000	105.364	-165.2546
21.200001	105.376	-165.8821
21.400000	105.380	-166.3187
21.799999	105.377	-167.2028
22.000000	105.370	-167.6270
22.400000	105.346	-168.3870
22.700001	105.328	-168.8624
23.000000	105.318	-169.2767
23.299999	105.319	-169.6817
23.600000	105.328	-170.1209
24.000000	105.342	-170.7927
24.299999	105.346	-171.3385
24.700001	105.338	-172.0486
25.000000	105.328	-172.5237
25.400000	105.321	-173.0808
25.799999	105.327	-173.6324
26.200001	105.341	-174.2726
26.500000	105.347	-174.8202
26.900000	105.337	-175.5834
27.200001	105.317	-176.1172
27.600000	105.283	-176.7199
28.000000	105.255	-177.2099
28.500000	105.235	-177.7758
29.000000	105.221	-178.3823
29.500000	105.202	-178.9895
30.000000	105.183	-179.5325
30.400000	105.176	-179.9490
30.700001	105.174	179.7138
31.100000	105.170	179.2119
31.500000	105.157	178.6814
32.000000	105.128	178.0706
32.500000	105.099	177.5626
33.000000	105.083	177.0798
33.500000	105.071	176.5329
34.000000	105.049	175.9437
34.500000	105.016	175.4109
35.000000	104.988	174.9664
35.500000	104.972	174.5334
36.000000	104.962	174.0272
36.500000	104.944	173.4555
37.000000	104.914	172.8958
37.500000	104.879	172.3979
38.200001	104.835	171.7693
38.700001	104.806	171.3262
39.500000	104.759	170.6337
40.000000	104.732	170.2139
40.599998	104.702	169.6929
41.200001	104.667	169.1615
41.799999	104.630	168.6767
42.500000	104.597	168.1508
43.099998	104.575	167.6183
43.700001	104.537	167.0339
44.400002	104.473	166.5189
45.000000	104.439	166.2513
45.500000	104.434	165.9565
46.200001	104.420	165.2756
46.799999	104.365	164.6811
47.500000	104.291	164.3194
48.200001	104.264	164.0458
48.700001	104.255	163.6711
49.400002	104.208	163.0157
50.000000	104.145	162.6107
50.799999	104.084	162.2560
51.500000	104.049	161.8659
52.200001	104.011	161.4411
53.000000	103.975	160.9568
53.799999	103.938	160.3516
54.500000	103.885	159.8427
55.200001	103.832	159.4494
56.000000	103.781	159.0273
57.000000	103.717	158.5411
58.000000	103.668	157.9968
59.000000	103.587	157.3513
60.000000	103.501	156.9901
60.799999	103.463	156.6412
61.500000	103.420	156.2084
62.200001	103.362	155.8252
63.000000	103.302	155.4775
64.000000	103.237	155.0097
65.000000	103.167	154.5618
66.000000	103.104	154.1605
67.000000	103.042	153.7079
68.000000	102.966	153.2820
