* Measurement data measured by REW V5.40 beta 124
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: 0.310
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 31, 2026, 4:02:26 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	105.566	-163.9074
20.299999	105.575	-164.4589
20.600000	105.586	-165.0249
20.900000	105.598	-165.6161
21.200001	105.606	-166.2249
21.400000	105.608	-166.6275
21.799999	105.605	-167.4021
22.000000	105.602	-167.7656
22.400000	105.595	-168.4415
22.700001	105.592	-168.9159
23.000000	105.591	-169.3767
23.299999	105.591	-169.8293
23.600000	105.591	-170.2726
24.000000	105.594	-170.8488
24.299999	105.599	-171.2793
24.700001	105.610	-171.8812
25.000000	105.619	-172.3760
25.400000	105.622	-173.0981
25.799999	105.608	-173.8402
26.200001	105.577	-174.5109
26.500000	105.550	-174.9270
26.900000	105.520	-175.3716
27.200001	105.510	-175.6686
27.600000	105.509	-176.0962
28.000000	105.513	-176.6131
28.500000	105.507	-177.3382
29.000000	105.485	-178.0084
29.500000	105.465	-178.5672
30.000000	105.461	-179.1070
30.400000	105.461	-179.5936
30.700001	105.459	-179.9888
31.100000	105.446	179.4887
31.500000	105.428	179.0146
32.000000	105.408	178.4984
32.500000	105.396	178.0000
33.000000	105.386	177.4600
33.500000	105.368	176.8996
34.000000	105.343	176.3750
34.500000	105.318	175.9001
35.000000	105.298	175.4420
35.500000	105.280	174.9659
36.000000	105.262	174.4628
36.500000	105.239	173.9433
37.000000	105.211	173.4331
37.500000	105.180	172.9611
38.200001	105.145	172.3618
38.700001	105.127	171.9198
39.500000	105.092	171.1415
40.000000	105.062	170.6986
40.599998	105.030	170.2670
41.200001	105.016	169.8347
41.799999	105.004	169.2998
42.500000	104.970	168.6350
43.099998	104.933	168.1365
43.700001	104.895	167.6688
44.400002	104.845	167.1479
45.000000	104.801	166.7932
45.500000	104.775	166.5329
46.200001	104.753	166.0689
46.799999	104.723	165.5806
47.500000	104.675	165.0984
48.200001	104.641	164.6998
48.700001	104.625	164.3571
49.400002	104.592	163.7916
50.000000	104.548	163.3554
50.799999	104.493	162.8941
51.500000	104.452	162.4955
52.200001	104.407	162.0976
53.000000	104.358	161.7081
53.799999	104.323	161.2747
54.500000	104.285	160.7913
55.200001	104.230	160.3362
56.000000	104.169	159.9414
57.000000	104.112	159.4962
58.000000	104.078	159.0125
59.000000	104.043	158.2606
60.000000	103.948	157.5847
60.799999	103.882	157.3569
61.500000	103.851	157.1227
62.200001	103.818	156.7681
63.000000	103.766	156.3599
64.000000	103.697	155.9041
65.000000	103.631	155.4600
66.000000	103.567	154.9935
67.000000	103.499	154.5387
68.000000	103.433	154.1199
69.000000	103.371	153.7244
70.000000	103.310	153.3238
71.000000	103.245	152.9589
72.000000	103.187	152.6022
73.000000	103.122	152.2068
74.000000	103.055	151.8539
75.000000	102.987	151.5011
76.199997	102.913	151.1152
77.500000	102.827	150.5982
78.800003	102.739	150.2266
80.000000	102.662	149.8184
81.199997	102.582	149.4593
82.500000	102.491	149.0522
83.800003	102.406	148.7176
85.000000	102.328	148.3693
86.199997	102.250	148.0441
87.500000	102.162	147.6944
88.500000	102.096	147.4601
90.000000	101.997	147.0887
91.199997	101.916	146.8286
92.500000	101.833	146.5188
93.800003	101.738	146.2206
95.000000	101.660	146.0132
96.199997	101.583	145.7346
97.500000	101.494	145.4894
98.800003	101.412	145.2314
100.000000	101.331	145.0228
101.500000	101.238	144.7780
103.000000	101.136	144.5253
104.400002	101.044	144.3226
106.000000	100.933	144.0821
107.500000	100.835	143.8739
109.000000	100.739	143.6975
110.599998	100.634	143.4882
112.000000	100.546	143.3589
113.800003	100.425	143.2002
115.000000	100.342	143.0386
117.199997	100.205	142.7732
118.000000	100.146	142.7466
120.599998	99.952	142.3362
122.000000	99.900	142.5178
124.099998	99.765	142.4099
125.000000	99.708	142.3515
126.500000	99.609	142.3281
128.000000	99.512	142.2741
131.500000	99.294	142.1871
132.000000	99.262	142.1800
134.000000	99.139	142.1926
136.000000	99.012	142.2073
138.000000	98.895	142.1947
140.000000	98.771	142.2399
143.000000	98.595	142.3298
145.000000	98.472	142.4084
147.500000	98.322	142.5125
150.000000	98.167	142.6971
152.500000	98.036	142.8261
155.000000	97.896	143.0183
157.500000	97.760	143.2793
160.000000	97.619	143.5191
162.500000	97.482	143.7895
165.000000	97.346	144.0934
167.500000	97.218	144.4037
170.000000	97.086	144.7164
172.500000	96.959	145.0743
175.000000	96.836	145.4197
177.500000	96.715	145.8538
180.000000	96.588	146.4696
182.500000	96.472	146.7130
185.000000	96.357	147.1183
187.500000	96.242	147.5746
190.000000	96.142	148.0941
192.500000	96.037	148.5729
195.000000	95.940	149.1322
197.500000	95.841	149.6917
200.000000	95.740	150.2569
203.000000	95.625	150.9825
206.000000	95.523	151.6909
209.000000	95.425	152.3780
212.000000	95.332	153.1306
214.000000	95.277	153.6853
218.000000	95.175	154.7543
220.000000	95.129	155.2519
224.000000	95.055	156.2950
227.000000	95.008	157.0372
230.000000	94.963	157.7016
233.000000	94.913	158.3305
236.000000	94.862	159.0163
240.000000	94.762	159.6481
243.000000	94.758	160.4442
247.000000	94.710	161.3619
250.000000	94.667	162.0106
254.000000	94.621	162.8864
258.000000	94.588	163.7269
262.000000	94.544	164.5888
265.000000	94.520	165.2443
269.000000	94.498	166.0453
272.000000	94.478	166.6661
276.000000	94.465	167.4636
280.000000	94.449	168.2652
285.000000	94.446	169.2325
290.000000	94.436	170.1390
295.000000	94.440	171.0293
300.000000	94.425	171.6266
304.000000	94.455	172.6024
307.000000	94.464	173.1566
311.000000	94.464	173.7648
315.000000	94.487	174.3906
320.000000	94.506	175.1200
325.000000	94.537	175.8411
330.000000	94.554	176.5390
335.000000	94.578	177.1738
340.000000	94.609	177.8055
345.000000	94.633	178.4290
350.000000	94.662	178.9677
355.000000	94.689	179.5266
360.000000	94.734	-179.8139
365.000000	94.747	-179.3598
370.000000	94.788	-178.8456
375.000000	94.820	-178.3052
382.000000	94.869	-177.6597
387.000000	94.903	-177.1909
395.000000	94.973	-176.4710
400.000000	95.024	-176.0547
406.000000	95.086	-175.6331
412.000000	95.139	-175.2851
418.000000	95.189	-174.9744
425.000000	95.248	-174.6960
431.000000	95.270	-174.4111
437.000000	95.318	-174.1784
444.000000	95.348	-173.8870
450.000000	95.378	-173.6691
455.000000	95.404	-173.4666
462.000000	95.438	-173.1497
468.000000	95.460	-172.9485
475.000000	95.493	-172.6872
482.000000	95.522	-172.4374
487.000000	95.539	-172.2599
494.000000	95.562	-172.0393
500.000000	95.588	-171.8535
508.000000	95.607	-171.5657
515.000000	95.627	-171.3282
522.000000	95.652	-171.1300
530.000000	95.675	-170.9082
538.000000	95.698	-170.6935
545.000000	95.709	-170.4440
552.000000	95.723	-170.2704
560.000000	95.753	-170.0560
570.000000	95.768	-169.8066
580.000000	95.783	-169.5792
590.000000	95.796	-169.3156
600.000000	95.820	-168.9757
608.000000	95.819	-168.9314
615.000000	95.820	-168.7163
622.000000	95.822	-168.5517
630.000000	95.823	-168.3621
640.000000	95.823	-168.1229
650.000000	95.824	-167.8087
660.000000	95.853	-167.3260
670.000000	95.807	-167.2726
680.000000	95.804	-166.9836
690.000000	95.792	-166.6575
700.000000	95.788	-166.3363
710.000000	95.777	-165.9845
720.000000	95.762	-165.7383
730.000000	95.754	-165.2038
740.000000	95.742	-164.8088
750.000000	95.736	-164.4362
762.000000	95.725	-163.8881
775.000000	95.720	-163.3177
788.000000	95.708	-162.7219
800.000000	95.705	-162.1407
812.000000	95.702	-161.5084
825.000000	95.699	-160.8732
838.000000	95.706	-160.1377
850.000000	95.708	-159.5274
862.000000	95.719	-158.8520
875.000000	95.741	-158.1268
885.000000	95.755	-157.5434
900.000000	95.804	-156.5636
912.000000	95.818	-155.9355
925.000000	95.850	-155.2049
938.000000	95.896	-154.4469
950.000000	95.943	-153.7417
962.000000	95.991	-153.0354
975.000000	96.054	-152.3262
988.000000	96.116	-151.6223
1000.000000	96.181	-150.9886
1015.000000	96.267	-150.1638
1030.000000	96.359	-149.4552
1044.000000	96.456	-148.8081
1060.000000	96.559	-148.1116
1075.000000	96.667	-147.5168
1090.000000	96.781	-146.9467
1106.000000	96.898	-146.4225
1120.000000	97.009	-146.0197
1138.000000	97.140	-145.5597
1150.000000	97.228	-145.2412
1172.000000	97.397	-144.8260
1180.000000	97.453	-144.7025
1206.000000	97.638	-144.3575
1220.000000	97.731	-144.1876
1241.000000	97.867	-143.9996
1250.000000	97.924	-143.9342
1265.000000	98.013	-143.8707
1280.000000	98.097	-143.7571
1315.000000	98.283	-143.6503
1320.000000	98.294	-143.6258
1340.000000	98.403	-143.5552
1360.000000	98.493	-143.4847
1380.000000	98.569	-143.4077
1400.000000	98.651	-143.3767
