* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 14, 2025 3:01:08 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: W1 SM
* Measurement: S2 L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	103.856	-171.9378
20.600000	103.868	-172.8348
20.900000	103.874	-173.6577
21.200001	103.880	-174.4861
21.400000	103.884	-175.0419
21.799999	103.894	-176.1516
22.000000	103.900	-176.6995
22.400000	103.913	-177.7720
22.700001	103.923	-178.5511
23.000000	103.932	-179.3090
23.299999	103.938	179.9528
23.600000	103.941	179.2328
24.000000	103.942	178.2990
24.299999	103.941	177.6129
24.700001	103.941	176.7028
25.000000	103.943	176.0105
25.400000	103.948	175.0630
25.799999	103.952	174.0949
26.200001	103.951	173.1353
26.500000	103.948	172.4414
26.900000	103.942	171.5642
27.200001	103.937	170.9388
27.600000	103.932	170.1266
28.000000	103.927	169.3146
28.500000	103.921	168.2799
29.000000	103.911	167.2357
29.500000	103.898	166.2077
30.000000	103.887	165.2108
30.400000	103.878	164.4344
30.700001	103.871	163.8610
31.100000	103.862	163.1026
31.500000	103.852	162.3452
32.000000	103.836	161.3961
32.500000	103.818	160.4518
33.000000	103.800	159.5268
33.500000	103.783	158.6251
34.000000	103.769	157.7363
34.500000	103.754	156.8513
35.000000	103.736	155.9746
35.500000	103.713	155.1153
36.000000	103.690	154.2730
36.500000	103.668	153.4396
37.000000	103.646	152.6107
37.500000	103.626	151.7887
38.200001	103.598	150.6536
38.700001	103.577	149.8543
39.500000	103.543	148.5885
40.000000	103.521	147.7941
40.599998	103.491	146.8385
41.200001	103.454	145.9197
41.799999	103.418	145.0635
42.500000	103.384	144.0748
43.099998	103.357	143.1719
43.700001	103.323	142.2680
44.400002	103.285	141.3107
45.000000	103.265	140.5215
45.500000	103.251	139.8130
46.200001	103.220	138.7503
46.799999	103.180	137.8555
47.500000	103.131	136.8667
48.200001	103.080	135.9163
48.700001	103.041	135.2825
49.400002	102.996	134.4670
50.000000	102.970	133.7447
50.799999	102.936	132.6257
51.500000	102.884	131.6238
52.200001	102.823	130.7727
53.000000	102.771	129.9113
53.799999	102.733	128.9879
54.500000	102.696	128.1428
55.200001	102.655	127.3150
56.000000	102.603	126.4083
57.000000	102.549	125.2635
58.000000	102.497	123.9507
59.000000	102.428	122.8122
60.000000	102.386	121.8416
60.799999	102.343	120.8681
61.500000	102.277	120.0239
62.200001	102.212	119.3287
63.000000	102.164	118.5940
64.000000	102.109	117.5959
65.000000	102.042	116.6440
66.000000	101.987	115.6555
67.000000	101.924	114.5535
68.000000	101.860	113.5313
69.000000	101.812	112.4767
70.000000	101.746	111.5009
71.000000	101.679	110.7540
72.000000	101.609	109.8909
73.000000	101.523	108.9343
74.000000	101.470	107.8936
75.000000	101.422	106.8062
76.199997	101.353	105.8979
77.500000	101.257	104.8266
78.800003	101.155	103.6329
80.000000	101.106	102.6401
81.199997	101.048	101.6891
82.500000	100.946	100.6273
83.800003	100.880	99.5154
85.000000	100.810	98.5761
86.199997	100.727	97.6566
87.500000	100.644	96.5957
88.500000	100.585	95.8689
90.000000	100.502	94.7708
91.199997	100.427	93.8389
92.500000	100.346	92.8953
93.800003	100.269	91.9848
95.000000	100.197	91.0928
96.199997	100.130	90.3086
97.500000	100.055	89.3833
98.800003	99.974	88.5082
100.000000	99.907	87.7177
101.500000	99.821	86.7391
103.000000	99.738	85.7342
104.400002	99.656	84.8820
106.000000	99.565	83.8459
107.500000	99.484	82.9190
109.000000	99.399	82.0489
110.599998	99.308	81.0544
112.000000	99.229	80.2513
113.800003	99.126	79.2288
115.000000	99.064	78.5419
117.199997	98.945	77.3276
118.000000	98.901	76.9198
120.599998	98.763	75.4622
122.000000	98.695	74.7807
124.099998	98.582	73.7055
125.000000	98.533	73.2517
126.500000	98.452	72.5168
128.000000	98.380	71.8129
131.500000	98.206	70.1542
132.000000	98.180	69.9385
134.000000	98.088	69.0172
136.000000	97.991	68.1478
138.000000	97.899	67.2564
140.000000	97.811	66.3960
143.000000	97.669	65.1345
145.000000	97.580	64.2968
147.500000	97.472	63.2833
150.000000	97.360	62.3071
152.500000	97.254	61.3442
155.000000	97.149	60.4001
157.500000	97.042	59.4720
160.000000	96.939	58.5332
162.500000	96.835	57.6852
165.000000	96.729	56.7970
167.500000	96.624	55.9523
170.000000	96.518	55.1660
172.500000	96.413	54.3271
175.000000	96.312	53.5726
177.500000	96.215	52.8481
180.000000	96.079	52.1611
182.500000	96.003	51.3546
185.000000	95.907	50.6794
187.500000	95.806	49.9988
190.000000	95.714	49.3964
192.500000	95.614	48.7931
195.000000	95.518	48.2275
197.500000	95.424	47.6457
200.000000	95.330	47.0604
203.000000	95.222	46.3985
206.000000	95.109	45.7648
209.000000	94.999	45.1612
212.000000	94.885	44.5840
214.000000	94.811	44.2164
218.000000	94.664	43.5176
220.000000	94.592	43.2345
224.000000	94.446	42.6034
227.000000	94.339	42.2272
230.000000	94.238	41.8689
233.000000	94.131	41.5152
236.000000	94.030	41.2204
240.000000	93.906	40.8265
243.000000	93.805	40.6135
247.000000	93.684	40.3151
250.000000	93.596	40.1878
254.000000	93.482	40.0157
258.000000	93.378	39.8920
262.000000	93.280	39.7922
265.000000	93.214	39.7827
269.000000	93.127	39.7515
272.000000	93.072	39.7278
276.000000	93.005	39.7330
280.000000	92.937	39.7506
285.000000	92.866	39.7488
290.000000	92.808	39.7842
295.000000	92.761	39.7807
300.000000	92.743	39.9576
304.000000	92.697	39.8193
307.000000	92.677	39.8172
311.000000	92.660	39.8040
315.000000	92.642	39.7845
320.000000	92.630	39.7201
325.000000	92.613	39.6383
330.000000	92.612	39.4753
335.000000	92.593	39.4027
340.000000	92.586	39.2790
345.000000	92.576	39.1157
350.000000	92.569	38.9838
355.000000	92.564	38.8177
360.000000	92.564	38.6541
365.000000	92.554	38.4460
370.000000	92.547	38.2485
375.000000	92.541	38.0270
382.000000	92.527	37.7348
387.000000	92.515	37.5435
395.000000	92.495	37.1979
400.000000	92.480	37.0192
406.000000	92.461	36.8007
412.000000	92.441	36.5596
418.000000	92.425	36.3985
425.000000	92.398	36.1676
431.000000	92.375	36.0075
437.000000	92.356	35.8354
444.000000	92.328	35.6882
450.000000	92.307	35.5493
455.000000	92.291	35.4348
462.000000	92.269	35.3030
468.000000	92.249	35.1836
475.000000	92.230	35.0682
482.000000	92.206	34.9756
487.000000	92.188	34.9177
494.000000	92.164	34.8118
500.000000	92.145	34.7828
508.000000	92.123	34.7033
515.000000	92.097	34.6452
522.000000	92.076	34.5973
530.000000	92.051	34.5388
538.000000	92.028	34.5455
545.000000	92.006	34.5069
552.000000	91.981	34.5241
560.000000	91.956	34.5293
570.000000	91.926	34.5794
580.000000	91.894	34.6402
590.000000	91.864	34.7228
600.000000	91.836	34.8480
608.000000	91.811	34.9264
615.000000	91.791	35.0226
622.000000	91.773	35.1305
630.000000	91.753	35.2737
640.000000	91.727	35.4644
650.000000	91.701	35.6276
660.000000	91.687	35.7989
670.000000	91.658	36.0511
680.000000	91.636	36.3200
690.000000	91.620	36.5825
700.000000	91.600	36.8609
710.000000	91.581	37.1568
720.000000	91.563	37.4524
730.000000	91.555	37.7667
740.000000	91.537	38.1072
750.000000	91.523	38.4458
762.000000	91.513	38.8868
775.000000	91.497	39.3970
788.000000	91.491	39.8926
800.000000	91.484	40.4156
812.000000	91.484	40.9356
825.000000	91.483	41.4895
838.000000	91.492	42.1167
850.000000	91.502	42.6648
862.000000	91.513	43.2382
875.000000	91.529	43.8838
885.000000	91.548	44.3798
900.000000	91.574	45.0437
912.000000	91.607	45.7596
925.000000	91.644	46.4185
938.000000	91.684	47.0867
950.000000	91.730	47.7203
962.000000	91.776	48.2979
975.000000	91.836	48.9882
988.000000	91.893	49.6192
1000.000000	91.956	50.1756
1015.000000	92.041	50.8859
1030.000000	92.129	51.5325
1044.000000	92.215	52.1414
1060.000000	92.316	52.7991
1075.000000	92.414	53.3513
1090.000000	92.520	53.9190
1106.000000	92.636	54.4474
1120.000000	92.730	54.8415
1138.000000	92.861	55.3074
1150.000000	92.942	55.5927
1172.000000	93.093	56.0938
1180.000000	93.146	56.2650
1206.000000	93.325	56.7506
1220.000000	93.419	56.9785
1241.000000	93.554	57.2894
1250.000000	93.613	57.3967
1265.000000	93.705	57.6020
1280.000000	93.793	57.7779
1315.000000	93.992	58.1334
1320.000000	94.018	58.1794
1340.000000	94.129	58.3802
1360.000000	94.235	58.5961
1380.000000	94.340	58.7660
1400.000000	94.437	58.9929
1430.000000	94.585	59.3067
1450.000000	94.686	59.5354
1475.000000	94.809	59.7941
1500.000000	94.936	60.0772
1525.000000	95.062	60.3145
1550.000000	95.189	60.5691
1575.000000	95.321	60.8036
1600.000000	95.453	61.0016
1625.000000	95.592	61.1888
1650.000000	95.724	61.3618
1675.000000	95.862	61.4739
1700.000000	96.000	61.5875
1725.000000	96.141	61.6386
1750.000000	96.281	61.6358
1775.000000	96.418	61.6061
1800.000000	96.551	61.5533
1825.000000	96.686	61.4365
1850.000000	96.814	61.2835
1875.000000	96.941	61.0901
1900.000000	97.061	60.9025
1925.000000	97.178	60.6437
1950.000000	97.288	60.3903
1975.000000	97.394	60.0916
2000.000000	97.495	59.7692
2030.000000	97.610	59.3974
2060.000000	97.716	58.9839
2090.000000	97.814	58.5871
2120.000000	97.907	58.1931
2140.000000	97.964	57.9423
2180.000000	98.073	57.4505
2200.000000	98.127	57.2400
2240.000000	98.231	56.7745
2270.000000	98.316	56.4417
2300.000000	98.399	56.0909
2330.000000	98.486	55.6736
2360.000000	98.569	55.2253
2400.000000	98.671	54.4916
2430.000000	98.732	53.8891
2470.000000	98.791	53.0925
2500.000000	98.823	52.4987
2540.000000	98.846	51.7831
2580.000000	98.855	51.1627
2620.000000	98.851	50.6460
2650.000000	98.847	50.3465
2690.000000	98.835	50.0290
2720.000000	98.831	49.8835
2760.000000	98.829	49.7834
2800.000000	98.841	49.8026
2850.000000	98.881	49.9398
2900.000000	98.951	50.0580
2950.000000	99.054	50.1275
3000.000000	99.173	50.0753
3040.000000	99.282	49.9384
3070.000000	99.364	49.7538
3110.000000	99.477	49.4448
3150.000000	99.585	49.0655
3200.000000	99.721	48.5001
3250.000000	99.858	47.8155
3300.000000	99.991	46.9889
3350.000000	100.110	46.0270
3400.000000	100.209	45.0172
3450.000000	100.297	43.9922
3500.000000	100.385	42.9388
3550.000000	100.462	41.8137
3600.000000	100.534	40.5745
3650.000000	100.594	39.3022
3700.000000	100.633	37.9431
3750.000000	100.658	36.5548
3820.000000	100.659	34.5840
3870.000000	100.639	33.1667
3950.000000	100.573	30.9259
4000.000000	100.509	29.5743
4060.000000	100.414	28.0034
4120.000000	100.297	26.5095
4180.000000	100.161	25.1429
4250.000000	99.985	23.6985
4310.000000	99.824	22.5732
4370.000000	99.652	21.6074
