* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138. Timing signal peak level -42.4 dBFS, measurement signal peak level -14.9 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Mar 10, 2024 1:34:20 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0753 ms (-26 mm, -1.02 in) using estimated IR delay relative to Acoustic reference on HEADPHONE R with no timing offset
* Measurement: white L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	101.693581	155.0585
20.600000	101.708252	154.0302
20.900000	101.719910	152.8301
21.200001	101.722076	151.5233
21.400000	101.716370	150.6657
21.799999	101.690491	149.1395
22.000000	101.673172	148.5115
22.400000	101.636749	147.5113
22.700001	101.611206	146.8981
23.000000	101.584663	146.2988
23.299999	101.551643	145.6384
23.600000	101.506943	144.8867
24.000000	101.427658	143.7783
24.299999	101.360374	142.9292
24.700001	101.276161	141.8502
25.000000	101.226334	141.0985
25.400000	101.181152	140.1550
25.799999	101.151291	139.2368
26.200001	101.121468	138.3115
26.500000	101.091606	137.6027
26.900000	101.036705	136.6321
27.200001	100.983360	135.8885
27.600000	100.898819	134.9077
28.000000	100.807114	133.9950
28.500000	100.704643	133.0250
29.000000	100.639343	132.1981
29.500000	100.607422	131.3477
30.000000	100.572899	130.3625
30.400000	100.521835	129.5109
30.700001	100.467491	128.8699
31.100000	100.380356	128.0200
31.500000	100.287979	127.1303
32.000000	100.180687	125.8715
32.500000	100.099213	124.4324
33.000000	100.066925	122.8958
33.500000	100.093147	121.3464
34.000000	100.144913	119.8964
34.500000	100.163895	118.7654
35.000000	100.114388	118.1932
35.500000	100.007713	118.1429
36.000000	99.868690	118.1669
36.500000	99.695526	117.7739
37.000000	99.482536	116.9064
37.500000	99.270065	115.9159
38.200001	99.115112	114.7874
38.700001	99.126663	113.9499
39.500000	99.126793	112.1439
40.000000	99.010513	111.1102
40.599998	98.814392	110.4370
41.200001	98.698372	110.1146
41.799999	98.692795	109.4856
42.500000	98.674026	108.2316
43.099998	98.548302	107.3546
43.700001	98.378227	106.9757
44.400002	98.251289	106.3398
45.000000	98.170303	105.0063
45.500000	98.056458	103.8122
46.200001	97.862968	103.2515
