* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Mar 10, 2024 1:54:17 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: white R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	103.325272	154.7189
20.600000	103.193573	152.4194
20.900000	102.835144	150.3192
21.200001	102.354218	148.6797
21.400000	102.024559	147.9790
21.799999	101.520187	147.3441
22.000000	101.401840	147.1733
22.400000	101.440659	146.5200
22.700001	101.627319	145.4418
23.000000	101.841995	143.9756
23.299999	102.005730	142.4307
23.600000	102.078461	141.1299
24.000000	102.037346	140.1004
24.299999	101.941452	139.8105
24.700001	101.789230	139.6639
25.000000	101.680054	139.3569
25.400000	101.541107	138.3510
25.799999	101.393097	136.7372
26.200001	101.234741	134.9879
26.500000	101.123543	133.9083
26.900000	101.014977	132.9716
27.200001	100.976540	132.5749
27.600000	100.972290	132.1019
28.000000	100.980896	131.3541
28.500000	100.941986	129.9383
29.000000	100.854675	128.5194
29.500000	100.818550	127.5999
30.000000	100.900162	126.9527
30.400000	100.988014	126.2341
30.700001	100.999870	125.5259
31.100000	100.882957	124.5706
31.500000	100.621712	123.9908
32.000000	100.254578	123.9972
32.500000	100.078690	123.9625
33.000000	100.149384	122.4418
33.500000	100.289566	119.3261
34.000000	100.303543	116.0834
34.500000	100.141068	114.2833
35.000000	99.903984	114.4332
35.500000	99.723175	115.6596
36.000000	99.625076	116.4646
36.500000	99.546608	115.9975
37.000000	99.439316	114.4523
37.500000	99.309357	112.5851
38.200001	99.160019	110.7304
38.700001	99.111702	110.1585
39.500000	99.082748	109.5509
40.000000	99.030533	108.8933
40.599998	98.923615	107.8418
41.200001	98.815475	106.6804
41.799999	98.723343	105.5346
42.500000	98.603271	104.4380
43.099998	98.482368	103.7703
43.700001	98.365120	103.1203
44.400002	98.246696	102.1074
45.000000	98.161568	101.1145
45.500000	98.093903	100.3728
46.200001	97.978531	99.6967
46.799999	97.857681	99.5004
47.500000	97.723030	99.3034
48.200001	97.597000	98.5555
48.700001	97.500671	97.7113
49.400002	97.381371	96.5142
50.000000	97.315796	95.5874
50.799999	97.230705	94.3951
51.500000	97.110649	93.5297
52.200001	96.978989	92.8660
53.000000	96.845833	92.0659
53.799999	96.718864	91.2212
54.500000	96.619934	90.5188
55.200001	96.522072	89.7742
56.000000	96.392105	89.0020
57.000000	96.245125	88.1880
58.000000	96.084221	87.1525
59.000000	95.900032	86.3578
60.000000	95.780525	85.6378
60.799999	95.678223	84.8953
61.500000	95.567078	84.3210
62.200001	95.463257	83.8046
63.000000	95.362350	83.1155
64.000000	95.231461	82.2343
65.000000	95.104897	81.6578
66.000000	94.990936	81.0388
67.000000	94.854576	80.2986
68.000000	94.722351	79.5999
69.000000	94.580597	79.0900
70.000000	94.474815	78.7030
71.000000	94.371506	77.8805
72.000000	94.233078	77.2139
73.000000	94.130554	76.7473
74.000000	94.016281	76.0918
75.000000	93.878891	75.5364
76.199997	93.751724	75.0581
77.500000	93.622116	74.3681
78.800003	93.488258	73.7475
80.000000	93.380974	73.1750
81.199997	93.257492	72.6584
82.500000	93.124741	72.0542
83.800003	93.003944	71.4931
85.000000	92.895767	71.0070
