* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 7, 2024 1:47:32 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: S2 L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	101.785004	-171.5854
20.600000	101.773521	-172.5465
20.900000	101.754967	-173.4336
21.200001	101.739380	-174.3005
21.400000	101.733589	-174.8618
21.799999	101.734543	-175.9403
22.000000	101.740234	-176.4562
22.400000	101.756660	-177.4390
22.700001	101.767517	-178.1305
23.000000	101.773453	-178.7838
23.299999	101.773071	-179.4058
23.600000	101.766769	179.9902
24.000000	101.752007	179.1813
24.299999	101.738686	178.5510
24.700001	101.720840	177.6630
25.000000	101.708488	176.9656
25.400000	101.693733	176.0161
25.799999	101.679909	175.0804
26.200001	101.665245	174.1936
26.500000	101.652786	173.5728
26.900000	101.634132	172.8041
27.200001	101.619247	172.2632
27.600000	101.599937	171.5637
28.000000	101.582680	170.8595
28.500000	101.564110	169.9372
29.000000	101.545532	168.9691
29.500000	101.522797	167.9958
30.000000	101.494034	167.0693
30.400000	101.467583	166.3776
30.700001	101.446869	165.8842
31.100000	101.419479	165.2474
31.500000	101.393509	164.6166
32.000000	101.363640	163.8167
32.500000	101.335785	163.0017
33.000000	101.307884	162.1894
33.500000	101.277969	161.4017
34.000000	101.245239	160.6492
34.500000	101.210236	159.9238
35.000000	101.174210	159.2043
35.500000	101.138321	158.4753
36.000000	101.103920	157.7413
36.500000	101.073318	157.0197
37.000000	101.048965	156.3175
37.500000	101.030304	155.6178
38.200001	101.003113	154.6035
38.700001	100.975021	153.8643
39.500000	100.915970	152.7365
40.000000	100.876450	152.1016
40.599998	100.830643	151.4565
41.200001	100.794983	150.9755
41.799999	100.781670	150.5525
42.500000	100.778404	149.7836
43.099998	100.737053	148.7715
43.700001	100.636940	147.7053
44.400002	100.502777	146.8000
45.000000	100.436043	146.2487
45.500000	100.415619	145.7407
46.200001	100.392143	144.8669
46.799999	100.348206	144.1111
47.500000	100.280281	143.3533
48.200001	100.217400	142.6652
48.700001	100.178711	142.1573
49.400002	100.124718	141.4011
50.000000	100.071259	140.7555
50.799999	99.997787	139.9693
51.500000	99.944054	139.2911
52.200001	99.890999	138.5867
53.000000	99.824722	137.8731
53.799999	99.762573	137.1891
54.500000	99.698334	136.5025
55.200001	99.630318	135.8389
56.000000	99.579620	135.1038
57.000000	99.507751	134.1885
58.000000	99.411629	133.5469
59.000000	99.307449	132.4381
60.000000	99.158180	131.3814
60.799999	99.121170	131.0106
61.500000	99.125488	130.5790
62.200001	99.085938	130.0593
63.000000	99.005493	129.5261
64.000000	98.919914	128.6705
65.000000	98.842926	127.8235
66.000000	98.776901	127.2026
67.000000	98.695114	126.5505
68.000000	98.608994	125.8456
69.000000	98.532196	125.1323
70.000000	98.450119	124.4811
71.000000	98.369980	123.8975
72.000000	98.300613	123.2851
73.000000	98.221848	122.6505
74.000000	98.141335	122.0437
75.000000	98.069176	121.4133
76.199997	97.972168	120.7625
77.500000	97.864426	120.0613
78.800003	97.766098	119.2862
80.000000	97.696457	118.6642
81.199997	97.606293	118.0553
82.500000	97.498734	117.3184
83.800003	97.408348	116.7628
85.000000	97.336166	116.2589
86.199997	97.274445	115.5775
87.500000	97.156952	114.8381
88.500000	97.073494	114.5610
90.000000	97.019707	114.1227
91.199997	96.939430	113.2622
92.500000	96.825760	112.9591
93.800003	96.766609	112.2739
95.000000	96.684204	111.8858
96.199997	96.616005	111.3278
97.500000	96.531906	110.8567
98.800003	96.452042	110.3347
100.000000	96.381378	109.9022
101.500000	96.295944	109.3170
103.000000	96.206337	108.8246
104.400002	96.125412	108.3497
106.000000	96.039566	107.7762
107.500000	95.951767	107.2719
109.000000	95.872841	106.8064
110.599998	95.784775	106.4419
112.000000	95.717308	105.8102
113.800003	95.640945	105.4006
115.000000	95.577019	105.0995
117.199997	95.459229	104.4749
118.000000	95.426506	104.2165
120.599998	95.321564	103.4301
122.000000	95.249489	103.2431
124.099998	95.139786	102.5421
125.000000	95.123100	102.3179
126.500000	95.056633	102.0587
128.000000	94.988037	101.6672
131.500000	94.867249	100.8320
132.000000	94.847221	100.7108
134.000000	94.771713	100.2506
136.000000	94.695023	99.8041
138.000000	94.626266	99.5740
140.000000	94.559105	98.9648
143.000000	94.447227	98.5348
145.000000	94.388367	97.9796
147.500000	94.333084	97.5984
150.000000	94.257698	97.0797
152.500000	94.167862	96.6777
155.000000	94.126007	96.1396
157.500000	94.045662	95.6924
160.000000	93.983322	95.3192
162.500000	93.957321	94.9478
165.000000	93.863815	94.8252
167.500000	93.809174	94.2345
170.000000	93.773590	93.8177
172.500000	93.708023	93.5494
175.000000	93.649887	93.2007
177.500000	93.609657	92.8677
180.000000	93.583298	92.9605
182.500000	93.537643	92.5192
185.000000	93.532318	92.3344
187.500000	93.547302	91.9944
190.000000	93.545341	91.6551
192.500000	93.546768	91.2076
195.000000	93.541847	90.7248
197.500000	93.535812	90.2387
200.000000	93.517075	89.7406
203.000000	93.512260	89.2873
206.000000	93.489082	88.6848
209.000000	93.464500	88.1633
212.000000	93.443420	87.7495
214.000000	93.428589	87.3543
218.000000	93.408333	86.7271
220.000000	93.397842	86.4052
224.000000	93.363907	85.7287
227.000000	93.346207	85.3093
230.000000	93.335960	84.8138
233.000000	93.322151	84.2677
236.000000	93.326508	84.0760
240.000000	93.309555	83.5428
243.000000	93.289139	82.9568
247.000000	93.252235	82.3066
250.000000	93.263733	81.8304
254.000000	93.258354	81.2638
258.000000	93.244408	80.7747
262.000000	93.233154	80.2261
265.000000	93.229881	79.8547
269.000000	93.225464	79.3318
272.000000	93.215012	78.8857
276.000000	93.205109	78.3336
280.000000	93.198471	77.8188
285.000000	93.190536	77.1212
290.000000	93.189781	76.5271
295.000000	93.171013	76.0149
300.000000	93.125885	75.4801
304.000000	93.166641	74.8933
307.000000	93.159607	74.5477
311.000000	93.162056	74.1496
315.000000	93.162033	73.7444
320.000000	93.179611	73.1886
325.000000	93.191742	72.5645
330.000000	93.173927	72.2580
335.000000	93.205963	71.3562
340.000000	93.216682	70.7241
345.000000	93.208916	70.1099
350.000000	93.209129	69.5063
355.000000	93.202660	68.9615
360.000000	93.202034	68.3705
365.000000	93.195175	67.8373
370.000000	93.188217	67.3239
375.000000	93.180519	66.7924
382.000000	93.171509	66.1070
387.000000	93.165222	65.6099
395.000000	93.156555	64.8721
400.000000	93.148956	64.4197
406.000000	93.144501	63.8982
412.000000	93.132416	63.3984
418.000000	93.131393	62.9304
425.000000	93.113892	62.3494
431.000000	93.111931	61.8937
437.000000	93.104660	61.4705
444.000000	93.091980	60.9277
450.000000	93.090538	60.5146
455.000000	93.092651	60.1936
462.000000	93.079811	59.7061
468.000000	93.085983	59.3532
475.000000	93.090752	58.8995
482.000000	93.089767	58.4393
487.000000	93.093964	58.1166
494.000000	93.098198	57.6388
500.000000	93.098846	57.1768
508.000000	93.103287	56.5081
515.000000	93.080429	55.8364
522.000000	93.022987	55.4167
530.000000	92.973946	55.0792
538.000000	92.949547	54.8587
545.000000	92.932671	54.6293
552.000000	92.928741	54.4042
560.000000	92.914131	54.1273
570.000000	92.911781	53.7270
580.000000	92.891945	53.3448
590.000000	92.871490	53.0407
600.000000	92.860672	52.7720
608.000000	92.843224	52.4850
615.000000	92.826355	52.3269
622.000000	92.817520	52.1570
630.000000	92.802856	51.9964
640.000000	92.791496	51.8120
650.000000	92.774315	51.6141
660.000000	92.773178	51.3531
670.000000	92.742645	51.3182
680.000000	92.731621	51.1925
690.000000	92.712296	51.1091
700.000000	92.704483	51.0548
710.000000	92.693474	51.0104
720.000000	92.682709	50.9632
730.000000	92.669067	50.9550
740.000000	92.663788	50.9945
750.000000	92.648895	50.9990
762.000000	92.644760	51.0443
775.000000	92.641037	51.1444
788.000000	92.637398	51.3224
800.000000	92.639832	51.4850
812.000000	92.636360	51.6264
825.000000	92.648216	51.8737
838.000000	92.655258	52.0826
850.000000	92.665466	52.3185
862.000000	92.682968	52.5939
875.000000	92.702301	52.9195
885.000000	92.727203	53.0895
900.000000	92.793335	53.5699
912.000000	92.804230	53.8743
925.000000	92.836899	54.2331
938.000000	92.890869	54.5184
950.000000	92.929848	54.8758
962.000000	92.989433	55.2639
975.000000	93.054588	55.5695
988.000000	93.123825	55.8885
1000.000000	93.193405	56.2057
1015.000000	93.278244	56.6128
1030.000000	93.377701	56.9755
1044.000000	93.471252	57.2656
1060.000000	93.589630	57.5946
1075.000000	93.698303	57.8485
1090.000000	93.818375	58.0598
1106.000000	93.950554	58.2385
1120.000000	94.068878	58.3665
1138.000000	94.220352	58.4565
1150.000000	94.327858	58.4803
1172.000000	94.517242	58.4196
1180.000000	94.583328	58.3745
1206.000000	94.804321	58.1408
1220.000000	94.919197	57.9800
1241.000000	95.084549	57.6087
1250.000000	95.155182	57.4659
1265.000000	95.262352	57.1697
1280.000000	95.370796	56.8394
1315.000000	95.609421	56.0367
1320.000000	95.645775	55.9222
1340.000000	95.773254	55.3192
1360.000000	95.887329	54.6981
1380.000000	95.985413	54.0275
1400.000000	96.074646	53.3735
1430.000000	96.186119	52.4044
1450.000000	96.247818	51.7812
1475.000000	96.312981	51.0581
1500.000000	96.371490	50.4091
1525.000000	96.413391	49.7372
1550.000000	96.447830	49.1564
1575.000000	96.476601	48.7014
1600.000000	96.500626	48.2740
1625.000000	96.523140	48.0034
1650.000000	96.548050	47.8427
1675.000000	96.588638	47.8787
1700.000000	96.674431	47.9937
1725.000000	96.815338	47.9613
1750.000000	96.968529	47.4847
1775.000000	97.081757	46.7240
1800.000000	97.153923	45.9171
1825.000000	97.205994	45.2156
1850.000000	97.246521	44.6032
1875.000000	97.285378	44.0702
1900.000000	97.324348	43.5591
1925.000000	97.361168	43.0871
1950.000000	97.403534	42.6283
1975.000000	97.445908	42.1594
2000.000000	97.486725	41.7040
2030.000000	97.538246	41.1355
2060.000000	97.589760	40.5613
2090.000000	97.639626	39.9685
2120.000000	97.687950	39.3371
2140.000000	97.717255	38.9450
2180.000000	97.770576	38.0833
2200.000000	97.796654	37.6449
2240.000000	97.841240	36.7561
2270.000000	97.866005	36.1028
2300.000000	97.887161	35.4514
2330.000000	97.903328	34.8518
2360.000000	97.924469	34.2618
2400.000000	97.963585	33.4766
2430.000000	97.994774	32.8104
2470.000000	98.025078	31.8175
2500.000000	98.037262	31.0435
2540.000000	98.040787	30.0323
2580.000000	98.025314	29.0157
2620.000000	97.996468	28.1067
2650.000000	97.979286	27.5092
2690.000000	97.973923	26.7104
2720.000000	97.974754	26.0154
2760.000000	97.962883	24.9543
2800.000000	97.925209	23.8053
2850.000000	97.831573	22.3500
2900.000000	97.686302	21.0991
2950.000000	97.504242	20.1451
3000.000000	97.316055	19.4933
3040.000000	97.160408	19.1674
3070.000000	97.035355	19.0392
3110.000000	96.868324	19.0388
3150.000000	96.704842	19.3505
3200.000000	96.545258	20.1246
3250.000000	96.455444	21.1213
3300.000000	96.428192	22.0519
3350.000000	96.441528	22.8126
3400.000000	96.470734	23.4299
3450.000000	96.509537	23.9384
3500.000000	96.555038	24.3479
3550.000000	96.596870	24.7208
3600.000000	96.642471	25.1119
3650.000000	96.698936	25.5170
3700.000000	96.763031	25.9370
3750.000000	96.848366	26.3641
3820.000000	96.990952	26.8567
3870.000000	97.107735	27.1210
3950.000000	97.300171	27.3457
4000.000000	97.430573	27.4360
4060.000000	97.592285	27.4438
4120.000000	97.772110	27.3740
4180.000000	97.956772	27.1059
4250.000000	98.173271	26.5745
4310.000000	98.343544	25.9692
4370.000000	98.515373	25.2928
4440.000000	98.723343	24.3756
4500.000000	98.914375	23.3610
4550.000000	99.073898	22.2339
4620.000000	99.263794	20.1878
4680.000000	99.371704	18.0509
4750.000000	99.411774	15.3573
4820.000000	99.349571	12.5967
4870.000000	99.249725	10.7003
4940.000000	99.042656	8.2797
5000.000000	98.813820	6.4593
5080.000000	98.455185	4.4713
5150.000000	98.109581	3.1528
5220.000000	97.746635	2.2306
5300.000000	97.325714	1.5934
5380.000000	96.906494	1.3616
5450.000000	96.555389	1.4698
5520.000000	96.215805	1.7782
5600.000000	95.849884	2.3420
5700.000000	95.426895	3.2924
5800.000000	95.034729	4.4310
5900.000000	94.661385	5.6819
6000.000000	94.316223	7.0963
6080.000000	94.051018	8.2949
6150.000000	93.830360	9.4092
6220.000000	93.620056	10.6532
6300.000000	93.395767	12.1010
6400.000000	93.142899	14.1296
6500.000000	92.926369	16.2903
6600.000000	92.751755	18.5785
6700.000000	92.639740	20.9869
6800.000000	92.594543	23.4365
6900.000000	92.625946	25.6993
7000.000000	92.730568	27.8546
7100.000000	92.906616	29.7543
7200.000000	93.150772	31.3521
7300.000000	93.478996	32.4727
7400.000000	93.853065	32.9178
7500.000000	94.261208	32.7363
7620.000000	94.782166	31.4966
7750.000000	95.324646	28.8489
7880.000000	95.776825	24.7006
8000.000000	96.028603	19.8505
8120.000000	96.064445	14.6090
8250.000000	95.872803	9.1072
8380.000000	95.484329	4.4655
8500.000000	95.046883	1.1682
8620.000000	94.563538	-1.2722
8750.000000	94.047623	-2.9321
8850.000000	93.676445	-3.6240
9000.000000	93.191185	-3.7627
9120.000000	92.879669	-3.4127
9250.000000	92.640503	-2.6004
9380.000000	92.498451	-1.6006
9500.000000	92.461014	-0.5177
9620.000000	92.526260	0.2228
9750.000000	92.701462	0.5586
9880.000000	92.952904	0.1565
10000.000000	93.214371	-1.0396
10150.000000	93.501511	-4.0616
10300.000000	93.603210	-8.6327
10440.000000	93.404533	-13.3251
10600.000000	92.869324	-17.6594
10750.000000	92.281357	-19.8202
10900.000000	91.845016	-20.9952
11060.000000	91.556000	-22.6027
11200.000000	91.351868	-24.9565
11380.000000	90.976303	-29.0903
11500.000000	90.629799	-32.2261
11720.000000	89.738655	-37.9807
11800.000000	89.366547	-39.8887
12060.000000	88.034615	-44.9564
12200.000000	87.308807	-46.8971
12410.000000	86.373352	-49.0798
12500.000000	86.046326	-49.8274
12650.000000	85.576469	-51.3419
12800.000000	85.229248	-53.1520
13150.000000	84.838943	-58.9885
13200.000000	84.838333	-60.0928
13400.000000	84.980850	-64.9216
13600.000000	85.277405	-71.3337
13800.000000	85.673767	-79.5948
14000.000000	86.088905	-89.3216
14300.000000	86.513336	-105.9683
14500.000000	86.655006	-117.4662
14750.000000	86.616737	-131.7030
15000.000000	87.140938	-145.9917
15250.000000	86.580353	-156.5931
15500.000000	86.934929	-168.8864
15750.000000	87.720261	176.3630
16000.000000	88.258408	154.2907
16250.000000	89.236885	135.3950
16500.000000	90.999329	88.5349
16750.000000	82.286461	64.1880
17000.000000	85.980057	73.0641
