* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 14, 2024 3:08:15 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Noir L NC
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	101.775398	-174.9047
20.600000	101.765205	-175.7803
20.900000	101.748474	-176.5519
21.200001	101.732407	-177.2988
21.400000	101.723633	-177.7856
21.799999	101.712006	-178.7336
22.000000	101.709167	-179.1947
22.400000	101.708267	179.9065
22.700001	101.709747	179.2468
23.000000	101.710785	178.5919
23.299999	101.709213	177.9364
23.600000	101.703346	177.2777
24.000000	101.687943	176.3963
24.299999	101.671768	175.7345
24.700001	101.646759	174.8493
25.000000	101.626953	174.1802
25.400000	101.599915	173.2819
25.799999	101.572220	172.3941
26.200001	101.545624	171.5460
26.500000	101.528900	170.9475
26.900000	101.514442	170.1897
27.200001	101.510109	169.6319
27.600000	101.509148	168.8696
28.000000	101.506012	168.0765
28.500000	101.488052	167.0851
29.000000	101.454430	166.1772
29.500000	101.416962	165.3755
30.000000	101.386063	164.6068
30.400000	101.365219	163.9605
30.700001	101.349174	163.4496
31.100000	101.324966	162.7494
31.500000	101.298004	162.0560
32.000000	101.263992	161.2246
32.500000	101.231750	160.4269
33.000000	101.198875	159.6460
33.500000	101.162811	158.8797
34.000000	101.124893	158.1307
34.500000	101.088333	157.3904
35.000000	101.054237	156.6479
35.500000	101.020950	155.9055
36.000000	100.986328	155.1767
36.500000	100.949371	154.4700
37.000000	100.910797	153.7820
37.500000	100.872894	153.1003
38.200001	100.824471	152.1244
38.700001	100.791145	151.4077
39.500000	100.730614	150.3193
40.000000	100.690765	149.7349
40.599998	100.649582	149.0897
41.200001	100.612152	148.3876
41.799999	100.564148	147.6027
42.500000	100.492981	146.7266
43.099998	100.439674	146.0739
43.700001	100.403358	145.4137
44.400002	100.361809	144.5405
45.000000	100.312645	143.7904
45.500000	100.268639	143.2322
46.200001	100.216835	142.5111
46.799999	100.176262	141.8577
47.500000	100.114685	141.0812
48.200001	100.047333	140.4289
48.700001	100.014015	140.0146
49.400002	99.983994	139.3079
50.000000	99.939255	138.5714
50.799999	99.841469	137.7365
51.500000	99.781639	137.1464
52.200001	99.754745	136.2784
53.000000	99.683159	135.1283
53.799999	99.591248	134.5790
54.500000	99.564140	134.3489
55.200001	99.541069	133.8028
56.000000	99.457428	133.0092
57.000000	99.366745	132.1668
58.000000	99.306656	131.1464
59.000000	99.225548	130.3565
60.000000	99.163887	129.5890
60.799999	99.090195	128.8573
61.500000	99.018135	128.3336
62.200001	98.963463	127.8422
63.000000	98.906631	127.2052
64.000000	98.832253	126.4632
65.000000	98.766266	125.6966
66.000000	98.683014	124.9273
67.000000	98.610382	124.2450
68.000000	98.534065	123.5029
69.000000	98.448494	122.8320
70.000000	98.373138	122.1407
71.000000	98.296944	121.4760
72.000000	98.223686	120.8621
73.000000	98.152206	120.2205
74.000000	98.076965	119.5738
75.000000	97.993797	119.0326
76.199997	97.907425	118.3644
77.500000	97.841202	117.4437
78.800003	97.760025	116.6568
80.000000	97.676003	116.1873
81.199997	97.572708	115.6053
82.500000	97.492363	114.9952
83.800003	97.419884	114.2230
85.000000	97.353714	113.5687
86.199997	97.276253	112.9350
87.500000	97.183472	112.3049
88.500000	97.105286	111.7223
90.000000	97.039093	110.9355
91.199997	96.962936	110.5204
92.500000	96.863708	109.7809
93.800003	96.821693	109.1586
95.000000	96.732391	108.7743
96.199997	96.634338	108.1793
97.500000	96.590141	107.4044
98.800003	96.540977	107.6557
100.000000	96.015900	106.0839
101.500000	96.282761	106.2417
103.000000	96.334091	104.7952
104.400002	96.213791	105.1429
106.000000	96.102066	104.1490
107.500000	96.045540	103.6937
109.000000	95.946960	103.0515
110.599998	95.889343	102.5959
112.000000	95.790985	102.0185
113.800003	95.735771	101.4278
115.000000	95.666954	101.1293
117.199997	95.544891	100.4274
118.000000	95.521408	100.1867
120.599998	95.388992	99.4356
122.000000	95.358765	98.9246
124.099998	95.254013	98.2035
125.000000	95.220779	97.9163
126.500000	95.148132	97.5221
128.000000	95.096603	97.1077
131.500000	94.969803	96.2045
132.000000	94.953773	96.0358
134.000000	94.870445	95.4937
136.000000	94.792488	94.9999
138.000000	94.721863	94.5157
140.000000	94.652847	93.9562
143.000000	94.561562	93.2843
145.000000	94.485428	92.8273
147.500000	94.407532	92.2827
150.000000	94.319633	91.7507
152.500000	94.243149	91.1872
155.000000	94.177185	90.8005
157.500000	94.100899	90.3665
160.000000	94.030075	89.9268
162.500000	93.973129	89.5553
165.000000	93.908562	89.1740
167.500000	93.852966	88.8971
170.000000	93.810394	88.6141
172.500000	93.773705	88.4769
175.000000	93.774765	88.1728
177.500000	93.764725	87.9781
180.000000	93.802170	87.5480
182.500000	93.826584	86.8454
185.000000	93.835213	86.4085
187.500000	93.817757	85.8293
190.000000	93.795998	85.1350
192.500000	93.774040	84.4747
195.000000	93.754105	83.8753
197.500000	93.729591	83.2613
200.000000	93.684875	82.7019
203.000000	93.660080	81.5580
206.000000	93.625076	81.5444
209.000000	93.591492	80.9908
212.000000	93.564392	80.3617
214.000000	93.545074	80.0766
218.000000	93.508362	79.3477
220.000000	93.494011	79.0190
224.000000	93.466469	78.2608
227.000000	93.441589	77.7867
230.000000	93.419006	77.2956
233.000000	93.400131	76.8086
236.000000	93.382774	76.3190
240.000000	93.346550	75.6473
243.000000	93.343010	75.2028
247.000000	93.327408	74.6287
250.000000	93.314758	74.1420
254.000000	93.298218	73.5484
258.000000	93.276016	72.9601
262.000000	93.264572	72.3077
