* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 14, 2024 3:09:45 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Noir R NC
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	101.830048	-179.3706
20.600000	101.817368	179.7817
20.900000	101.794601	179.0436
21.200001	101.770325	178.3425
21.400000	101.755478	177.8900
21.799999	101.730476	177.0043
22.000000	101.720047	176.5656
22.400000	101.701370	175.6928
22.700001	101.687439	175.0442
23.000000	101.672829	174.4033
23.299999	101.657516	173.7695
23.600000	101.641678	173.1395
24.000000	101.619537	172.2981
24.299999	101.601639	171.6666
24.700001	101.575729	170.8350
25.000000	101.555817	170.2297
25.400000	101.531532	169.4521
25.799999	101.512878	168.6912
26.200001	101.499634	167.9147
26.500000	101.490768	167.3099
26.900000	101.476219	166.4851
27.200001	101.461830	165.8739
27.600000	101.439636	165.1054
28.000000	101.418137	164.4067
28.500000	101.396805	163.6041
29.000000	101.376747	162.8089
29.500000	101.347115	161.9826
30.000000	101.303185	161.1382
30.400000	101.261444	160.4609
30.700001	101.228989	159.9512
31.100000	101.185333	159.2698
31.500000	101.139969	158.6071
32.000000	101.080299	157.8722
32.500000	101.024643	157.2944
33.000000	100.985413	156.8066
33.500000	100.963135	156.2390
34.000000	100.939873	155.4715
34.500000	100.897354	154.5636
35.000000	100.837540	153.6993
35.500000	100.780594	152.9932
36.000000	100.741707	152.3816
36.500000	100.713074	151.7174
37.000000	100.673630	150.9391
37.500000	100.615204	150.1148
38.200001	100.533752	149.0643
38.700001	100.502205	148.4104
39.500000	100.482178	147.4527
40.000000	100.452705	146.9303
40.599998	100.381851	146.4107
41.200001	100.294220	145.9130
41.799999	100.228271	145.2896
42.500000	100.212891	144.3857
43.099998	100.242035	143.6397
43.700001	100.260971	143.1290
44.400002	100.204254	143.0145
45.000000	100.094254	143.2754
45.500000	100.002663	143.4444
46.200001	99.915230	142.9952
46.799999	99.858086	141.8760
