* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 7, 2024 1:46:45 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: S2 R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	101.436729	-171.7144
20.600000	101.436386	-172.5577
20.900000	101.429970	-173.2979
21.200001	101.424469	-174.0251
21.400000	101.422676	-174.5134
21.799999	101.422775	-175.5165
22.000000	101.423492	-176.0333
22.400000	101.423065	-177.0865
22.700001	101.418938	-177.8725
23.000000	101.411461	-178.6350
23.299999	101.402084	-179.3609
23.600000	101.393097	179.9526
24.000000	101.385201	179.0829
24.299999	101.382729	178.4433
24.700001	101.380920	177.5812
25.000000	101.376808	176.9243
25.400000	101.363297	176.0512
25.799999	101.340446	175.2132
26.200001	101.314011	174.4235
26.500000	101.296516	173.8486
26.900000	101.279549	173.0646
27.200001	101.270866	172.4424
27.600000	101.260033	171.5733
28.000000	101.246208	170.7103
28.500000	101.226921	169.7491
29.000000	101.217010	168.9570
29.500000	101.219986	168.2249
30.000000	101.218010	167.3984
30.400000	101.197449	166.6472
30.700001	101.168190	166.0624
31.100000	101.116623	165.3028
31.500000	101.064209	164.5928
32.000000	101.015404	163.7470
32.500000	100.987717	162.8908
33.000000	100.967422	162.0267
33.500000	100.943184	161.2101
34.000000	100.913811	160.4595
34.500000	100.881264	159.7292
35.000000	100.845062	158.9738
35.500000	100.806396	158.2021
36.000000	100.771294	157.4447
36.500000	100.743607	156.7031
37.000000	100.717873	155.9657
37.500000	100.684982	155.2506
38.200001	100.626816	154.3377
38.700001	100.586830	153.7112
39.500000	100.529938	152.5934
40.000000	100.490738	151.8440
40.599998	100.441696	151.0117
41.200001	100.401390	150.2787
41.799999	100.369278	149.5740
42.500000	100.326050	148.7356
43.099998	100.279762	148.0283
43.700001	100.231346	147.3212
44.400002	100.173073	146.4560
45.000000	100.119072	145.7184
45.500000	100.075706	145.1520
46.200001	100.026215	144.4208
46.799999	99.990196	143.7894
47.500000	99.939934	143.0228
48.200001	99.876968	142.2596
