* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 14, 2025 2:43:08 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	108.492	-172.4141
20.600000	108.497	-172.9010
20.900000	108.498	-173.3402
21.200001	108.497	-173.7861
21.400000	108.497	-174.0899
21.799999	108.495	-174.7040
22.000000	108.493	-175.0089
22.400000	108.491	-175.6056
22.700001	108.491	-176.0413
23.000000	108.492	-176.4738
23.299999	108.494	-176.9100
23.600000	108.494	-177.3529
24.000000	108.490	-177.9446
24.299999	108.485	-178.3759
24.700001	108.476	-178.9184
25.000000	108.470	-179.3011
25.400000	108.465	-179.7938
25.799999	108.463	179.7120
26.200001	108.458	179.2082
26.500000	108.452	178.8312
26.900000	108.440	178.3451
27.200001	108.431	177.9986
27.600000	108.420	177.5541
28.000000	108.414	177.1117
28.500000	108.411	176.5392
29.000000	108.405	175.9527
29.500000	108.394	175.3842
30.000000	108.379	174.8526
30.400000	108.366	174.4460
30.700001	108.356	174.1430
31.100000	108.343	173.7340
31.500000	108.331	173.3174
32.000000	108.317	172.7936
32.500000	108.303	172.2792
33.000000	108.290	171.7849
33.500000	108.277	171.3123
34.000000	108.262	170.8543
34.500000	108.245	170.4009
35.000000	108.226	169.9481
35.500000	108.206	169.4992
36.000000	108.186	169.0572
36.500000	108.169	168.6173
37.000000	108.152	168.1737
37.500000	108.134	167.7302
38.200001	108.105	167.1329
38.700001	108.084	166.7285
39.500000	108.054	166.0910
40.000000	108.035	165.6884
40.599998	108.010	165.2144
41.200001	107.985	164.7596
41.799999	107.960	164.3116
42.500000	107.932	163.7786
43.099998	107.907	163.3218
43.700001	107.880	162.8820
44.400002	107.849	162.3921
45.000000	107.823	161.9788
45.500000	107.801	161.6301
46.200001	107.768	161.1378
46.799999	107.739	160.7282
47.500000	107.708	160.2732
48.200001	107.680	159.8202
48.700001	107.657	159.4930
49.400002	107.621	159.0495
50.000000	107.591	158.6798
50.799999	107.555	158.1697
51.500000	107.523	157.7377
52.200001	107.495	157.3560
53.000000	107.465	156.9086
53.799999	107.423	156.4059
54.500000	107.377	155.9861
55.200001	107.336	155.6039
56.000000	107.301	155.1649
57.000000	107.258	154.5756
58.000000	107.201	154.0291
59.000000	107.153	153.5670
60.000000	107.114	153.0190
60.799999	107.072	152.5903
61.500000	107.036	152.2669
62.200001	107.002	151.9451
63.000000	106.963	151.5642
64.000000	106.915	151.0599
65.000000	106.860	150.5900
66.000000	106.818	150.1863
67.000000	106.773	149.7126
68.000000	106.714	149.2911
69.000000	106.664	148.8517
70.000000	106.610	148.3967
71.000000	106.565	147.9947
72.000000	106.516	147.5582
73.000000	106.461	147.1409
74.000000	106.405	146.7059
75.000000	106.352	146.3679
76.199997	106.310	145.9177
77.500000	106.237	145.4117
78.800003	106.183	144.9905
80.000000	106.116	144.5126
81.199997	106.059	144.1328
82.500000	106.004	143.6420
83.800003	105.934	143.2105
85.000000	105.878	142.8237
86.199997	105.819	142.4138
87.500000	105.759	142.0197
88.500000	105.711	141.6995
90.000000	105.642	141.2524
91.199997	105.586	140.9012
92.500000	105.526	140.5229
93.800003	105.466	140.1451
95.000000	105.414	139.7936
96.199997	105.359	139.4733
97.500000	105.301	139.1108
98.800003	105.245	138.7577
100.000000	105.190	138.4371
101.500000	105.124	138.0658
103.000000	105.056	137.7056
104.400002	104.998	137.3749
106.000000	104.940	137.0183
107.500000	104.885	136.6906
109.000000	104.835	136.3127
110.599998	104.786	135.9054
112.000000	104.742	135.4689
113.800003	104.682	134.8805
115.000000	104.632	134.4802
117.199997	104.531	133.7705
118.000000	104.492	133.5200
120.599998	104.351	132.7150
122.000000	104.283	132.3801
124.099998	104.170	131.8785
125.000000	104.122	131.6667
126.500000	104.041	131.3530
128.000000	103.963	131.0509
131.500000	103.770	130.4155
132.000000	103.743	130.3352
134.000000	103.634	130.0576
136.000000	103.528	129.8330
138.000000	103.430	129.6981
140.000000	103.345	129.5689
143.000000	103.243	129.3602
145.000000	103.173	129.1473
147.500000	103.088	128.8295
150.000000	102.998	128.5075
152.500000	102.906	128.1774
155.000000	102.807	127.8870
157.500000	102.708	127.6340
160.000000	102.609	127.4384
162.500000	102.521	127.3510
165.000000	102.443	127.2816
167.500000	102.382	127.1815
170.000000	102.330	127.0260
172.500000	102.280	126.7793
175.000000	102.226	126.5005
177.500000	102.171	126.2043
180.000000	102.096	125.8262
182.500000	102.046	125.5574
185.000000	101.977	125.2538
187.500000	101.911	124.9731
190.000000	101.845	124.6929
192.500000	101.777	124.4232
195.000000	101.712	124.1601
197.500000	101.648	123.9197
200.000000	101.588	123.6838
203.000000	101.519	123.3782
206.000000	101.458	123.0582
209.000000	101.396	122.6630
212.000000	101.325	122.1879
214.000000	101.271	121.8829
218.000000	101.149	121.3304
220.000000	101.085	121.0739
224.000000	100.960	120.6296
227.000000	100.866	120.3194
230.000000	100.773	120.0377
233.000000	100.682	119.7714
236.000000	100.585	119.4992
240.000000	100.458	119.1820
243.000000	100.353	118.9587
247.000000	100.213	118.7061
250.000000	100.106	118.5789
254.000000	99.958	118.5292
258.000000	99.820	118.6322
262.000000	99.699	118.8165
265.000000	99.617	119.0347
269.000000	99.541	119.3278
272.000000	99.492	119.4761
276.000000	99.442	119.6213
280.000000	99.398	119.6783
285.000000	99.341	119.6456
290.000000	99.276	119.5355
295.000000	99.204	119.4568
300.000000	99.116	119.4025
304.000000	99.081	119.4067
307.000000	99.041	119.4293
311.000000	98.993	119.4037
315.000000	98.952	119.3589
320.000000	98.903	119.3140
325.000000	98.854	119.2587
330.000000	98.788	119.2166
335.000000	98.737	119.0786
340.000000	98.692	118.9240
345.000000	98.639	118.9716
350.000000	98.572	118.8484
355.000000	98.541	118.9769
360.000000	98.444	119.0242
365.000000	98.438	119.2282
370.000000	98.353	119.3044
375.000000	98.322	120.1806
382.000000	98.339	120.5706
387.000000	98.344	122.8862
395.000000	99.519	115.9413
400.000000	98.801	115.4304
406.000000	98.294	117.5904
412.000000	98.588	120.0759
418.000000	98.966	120.0386
425.000000	99.379	118.7399
431.000000	99.635	116.6844
437.000000	99.691	114.4316
444.000000	99.503	112.4061
450.000000	99.226	111.1757
455.000000	99.005	110.3430
462.000000	98.734	109.5507
468.000000	98.529	108.9661
475.000000	98.367	108.7424
482.000000	98.210	108.6394
487.000000	98.110	108.8876
494.000000	97.934	108.3315
500.000000	97.866	108.5916
508.000000	97.721	108.5840
515.000000	97.635	108.3120
522.000000	97.504	108.4942
530.000000	97.432	108.4635
538.000000	97.324	108.5483
545.000000	97.247	108.7545
552.000000	97.188	108.9669
560.000000	97.125	109.0648
570.000000	97.078	109.0638
580.000000	97.006	109.0238
590.000000	96.928	109.0063
600.000000	96.812	109.0003
608.000000	96.698	109.4751
615.000000	96.697	110.0754
622.000000	96.719	110.1789
630.000000	96.709	110.1671
640.000000	96.679	110.1860
650.000000	96.643	110.1774
660.000000	96.604	110.2962
670.000000	96.559	110.2969
680.000000	96.520	110.3439
690.000000	96.477	110.4389
700.000000	96.432	110.5934
710.000000	96.389	110.7243
720.000000	96.333	110.8983
730.000000	96.276	111.2758
740.000000	96.246	111.8651
750.000000	96.262	112.3964
762.000000	96.292	112.7378
775.000000	96.304	113.0095
788.000000	96.313	113.2605
800.000000	96.314	113.5379
812.000000	96.315	113.8165
825.000000	96.321	114.1423
838.000000	96.327	114.5327
850.000000	96.333	114.8954
862.000000	96.349	115.2863
875.000000	96.372	115.7197
885.000000	96.390	116.0712
900.000000	96.422	116.5502
912.000000	96.457	117.0479
925.000000	96.501	117.5587
938.000000	96.546	118.0775
950.000000	96.598	118.5742
962.000000	96.652	119.0502
975.000000	96.722	119.5987
988.000000	96.796	120.1544
1000.000000	96.873	120.6389
1015.000000	96.978	121.2562
1030.000000	97.097	121.8544
1044.000000	97.221	122.3980
1060.000000	97.378	122.9739
1075.000000	97.534	123.4476
1090.000000	97.704	123.8265
1106.000000	97.894	124.1184
1120.000000	98.064	124.2800
1138.000000	98.282	124.3402
1150.000000	98.424	124.3021
1172.000000	98.679	124.0988
1180.000000	98.767	123.9818
1206.000000	99.038	123.5030
1220.000000	99.173	123.2034
1241.000000	99.366	122.7036
1250.000000	99.443	122.4846
1265.000000	99.566	122.0874
1280.000000	99.685	121.7162
1315.000000	99.939	120.8012
1320.000000	99.975	120.6709
1340.000000	100.109	120.1545
1360.000000	100.239	119.6353
1380.000000	100.364	119.1363
1400.000000	100.487	118.5995
1430.000000	100.661	117.8183
1450.000000	100.773	117.2921
1475.000000	100.910	116.6267
1500.000000	101.047	115.9600
1525.000000	101.176	115.2664
1550.000000	101.304	114.5482
1575.000000	101.428	113.8200
1600.000000	101.550	113.0398
1625.000000	101.666	112.2318
1650.000000	101.780	111.3908
1675.000000	101.888	110.5160
1700.000000	101.993	109.5952
1725.000000	102.090	108.6196
1750.000000	102.185	107.6096
1775.000000	102.277	106.5268
1800.000000	102.363	105.3318
1825.000000	102.436	104.0338
1850.000000	102.490	102.6241
1875.000000	102.521	101.1371
1900.000000	102.530	99.6014
1925.000000	102.516	98.0151
1950.000000	102.474	96.3807
1975.000000	102.399	94.7162
2000.000000	102.291	93.0339
2030.000000	102.102	91.0896
2060.000000	101.850	89.3014
2090.000000	101.535	87.8421
2120.000000	101.172	86.8730
2140.000000	100.915	86.5714
2180.000000	100.428	86.7405
2200.000000	100.215	87.1773
2240.000000	99.877	88.3427
2270.000000	99.685	89.2791
2300.000000	99.537	90.1086
2330.000000	99.411	90.8092
2360.000000	99.292	91.3925
2400.000000	99.124	92.0920
2430.000000	98.994	92.6020
2470.000000	98.812	93.3555
2500.000000	98.674	93.9844
2540.000000	98.480	94.9351
2580.000000	98.285	96.1648
2620.000000	98.120	97.7816
2650.000000	98.045	99.1237
2690.000000	98.023	100.8404
2720.000000	98.051	101.7856
2760.000000	98.072	102.5895
2800.000000	98.044	103.1588
2850.000000	97.967	104.0009
2900.000000	97.889	104.9875
2950.000000	97.825	105.9283
3000.000000	97.751	106.7280
3040.000000	97.675	107.3339
3070.000000	97.609	107.7830
3110.000000	97.510	108.4437
3150.000000	97.396	109.1193
3200.000000	97.247	110.0461
3250.000000	97.075	110.9428
3300.000000	96.858	111.8051
3350.000000	96.571	112.9033
3400.000000	96.209	114.5721
3450.000000	95.819	117.0673
3500.000000	95.448	120.6016
3550.000000	95.189	125.1051
3600.000000	95.072	130.3098
3650.000000	95.157	135.7282
3700.000000	95.440	140.7983
3750.000000	95.855	145.1176
3820.000000	96.554	149.6717
3870.000000	97.069	151.9999
3950.000000	97.873	154.4965
4000.000000	98.348	155.4896
4060.000000	98.877	156.1379
4120.000000	99.364	156.3517
4180.000000	99.806	156.2053
4250.000000	100.265	155.6398
4310.000000	100.601	154.8206
4370.000000	100.876	153.6675
4440.000000	101.090	152.1230
4500.000000	101.175	150.6486
4550.000000	101.164	149.5305
4620.000000	101.030	148.3030
4680.000000	100.818	147.9199
4750.000000	100.550	148.4837
4820.000000	100.265	149.7972
4870.000000	100.084	151.4608
4940.000000	99.910	154.5426
5000.000000	99.879	157.7107
5080.000000	100.040	162.2278
5150.000000	100.369	166.0082
5220.000000	100.878	169.1239
5300.000000	101.606	171.2650
5380.000000	102.387	171.4816
5450.000000	103.006	169.9104
