* Measurement data measured by REW V5.40 beta 124
* Source: USB-C to 3.5mm Headphone Jack Adapter, , 0, volume: 0.310
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 8, 2026, 3:59:09 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	113.973	11.5019
20.299999	113.973	10.9338
20.600000	113.971	10.3743
20.900000	113.968	9.8269
21.200001	113.965	9.2942
21.400000	113.962	8.9471
21.799999	113.958	8.2660
22.000000	113.956	7.9288
22.400000	113.951	7.2561
22.700001	113.946	6.7531
23.000000	113.940	6.2557
23.299999	113.931	5.7692
23.600000	113.922	5.2974
24.000000	113.909	4.6912
24.299999	113.900	4.2492
24.700001	113.888	3.6685
25.000000	113.880	3.2364
25.400000	113.868	2.6649
25.799999	113.855	2.1017
26.200001	113.840	1.5483
26.500000	113.829	1.1400
26.900000	113.813	0.6070
27.200001	113.800	0.2193
27.600000	113.782	-0.2768
28.000000	113.766	-0.7510
28.500000	113.750	-1.3348
29.000000	113.736	-1.9422
29.500000	113.716	-2.5751
30.000000	113.688	-3.1882
30.400000	113.663	-3.6344
30.700001	113.644	-3.9420
31.100000	113.623	-4.3325
31.500000	113.606	-4.7261
32.000000	113.585	-5.2406
32.500000	113.559	-5.7623
33.000000	113.531	-6.2601
33.500000	113.503	-6.7333
34.000000	113.478	-7.2054
34.500000	113.452	-7.6862
35.000000	113.423	-8.1603
35.500000	113.393	-8.6126
36.000000	113.364	-9.0476
36.500000	113.337	-9.4782
37.000000	113.309	-9.9081
37.500000	113.281	-10.3320
38.200001	113.241	-10.9080
38.700001	113.212	-11.3072
39.500000	113.164	-11.9248
40.000000	113.135	-12.3002
40.599998	113.100	-12.7454
41.200001	113.064	-13.1860
41.799999	113.026	-13.6197
42.500000	112.982	-14.1138
43.099998	112.944	-14.5260
43.700001	112.906	-14.9309
44.400002	112.862	-15.3983
45.000000	112.825	-15.7903
45.500000	112.793	-16.1077
46.200001	112.751	-16.5409
46.799999	112.714	-16.9053
47.500000	112.671	-17.3197
48.200001	112.626	-17.7149
48.700001	112.595	-17.9826
49.400002	112.553	-18.3540
50.000000	112.515	-18.6848
50.799999	112.459	-19.1056
51.500000	112.413	-19.4391
52.200001	112.371	-19.8100
53.000000	112.315	-20.2457
53.799999	112.265	-20.6168
54.500000	112.227	-20.9995
55.200001	112.176	-21.3677
56.000000	112.131	-21.6404
57.000000	112.089	-22.1933
58.000000	112.000	-22.4304
59.000000	112.028	-22.6012
60.000000	111.975	-23.7374
60.799999	111.833	-23.9927
61.500000	111.784	-23.8661
62.200001	111.765	-24.0989
63.000000	111.699	-24.4769
64.000000	111.628	-24.7145
65.000000	111.568	-25.1311
66.000000	111.499	-25.4655
67.000000	111.443	-25.8196
68.000000	111.381	-26.1576
69.000000	111.324	-26.4665
70.000000	111.265	-26.7586
71.000000	111.206	-27.0425
72.000000	111.145	-27.3100
73.000000	111.085	-27.5800
74.000000	111.024	-27.8509
75.000000	110.965	-28.1115
76.199997	110.895	-28.4287
77.500000	110.822	-28.7353
78.800003	110.749	-29.0536
80.000000	110.679	-29.3150
81.199997	110.611	-29.5702
82.500000	110.536	-29.8388
83.800003	110.463	-30.0961
85.000000	110.397	-30.3434
86.199997	110.329	-30.5660
87.500000	110.261	-30.8026
88.500000	110.204	-30.9904
90.000000	110.123	-31.2135
91.199997	110.060	-31.4166
92.500000	109.993	-31.6236
93.800003	109.923	-31.8315
95.000000	109.863	-31.9986
96.199997	109.801	-32.1740
97.500000	109.737	-32.3408
98.800003	109.670	-32.5129
100.000000	109.611	-32.6550
101.500000	109.535	-32.8407
103.000000	109.462	-33.0192
104.400002	109.394	-33.1742
106.000000	109.317	-33.3544
107.500000	109.245	-33.5037
109.000000	109.175	-33.6423
110.599998	109.099	-33.7924
112.000000	109.034	-33.9191
113.800003	108.951	-34.0739
115.000000	108.898	-34.1816
117.199997	108.801	-34.3300
118.000000	108.765	-34.4051
120.599998	108.660	-34.5619
122.000000	108.588	-34.6527
124.099998	108.494	-34.7921
125.000000	108.455	-34.8308
126.500000	108.393	-34.9155
128.000000	108.332	-34.9945
131.500000	108.187	-35.1585
132.000000	108.166	-35.1797
134.000000	108.084	-35.2294
136.000000	108.004	-35.3285
138.000000	107.925	-35.4105
140.000000	107.849	-35.4485
143.000000	107.734	-35.5375
145.000000	107.660	-35.5676
147.500000	107.565	-35.6271
150.000000	107.483	-35.6665
152.500000	107.379	-35.7416
155.000000	107.293	-35.7327
157.500000	107.204	-35.7252
160.000000	107.118	-35.7373
162.500000	107.032	-35.7523
165.000000	106.949	-35.7552
167.500000	106.865	-35.7435
170.000000	106.784	-35.7238
172.500000	106.701	-35.7023
175.000000	106.620	-35.6817
177.500000	106.538	-35.6047
180.000000	106.461	-35.6325
182.500000	106.383	-35.5488
185.000000	106.305	-35.4863
187.500000	106.229	-35.4152
190.000000	106.156	-35.3213
192.500000	106.081	-35.2175
195.000000	106.009	-35.1172
197.500000	105.940	-34.9897
200.000000	105.873	-34.8460
203.000000	105.801	-34.6829
206.000000	105.736	-34.5203
209.000000	105.679	-34.3652
212.000000	105.617	-34.3279
214.000000	105.576	-34.3026
218.000000	105.489	-34.2570
220.000000	105.443	-34.2364
224.000000	105.348	-34.1676
227.000000	105.277	-34.1090
230.000000	105.207	-34.0380
233.000000	105.138	-33.9504
236.000000	105.067	-33.8549
240.000000	104.979	-33.7412
243.000000	104.910	-33.6261
247.000000	104.821	-33.4779
250.000000	104.756	-33.3623
254.000000	104.672	-33.2146
258.000000	104.587	-33.0740
262.000000	104.503	-32.8988
265.000000	104.442	-32.7724
269.000000	104.359	-32.5970
272.000000	104.298	-32.4698
276.000000	104.218	-32.2781
280.000000	104.139	-32.0888
285.000000	104.044	-31.8358
290.000000	103.951	-31.5758
295.000000	103.856	-31.3140
300.000000	103.764	-31.0781
304.000000	103.696	-30.7997
307.000000	103.644	-30.6395
311.000000	103.579	-30.4151
315.000000	103.512	-30.1712
320.000000	103.432	-29.8744
325.000000	103.356	-29.5821
330.000000	103.283	-29.2961
335.000000	103.209	-29.0164
340.000000	103.137	-28.7552
345.000000	103.066	-28.4787
350.000000	102.995	-28.2119
355.000000	102.926	-27.9480
360.000000	102.857	-27.6852
365.000000	102.785	-27.3847
370.000000	102.716	-27.1190
375.000000	102.649	-26.8396
382.000000	102.553	-26.4593
387.000000	102.486	-26.1836
395.000000	102.378	-25.6961
400.000000	102.315	-25.3926
406.000000	102.234	-25.0236
412.000000	102.155	-24.6145
418.000000	102.080	-24.2071
425.000000	101.996	-23.6975
431.000000	101.928	-23.2497
437.000000	101.872	-22.7914
444.000000	101.806	-22.2903
450.000000	101.756	-21.9086
455.000000	101.711	-21.5872
462.000000	101.650	-21.1815
468.000000	101.597	-20.8505
475.000000	101.530	-20.4639
482.000000	101.458	-20.0646
487.000000	101.409	-19.7776
494.000000	101.338	-19.3413
500.000000	101.279	-18.9848
508.000000	101.198	-18.4797
515.000000	101.128	-18.0231
522.000000	101.059	-17.5483
530.000000	100.981	-17.0012
538.000000	100.902	-16.4371
545.000000	100.838	-15.9279
552.000000	100.769	-15.4138
560.000000	100.694	-14.7975
570.000000	100.602	-13.9996
580.000000	100.513	-13.1628
590.000000	100.426	-12.2935
600.000000	100.345	-11.3625
608.000000	100.282	-10.5719
615.000000	100.231	-9.9050
622.000000	100.183	-9.1613
630.000000	100.127	-8.2913
640.000000	100.067	-7.0966
650.000000	100.028	-5.7778
660.000000	100.025	-4.2708
670.000000	100.103	-2.9767
680.000000	100.189	-2.2409
690.000000	100.220	-1.6512
700.000000	100.235	-0.9125
710.000000	100.269	-0.1115
720.000000	100.320	0.6598
730.000000	100.381	1.3038
740.000000	100.445	1.8045
750.000000	100.507	2.1613
762.000000	100.558	2.3776
775.000000	100.571	2.5824
788.000000	100.552	2.9170
800.000000	100.533	3.3593
812.000000	100.520	3.8246
825.000000	100.505	4.3746
838.000000	100.491	4.9270
850.000000	100.472	5.4651
862.000000	100.457	6.0447
875.000000	100.445	6.6943
885.000000	100.432	7.2485
900.000000	100.424	8.0033
912.000000	100.424	8.7199
925.000000	100.428	9.4621
938.000000	100.435	10.1687
950.000000	100.447	10.8672
962.000000	100.464	11.5443
975.000000	100.486	12.2761
988.000000	100.518	12.9780
1000.000000	100.550	13.6171
1015.000000	100.596	14.4015
1030.000000	100.648	15.1328
1044.000000	100.703	15.7946
1060.000000	100.769	16.4591
1075.000000	100.830	17.0692
1090.000000	100.895	17.5690
1106.000000	100.960	18.0940
1120.000000	101.019	18.4916
1138.000000	101.089	18.9577
1150.000000	101.132	19.2355
1172.000000	101.197	19.6858
1180.000000	101.218	19.8500
1206.000000	101.281	20.4433
1220.000000	101.313	20.7579
1241.000000	101.360	21.2153
1250.000000	101.382	21.4240
1265.000000	101.419	21.7620
1280.000000	101.454	22.0709
1315.000000	101.531	22.7346
1320.000000	101.542	22.8304
1340.000000	101.579	23.1780
1360.000000	101.612	23.5390
1380.000000	101.642	23.8622
1400.000000	101.670	24.2205
1430.000000	101.704	24.7630
1450.000000	101.725	25.1387
1475.000000	101.751	25.6343
1500.000000	101.776	26.0683
1525.000000	101.771	26.4658
1550.000000	101.777	27.1536
1575.000000	101.793	27.8057
1600.000000	101.821	28.4522
1625.000000	101.841	29.0806
1650.000000	101.867	29.7473
1675.000000	101.894	30.4302
1700.000000	101.924	31.1183
1725.000000	101.955	31.8111
1750.000000	101.992	32.5341
1775.000000	102.032	33.2577
1800.000000	102.079	33.9977
1825.000000	102.129	34.7269
1850.000000	102.182	35.4526
1875.000000	102.237	36.1760
1900.000000	102.301	36.9174
1925.000000	102.368	37.6263
1950.000000	102.439	38.3511
1975.000000	102.516	39.0825
2000.000000	102.597	39.7892
2030.000000	102.701	40.6174
2060.000000	102.815	41.4315
2090.000000	102.933	42.1845
2120.000000	103.063	42.9151
2140.000000	103.148	43.3935
2180.000000	103.334	44.2799
2200.000000	103.433	44.6695
2240.000000	103.634	45.4344
2270.000000	103.791	45.9327
2300.000000	103.953	46.3695
2330.000000	104.120	46.7397
2360.000000	104.291	47.0534
2400.000000	104.521	47.3373
2430.000000	104.698	47.4827
2470.000000	104.934	47.5583
2500.000000	105.115	47.5183
2540.000000	105.350	47.2966
2580.000000	105.591	46.9476
2620.000000	105.811	46.4149
2650.000000	105.972	45.8816
2690.000000	106.173	45.0644
2720.000000	106.312	44.3683
2760.000000	106.481	43.3104
2800.000000	106.624	42.1355
2850.000000	106.767	40.5257
2900.000000	106.862	38.8275
2950.000000	106.913	37.0723
3000.000000	106.917	35.3421
3040.000000	106.888	33.9907
3070.000000	106.849	32.9993
3110.000000	106.773	31.7899
3150.000000	106.675	30.6609
3200.000000	106.527	29.4315
3250.000000	106.352	28.3603
3300.000000	106.155	27.5187
3350.000000	105.945	26.8853
3400.000000	105.723	26.4561
3450.000000	105.494	26.2479
3500.000000	105.254	26.2616
3550.000000	105.019	26.5296
3600.000000	104.783	27.0372
3650.000000	104.556	27.7794
3700.000000	104.343	28.8112
3750.000000	104.158	30.0549
3820.000000	103.965	32.1088
3870.000000	103.869	33.6085
3950.000000	103.765	35.9832
4000.000000	103.711	37.4558
4060.000000	103.650	39.4439
4120.000000	103.616	41.7259
4180.000000	103.642	44.2945
4250.000000	103.780	47.5628
4310.000000	104.009	50.3543
4370.000000	104.348	52.9296
4440.000000	104.860	55.3244
4500.000000	105.377	56.6592
4550.000000	105.832	57.1623
4620.000000	106.476	56.9738
4680.000000	107.000	56.0579
4750.000000	107.544	54.2457
4820.000000	108.004	51.7969
4870.000000	108.276	49.7994
4940.000000	108.577	46.7177
5000.000000	108.759	43.9137
5080.000000	108.900	40.0533
5150.000000	108.927	36.6791
5220.000000	108.870	33.3887
5300.000000	108.705	29.8652
5380.000000	108.457	26.6757
5450.000000	108.178	24.2780
5520.000000	107.861	22.2356
5600.000000	107.469	20.4303
5700.000000	106.956	18.8257
5800.000000	106.443	17.9536
5900.000000	105.950	17.7272
6000.000000	105.495	18.0411
6080.000000	105.157	18.5825
6150.000000	104.889	19.2874
6220.000000	104.643	20.1648
6300.000000	104.396	21.3641
6400.000000	104.144	23.0740
6500.000000	103.955	25.0069
6600.000000	103.841	26.9800
6700.000000	103.780	28.9932
6800.000000	103.773	31.0428
6900.000000	103.793	33.1877
7000.000000	103.910	36.8643
7100.000000	104.522	38.6484
7200.000000	104.934	39.2284
7300.000000	105.411	39.7843
7400.000000	105.983	39.7480
7500.000000	106.634	38.7874
7620.000000	107.472	36.1072
7750.000000	108.371	30.8781
7880.000000	109.096	23.0140
8000.000000	109.426	13.8454
8120.000000	109.315	4.0406
8250.000000	108.740	-5.6256
