* Measurement data measured by REW V5.40 beta 124
* Source: USB-C to 3.5mm Headphone Jack Adapter, , 0, volume: 0.310
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 8, 2026, 4:01:44 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	114.398	12.5962
20.299999	114.397	12.0008
20.600000	114.396	11.4220
20.900000	114.395	10.8590
21.200001	114.393	10.3078
21.400000	114.392	9.9446
21.799999	114.390	9.2254
22.000000	114.388	8.8696
22.400000	114.383	8.1694
22.700001	114.378	7.6582
23.000000	114.372	7.1600
23.299999	114.367	6.6727
23.600000	114.362	6.1923
24.000000	114.355	5.5556
24.299999	114.349	5.0806
24.700001	114.339	4.4559
25.000000	114.330	3.9998
25.400000	114.317	3.4128
25.799999	114.305	2.8472
26.200001	114.293	2.2942
26.500000	114.285	1.8828
26.900000	114.273	1.3365
27.200001	114.264	0.9295
27.600000	114.250	0.3934
28.000000	114.235	-0.1316
28.500000	114.214	-0.7661
29.000000	114.192	-1.3719
29.500000	114.171	-1.9550
30.000000	114.153	-2.5369
30.400000	114.137	-3.0124
30.700001	114.124	-3.3717
31.100000	114.102	-3.8405
31.500000	114.077	-4.2795
32.000000	114.048	-4.7796
32.500000	114.026	-5.2573
33.000000	114.010	-5.7641
33.500000	113.991	-6.3136
34.000000	113.964	-6.8687
34.500000	113.933	-7.3861
35.000000	113.902	-7.8605
35.500000	113.876	-8.3203
36.000000	113.851	-8.7883
36.500000	113.824	-9.2595
37.000000	113.796	-9.7167
37.500000	113.767	-10.1543
38.200001	113.729	-10.7498
38.700001	113.701	-11.1703
39.500000	113.656	-11.8279
40.000000	113.627	-12.2284
40.599998	113.592	-12.7005
41.200001	113.556	-13.1606
41.799999	113.520	-13.6083
42.500000	113.478	-14.1237
43.099998	113.441	-14.5618
43.700001	113.403	-14.9893
44.400002	113.359	-15.4718
