* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Dec 14, 2024 2:08:55 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	105.453	-172.3968
20.600000	105.448	-173.2051
20.900000	105.438	-173.9418
21.200001	105.427	-174.6841
21.400000	105.421	-175.1856
21.799999	105.409	-176.2004
22.000000	105.403	-176.7091
22.400000	105.391	-177.7153
22.700001	105.381	-178.4480
23.000000	105.370	-179.1563
23.299999	105.358	-179.8408
23.600000	105.345	179.4937
24.000000	105.328	178.6218
24.299999	105.315	177.9704
24.700001	105.297	177.0985
25.000000	105.283	176.4448
25.400000	105.263	175.5844
25.799999	105.242	174.7523
26.200001	105.219	173.9581
26.500000	105.201	173.3860
26.900000	105.176	172.6433
27.200001	105.156	172.0924
27.600000	105.129	171.3546
28.000000	105.099	170.6082
28.500000	105.060	169.6676
29.000000	105.023	168.7332
29.500000	104.987	167.8197
30.000000	104.951	166.9400
30.400000	104.923	166.2651
30.700001	104.900	165.7746
31.100000	104.869	165.1357
31.500000	104.837	164.5040
32.000000	104.795	163.7116
32.500000	104.751	162.9150
33.000000	104.707	162.1268
33.500000	104.664	161.3581
34.000000	104.622	160.6108
34.500000	104.580	159.8818
35.000000	104.535	159.1702
35.500000	104.488	158.4727
36.000000	104.440	157.7784
36.500000	104.392	157.0766
37.000000	104.344	156.3718
37.500000	104.294	155.6825
38.200001	104.224	154.7668
38.700001	104.176	154.1382
39.500000	104.096	153.1358
40.000000	104.045	152.5085
40.599998	103.982	151.7678
41.200001	103.921	151.0454
41.799999	103.861	150.3362
42.500000	103.789	149.5177
43.099998	103.724	148.8271
43.700001	103.657	148.1541
44.400002	103.582	147.3871
45.000000	103.520	146.7350
45.500000	103.468	146.1979
46.200001	103.392	145.4686
46.799999	103.326	144.8610
47.500000	103.246	144.1525
48.200001	103.165	143.4461
48.700001	103.108	142.9518
49.400002	103.031	142.2746
50.000000	102.965	141.7046
50.799999	102.877	140.9625
51.500000	102.798	140.3250
52.200001	102.717	139.6955
53.000000	102.623	138.9918
53.799999	102.528	138.2959
54.500000	102.444	137.6949
55.200001	102.363	137.1069
56.000000	102.271	136.4375
57.000000	102.150	135.6382
58.000000	102.030	134.8814
59.000000	101.907	134.1006
60.000000	101.783	133.3902
60.799999	101.692	132.8194
61.500000	101.608	132.2876
62.200001	101.517	131.7855
63.000000	101.417	131.2560
64.000000	101.299	130.5735
65.000000	101.175	129.9230
66.000000	101.050	129.3119
67.000000	100.925	128.6694
68.000000	100.801	128.0432
69.000000	100.676	127.4637
70.000000	100.549	126.9388
71.000000	100.425	126.3790
72.000000	100.297	125.8114
73.000000	100.170	125.2975
74.000000	100.043	124.8010
75.000000	99.914	124.3114
76.199997	99.763	123.7251
77.500000	99.595	123.1318
78.800003	99.430	122.5843
80.000000	99.278	122.0431
81.199997	99.122	121.5818
82.500000	98.955	121.0717
83.800003	98.787	120.5977
85.000000	98.635	120.1486
86.199997	98.478	119.7667
87.500000	98.316	119.3754
88.500000	98.187	119.0418
90.000000	97.996	118.6409
91.199997	97.829	118.2638
92.500000	97.670	117.9857
93.800003	97.500	117.6082
95.000000	97.353	117.4010
96.199997	97.198	117.1509
97.500000	97.023	116.8913
98.800003	96.878	116.9495
100.000000	96.747	116.3851
101.500000	96.519	116.3720
103.000000	96.327	116.0460
104.400002	96.161	115.9149
106.000000	95.944	115.8133
107.500000	95.783	115.8276
109.000000	95.569	115.4813
110.599998	95.410	115.7031
112.000000	95.246	115.5496
113.800003	95.006	115.2189
115.000000	94.834	115.2701
117.199997	94.560	115.5572
118.000000	94.470	115.6344
120.599998	94.181	115.8736
122.000000	94.027	115.9673
124.099998	93.746	116.2927
125.000000	93.641	116.5480
126.500000	93.476	116.6874
128.000000	93.297	116.9194
131.500000	92.901	117.6010
132.000000	92.850	117.7422
134.000000	92.673	118.4277
136.000000	92.417	118.7706
138.000000	92.239	119.4784
140.000000	92.093	120.3741
143.000000	91.765	121.0216
145.000000	91.610	121.5216
147.500000	91.406	122.2043
150.000000	91.208	122.9910
152.500000	90.999	124.1931
155.000000	90.843	124.7620
157.500000	90.640	125.7264
160.000000	90.495	126.6747
162.500000	90.288	127.6191
165.000000	90.147	128.6208
167.500000	89.968	129.4607
170.000000	89.843	130.5514
172.500000	89.694	131.3894
175.000000	89.565	132.6868
177.500000	89.441	133.6191
180.000000	89.345	135.0593
182.500000	89.243	135.8552
185.000000	89.140	136.7051
187.500000	89.065	137.8290
190.000000	88.944	138.8336
192.500000	88.940	139.7633
195.000000	88.795	140.8261
197.500000	88.816	141.6343
200.000000	88.702	142.7598
203.000000	88.661	143.7983
206.000000	88.627	144.8816
209.000000	88.589	145.4935
212.000000	88.551	146.7047
214.000000	88.544	147.3483
218.000000	88.465	148.7580
220.000000	88.479	149.4597
224.000000	88.464	150.2877
227.000000	88.399	151.1501
230.000000	88.327	152.2235
233.000000	88.375	153.3240
236.000000	88.414	153.9153
240.000000	88.394	154.6639
243.000000	88.391	155.4975
247.000000	88.367	156.4959
250.000000	88.328	157.0547
254.000000	88.403	157.8092
258.000000	88.378	158.8591
262.000000	88.371	159.4129
265.000000	88.382	160.2515
269.000000	88.428	160.7597
272.000000	88.381	161.6003
276.000000	88.447	162.2027
280.000000	88.443	162.5785
285.000000	88.415	163.1609
290.000000	88.411	163.9537
295.000000	88.467	164.8729
300.000000	88.472	165.5653
304.000000	88.460	166.0832
307.000000	88.521	166.3891
311.000000	88.521	166.7943
315.000000	88.502	167.2441
320.000000	88.514	167.8469
325.000000	88.537	168.3413
330.000000	88.551	168.9203
335.000000	88.567	169.3893
340.000000	88.573	169.9242
345.000000	88.586	170.3075
350.000000	88.583	170.7740
355.000000	88.609	171.2297
360.000000	88.614	171.6229
365.000000	88.621	172.0366
370.000000	88.628	172.4384
375.000000	88.640	172.7764
382.000000	88.647	173.2763
387.000000	88.657	173.7064
395.000000	88.667	174.2101
400.000000	88.663	174.4940
406.000000	88.652	175.1274
412.000000	88.699	175.4985
418.000000	88.706	175.6938
425.000000	88.709	175.9120
431.000000	88.720	176.4294
437.000000	88.721	176.5833
444.000000	88.729	177.3683
450.000000	88.670	177.6091
455.000000	88.727	177.8965
462.000000	88.662	178.2471
468.000000	88.716	178.7238
475.000000	88.730	178.9982
482.000000	88.694	179.4722
487.000000	88.727	179.6773
494.000000	88.687	-179.9851
500.000000	88.683	-179.6371
508.000000	88.717	-179.2405
515.000000	88.668	-179.0426
522.000000	88.757	-178.8206
530.000000	88.726	-178.2117
538.000000	88.705	-177.9142
545.000000	88.716	-177.7963
552.000000	88.706	-177.4403
560.000000	88.698	-176.9831
570.000000	88.686	-176.5802
580.000000	88.667	-176.1629
590.000000	88.649	-175.6763
600.000000	88.653	-175.1776
608.000000	88.581	-174.7194
615.000000	88.584	-174.5120
622.000000	88.542	-174.0724
630.000000	88.614	-173.7324
640.000000	88.594	-173.2462
650.000000	88.564	-172.7097
660.000000	88.546	-172.1969
670.000000	88.534	-171.6290
680.000000	88.540	-171.0674
690.000000	88.516	-170.6068
700.000000	88.503	-169.9376
710.000000	88.498	-169.5041
720.000000	88.484	-168.9050
730.000000	88.471	-168.3822
740.000000	88.470	-167.8542
750.000000	88.456	-167.2582
762.000000	88.466	-166.4738
775.000000	88.442	-165.7565
788.000000	88.457	-164.9516
800.000000	88.453	-164.2074
812.000000	88.458	-163.4796
825.000000	88.471	-162.6937
838.000000	88.490	-161.9154
850.000000	88.500	-161.1015
862.000000	88.524	-160.3606
875.000000	88.545	-159.5616
885.000000	88.563	-158.9060
900.000000	88.599	-157.9565
912.000000	88.636	-157.2351
925.000000	88.676	-156.3852
938.000000	88.723	-155.6056
950.000000	88.772	-154.8845
962.000000	88.822	-154.1508
975.000000	88.886	-153.4124
988.000000	88.945	-152.6684
1000.000000	89.008	-152.0291
1015.000000	89.091	-151.2351
1030.000000	89.176	-150.4680
1044.000000	89.254	-149.8004
1060.000000	89.356	-149.0686
1075.000000	89.450	-148.4412
1090.000000	89.549	-147.8416
