* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 14, 2024 2:10:50 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	105.178	-172.2959
20.600000	105.175	-173.1517
20.900000	105.166	-173.9346
21.200001	105.154	-174.7140
21.400000	105.146	-175.2296
21.799999	105.132	-176.2377
22.000000	105.125	-176.7246
22.400000	105.115	-177.6582
22.700001	105.108	-178.3259
23.000000	105.103	-178.9743
23.299999	105.095	-179.6121
23.600000	105.085	179.7555
24.000000	105.065	178.9218
24.299999	105.046	178.3088
24.700001	105.018	177.5114
25.000000	104.999	176.9222
25.400000	104.976	176.1320
25.799999	104.958	175.3201
26.200001	104.939	174.4876
26.500000	104.923	173.8621
26.900000	104.899	173.0466
27.200001	104.880	172.4568
27.600000	104.853	171.6968
28.000000	104.827	170.9549
28.500000	104.792	170.0392
29.000000	104.754	169.1471
29.500000	104.714	168.2989
30.000000	104.677	167.4906
30.400000	104.650	166.8530
30.700001	104.631	166.3705
31.100000	104.603	165.7195
31.500000	104.572	165.0687
32.000000	104.529	164.2742
32.500000	104.485	163.5088
33.000000	104.442	162.7615
33.500000	104.400	162.0193
34.000000	104.359	161.2826
34.500000	104.316	160.5589
35.000000	104.275	159.8499
35.500000	104.233	159.1496
36.000000	104.190	158.4543
36.500000	104.144	157.7701
37.000000	104.096	157.1047
37.500000	104.048	156.4568
38.200001	103.982	155.5576
38.700001	103.934	154.9125
39.500000	103.855	153.9017
40.000000	103.805	153.3005
40.599998	103.748	152.6006
41.200001	103.692	151.8973
41.799999	103.633	151.1857
42.500000	103.559	150.3796
43.099998	103.497	149.7225
43.700001	103.439	149.0665
44.400002	103.370	148.2760
45.000000	103.303	147.6093
45.500000	103.246	147.0857
46.200001	103.168	146.3856
46.799999	103.105	145.7855
47.500000	103.030	145.0887
48.200001	102.956	144.4132
48.700001	102.905	143.9363
49.400002	102.830	143.2695
50.000000	102.763	142.7130
50.799999	102.671	141.9981
51.500000	102.593	141.3749
52.200001	102.517	140.7425
53.000000	102.430	140.0155
53.799999	102.336	139.3236
54.500000	102.253	138.7801
55.200001	102.175	138.2443
56.000000	102.086	137.5721
57.000000	101.967	136.7742
58.000000	101.857	136.0457
59.000000	101.733	135.2690
60.000000	101.603	134.6135
60.799999	101.520	134.0577
61.500000	101.444	133.4988
62.200001	101.357	132.9918
63.000000	101.262	132.5042
64.000000	101.150	131.8389
65.000000	101.019	131.1707
66.000000	100.897	130.6152
67.000000	100.787	129.9686
68.000000	100.664	129.3533
69.000000	100.548	128.8210
70.000000	100.425	128.2390
71.000000	100.298	127.7296
72.000000	100.183	127.1801
73.000000	100.059	126.6422
74.000000	99.939	126.1685
75.000000	99.818	125.6735
76.199997	99.671	125.1390
77.500000	99.516	124.5714
78.800003	99.350	123.9822
80.000000	99.197	123.5139
81.199997	99.054	123.0510
82.500000	98.892	122.5715
83.800003	98.738	122.0490
85.000000	98.589	121.6180
86.199997	98.448	121.2902
87.500000	98.288	120.8687
88.500000	98.165	120.5183
90.000000	97.981	120.0818
91.199997	97.836	119.7972
92.500000	97.672	119.4195
93.800003	97.518	119.1605
95.000000	97.379	118.8939
96.199997	97.228	118.6746
97.500000	97.076	118.3806
98.800003	96.905	118.1254
100.000000	96.770	117.9799
101.500000	96.595	117.7574
103.000000	96.410	117.5345
104.400002	96.236	117.3430
106.000000	96.057	117.1830
107.500000	95.878	117.0802
109.000000	95.698	116.9668
110.599998	95.522	116.8895
112.000000	95.348	116.8853
113.800003	95.149	116.7383
115.000000	95.017	116.8441
117.199997	94.765	116.8419
118.000000	94.690	116.7486
120.599998	94.437	117.1497
