* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 22, 2025 3:06:32 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: down R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	100.237	145.6976
20.600000	100.166	145.1008
20.900000	100.092	144.5727
21.200001	100.020	144.0472
21.400000	99.974	143.6912
21.799999	99.885	142.9665
22.000000	99.840	142.6040
22.400000	99.748	141.9020
22.700001	99.676	141.4169
23.000000	99.603	140.9751
23.299999	99.530	140.5699
23.600000	99.461	140.1835
24.000000	99.373	139.6579
24.299999	99.308	139.2349
24.700001	99.222	138.6262
25.000000	99.155	138.1501
25.400000	99.065	137.5169
25.799999	98.976	136.9075
26.200001	98.890	136.3209
26.500000	98.828	135.8861
26.900000	98.745	135.3087
27.200001	98.680	134.8864
27.600000	98.589	134.3698
28.000000	98.498	133.9367
28.500000	98.397	133.5079
29.000000	98.316	133.1000
29.500000	98.245	132.5963
30.000000	98.157	131.9921
30.400000	98.067	131.5100
30.700001	97.993	131.1899
31.100000	97.892	130.8313
31.500000	97.801	130.5129
32.000000	97.704	130.0800
32.500000	97.614	129.5649
33.000000	97.518	129.0316
33.500000	97.416	128.5647
34.000000	97.316	128.1737
34.500000	97.221	127.8031
35.000000	97.129	127.4087
35.500000	97.036	126.9946
36.000000	96.943	126.5839
36.500000	96.852	126.1880
37.000000	96.761	125.8106
37.500000	96.670	125.4566
38.200001	96.544	124.9886
38.700001	96.456	124.6517
39.500000	96.318	124.1036
40.000000	96.233	123.7736
40.599998	96.134	123.3862
41.200001	96.034	122.9977
41.799999	95.932	122.6278
42.500000	95.816	122.2335
43.099998	95.722	121.8923
43.700001	95.627	121.5413
44.400002	95.511	121.1765
45.000000	95.416	120.8952
45.500000	95.342	120.6350
46.200001	95.235	120.2291
46.799999	95.140	119.9217
47.500000	95.037	119.6298
48.200001	94.941	119.2828
48.700001	94.865	118.9814
49.400002	94.746	118.6088
50.000000	94.651	118.3969
50.799999	94.554	118.1250
51.500000	94.470	117.7889
52.200001	94.366	117.4946
53.000000	94.250	117.3350
53.799999	94.156	117.1130
54.500000	94.057	116.7562
55.200001	93.930	116.4792
56.000000	93.815	116.3195
57.000000	93.740	115.7834
58.000000	93.625	115.1986
59.000000	93.491	115.0891
60.000000	93.352	114.8784
60.799999	93.239	114.5991
61.500000	93.158	114.3134
62.200001	93.080	114.0450
63.000000	92.982	113.9217
64.000000	92.872	113.8084
65.000000	92.744	113.4368
66.000000	92.618	113.1648
67.000000	92.521	112.8724
68.000000	92.403	112.5863
69.000000	92.295	112.4211
70.000000	92.198	112.1263
71.000000	92.084	111.8881
72.000000	91.979	111.7437
73.000000	91.875	111.4807
74.000000	91.762	111.2083
75.000000	91.659	111.0217
76.199997	91.549	110.8344
77.500000	91.420	110.5574
78.800003	91.291	110.4102
80.000000	91.192	110.0925
81.199997	91.062	109.8197
82.500000	90.949	109.6368
83.800003	90.818	109.3764
85.000000	90.713	109.3303
86.199997	90.623	109.0434
87.500000	90.490	108.8652
88.500000	90.411	108.7596
90.000000	90.264	108.5142
91.199997	90.173	108.3820
92.500000	90.078	108.1181
93.800003	89.960	107.9315
95.000000	89.862	107.8419
96.199997	89.770	107.6821
97.500000	89.668	107.5382
98.800003	89.563	107.2962
100.000000	89.467	107.1530
101.500000	89.365	106.9860
103.000000	89.235	106.8672
104.400002	89.142	106.7139
106.000000	89.021	106.6080
107.500000	88.929	106.4520
109.000000	88.810	106.2534
110.599998	88.687	106.1095
112.000000	88.608	106.0243
113.800003	88.489	105.7796
115.000000	88.399	105.7493
117.199997	88.251	105.5685
118.000000	88.199	105.4529
120.599998	88.049	105.2612
122.000000	87.963	105.1700
124.099998	87.811	104.9539
125.000000	87.780	104.9750
126.500000	87.678	104.7585
128.000000	87.594	104.7099
131.500000	87.371	104.4399
132.000000	87.342	104.4656
134.000000	87.239	104.2322
136.000000	87.136	104.2947
138.000000	87.005	104.1199
140.000000	86.905	103.9936
143.000000	86.762	103.8016
145.000000	86.649	103.6948
147.500000	86.517	103.5135
150.000000	86.406	103.3038
152.500000	86.269	103.3382
155.000000	86.170	103.2274
157.500000	86.046	103.0430
160.000000	85.954	102.9166
162.500000	85.797	102.6869
165.000000	85.687	102.7088
167.500000	85.615	102.3790
170.000000	85.464	102.5975
172.500000	85.391	102.3822
175.000000	85.238	102.2787
177.500000	85.193	102.1453
180.000000	85.073	102.1409
182.500000	84.969	102.1065
185.000000	84.860	102.0663
187.500000	84.757	102.0791
190.000000	84.679	101.8645
192.500000	84.589	101.8652
195.000000	84.488	101.8807
197.500000	84.375	101.6970
200.000000	84.314	101.5661
203.000000	84.205	101.6793
206.000000	84.125	101.5914
209.000000	84.039	101.5617
212.000000	83.939	101.6202
214.000000	83.867	101.4365
218.000000	83.743	101.2227
220.000000	83.695	101.3366
224.000000	83.571	101.1138
227.000000	83.464	101.0413
230.000000	83.371	101.0620
233.000000	83.292	100.9212
236.000000	83.208	100.8842
240.000000	83.090	100.8174
243.000000	83.000	100.6690
247.000000	82.916	100.6231
250.000000	82.821	100.6083
254.000000	82.729	100.6110
258.000000	82.621	100.5497
262.000000	82.518	100.5135
265.000000	82.449	100.3175
269.000000	82.342	100.2439
272.000000	82.267	100.3114
276.000000	82.171	100.2165
280.000000	82.071	100.3319
285.000000	81.981	100.2763
290.000000	81.847	100.3056
295.000000	81.727	100.1573
300.000000	81.650	100.2529
304.000000	81.537	100.1085
307.000000	81.468	100.2605
311.000000	81.404	100.2796
315.000000	81.312	100.3579
320.000000	81.185	100.3995
325.000000	81.105	100.5083
330.000000	80.996	100.5897
335.000000	80.925	100.6321
340.000000	80.813	100.7298
345.000000	80.707	101.1647
350.000000	80.610	101.2484
355.000000	80.532	101.6159
360.000000	80.477	101.9384
365.000000	80.423	102.2044
370.000000	80.362	102.2006
375.000000	80.326	102.3174
382.000000	80.213	102.6294
387.000000	80.129	102.7252
395.000000	80.014	103.2905
400.000000	79.929	103.7046
406.000000	79.888	104.0774
412.000000	79.824	104.7299
418.000000	79.762	105.4083
425.000000	79.704	106.0983
431.000000	79.694	106.7510
437.000000	79.692	107.4150
444.000000	79.667	108.1115
450.000000	79.598	108.9031
455.000000	79.687	110.0596
462.000000	79.795	111.1862
468.000000	79.935	111.7367
475.000000	80.077	112.3683
482.000000	80.219	112.8502
487.000000	80.401	112.9999
494.000000	80.568	112.9165
500.000000	80.702	113.0402
508.000000	80.920	112.4433
515.000000	81.079	111.8671
522.000000	81.221	111.1814
530.000000	81.363	110.0572
538.000000	81.488	109.0432
545.000000	81.554	108.1132
552.000000	81.577	107.0815
560.000000	81.606	106.0184
570.000000	81.620	104.8874
580.000000	81.614	103.8152
590.000000	81.596	102.9121
600.000000	81.535	101.8985
608.000000	81.527	101.3521
615.000000	81.499	100.8241
622.000000	81.471	100.4175
630.000000	81.437	99.8544
640.000000	81.379	99.3237
650.000000	81.334	98.8154
660.000000	81.297	98.4485
670.000000	81.251	97.9655
680.000000	81.218	97.7675
690.000000	81.149	97.4798
700.000000	81.152	97.1543
710.000000	81.086	97.1204
720.000000	81.046	96.8432
730.000000	81.034	96.8093
740.000000	81.008	96.7129
750.000000	80.946	96.8091
762.000000	80.942	96.5761
775.000000	80.896	96.5581
788.000000	80.901	96.6283
800.000000	80.892	96.4124
812.000000	80.856	96.7482
825.000000	80.865	97.0007
838.000000	80.856	97.1084
850.000000	80.845	97.4864
862.000000	80.867	97.6500
875.000000	80.911	98.0098
885.000000	80.934	98.0787
900.000000	80.973	98.3519
912.000000	81.041	98.8006
925.000000	81.104	99.0337
938.000000	81.181	99.1148
950.000000	81.270	99.4059
962.000000	81.309	99.6341
975.000000	81.393	99.6414
988.000000	81.497	99.9871
1000.000000	81.516	96.8247
1015.000000	81.661	99.9673
1030.000000	81.780	100.0489
1044.000000	81.869	100.0839
1060.000000	81.992	100.0146
1075.000000	82.106	99.9552
1090.000000	82.214	99.8078
1106.000000	82.333	99.7066
1120.000000	82.443	99.5406
1138.000000	82.584	99.3675
1150.000000	82.648	99.1248
1172.000000	82.803	98.6884
1180.000000	82.867	98.6121
1206.000000	83.034	98.0374
1220.000000	83.094	97.7894
1241.000000	83.229	97.1804
1250.000000	83.258	96.8388
1265.000000	83.356	96.7766
1280.000000	83.422	96.3831
1315.000000	83.584	95.4945
1320.000000	83.615	95.4233
1340.000000	83.687	95.0390
1360.000000	83.759	94.5081
1380.000000	83.831	94.1409
1400.000000	83.892	93.7738
1430.000000	83.987	93.2403
1450.000000	84.059	93.0482
1475.000000	84.099	92.6260
1500.000000	84.180	92.3639
1525.000000	84.236	92.0975
1550.000000	84.300	92.0001
1575.000000	84.373	91.9332
1600.000000	84.454	91.9177
1625.000000	84.512	91.8614
1650.000000	84.607	92.0303
1675.000000	84.695	92.3064
1700.000000	84.814	92.5134
1725.000000	84.975	92.8100
