* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 25, 2024 5:37:42 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: on L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	107.643196	48.2051
20.600000	107.715775	47.3816
20.900000	107.782227	46.6542
21.200001	107.849861	45.9303
21.400000	107.896820	45.4345
21.799999	107.992188	44.3871
22.000000	108.038101	43.8347
22.400000	108.120956	42.7018
22.700001	108.172989	41.8753
23.000000	108.218910	41.1075
23.299999	108.263985	40.4116
23.600000	108.313560	39.7692
24.000000	108.389450	38.9156
24.299999	108.447662	38.2238
24.700001	108.512314	37.2226
25.000000	108.544861	36.4717
25.400000	108.573204	35.5818
25.799999	108.610931	34.8659
26.200001	108.684631	34.1898
26.500000	108.762985	33.5626
26.900000	108.867928	32.4541
27.200001	108.920639	31.4633
27.600000	108.931778	30.1993
28.000000	108.887436	29.3396
28.500000	108.836288	29.0869
29.000000	108.889252	29.2399
29.500000	109.035080	28.9131
30.000000	109.164200	27.7759
30.400000	109.209579	26.5660
30.700001	109.216721	25.6919
31.100000	109.220490	24.6960
31.500000	109.247391	23.8383
32.000000	109.313507	22.7430
32.500000	109.372192	21.5659
33.000000	109.393089	20.5398
33.500000	109.397537	19.8309
34.000000	109.420906	19.2722
34.500000	109.461288	18.5725
35.000000	109.487953	17.6728
35.500000	109.489517	16.7688
36.000000	109.490608	16.0245
36.500000	109.518036	15.3663
37.000000	109.564133	14.6050
37.500000	109.596451	13.7048
38.200001	109.596436	12.5404
38.700001	109.596863	11.9155
39.500000	109.645645	10.8666
40.000000	109.669205	10.0153
40.599998	109.658630	9.0822
41.200001	109.651802	8.4739
41.799999	109.692879	7.8970
42.500000	109.747223	6.8210
43.099998	109.741623	5.8074
43.700001	109.717224	5.0433
44.400002	109.720482	4.2701
45.000000	109.733894	3.4991
45.500000	109.739487	2.8440
46.200001	109.747757	1.9618
46.799999	109.748482	1.1984
47.500000	109.734856	0.4474
48.200001	109.750107	-0.1811
48.700001	109.777588	-0.8193
49.400002	109.770370	-1.9540
50.000000	109.722900	-2.6787
50.799999	109.716583	-3.2497
51.500000	109.753204	-4.0627
52.200001	109.731308	-5.0087
53.000000	109.690277	-5.6163
53.799999	109.719482	-6.2933
54.500000	109.728516	-7.2750
55.200001	109.689606	-8.1414
56.000000	109.658142	-8.7620
57.000000	109.667999	-9.6045
58.000000	109.659004	-10.6804
59.000000	109.629311	-11.6834
60.000000	109.600967	-12.5392
60.799999	109.589996	-13.1737
61.500000	109.587715	-13.8183
62.200001	109.574532	-14.5621
63.000000	109.539398	-15.3444
64.000000	109.505638	-16.0793
65.000000	109.498245	-16.8419
66.000000	109.479675	-17.7366
67.000000	109.446602	-18.6071
68.000000	109.411926	-19.4179
69.000000	109.381073	-20.1838
70.000000	109.356018	-20.9413
71.000000	109.332550	-21.6968
72.000000	109.306831	-22.4765
73.000000	109.272346	-23.2691
74.000000	109.237854	-24.0227
75.000000	109.202682	-24.7469
76.199997	109.158707	-25.5384
77.500000	109.120415	-26.4350
78.800003	109.084900	-27.3213
80.000000	109.052658	-28.1605
81.199997	109.008316	-28.9862
82.500000	108.963387	-29.8592
83.800003	108.909737	-30.7030
85.000000	108.865997	-31.4377
86.199997	108.826309	-32.1818
87.500000	108.780518	-32.9507
88.500000	108.745041	-33.5537
90.000000	108.691727	-34.4514
91.199997	108.647224	-35.1317
92.500000	108.600616	-35.8641
93.800003	108.553383	-36.6388
95.000000	108.509689	-37.2938
96.199997	108.463394	-37.9430
97.500000	108.413269	-38.6572
98.800003	108.367256	-39.3461
100.000000	108.323700	-39.9588
101.500000	108.272354	-40.7967
103.000000	108.212822	-41.5276
104.400002	108.168411	-42.2286
106.000000	108.115799	-42.9967
107.500000	108.061974	-43.7531
109.000000	108.003464	-44.4310
110.599998	107.950890	-45.1679
112.000000	107.895798	-45.7823
113.800003	107.824677	-46.6372
115.000000	107.779831	-47.2024
117.199997	107.703484	-48.1607
118.000000	107.674347	-48.4883
120.599998	107.576744	-49.5772
122.000000	107.530182	-50.1967
124.099998	107.452950	-51.0267
125.000000	107.419785	-51.3928
126.500000	107.367783	-52.0187
128.000000	107.315643	-52.6050
131.500000	107.190002	-53.9752
132.000000	107.171890	-54.1675
134.000000	107.099319	-54.9144
136.000000	107.030380	-55.6542
138.000000	106.958496	-56.3960
140.000000	106.886673	-57.0993
143.000000	106.782104	-58.1510
145.000000	106.714676	-58.8215
147.500000	106.625252	-59.6813
150.000000	106.540817	-60.4889
152.500000	106.458435	-61.2899
155.000000	106.372391	-62.0851
157.500000	106.290123	-62.8617
160.000000	106.206520	-63.5973
162.500000	106.125870	-64.3585
165.000000	106.045425	-65.0968
167.500000	105.963707	-65.7987
170.000000	105.883461	-66.4993
172.500000	105.807312	-67.2078
175.000000	105.728378	-67.8808
177.500000	105.649460	-68.5340
180.000000	105.563393	-69.2048
182.500000	105.497879	-69.8493
185.000000	105.418457	-70.4706
187.500000	105.341904	-71.1024
190.000000	105.268219	-71.6930
192.500000	105.196167	-72.3044
195.000000	105.122368	-72.8703
197.500000	105.049194	-73.4473
200.000000	104.976540	-73.9975
203.000000	104.895477	-74.6517
206.000000	104.814514	-75.2840
209.000000	104.732368	-75.9216
212.000000	104.655724	-76.5480
214.000000	104.606270	-76.9666
218.000000	104.503456	-77.7979
220.000000	104.449295	-78.2170
224.000000	104.349037	-79.0412
227.000000	104.270828	-79.6086
230.000000	104.191376	-80.1727
233.000000	104.117081	-80.7342
236.000000	104.042114	-81.2678
240.000000	103.950165	-81.9077
243.000000	103.878387	-82.4591
247.000000	103.786583	-83.1369
250.000000	103.718346	-83.6178
254.000000	103.629539	-84.2502
258.000000	103.547600	-84.8781
262.000000	103.468094	-85.4725
265.000000	103.410088	-85.9455
269.000000	103.335800	-86.6064
272.000000	103.279808	-87.0975
276.000000	103.199921	-87.7393
280.000000	103.115189	-88.3705
285.000000	103.011436	-89.1495
290.000000	102.909805	-89.8570
295.000000	102.803795	-90.5455
300.000000	102.710899	-91.2155
304.000000	102.621368	-91.6981
307.000000	102.560196	-92.0471
311.000000	102.481148	-92.5005
315.000000	102.404320	-92.9209
320.000000	102.311729	-93.3709
325.000000	102.223534	-93.7666
330.000000	102.162926	-94.1087
335.000000	102.120438	-94.5475
340.000000	102.081070	-95.0939
345.000000	102.035759	-95.7617
350.000000	101.975189	-96.4755
355.000000	101.902306	-97.1303
360.000000	101.825829	-97.7308
365.000000	101.745628	-98.3047
370.000000	101.668816	-98.8258
375.000000	101.591766	-99.3316
382.000000	101.488235	-100.0166
387.000000	101.413681	-100.4483
395.000000	101.302208	-101.1251
400.000000	101.236374	-101.5403
406.000000	101.157455	-102.0132
412.000000	101.078011	-102.4548
418.000000	100.998932	-102.9191
425.000000	100.915947	-103.3977
431.000000	100.843628	-103.8091
437.000000	100.769753	-104.1800
444.000000	100.691551	-104.6152
450.000000	100.622871	-104.9818
455.000000	100.569756	-105.2609
462.000000	100.491699	-105.6504
468.000000	100.430855	-105.9672
475.000000	100.357567	-106.3354
482.000000	100.291145	-106.6850
487.000000	100.238365	-106.9191
494.000000	100.169586	-107.2183
500.000000	100.115173	-107.4931
508.000000	100.042435	-107.8146
515.000000	99.977097	-108.0851
522.000000	99.914154	-108.3517
530.000000	99.845955	-108.6226
538.000000	99.779274	-108.8762
545.000000	99.722626	-109.0942
552.000000	99.663200	-109.2831
560.000000	99.601822	-109.5003
570.000000	99.530830	-109.7160
580.000000	99.451942	-109.9509
590.000000	99.379395	-110.1308
600.000000	99.320297	-110.3052
608.000000	99.261490	-110.3935
615.000000	99.212280	-110.4896
622.000000	99.165680	-110.5709
630.000000	99.121300	-110.6275
640.000000	99.062904	-110.6811
650.000000	98.999153	-110.7453
660.000000	98.952972	-110.8442
670.000000	98.896118	-110.7511
680.000000	98.843872	-110.7322
690.000000	98.792236	-110.7250
700.000000	98.747513	-110.6582
710.000000	98.707855	-110.5703
720.000000	98.660728	-110.4957
730.000000	98.619202	-110.3755
740.000000	98.585541	-110.2273
750.000000	98.553162	-110.0471
762.000000	98.512222	-109.8668
775.000000	98.472153	-109.6351
788.000000	98.442131	-109.3294
800.000000	98.413055	-109.0419
812.000000	98.389320	-108.7618
825.000000	98.371216	-108.4187
838.000000	98.354874	-108.0095
850.000000	98.339920	-107.6673
862.000000	98.335014	-107.2800
875.000000	98.339035	-106.8171
885.000000	98.345245	-106.4477
900.000000	98.364052	-105.8605
912.000000	98.389267	-105.4977
925.000000	98.421364	-105.0631
938.000000	98.457779	-104.6612
950.000000	98.489616	-104.3145
962.000000	98.529076	-103.9428
975.000000	98.570663	-103.5366
988.000000	98.619690	-103.1618
1000.000000	98.667099	-102.8266
1015.000000	98.732941	-102.4168
1030.000000	98.803253	-102.0133
1044.000000	98.873489	-101.6758
1060.000000	98.959007	-101.3203
1075.000000	99.040474	-101.0187
1090.000000	99.126289	-100.7521
1106.000000	99.218170	-100.5226
1120.000000	99.300537	-100.3547
1138.000000	99.407532	-100.1637
1150.000000	99.478554	-100.0759
1172.000000	99.607010	-99.9752
1180.000000	99.653122	-99.9576
1206.000000	99.796051	-99.9235
1220.000000	99.873276	-99.9513
1241.000000	99.979187	-100.0085
1250.000000	100.024048	-100.0389
1265.000000	100.095551	-100.1055
1280.000000	100.164101	-100.2206
1315.000000	100.311264	-100.4388
1320.000000	100.334366	-100.4729
1340.000000	100.408150	-100.6202
1360.000000	100.481003	-100.7974
1380.000000	100.547821	-100.9115
1400.000000	100.610649	-101.0728
1430.000000	100.700539	-101.3118
1450.000000	100.755318	-101.4423
1475.000000	100.822540	-101.6104
1500.000000	100.888184	-101.7491
1525.000000	100.950165	-101.9303
1550.000000	101.009209	-102.0954
1575.000000	101.065536	-102.2320
1600.000000	101.120575	-102.3736
1625.000000	101.177872	-102.5329
1650.000000	101.230713	-102.6649
1675.000000	101.281609	-102.8204
1700.000000	101.334412	-102.9638
1725.000000	101.387871	-103.1297
1750.000000	101.437859	-103.2951
1775.000000	101.484970	-103.4537
1800.000000	101.532959	-103.6247
1825.000000	101.581879	-103.8344
1850.000000	101.625778	-104.0411
1875.000000	101.668427	-104.2411
1900.000000	101.710167	-104.4470
1925.000000	101.753098	-104.6820
1950.000000	101.793495	-104.9035
1975.000000	101.830421	-105.1127
2000.000000	101.865646	-105.3317
2030.000000	101.913528	-105.6029
2060.000000	101.957214	-105.8776
2090.000000	101.998169	-106.1128
2120.000000	102.043556	-106.3618
2140.000000	102.076965	-106.5346
2180.000000	102.149269	-106.8606
2200.000000	102.189224	-107.0037
2240.000000	102.277832	-107.3224
2270.000000	102.359657	-107.5979
2300.000000	102.453606	-107.9040
2330.000000	102.555786	-108.2661
2360.000000	102.674881	-108.7030
2400.000000	102.852715	-109.4881
2430.000000	102.996841	-110.2515
2470.000000	103.194283	-111.4954
2500.000000	103.342163	-112.6546
2540.000000	103.532028	-114.4676
2580.000000	103.698898	-116.5387
2620.000000	103.837517	-118.8091
2650.000000	103.924721	-120.6258
2690.000000	104.023773	-123.1239
2720.000000	104.082298	-125.0317
2760.000000	104.151329	-127.6222
2800.000000	104.215042	-130.2765
2850.000000	104.291176	-133.7119
2900.000000	104.365868	-137.3174
2950.000000	104.443924	-141.1883
3000.000000	104.517578	-145.3782
3040.000000	104.567734	-148.9943
3070.000000	104.596809	-151.8580
3110.000000	104.618050	-155.9107
3150.000000	104.610359	-160.1937
3200.000000	104.549850	-165.8424
3250.000000	104.417526	-171.7514
3300.000000	104.202995	-177.7384
3350.000000	103.901680	176.2974
3400.000000	103.516510	170.5656
3450.000000	103.054832	165.2032
3500.000000	102.532524	160.3324
3550.000000	101.961334	156.0411
3600.000000	101.360435	152.4153
3650.000000	100.743660	149.5475
3700.000000	100.134644	147.4686
3750.000000	99.550598	146.2498
3820.000000	98.837891	145.9655
3870.000000	98.450706	146.7317
3950.000000	98.125458	148.9781
4000.000000	98.117599	150.6008
4060.000000	98.287323	152.2526
4120.000000	98.590813	153.3058
4180.000000	98.959167	153.7661
4250.000000	99.424171	153.6870
4310.000000	99.818405	153.2240
4370.000000	100.208046	152.5927
4440.000000	100.649948	151.7068
4500.000000	101.017685	150.8986
4550.000000	101.317482	150.2108
4620.000000	101.737350	149.2464
4680.000000	102.099106	148.4156
4750.000000	102.523628	147.4159
4820.000000	102.959702	146.3297
4870.000000	103.276566	145.4873
4940.000000	103.728279	144.1107
5000.000000	104.123962	142.7318
5080.000000	104.650848	140.3724
5150.000000	105.078232	137.7101
5220.000000	105.433136	134.4968
5300.000000	105.703789	130.2979
5380.000000	105.801582	125.8710
5450.000000	105.737099	122.1083
5520.000000	105.542793	118.6644
5600.000000	105.184418	115.3795
5700.000000	104.599380	112.4120
5800.000000	103.925247	110.8138
5900.000000	103.227798	110.4714
6000.000000	102.554344	111.2026
6080.000000	102.049065	112.4524
6150.000000	101.637634	113.9330
6220.000000	101.262459	115.7655
6300.000000	100.877640	118.1418
6400.000000	100.463074	121.4787
6500.000000	100.121933	125.1438
6600.000000	99.851509	128.9990
6700.000000	99.649765	132.8849
6800.000000	99.510429	136.7822
6900.000000	99.416260	140.6231
7000.000000	99.368637	144.3759
7100.000000	99.364494	148.0734
7200.000000	99.401581	151.6463
7300.000000	99.483459	155.0039
7400.000000	99.601570	158.1491
7500.000000	99.774902	161.0000
7620.000000	100.038437	163.7082
7750.000000	100.340942	165.3988
7880.000000	100.591949	165.5300
8000.000000	100.646866	163.9542
8120.000000	100.328445	160.9777
8250.000000	99.291176	157.6228
8380.000000	97.344391	157.8547
8500.000000	94.896675	166.7480
8620.000000	93.231331	-170.1172
8750.000000	94.814499	-141.9759
8850.000000	97.442368	-132.8087
9000.000000	99.749214	-131.6748
9120.000000	101.408203	-134.5291
9250.000000	102.295715	-139.8954
9380.000000	102.591415	-143.2731
9500.000000	102.696465	-145.3320
9620.000000	102.721024	-146.1510
9750.000000	102.770287	-146.1271
9880.000000	102.877335	-145.7303
10000.000000	103.025146	-145.2927
10150.000000	103.270485	-145.0733
10300.000000	103.511200	-145.4306
10440.000000	103.723221	-146.1163
10600.000000	103.947426	-147.3517
10750.000000	104.138145	-149.0833
10900.000000	104.302765	-151.4556
11060.000000	104.411377	-154.8801
11200.000000	104.402718	-158.7480
11380.000000	104.157578	-164.7667
11500.000000	103.776306	-169.1037
11720.000000	102.685410	-175.7589
11800.000000	102.216850	-177.8840
12060.000000	100.328514	177.0899
12200.000000	99.199310	176.2318
12410.000000	97.511475	177.2805
12500.000000	96.829819	178.5229
12650.000000	95.801727	-178.4831
12800.000000	94.930489	-174.6784
13150.000000	93.851646	-164.9969
13200.000000	93.794830	-163.9234
13400.000000	93.693779	-161.3473
13600.000000	93.550034	-160.4234
13800.000000	93.481781	-160.1345
14000.000000	93.467705	-161.6019
14300.000000	93.222290	-165.8087
14500.000000	92.949905	-168.7326
14750.000000	92.663414	-171.7978
15000.000000	92.620026	-175.1053
15250.000000	92.863144	-178.8872
15500.000000	93.421585	175.8837
15750.000000	94.325653	168.3728
16000.000000	95.592445	157.6540
16250.000000	97.089386	141.3530
16500.000000	98.328110	118.8945
16750.000000	98.954514	92.1234
17000.000000	98.951157	63.8922
17250.000000	98.629272	35.9539
17500.000000	98.359276	7.3373
17750.000000	98.327866	-24.5283
18000.000000	98.348946	-62.7280
18250.000000	97.813477	-109.0154
18500.000000	96.126205	-159.9835
18750.000000	93.602409	149.0508
