* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 25, 2024 5:41:05 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: on R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	106.591904	44.1504
20.600000	106.662231	43.2753
20.900000	106.724838	42.4603
21.200001	106.782608	41.6420
21.400000	106.818619	41.1043
21.799999	106.886406	40.0793
22.000000	106.919426	39.6011
22.400000	106.986435	38.7075
22.700001	107.038750	38.0658
23.000000	107.091522	37.4159
23.299999	107.142052	36.7352
23.600000	107.187576	36.0177
24.000000	107.239136	35.0275
24.299999	107.274170	34.2885
24.700001	107.324356	33.3348
25.000000	107.369324	32.6378
25.400000	107.439133	31.7037
25.799999	107.510010	30.7395
26.200001	107.566864	29.7665
26.500000	107.594398	29.0685
26.900000	107.612656	28.2296
27.200001	107.618286	27.6815
27.600000	107.626839	27.0287
28.000000	107.645538	26.4029
28.500000	107.687103	25.5712
29.000000	107.743317	24.6642
29.500000	107.806770	23.7193
30.000000	107.868362	22.7659
30.400000	107.908836	22.0037
30.700001	107.931007	21.4404
31.100000	107.949677	20.7149
31.500000	107.961090	20.0260
32.000000	107.976608	19.1890
32.500000	108.000000	18.3238
33.000000	108.026321	17.4172
33.500000	108.048927	16.5285
34.000000	108.068977	15.7215
34.500000	108.091599	14.9866
35.000000	108.116501	14.2586
35.500000	108.137970	13.4974
36.000000	108.153038	12.7185
36.500000	108.164917	11.9514
37.000000	108.177864	11.2014
37.500000	108.191963	10.4608
38.200001	108.209030	9.4478
38.700001	108.218842	8.7528
39.500000	108.233795	7.6720
40.000000	108.242195	7.0007
40.599998	108.249680	6.2045
41.200001	108.254929	5.4297
41.799999	108.259476	4.6746
42.500000	108.264893	3.8025
43.099998	108.269363	3.0524
43.700001	108.273270	2.2980
44.400002	108.277031	1.4189
45.000000	108.279846	0.6774
45.500000	108.282242	0.0791
46.200001	108.286026	-0.7180
46.799999	108.288597	-1.3699
47.500000	108.286880	-2.1184
48.200001	108.277405	-2.8729
48.700001	108.267509	-3.4183
49.400002	108.254807	-4.1877
50.000000	108.248291	-4.8466
50.799999	108.243294	-5.7114
51.500000	108.235336	-6.4297
52.200001	108.223686	-7.0963
53.000000	108.212746	-7.8532
53.799999	108.201698	-8.6677
54.500000	108.188110	-9.3797
55.200001	108.175537	-10.0463
56.000000	108.164116	-10.7784
57.000000	108.146774	-11.6795
58.000000	108.124435	-12.5721
59.000000	108.098526	-13.4283
60.000000	108.080612	-14.2563
60.799999	108.067520	-14.9612
61.500000	108.050369	-15.5818
62.200001	108.031624	-16.1697
63.000000	108.014381	-16.8162
64.000000	107.993896	-17.6317
65.000000	107.967072	-18.4254
66.000000	107.941071	-19.2073
67.000000	107.913361	-20.0040
68.000000	107.885246	-20.7623
69.000000	107.858536	-21.5067
70.000000	107.830193	-22.2312
71.000000	107.801521	-22.9426
72.000000	107.771423	-23.6367
73.000000	107.745514	-24.3447
74.000000	107.716209	-25.0678
75.000000	107.685196	-25.7325
76.199997	107.650421	-26.5335
77.500000	107.610886	-27.4121
78.800003	107.572067	-28.2788
80.000000	107.529289	-29.0251
81.199997	107.495789	-29.7623
82.500000	107.453972	-30.5723
83.800003	107.409348	-31.3030
85.000000	107.372482	-32.0279
86.199997	107.333885	-32.7579
87.500000	107.295647	-33.4876
88.500000	107.264389	-34.0696
90.000000	107.211197	-34.9102
91.199997	107.172661	-35.5702
92.500000	107.131790	-36.2881
93.800003	107.087669	-37.0165
95.000000	107.045258	-37.6429
96.199997	107.006500	-38.2536
97.500000	106.964592	-38.9376
98.800003	106.918442	-39.6124
100.000000	106.876389	-40.2202
101.500000	106.824974	-40.9514
103.000000	106.774712	-41.6766
104.400002	106.727402	-42.3525
106.000000	106.670952	-43.1154
