* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 7, 2025 5:41:52 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	101.281	-151.6930
20.600000	101.318	-152.4207
20.900000	101.335	-153.1159
21.200001	101.337	-153.7799
21.400000	101.332	-154.1785
21.799999	101.321	-154.8416
22.000000	101.321	-155.1139
22.400000	101.337	-155.6075
22.700001	101.363	-156.0191
23.000000	101.392	-156.5224
23.299999	101.413	-157.1273
23.600000	101.416	-157.7975
24.000000	101.390	-158.6679
24.299999	101.355	-159.2137
24.700001	101.311	-159.7386
25.000000	101.296	-160.0156
25.400000	101.308	-160.3433
25.799999	101.348	-160.7508
26.200001	101.393	-161.2728
26.500000	101.418	-161.7004
26.900000	101.436	-162.2417
27.200001	101.441	-162.5961
27.600000	101.444	-163.0126
28.000000	101.446	-163.4169
28.500000	101.445	-163.9722
29.000000	101.435	-164.5630
29.500000	101.420	-165.1169
30.000000	101.411	-165.6160
30.400000	101.412	-166.0122
30.700001	101.416	-166.3275
31.100000	101.419	-166.7761
31.500000	101.418	-167.2373
32.000000	101.411	-167.7887
32.500000	101.402	-168.2843
33.000000	101.396	-168.7262
33.500000	101.393	-169.1321
34.000000	101.389	-169.5237
34.500000	101.382	-169.9204
35.000000	101.369	-170.3279
35.500000	101.353	-170.7321
36.000000	101.341	-171.1185
36.500000	101.339	-171.4979
37.000000	101.345	-171.8977
37.500000	101.350	-172.3216
38.200001	101.343	-172.8826
38.700001	101.330	-173.2187
39.500000	101.311	-173.7137
40.000000	101.297	-174.0493
40.599998	101.276	-174.4548
41.200001	101.254	-174.8233
41.799999	101.238	-175.1794
42.500000	101.222	-175.6142
43.099998	101.207	-175.9583
43.700001	101.199	-176.2623
44.400002	101.198	-176.6670
45.000000	101.188	-177.0878
45.500000	101.170	-177.4288
46.200001	101.141	-177.8156
46.799999	101.127	-178.0976
47.500000	101.118	-178.4513
48.200001	101.103	-178.8346
48.700001	101.086	-179.1001
49.400002	101.059	-179.4281
50.000000	101.042	-179.6696
50.799999	101.029	-179.9962
51.500000	101.016	179.6899
52.200001	100.997	179.3884
53.000000	100.975	179.0319
53.799999	100.951	178.6532
54.500000	100.928	178.3931
55.200001	100.913	178.1516
56.000000	100.886	177.8188
57.000000	100.854	177.4960
58.000000	100.845	177.0564
59.000000	100.781	176.8101
60.000000	100.762	176.8541
60.799999	100.760	176.3885
61.500000	100.720	175.9427
62.200001	100.692	175.7477
63.000000	100.693	175.5132
64.000000	100.662	175.1188
65.000000	100.620	174.8708
66.000000	100.592	174.5802
67.000000	100.563	174.2895
68.000000	100.539	174.0431
69.000000	100.525	173.7952
70.000000	100.488	173.5341
71.000000	100.439	173.3731
72.000000	100.419	173.0738
73.000000	100.421	172.6980
74.000000	100.400	172.4037
75.000000	100.341	172.3579
