* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 22, 2023 5:47:48 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	108.132927	-146.5706
20.600000	108.149445	-147.2778
20.900000	108.160294	-147.8601
21.200001	108.177727	-148.3880
21.400000	108.196564	-148.7252
21.799999	108.251122	-149.4187
22.000000	108.283936	-149.7949
22.400000	108.349419	-150.6184
22.700001	108.387222	-151.2779
23.000000	108.409096	-151.9314
23.299999	108.414261	-152.5359
23.600000	108.406723	-153.0603
24.000000	108.389755	-153.6262
24.299999	108.381210	-153.9839
24.700001	108.383041	-154.4476
25.000000	108.393661	-154.8312
25.400000	108.414360	-155.4143
25.799999	108.435158	-156.0515
26.200001	108.452888	-156.6878
26.500000	108.465096	-157.1410
26.900000	108.482117	-157.7113
27.200001	108.495834	-158.1252
27.600000	108.513504	-158.6784
28.000000	108.527435	-159.2393
28.500000	108.536873	-159.9295
29.000000	108.541107	-160.5686
29.500000	108.547707	-161.1462
30.000000	108.561798	-161.6977
30.400000	108.577209	-162.1534
30.700001	108.588669	-162.5146
31.100000	108.600296	-163.0202
31.500000	108.605179	-163.5339
32.000000	108.602806	-164.1450
32.500000	108.597542	-164.6940
33.000000	108.596855	-165.1980
33.500000	108.602028	-165.6992
34.000000	108.608284	-166.2200
34.500000	108.610947	-166.7469
35.000000	108.609360	-167.2522
35.500000	108.605637	-167.7231
36.000000	108.601944	-168.1655
36.500000	108.599525	-168.5948
37.000000	108.598671	-169.0307
37.500000	108.597870	-169.4886
38.200001	108.591682	-170.1454
38.700001	108.583710	-170.5769
39.500000	108.577606	-171.1593
40.000000	108.581551	-171.5117
40.599998	108.585518	-171.9895
41.200001	108.578720	-172.5038
41.799999	108.563683	-172.9879
42.500000	108.550179	-173.4982
43.099998	108.544846	-173.9363
43.700001	108.537933	-174.3833
44.400002	108.524689	-174.8703
45.000000	108.513252	-175.2607
45.500000	108.503746	-175.5935
46.200001	108.487267	-176.0735
46.799999	108.472717	-176.4802
47.500000	108.459755	-176.9613
48.200001	108.446564	-177.4335
48.700001	108.437004	-177.7252
49.400002	108.428169	-178.0952
50.000000	108.416595	-178.4505
50.799999	108.382599	-178.9353
51.500000	108.361198	-179.3293
52.200001	108.357590	-179.8584
53.000000	108.327744	179.4879
53.799999	108.284157	179.2251
54.500000	108.277924	179.0976
55.200001	108.266571	178.7690
56.000000	108.228088	178.4559
57.000000	108.235672	178.1628
58.000000	108.235374	177.5684
59.000000	108.214218	177.2612
60.000000	108.222412	176.7060
60.799999	108.181641	176.1724
61.500000	108.143456	175.9243
62.200001	108.127182	175.6681
63.000000	108.101089	175.2736
64.000000	108.062981	174.9413
65.000000	108.048035	174.5549
66.000000	108.002838	174.1031
67.000000	107.969597	173.8477
68.000000	107.958168	173.4625
69.000000	107.923233	173.1068
70.000000	107.901520	172.8127
71.000000	107.884949	172.4748
72.000000	107.885300	172.1984
73.000000	107.862610	171.7579
74.000000	107.801094	171.4780
75.000000	107.779793	171.1931
76.199997	107.752960	170.6488
77.500000	107.708168	170.2167
78.800003	107.658516	169.8480
80.000000	107.621719	169.5108
81.199997	107.584274	169.1873
82.500000	107.543327	168.7623
83.800003	107.502029	168.4426
85.000000	107.465591	168.1216
86.199997	107.427879	167.8265
87.500000	107.391479	167.5038
88.500000	107.353241	167.2832
90.000000	107.301407	166.9575
91.199997	107.263802	166.6827
92.500000	107.223305	166.4113
93.800003	107.181030	166.1365
95.000000	107.143570	165.8928
96.199997	107.107941	165.6548
97.500000	107.065964	165.3888
98.800003	107.024506	165.1696
100.000000	106.990265	164.9534
101.500000	106.938385	164.6732
103.000000	106.889008	164.3983
104.400002	106.850349	164.1767
106.000000	106.790535	163.9609
107.500000	106.752907	163.6964
109.000000	106.703003	163.4399
110.599998	106.655151	163.2389
112.000000	106.611252	163.0428
113.800003	106.557114	162.7830
115.000000	106.517731	162.6440
117.199997	106.452873	162.3745
118.000000	106.430580	162.2932
120.599998	106.343231	161.9963
122.000000	106.305847	161.8232
124.099998	106.242554	161.6345
125.000000	106.215324	161.5399
126.500000	106.170403	161.4070
128.000000	106.127762	161.2766
131.500000	106.030624	160.9860
132.000000	106.016586	160.9465
134.000000	105.961037	160.8016
136.000000	105.905075	160.6470
138.000000	105.849899	160.4946
140.000000	105.797646	160.3445
143.000000	105.712906	160.1719
145.000000	105.659821	160.0264
147.500000	105.597618	159.9091
150.000000	105.530312	159.8110
152.500000	105.467270	159.6647
155.000000	105.403389	159.5463
157.500000	105.339073	159.4430
160.000000	105.276642	159.3528
162.500000	105.213745	159.2712
165.000000	105.152611	159.1923
167.500000	105.088806	159.1553
170.000000	105.028473	159.0917
172.500000	104.968170	159.0551
175.000000	104.912453	159.0237
177.500000	104.855591	159.0042
180.000000	104.799362	158.9068
182.500000	104.752815	158.9523
185.000000	104.698502	158.9208
187.500000	104.644943	158.8918
190.000000	104.595032	158.8790
192.500000	104.540939	158.8624
195.000000	104.489037	158.8548
197.500000	104.436432	158.8368
200.000000	104.385040	158.8364
203.000000	104.325340	158.8461
206.000000	104.265053	158.8680
209.000000	104.204590	158.8917
212.000000	104.145706	158.9189
214.000000	104.108948	158.9514
218.000000	104.032913	159.0037
220.000000	103.994759	159.0282
224.000000	103.922691	159.1032
227.000000	103.869362	159.1685
230.000000	103.815285	159.2247
233.000000	103.765320	159.2941
236.000000	103.713821	159.3743
240.000000	103.648468	159.5044
243.000000	103.597275	159.5185
247.000000	103.531868	159.6348
250.000000	103.484795	159.7071
254.000000	103.419640	159.8246
258.000000	103.356766	159.9476
262.000000	103.295044	160.0818
265.000000	103.249924	160.2230
269.000000	103.191513	160.3304
272.000000	103.146004	160.4505
276.000000	103.090034	160.6025
280.000000	103.034248	160.7722
285.000000	102.968407	160.9900
290.000000	102.906258	161.2101
295.000000	102.847107	161.4149
300.000000	102.797104	161.5883
304.000000	102.744446	161.7857
