* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 22, 2023 5:46:18 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	107.721367	-148.8934
20.600000	107.742416	-149.5272
20.900000	107.757233	-150.0956
21.200001	107.771553	-150.6680
21.400000	107.781677	-151.0574
21.799999	107.802963	-151.8520
22.000000	107.813705	-152.2512
22.400000	107.834641	-153.0347
22.700001	107.849838	-153.5939
23.000000	107.865067	-154.1236
23.299999	107.880699	-154.6277
23.600000	107.896667	-155.1159
24.000000	107.917130	-155.7604
24.299999	107.930511	-156.2459
24.700001	107.944405	-156.8938
25.000000	107.952148	-157.3716
25.400000	107.960754	-157.9870
25.799999	107.970192	-158.5750
26.200001	107.981964	-159.1455
26.500000	107.991844	-159.5698
26.900000	108.004578	-160.1360
27.200001	108.012604	-160.5596
27.600000	108.020699	-161.1161
28.000000	108.026611	-161.6570
28.500000	108.033112	-162.3114
29.000000	108.039764	-162.9504
29.500000	108.045761	-163.5761
30.000000	108.050331	-164.1812
30.400000	108.053314	-164.6486
30.700001	108.055344	-164.9922
31.100000	108.057571	-165.4459
31.500000	108.058510	-165.8963
32.000000	108.057320	-166.4480
32.500000	108.054703	-166.9790
33.000000	108.052620	-167.4944
33.500000	108.051178	-168.0085
34.000000	108.048851	-168.5244
34.500000	108.045639	-169.0300
35.000000	108.043808	-169.5188
35.500000	108.044205	-170.0003
36.000000	108.043907	-170.4815
36.500000	108.039528	-170.9494
37.000000	108.031815	-171.3884
37.500000	108.024147	-171.8094
38.200001	108.013702	-172.4170
38.700001	108.003349	-172.8567
39.500000	107.987671	-173.4944
40.000000	107.984695	-173.8742
40.599998	107.981880	-174.3708
41.200001	107.969360	-174.8778
41.799999	107.951912	-175.3190
42.500000	107.941177	-175.7789
43.099998	107.934723	-176.2161
43.700001	107.916283	-176.6853
44.400002	107.882736	-177.1897
45.000000	107.860619	-177.5801
45.500000	107.854340	-177.9092
46.200001	107.856094	-178.4105
46.799999	107.844406	-178.8259
47.500000	107.802734	-179.1002
48.200001	107.772591	-179.1480
48.700001	107.777344	-179.2909
49.400002	107.782707	-179.8552
50.000000	107.757309	179.6219
50.799999	107.729973	179.2442
51.500000	107.723206	178.7977
52.200001	107.656799	178.1582
53.000000	107.556564	177.8703
53.799999	107.581787	177.7480
54.500000	107.639427	177.2393
55.200001	107.634148	176.7842
56.000000	107.598068	176.6568
57.000000	107.572800	176.3448
58.000000	107.547485	175.8311
59.000000	107.531586	175.4317
60.000000	107.506332	175.0839
60.799999	107.486816	174.6589
61.500000	107.468483	174.2011
62.200001	107.454727	173.8044
63.000000	107.442947	173.4295
64.000000	107.410027	173.0208
65.000000	107.373062	172.6163
66.000000	107.341759	172.1581
67.000000	107.310066	171.7575
68.000000	107.272766	171.3924
69.000000	107.237221	171.0295
70.000000	107.205345	170.6578
71.000000	107.175491	170.3500
72.000000	107.145920	170.0149
73.000000	107.108650	169.6594
74.000000	107.073868	169.3159
75.000000	107.035492	169.0081
76.199997	106.993263	168.6905
77.500000	106.948967	168.2853
78.800003	106.907394	167.9132
80.000000	106.865326	167.5776
81.199997	106.822357	167.2629
82.500000	106.778763	166.9079
83.800003	106.731743	166.5847
85.000000	106.690971	166.2956
86.199997	106.652145	165.9941
87.500000	106.604797	165.6976
88.500000	106.568909	165.4718
90.000000	106.516464	165.1296
91.199997	106.478638	164.8687
92.500000	106.432259	164.5911
93.800003	106.387787	164.3494
95.000000	106.347885	164.1301
96.199997	106.303856	163.8871
97.500000	106.261131	163.6370
98.800003	106.219376	163.4062
100.000000	106.174904	163.1987
101.500000	106.122711	162.9664
103.000000	106.073341	162.7123
104.400002	106.025230	162.4911
106.000000	105.972061	162.3040
107.500000	105.921906	162.0591
109.000000	105.870506	161.8377
110.599998	105.820068	161.6117
112.000000	105.773438	161.4430
113.800003	105.715561	161.2262
115.000000	105.674988	161.0856
117.199997	105.604782	160.8319
118.000000	105.580872	160.7334
120.599998	105.496498	160.5062
