* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: 0.343
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Mar 3, 2026 2:54:59 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L Mar 3
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	104.403	-133.8386
20.299999	104.449	-134.7317
20.600000	104.485	-135.5752
20.900000	104.517	-136.3486
21.200001	104.548	-137.0525
21.400000	104.572	-137.4940
21.799999	104.626	-138.3561
22.000000	104.656	-138.7932
22.400000	104.715	-139.6923
22.700001	104.755	-140.3782
23.000000	104.791	-141.0543
23.299999	104.826	-141.7076
23.600000	104.860	-142.3396
24.000000	104.910	-143.1794
24.299999	104.948	-143.8336
24.700001	104.994	-144.7507
25.000000	105.019	-145.4498
25.400000	105.041	-146.3428
25.799999	105.056	-147.1412
26.200001	105.075	-147.8509
26.500000	105.097	-148.3618
26.900000	105.132	-149.0720
27.200001	105.159	-149.6448
27.600000	105.187	-150.4407
28.000000	105.203	-151.2177
28.500000	105.213	-152.0820
29.000000	105.231	-152.8322
29.500000	105.262	-153.5618
30.000000	105.299	-154.3585
30.400000	105.324	-155.0445
30.700001	105.337	-155.5654
31.100000	105.346	-156.2381
31.500000	105.351	-156.8660
32.000000	105.356	-157.5915
32.500000	105.364	-158.2826
33.000000	105.372	-158.9672
33.500000	105.379	-159.6458
34.000000	105.384	-160.3062
34.500000	105.389	-160.9474
35.000000	105.394	-161.5833
35.500000	105.398	-162.2242
36.000000	105.399	-162.8636
36.500000	105.397	-163.4866
37.000000	105.392	-164.0855
37.500000	105.387	-164.6623
38.200001	105.380	-165.4402
38.700001	105.376	-165.9792
39.500000	105.370	-166.8332
40.000000	105.364	-167.3699
40.599998	105.354	-168.0035
41.200001	105.343	-168.6077
41.799999	105.333	-169.1965
42.500000	105.320	-169.9061
43.099998	105.302	-170.5114
43.700001	105.280	-171.0470
44.400002	105.267	-171.6070
45.000000	105.265	-172.1496
45.500000	105.256	-172.6558
46.200001	105.227	-173.2966
46.799999	105.209	-173.7249
47.500000	105.207	-174.2778
48.200001	105.190	-174.9648
48.700001	105.159	-175.3843
49.400002	105.127	-175.7766
50.000000	105.123	-176.1371
50.799999	105.108	-176.8131
51.500000	105.071	-177.3358
52.200001	105.045	-177.7626
53.000000	105.020	-178.3642
53.799999	104.971	-178.9091
54.500000	104.940	-179.2425
55.200001	104.926	-179.6276
56.000000	104.906	179.8659
57.000000	104.882	179.2582
58.000000	104.850	178.5920
59.000000	104.807	178.0258
60.000000	104.763	177.4695
60.799999	104.722	177.1210
61.500000	104.702	176.8300
62.200001	104.682	176.4263
63.000000	104.639	175.9764
64.000000	104.596	175.5585
65.000000	104.563	175.0327
