* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, no input selected, 0, volume: 0.343
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Mar 3, 2026 2:52:04 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	104.118	-128.8988
20.299999	104.181	-129.7292
20.600000	104.243	-130.5462
20.900000	104.301	-131.3556
21.200001	104.356	-132.1576
21.400000	104.390	-132.6842
21.799999	104.453	-133.7034
22.000000	104.483	-134.1914
22.400000	104.541	-135.1259
22.700001	104.586	-135.8017
23.000000	104.631	-136.4685
23.299999	104.677	-137.1334
23.600000	104.721	-137.7961
24.000000	104.777	-138.6656
24.299999	104.819	-139.3036
24.700001	104.876	-140.1464
25.000000	104.919	-140.7907
25.400000	104.974	-141.6853
25.799999	105.020	-142.6122
26.200001	105.053	-143.5265
26.500000	105.071	-144.1720
26.900000	105.090	-144.9595
27.200001	105.106	-145.5026
27.600000	105.133	-146.1981
28.000000	105.163	-146.8936
28.500000	105.200	-147.7751
29.000000	105.234	-148.6412
29.500000	105.268	-149.4810
30.000000	105.305	-150.3300
30.400000	105.332	-151.0351
30.700001	105.349	-151.5727
31.100000	105.365	-152.2783
31.500000	105.376	-152.9461
32.000000	105.389	-153.7201
32.500000	105.407	-154.4580
33.000000	105.427	-155.2002
33.500000	105.445	-155.9556
34.000000	105.459	-156.7047
34.500000	105.469	-157.4274
35.000000	105.478	-158.1191
35.500000	105.486	-158.7897
36.000000	105.495	-159.4532
36.500000	105.502	-160.1114
37.000000	105.506	-160.7511
37.500000	105.509	-161.3621
38.200001	105.518	-162.2017
38.700001	105.523	-162.8252
39.500000	105.519	-163.8316
40.000000	105.510	-164.4076
40.599998	105.502	-165.0421
41.200001	105.500	-165.6731
