* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138. Timing signal peak level -54.4 dBFS, measurement signal peak level -18.8 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Jan 20, 2024 8:30:59 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay 0.1004 ms (34 mm, 1.36 in) using estimated IR delay relative to Acoustic reference on USB-C to 3.5mm Headphone Jack Adapter R with no timing offset
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	92.213203	66.8239
20.600000	92.310112	66.1505
20.900000	92.401924	65.5592
21.200001	92.493767	64.9745
21.400000	92.555023	64.5794
21.799999	92.674286	63.7762
22.000000	92.730972	63.3751
22.400000	92.837662	62.5968
22.700001	92.913361	62.0498
23.000000	92.987762	61.5326
23.299999	93.062408	61.0307
23.600000	93.137245	60.5251
24.000000	93.234192	59.8242
24.299999	93.302399	59.2824
24.700001	93.386742	58.5637
25.000000	93.447632	58.0436
25.400000	93.530693	57.3769
25.799999	93.619179	56.7159
26.200001	93.710648	56.0331
26.500000	93.777512	55.5072
26.900000	93.860641	54.8154
27.200001	93.918282	54.3261
27.600000	93.992165	53.7310
28.000000	94.066650	53.1889
28.500000	94.162384	52.5317
29.000000	94.255531	51.8458
29.500000	94.340347	51.1326
30.000000	94.417480	50.4201
30.400000	94.476494	49.8580
30.700001	94.520126	49.4395
31.100000	94.577530	48.8850
31.500000	94.633820	48.3397
32.000000	94.703247	47.6779
32.500000	94.772636	47.0317
33.000000	94.840538	46.3840
33.500000	94.903793	45.7337
34.000000	94.961739	45.1019
34.500000	95.017731	44.5035
35.000000	95.075539	43.9275
35.500000	95.135345	43.3521
36.000000	95.194450	42.7706
36.500000	95.250938	42.1923
37.000000	95.304924	41.6256
37.500000	95.356659	41.0687
38.200001	95.423775	40.3022
38.700001	95.467484	39.7709
39.500000	95.534485	38.9531
40.000000	95.577126	38.4463
40.599998	95.628586	37.8295
41.200001	95.678680	37.2178
41.799999	95.727524	36.6323
42.500000	95.783539	35.9789
43.099998	95.828972	35.4223
43.700001	95.871262	34.8566
44.400002	95.918983	34.1796
45.000000	95.958710	33.5979
45.500000	95.990585	33.1430
46.200001	96.036423	32.5734
46.799999	96.076927	32.0947
47.500000	96.115509	31.4853
48.200001	96.145309	30.8754
48.700001	96.171944	30.4544
49.400002	96.215538	29.8331
50.000000	96.241486	29.3198
50.799999	96.265594	28.7926
51.500000	96.299408	28.2630
52.200001	96.319962	27.4917
53.000000	96.318199	26.7598
53.799999	96.365944	26.4040
54.500000	96.440346	25.9975
55.200001	96.479263	25.4566
56.000000	96.490173	24.9193
57.000000	96.522385	24.1959
58.000000	96.560867	23.4760
59.000000	96.602631	22.8977
60.000000	96.623459	22.3016
60.799999	96.639191	21.8345
61.500000	96.662407	21.3744
62.200001	96.683968	20.8764
63.000000	96.700836	20.3388
64.000000	96.719040	19.7478
65.000000	96.742996	19.1911
66.000000	96.766907	18.6294
67.000000	96.785561	18.0725
68.000000	96.800430	17.5166
69.000000	96.818008	16.9467
70.000000	96.834724	16.3804
71.000000	96.851814	15.8788
72.000000	96.866425	15.3695
73.000000	96.879234	14.8658
74.000000	96.897743	14.3718
75.000000	96.907829	13.8958
76.199997	96.907890	13.2604
77.500000	96.934944	12.5339
78.800003	96.968758	11.8471
80.000000	96.960518	11.5389
81.199997	96.964691	11.0020
82.500000	96.969048	10.3370
83.800003	96.987488	9.7811
85.000000	96.987122	9.3158
86.199997	96.985092	8.8200
87.500000	96.997032	8.2540
88.500000	97.000633	7.8121
90.000000	96.998779	7.2458
91.199997	97.002243	6.7456
92.500000	97.007332	6.2689
93.800003	97.006165	5.7755
95.000000	97.005234	5.3258
96.199997	97.007034	4.8867
97.500000	97.002853	4.4419
98.800003	96.999130	3.9491
100.000000	96.995270	3.5231
101.500000	96.997452	3.0060
103.000000	97.001373	2.4789
104.400002	96.990547	2.0475
106.000000	96.986061	1.5143
107.500000	96.980118	1.0010
109.000000	96.970818	0.5312
110.599998	96.956650	0.0295
112.000000	96.954567	-0.4111
113.800003	96.938721	-0.9367
115.000000	96.921593	-1.3160
117.199997	96.907654	-1.9692
118.000000	96.900330	-2.1592
120.599998	96.860023	-2.9585
122.000000	96.869110	-3.2625
124.099998	96.836411	-3.8248
125.000000	96.826767	-4.0733
126.500000	96.813248	-4.3901
128.000000	96.793312	-4.7211
131.500000	96.742981	-5.4635
132.000000	96.738220	-5.5527
134.000000	96.713959	-5.7961
136.000000	96.692574	-6.1008
138.000000	96.699135	-6.3151
140.000000	96.713104	-6.5169
143.000000	96.765572	-7.0793
145.000000	96.790237	-7.6011
147.500000	96.814392	-8.3960
150.000000	96.809326	-9.2238
152.500000	96.796181	-9.9712
155.000000	96.772148	-10.6519
