* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138. Timing signal peak level -19.4 dBFS, measurement signal peak level -19.5 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Jan 20, 2024 8:27:00 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0834 ms (-29 mm, -1.13 in) using estimated IR delay relative to Acoustic reference on USB-C to 3.5mm Headphone Jack Adapter R with no timing offset
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	90.894485	65.8901
20.600000	90.981178	65.3750
20.900000	91.071732	65.0351
21.200001	91.172676	64.7346
21.400000	91.244507	64.5151
21.799999	91.387863	63.9759
22.000000	91.454498	63.6508
22.400000	91.571877	62.9164
22.700001	91.645805	62.3267
23.000000	91.711205	61.7250
23.299999	91.772003	61.1203
23.600000	91.831131	60.5180
24.000000	91.910294	59.7371
24.299999	91.971794	59.1883
24.700001	92.059860	58.5224
25.000000	92.131226	58.0589
25.400000	92.229370	57.4471
25.799999	92.319176	56.8069
26.200001	92.389648	56.1587
26.500000	92.430237	55.7031
26.900000	92.480255	55.1566
27.200001	92.524734	54.7653
27.600000	92.599541	54.1746
28.000000	92.682480	53.4365
28.500000	92.767601	52.3894
29.000000	92.820709	51.5418
29.500000	92.877106	51.1218
30.000000	92.980591	50.9179
30.400000	93.090599	50.6241
30.700001	93.169312	50.2479
31.100000	93.246780	49.5920
31.500000	93.287521	48.9276
32.000000	93.316154	48.2895
32.500000	93.364166	47.8324
33.000000	93.442207	47.3279
33.500000	93.523155	46.6789
34.000000	93.584488	46.0023
34.500000	93.631271	45.4178
35.000000	93.678009	44.9037
35.500000	93.727272	44.3802
36.000000	93.775215	43.8317
36.500000	93.824417	43.2845
37.000000	93.879066	42.7319
37.500000	93.934181	42.1573
38.200001	93.996849	41.3930
38.700001	94.034294	40.9283
39.500000	94.094185	40.1947
40.000000	94.124657	39.6908
40.599998	94.157532	39.1351
41.200001	94.206253	38.6463
41.799999	94.264183	38.1237
42.500000	94.306854	37.5633
43.099998	94.338882	37.2824
43.700001	94.404198	36.9619
44.400002	94.486099	36.1898
45.000000	94.517380	35.4879
45.500000	94.536743	35.1346
46.200001	94.584457	34.7663
46.799999	94.595215	34.2977
47.500000	94.542297	33.9251
48.200001	94.548477	33.8313
48.700001	94.627808	33.4291
49.400002	94.728882	32.1886
50.000000	94.741692	31.2403
50.799999	94.754654	30.8422
51.500000	94.820259	30.5917
52.200001	94.859001	30.0362
53.000000	94.861603	29.5206
53.799999	94.892204	29.1529
54.500000	94.926338	28.7284
55.200001	94.945831	28.2708
56.000000	94.967804	27.7401
57.000000	95.000320	27.0298
58.000000	95.024391	26.5120
59.000000	95.061218	26.0955
60.000000	95.086517	25.4071
60.799999	95.087997	24.9228
61.500000	95.104706	24.6381
62.200001	95.129990	24.3178
63.000000	95.142265	23.8783
64.000000	95.151939	23.3293
65.000000	95.176888	22.7856
66.000000	95.202911	22.3824
67.000000	95.222496	22.0113
68.000000	95.229836	21.5225
69.000000	95.241028	21.0074
70.000000	95.262482	20.5611
71.000000	95.280235	20.1719
72.000000	95.288643	19.7614
73.000000	95.291924	19.3369
74.000000	95.301018	18.9432
75.000000	95.310463	18.5313
76.199997	95.316551	17.9692
77.500000	95.309799	17.4156
78.800003	95.332642	17.1138
80.000000	95.347755	16.6277
81.199997	95.342628	16.1820
82.500000	95.345673	15.7227
83.800003	95.350746	15.3382
85.000000	95.350784	14.8524
86.199997	95.347672	14.4831
87.500000	95.357895	14.1151
88.500000	95.359055	13.7852
90.000000	95.344360	13.3443
91.199997	95.338600	13.0881
92.500000	95.327072	12.7222
93.800003	95.327972	12.4142
95.000000	95.330086	12.0594
96.199997	95.317017	11.8725
97.500000	95.309547	11.5028
98.800003	95.291100	11.2227
100.000000	95.286499	11.0079
101.500000	95.280670	10.9360
103.000000	95.309235	10.6770
104.400002	95.342728	10.4565
106.000000	95.378235	9.9405
107.500000	95.365631	9.4418
109.000000	95.356506	9.0613
110.599998	95.342499	8.5805
112.000000	95.318840	8.2307
113.800003	95.289040	7.9357
115.000000	95.272873	7.7105
117.199997	95.251068	7.5286
118.000000	95.239700	7.4177
120.599998	95.285141	7.0679
122.000000	95.261703	7.0782
124.099998	95.272491	6.6328
125.000000	95.277542	6.4734
126.500000	95.270859	6.2286
128.000000	95.265198	5.9595
131.500000	95.245361	5.5282
132.000000	95.243706	5.4963
134.000000	95.246368	5.3433
136.000000	95.269829	5.1619
138.000000	95.298737	4.9020
140.000000	95.329865	4.4941
143.000000	95.353752	3.7683
145.000000	95.345192	3.2765
147.500000	95.328018	2.6886
150.000000	95.301765	2.2269
152.500000	95.281906	1.8317
155.000000	95.261215	1.3968
157.500000	95.243439	0.9454
160.000000	95.218773	0.5367
162.500000	95.185440	0.1398
165.000000	95.150398	-0.1909
167.500000	95.124886	-0.4922
170.000000	95.101761	-0.8150
172.500000	95.072060	-1.1604
175.000000	95.043495	-1.4977
177.500000	95.009186	-1.8180
180.000000	94.981392	-2.0322
182.500000	94.928818	-2.3482
185.000000	94.886971	-2.5671
187.500000	94.844193	-2.7688
190.000000	94.798355	-2.9201
192.500000	94.755463	-3.0062
195.000000	94.712723	-3.0299
197.500000	94.675682	-2.9888
200.000000	94.658005	-2.8539
203.000000	94.660095	-2.6806
206.000000	94.701126	-2.6220
209.000000	94.748665	-2.8209
212.000000	94.787148	-3.1659
214.000000	94.806313	-3.4932
218.000000	94.814171	-4.2245
220.000000	94.804352	-4.5744
224.000000	94.765182	-5.2548
227.000000	94.728394	-5.6824
230.000000	94.684662	-6.0620
233.000000	94.640572	-6.3709
236.000000	94.599358	-6.6643
240.000000	94.555382	-6.8252
243.000000	94.502357	-7.2571
247.000000	94.448143	-7.5452
250.000000	94.407829	-7.7636
254.000000	94.355690	-7.9943
258.000000	94.305649	-8.2348
262.000000	94.254410	-8.4553
265.000000	94.218056	-8.6239
269.000000	94.168297	-8.8377
272.000000	94.132561	-8.9688
276.000000	94.087593	-9.1232
280.000000	94.036018	-9.3316
285.000000	93.979591	-9.5280
290.000000	93.919968	-9.7231
295.000000	93.862190	-9.8967
300.000000	93.799362	-10.0237
304.000000	93.757370	-10.1816
307.000000	93.723663	-10.2795
311.000000	93.682465	-10.3607
315.000000	93.635025	-10.4873
320.000000	93.580963	-10.5923
325.000000	93.521751	-10.7124
330.000000	93.470741	-10.8514
335.000000	93.415855	-10.9323
340.000000	93.362289	-11.0328
345.000000	93.307343	-11.1156
350.000000	93.256241	-11.1694
355.000000	93.199707	-11.2463
360.000000	93.155922	-11.3049
365.000000	93.099365	-11.3774
370.000000	93.048355	-11.4214
375.000000	92.998940	-11.4408
