* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 28, 2024 10:59:06 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	89.251358	-112.0783
20.600000	89.341209	-112.8643
20.900000	89.417854	-113.6292
21.200001	89.482819	-114.4466
21.400000	89.518143	-115.0123
21.799999	89.568481	-116.1217
22.000000	89.585175	-116.6286
22.400000	89.611580	-117.4875
22.700001	89.638611	-117.9840
23.000000	89.682411	-118.3967
23.299999	89.747742	-118.7961
23.600000	89.832596	-119.2560
24.000000	89.961319	-120.0396
24.299999	90.055634	-120.7417
24.700001	90.163315	-121.7351
25.000000	90.227722	-122.4357
25.400000	90.297012	-123.2264
25.799999	90.358612	-123.8503
26.200001	90.419891	-124.3952
26.500000	90.464722	-124.8191
26.900000	90.517685	-125.4534
27.200001	90.550217	-125.9775
27.600000	90.587921	-126.6928
28.000000	90.629829	-127.3782
28.500000	90.705200	-128.1763
29.000000	90.805359	-128.9698
29.500000	90.905853	-129.7941
30.000000	90.980148	-130.5882
30.400000	91.018402	-131.1497
30.700001	91.040466	-131.5270
31.100000	91.069977	-132.0074
31.500000	91.105835	-132.5193
32.000000	91.159683	-133.2516
32.500000	91.217628	-134.0515
33.000000	91.274750	-134.8310
33.500000	91.328323	-135.5397
34.000000	91.374657	-136.1771
34.500000	91.412895	-136.7580
35.000000	91.450455	-137.3112
35.500000	91.497391	-137.8972
36.000000	91.553665	-138.5754
36.500000	91.607025	-139.3230
37.000000	91.646515	-140.0134
37.500000	91.675529	-140.5235
38.200001	91.723083	-140.9992
38.700001	91.764641	-141.3896
39.500000	91.808945	-142.3643
40.000000	91.817299	-143.0732
40.599998	91.833122	-143.8363
41.200001	91.874290	-144.4757
41.799999	91.927902	-145.0228
42.500000	91.977547	-145.5247
43.099998	92.012115	-145.8922
43.700001	92.050156	-146.3983
44.400002	92.084213	-147.2720
45.000000	92.091400	-148.0236
45.500000	92.093193	-148.4486
46.200001	92.117599	-148.7653
46.799999	92.157288	-149.0687
47.500000	92.189201	-149.6944
48.200001	92.193001	-150.4420
48.700001	92.196213	-150.9004
49.400002	92.222542	-151.4200
50.000000	92.252480	-151.8344
50.799999	92.276985	-152.3685
51.500000	92.302567	-152.8423
52.200001	92.349754	-153.4694
53.000000	92.390930	-154.3513
53.799999	92.378799	-155.0468
54.500000	92.347672	-155.3723
55.200001	92.340424	-155.6006
56.000000	92.381729	-155.9776
57.000000	92.452599	-156.5724
58.000000	92.476868	-157.1387
59.000000	92.425232	-157.9189
60.000000	92.378952	-158.4499
60.799999	92.443253	-158.7503
61.500000	92.507675	-159.2229
62.200001	92.513306	-159.6908
63.000000	92.485085	-160.0406
64.000000	92.475815	-160.5485
65.000000	92.486649	-161.1431
66.000000	92.500656	-161.6246
67.000000	92.507675	-162.0809
68.000000	92.507919	-162.5960
69.000000	92.506165	-163.0960
70.000000	92.508072	-163.5625
71.000000	92.510147	-163.9844
72.000000	92.517593	-164.4097
73.000000	92.524658	-164.9011
74.000000	92.529823	-165.3659
75.000000	92.533371	-165.7500
76.199997	92.521530	-166.1024
77.500000	92.541527	-166.5766
78.800003	92.525352	-167.2777
80.000000	92.515503	-167.5682
81.199997	92.515900	-167.9849
82.500000	92.519714	-168.4434
83.800003	92.505119	-168.9407
85.000000	92.495468	-169.3068
86.199997	92.491646	-169.6690
87.500000	92.487518	-170.1123
88.500000	92.484192	-170.3976
90.000000	92.477737	-170.8395
91.199997	92.468971	-171.1981
92.500000	92.461769	-171.5757
93.800003	92.452888	-171.9829
95.000000	92.443596	-172.3471
96.199997	92.437927	-172.6763
97.500000	92.424278	-172.9872
98.800003	92.415771	-173.3292
100.000000	92.410889	-173.6700
101.500000	92.397926	-173.9964
103.000000	92.380836	-174.4128
104.400002	92.371254	-174.7309
106.000000	92.351395	-175.0074
107.500000	92.341820	-175.4034
109.000000	92.328606	-175.7292
110.599998	92.311890	-176.0679
