* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 28, 2024 10:57:43 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	88.607765	-110.0285
20.600000	88.690041	-110.5973
20.900000	88.776703	-111.0231
21.200001	88.871384	-111.4461
21.400000	88.937836	-111.7620
21.799999	89.071236	-112.5224
22.000000	89.134705	-112.9734
22.400000	89.249481	-113.9949
22.700001	89.321793	-114.8217
23.000000	89.382271	-115.6516
23.299999	89.433014	-116.4394
23.600000	89.477951	-117.1488
24.000000	89.538193	-117.9434
24.299999	89.590401	-118.4430
24.700001	89.675079	-119.0528
25.000000	89.748344	-119.5351
25.400000	89.850410	-120.2826
25.799999	89.943756	-121.1631
26.200001	90.018463	-122.1106
26.500000	90.062057	-122.8007
26.900000	90.110893	-123.6199
27.200001	90.147247	-124.1353
27.600000	90.203911	-124.7092
28.000000	90.273026	-125.2123
28.500000	90.370995	-125.8505
29.000000	90.467361	-126.5723
29.500000	90.552567	-127.3729
30.000000	90.626930	-128.2132
30.400000	90.681145	-128.9006
30.700001	90.718613	-129.4241
31.100000	90.762207	-130.1272
31.500000	90.796356	-130.8145
32.000000	90.828957	-131.6047
32.500000	90.863518	-132.2982
33.000000	90.914848	-132.9448
33.500000	90.984512	-133.6098
34.000000	91.061584	-134.2942
34.500000	91.136307	-134.9496
35.000000	91.204346	-135.5689
35.500000	91.259460	-136.2082
36.000000	91.291618	-136.8926
36.500000	91.301147	-137.5484
37.000000	91.310188	-138.0834
37.500000	91.347061	-138.5248
38.200001	91.445877	-139.2431
38.700001	91.511749	-139.8882
39.500000	91.559273	-140.8387
40.000000	91.573761	-141.2870
40.599998	91.603363	-141.8258
41.200001	91.641876	-142.4720
41.799999	91.681396	-143.1423
42.500000	91.735641	-143.8650
43.099998	91.782600	-144.5070
43.700001	91.810631	-145.1634
44.400002	91.829010	-145.7878
45.000000	91.863838	-146.2271
45.500000	91.907639	-146.6572
46.200001	91.955772	-147.4126
46.799999	91.963585	-148.0465
