* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 18, 2025 2:27:12 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: black L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	103.759	-150.1702
20.600000	103.774	-150.7832
20.900000	103.782	-151.3248
21.200001	103.792	-151.8743
21.400000	103.802	-152.2605
21.799999	103.827	-153.0854
22.000000	103.838	-153.5106
22.400000	103.858	-154.3260
22.700001	103.870	-154.8467
23.000000	103.885	-155.2668
23.299999	103.904	-155.6067
23.600000	103.929	-155.9202
24.000000	103.959	-156.4035
24.299999	103.966	-156.8462
24.700001	103.940	-157.4922
25.000000	103.896	-157.9325
25.400000	103.829	-158.3643
25.799999	103.791	-158.6403
26.200001	103.808	-158.9375
26.500000	103.853	-159.2960
26.900000	103.929	-160.0006
27.200001	103.977	-160.6421
27.600000	104.015	-161.4734
28.000000	104.025	-162.1243
28.500000	104.027	-162.6417
29.000000	104.038	-163.0504
29.500000	104.050	-163.5649
30.000000	104.047	-164.1795
30.400000	104.039	-164.6588
30.700001	104.035	-164.9862
31.100000	104.038	-165.3917
31.500000	104.048	-165.7924
32.000000	104.058	-166.3008
32.500000	104.058	-166.7881
33.000000	104.054	-167.2414
33.500000	104.053	-167.6994
34.000000	104.056	-168.1950
34.500000	104.059	-168.7059
35.000000	104.060	-169.1825
35.500000	104.060	-169.6058
36.000000	104.059	-169.9957
36.500000	104.055	-170.3802
37.000000	104.050	-170.7750
37.500000	104.044	-171.1818
38.200001	104.037	-171.7465
38.700001	104.032	-172.1236
39.500000	104.026	-172.6868
40.000000	104.021	-173.0388
40.599998	104.011	-173.4669
41.200001	104.003	-173.8902
41.799999	103.998	-174.3134
42.500000	103.992	-174.8140
43.099998	103.982	-175.2259
43.700001	103.971	-175.6066
44.400002	103.959	-176.0375
45.000000	103.950	-176.4131
45.500000	103.941	-176.7208
46.200001	103.926	-177.1299
46.799999	103.915	-177.4701
47.500000	103.902	-177.8661
48.200001	103.893	-178.2484
48.700001	103.889	-178.5182
49.400002	103.884	-178.9236
50.000000	103.869	-179.2929
50.799999	103.838	-179.7443
51.500000	103.815	179.9217
52.200001	103.805	179.5983
53.000000	103.800	179.2134
53.799999	103.787	178.8223
54.500000	103.766	178.4830
55.200001	103.743	178.1519
56.000000	103.725	177.7664
57.000000	103.709	177.2995
58.000000	103.690	176.9010
59.000000	103.660	176.4586
60.000000	103.626	176.0362
60.799999	103.610	175.7166
61.500000	103.595	175.4111
62.200001	103.572	175.1311
63.000000	103.550	174.8403
64.000000	103.529	174.3964
65.000000	103.496	174.0005
66.000000	103.469	173.7170
67.000000	103.445	173.3536
68.000000	103.415	172.9850
69.000000	103.391	172.6475
70.000000	103.364	172.2976
71.000000	103.332	171.9904
72.000000	103.306	171.6694
73.000000	103.276	171.3276
74.000000	103.249	171.0301
75.000000	103.223	170.7202
76.199997	103.187	170.3888
77.500000	103.145	169.9868
78.800003	103.101	169.6192
80.000000	103.072	169.2935
81.199997	103.045	168.9912
82.500000	103.001	168.6541
83.800003	102.957	168.3383
85.000000	102.920	168.0255
86.199997	102.886	167.7211
87.500000	102.846	167.4263
88.500000	102.817	167.1960
90.000000	102.769	166.8485
91.199997	102.732	166.6023
92.500000	102.694	166.3495
93.800003	102.649	166.0657
95.000000	102.614	165.8144
96.199997	102.578	165.5930
97.500000	102.537	165.3224
98.800003	102.490	165.0701
100.000000	102.456	164.8552
101.500000	102.407	164.5836
103.000000	102.361	164.3386
104.400002	102.319	164.1299
106.000000	102.264	163.8183
107.500000	102.219	163.6021
109.000000	102.172	163.3755
110.599998	102.119	163.1354
112.000000	102.073	162.9252
113.800003	102.014	162.6887
115.000000	101.976	162.5267
117.199997	101.901	162.2332
118.000000	101.876	162.1331
120.599998	101.790	161.8167
122.000000	101.747	161.6833
124.099998	101.677	161.4844
125.000000	101.648	161.4026
126.500000	101.600	161.2559
128.000000	101.550	161.1298
131.500000	101.437	160.8634
132.000000	101.422	160.8291
134.000000	101.359	160.7344
136.000000	101.297	160.6135
138.000000	101.241	160.5309
140.000000	101.185	160.4392
143.000000	101.106	160.3163
145.000000	101.052	160.2328
147.500000	100.990	160.0896
150.000000	100.923	159.9804
152.500000	100.858	159.8610
155.000000	100.792	159.7432
157.500000	100.727	159.6528
160.000000	100.667	159.5482
162.500000	100.598	159.4833
165.000000	100.538	159.3898
167.500000	100.475	159.2980
170.000000	100.409	159.2357
172.500000	100.344	159.1520
175.000000	100.277	159.1012
177.500000	100.211	159.0421
180.000000	100.137	158.9989
182.500000	100.077	158.9867
185.000000	100.007	158.9924
187.500000	99.939	159.0099
190.000000	99.875	159.0349
192.500000	99.810	159.1047
195.000000	99.747	159.1947
197.500000	99.686	159.2912
200.000000	99.629	159.4275
203.000000	99.569	159.6039
206.000000	99.519	159.7737
209.000000	99.480	159.9094
212.000000	99.440	159.9675
214.000000	99.416	159.9806
218.000000	99.358	159.9594
220.000000	99.325	159.9238
224.000000	99.249	159.8656
227.000000	99.195	159.8849
230.000000	99.132	159.8996
233.000000	99.071	159.8973
236.000000	99.009	159.9364
240.000000	98.927	160.0366
243.000000	98.872	160.0980
247.000000	98.792	160.2192
250.000000	98.736	160.3033
254.000000	98.663	160.4235
258.000000	98.589	160.5475
262.000000	98.515	160.6870
265.000000	98.462	160.7737
269.000000	98.388	160.9438
272.000000	98.331	161.0712
276.000000	98.261	161.2493
280.000000	98.189	161.4461
285.000000	98.105	161.6853
290.000000	98.021	161.9614
295.000000	97.940	162.2567
300.000000	97.861	162.5478
304.000000	97.801	162.7689
307.000000	97.757	162.9432
311.000000	97.703	163.2010
315.000000	97.646	163.4506
320.000000	97.581	163.7426
325.000000	97.515	164.0309
330.000000	97.448	164.2867
335.000000	97.382	164.6293
340.000000	97.318	164.9236
345.000000	97.254	165.2200
350.000000	97.191	165.5298
355.000000	97.129	165.8645
360.000000	97.068	166.1984
365.000000	97.011	166.5082
370.000000	96.955	166.8707
375.000000	96.895	167.1897
382.000000	96.818	167.6857
387.000000	96.764	168.0408
395.000000	96.681	168.6049
400.000000	96.628	168.9625
406.000000	96.571	169.3774
412.000000	96.513	169.8034
418.000000	96.457	170.2472
425.000000	96.394	170.7693
431.000000	96.340	171.2160
437.000000	96.290	171.6649
444.000000	96.231	172.1921
450.000000	96.181	172.6397
455.000000	96.141	173.0346
462.000000	96.089	173.5583
468.000000	96.041	174.0138
475.000000	95.992	174.5538
482.000000	95.945	175.0938
487.000000	95.908	175.4731
494.000000	95.861	176.0291
500.000000	95.823	176.4812
508.000000	95.775	177.1230
515.000000	95.732	177.6714
522.000000	95.690	178.2296
530.000000	95.648	178.8567
538.000000	95.603	179.4944
545.000000	95.567	-179.9675
552.000000	95.533	-179.3919
560.000000	95.494	-178.7643
570.000000	95.447	-177.9612
580.000000	95.405	-177.1492
590.000000	95.363	-176.3319
600.000000	95.324	-175.5532
608.000000	95.297	-174.9048
615.000000	95.273	-174.3082
622.000000	95.249	-173.7499
630.000000	95.224	-173.0957
640.000000	95.196	-172.2658
650.000000	95.167	-171.4579
660.000000	95.147	-170.5984
670.000000	95.122	-169.7735
680.000000	95.103	-168.9572
690.000000	95.084	-168.1114
700.000000	95.071	-167.2498
710.000000	95.061	-166.4172
720.000000	95.050	-165.5601
730.000000	95.042	-164.7082
740.000000	95.038	-163.8625
750.000000	95.037	-162.9831
762.000000	95.036	-161.9539
775.000000	95.043	-160.8472
788.000000	95.051	-159.7326
800.000000	95.065	-158.6876
812.000000	95.082	-157.6674
825.000000	95.106	-156.5490
838.000000	95.134	-155.4288
850.000000	95.166	-154.4090
862.000000	95.201	-153.3846
875.000000	95.240	-152.2949
885.000000	95.277	-151.4587
900.000000	95.340	-150.2063
912.000000	95.393	-149.1984
925.000000	95.454	-148.1290
938.000000	95.520	-147.1060
950.000000	95.587	-146.1359
962.000000	95.659	-145.2042
975.000000	95.739	-144.2070
988.000000	95.825	-143.2516
1000.000000	95.909	-142.3661
1015.000000	96.022	-141.3228
1030.000000	96.132	-140.3051
1044.000000	96.243	-139.3909
1060.000000	96.373	-138.4013
1075.000000	96.499	-137.5182
1090.000000	96.625	-136.6822
1106.000000	96.765	-135.8248
1120.000000	96.885	-135.1169
1138.000000	97.043	-134.2789
1150.000000	97.148	-133.7509
1172.000000	97.339	-132.8250
1180.000000	97.405	-132.5070
1206.000000	97.629	-131.5745
1220.000000	97.747	-131.0795
1241.000000	97.921	-130.3966
1250.000000	97.992	-130.1223
1265.000000	98.111	-129.6783
1280.000000	98.230	-129.2538
1315.000000	98.501	-128.3051
1320.000000	98.536	-128.1693
1340.000000	98.687	-127.6538
1360.000000	98.833	-127.1597
1380.000000	98.981	-126.6721
