* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 18, 2025 2:23:54 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: black R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	104.304	-151.5680
20.600000	104.318	-152.1265
20.900000	104.325	-152.6203
21.200001	104.330	-153.1064
21.400000	104.335	-153.4300
21.799999	104.347	-154.0827
22.000000	104.356	-154.4134
22.400000	104.375	-155.0834
22.700001	104.391	-155.5897
23.000000	104.406	-156.0925
23.299999	104.419	-156.5846
23.600000	104.430	-157.0605
24.000000	104.445	-157.6684
24.299999	104.455	-158.1100
24.700001	104.471	-158.6913
25.000000	104.482	-159.1249
25.400000	104.495	-159.6943
25.799999	104.506	-160.2391
26.200001	104.517	-160.7507
26.500000	104.525	-161.1173
26.900000	104.536	-161.5978
27.200001	104.544	-161.9598
27.600000	104.551	-162.4460
28.000000	104.555	-162.9289
28.500000	104.559	-163.5211
29.000000	104.566	-164.1145
29.500000	104.574	-164.7199
30.000000	104.577	-165.3070
30.400000	104.577	-165.7313
30.700001	104.578	-166.0176
31.100000	104.581	-166.3725
31.500000	104.588	-166.7295
32.000000	104.594	-167.2126
32.500000	104.593	-167.7207
33.000000	104.584	-168.2001
33.500000	104.577	-168.6288
34.000000	104.578	-169.0377
34.500000	104.584	-169.4667
35.000000	104.588	-169.9194
35.500000	104.586	-170.3685
36.000000	104.580	-170.7883
36.500000	104.573	-171.1762
37.000000	104.570	-171.5502
37.500000	104.570	-171.9317
38.200001	104.568	-172.4917
38.700001	104.561	-172.8960
39.500000	104.539	-173.5144
40.000000	104.523	-173.8789
40.599998	104.508	-174.2910
41.200001	104.501	-174.6741
41.799999	104.506	-175.0570
42.500000	104.513	-175.5466
43.099998	104.507	-175.9703
43.700001	104.493	-176.3468
44.400002	104.483	-176.7767
45.000000	104.478	-177.2056
45.500000	104.469	-177.5757
46.200001	104.452	-178.0115
46.799999	104.442	-178.3001
47.500000	104.433	-178.6214
48.200001	104.418	-178.9710
48.700001	104.406	-179.2464
49.400002	104.388	-179.6748
50.000000	104.375	179.9559
50.799999	104.367	179.5117
51.500000	104.357	179.1489
52.200001	104.327	178.8651
53.000000	104.295	178.6405
53.799999	104.289	178.2054
54.500000	104.277	177.6489
55.200001	104.258	177.2445
56.000000	104.257	176.9714
57.000000	104.243	176.5218
58.000000	104.198	176.1137
59.000000	104.179	175.6952
60.000000	104.160	175.2425
60.799999	104.136	174.9445
61.500000	104.114	174.6848
62.200001	104.095	174.4058
63.000000	104.079	174.0699
64.000000	104.055	173.6845
65.000000	104.027	173.3369
66.000000	103.997	172.9751
67.000000	103.971	172.6263
68.000000	103.944	172.2673
69.000000	103.915	171.9335
70.000000	103.892	171.5765
71.000000	103.865	171.2426
72.000000	103.837	170.9324
73.000000	103.803	170.6009
74.000000	103.778	170.2944
75.000000	103.756	169.9581
76.199997	103.716	169.6438
77.500000	103.676	169.2172
78.800003	103.629	168.8414
80.000000	103.606	168.5274
81.199997	103.567	168.1919
82.500000	103.529	167.8615
83.800003	103.489	167.5054
85.000000	103.453	167.2192
86.199997	103.417	166.9124
87.500000	103.376	166.6056
88.500000	103.347	166.3693
90.000000	103.300	166.0272
91.199997	103.261	165.7524
92.500000	103.222	165.4848
93.800003	103.185	165.1996
95.000000	103.146	164.9467
96.199997	103.107	164.7009
97.500000	103.069	164.4379
98.800003	103.027	164.1817
100.000000	102.989	163.9617
101.500000	102.941	163.6789
103.000000	102.894	163.4125
104.400002	102.848	163.1632
106.000000	102.801	162.8892
107.500000	102.750	162.6479
109.000000	102.699	162.4099
110.599998	102.651	162.1623
112.000000	102.604	161.9617
113.800003	102.546	161.7109
115.000000	102.507	161.5480
117.199997	102.433	161.2510
118.000000	102.404	161.1498
120.599998	102.327	160.8237
122.000000	102.279	160.7326
124.099998	102.211	160.5077
125.000000	102.184	160.4336
126.500000	102.138	160.3124
128.000000	102.094	160.1939
131.500000	101.995	159.9221
132.000000	101.981	159.8781
134.000000	101.929	159.7413
136.000000	101.873	159.5696
138.000000	101.821	159.3944
140.000000	101.769	159.2277
143.000000	101.689	159.0011
145.000000	101.636	158.8149
147.500000	101.572	158.6183
150.000000	101.500	158.4406
152.500000	101.427	158.2531
155.000000	101.360	158.0852
157.500000	101.288	157.9189
160.000000	101.221	157.8041
162.500000	101.148	157.6544
165.000000	101.077	157.5311
167.500000	101.004	157.4246
170.000000	100.937	157.3358
172.500000	100.864	157.2465
175.000000	100.792	157.1656
177.500000	100.718	157.1077
180.000000	100.650	157.0133
182.500000	100.577	157.0166
185.000000	100.505	156.9872
187.500000	100.434	156.9899
190.000000	100.364	156.9640
192.500000	100.294	157.0274
195.000000	100.224	157.0851
197.500000	100.166	157.1763
200.000000	100.093	157.2768
203.000000	100.025	157.3678
206.000000	99.960	157.4904
209.000000	99.898	157.5943
212.000000	99.833	157.7032
214.000000	99.788	157.7689
218.000000	99.700	157.9765
220.000000	99.662	158.1329
224.000000	99.607	158.4899
227.000000	99.592	158.6571
230.000000	99.577	158.6515
233.000000	99.549	158.5375
236.000000	99.503	158.3998
240.000000	99.427	158.2668
243.000000	99.366	158.2402
247.000000	99.280	158.2239
250.000000	99.216	158.2526
254.000000	99.136	158.3242
258.000000	99.055	158.3834
262.000000	98.973	158.4891
265.000000	98.914	158.5773
269.000000	98.838	158.7218
272.000000	98.779	158.8325
276.000000	98.706	158.9782
280.000000	98.631	159.1462
285.000000	98.541	159.3665
290.000000	98.458	159.6022
295.000000	98.371	159.8521
300.000000	98.292	160.0900
304.000000	98.226	160.2825
307.000000	98.181	160.4483
311.000000	98.119	160.6653
315.000000	98.059	160.8685
320.000000	97.983	161.1259
325.000000	97.912	161.3983
330.000000	97.837	161.6712
335.000000	97.767	161.9650
340.000000	97.697	162.2356
345.000000	97.629	162.5240
350.000000	97.560	162.8323
355.000000	97.495	163.1303
360.000000	97.429	163.4417
365.000000	97.368	163.7469
370.000000	97.303	164.0580
375.000000	97.243	164.4016
382.000000	97.158	164.8516
387.000000	97.104	165.1743
395.000000	97.009	165.7233
400.000000	96.952	166.0626
406.000000	96.886	166.4720
412.000000	96.825	166.8866
418.000000	96.762	167.3361
425.000000	96.691	167.8244
431.000000	96.633	168.2557
437.000000	96.576	168.6816
444.000000	96.513	169.2034
450.000000	96.459	169.6372
455.000000	96.414	170.0039
462.000000	96.354	170.5331
468.000000	96.304	170.9588
475.000000	96.245	171.5039
482.000000	96.192	172.0344
487.000000	96.153	172.4090
494.000000	96.103	172.9326
500.000000	96.059	173.3894
508.000000	96.003	174.0051
515.000000	95.957	174.5787
522.000000	95.909	175.1025
530.000000	95.858	175.7296
538.000000	95.807	176.3566
545.000000	95.768	176.9050
552.000000	95.729	177.4643
560.000000	95.685	178.0759
570.000000	95.631	178.8815
580.000000	95.580	179.6866
590.000000	95.532	-179.5309
600.000000	95.490	-178.7175
608.000000	95.453	-178.0660
615.000000	95.426	-177.5007
622.000000	95.401	-176.9310
630.000000	95.369	-176.2920
640.000000	95.335	-175.4705
650.000000	95.302	-174.6591
660.000000	95.276	-173.8374
670.000000	95.247	-172.9828
680.000000	95.218	-172.1701
690.000000	95.194	-171.3581
700.000000	95.174	-170.5128
710.000000	95.154	-169.6839
720.000000	95.138	-168.8483
730.000000	95.121	-167.9904
740.000000	95.112	-167.1358
750.000000	95.100	-166.2703
762.000000	95.096	-165.2458
775.000000	95.091	-164.0999
788.000000	95.092	-162.9712
800.000000	95.098	-161.9313
812.000000	95.108	-160.8893
825.000000	95.125	-159.7652
838.000000	95.148	-158.6485
850.000000	95.170	-157.5837
862.000000	95.201	-156.5697
875.000000	95.234	-155.4338
885.000000	95.268	-154.5866
900.000000	95.315	-153.2917
912.000000	95.368	-152.2975
925.000000	95.425	-151.2292
938.000000	95.488	-150.1571
950.000000	95.551	-149.1893
962.000000	95.614	-148.2415
975.000000	95.692	-147.2240
988.000000	95.772	-146.2227
1000.000000	95.853	-145.3696
1015.000000	95.958	-144.2856
1030.000000	96.069	-143.2577
1044.000000	96.175	-142.3286
1060.000000	96.301	-141.2984
1075.000000	96.423	-140.4081
1090.000000	96.545	-139.5347
1106.000000	96.680	-138.6902
1120.000000	96.798	-137.9758
1138.000000	96.950	-137.1026
1150.000000	97.052	-136.5726
1172.000000	97.239	-135.6315
1180.000000	97.308	-135.3141
1206.000000	97.521	-134.3339
1220.000000	97.636	-133.8377
1241.000000	97.805	-133.1527
1250.000000	97.878	-132.8764
1265.000000	97.994	-132.4055
1280.000000	98.109	-131.9625
1315.000000	98.369	-131.0163
1320.000000	98.406	-130.8699
1340.000000	98.553	-130.3407
1360.000000	98.696	-129.8177
1380.000000	98.836	-129.3191
1400.000000	98.978	-128.8428
1430.000000	99.187	-128.1177
1450.000000	99.326	-127.6365
1475.000000	99.498	-127.0580
1500.000000	99.673	-126.4760
1525.000000	99.849	-125.8955
1550.000000	100.029	-125.3233
1575.000000	100.210	-124.7518
1600.000000	100.399	-124.1662
1625.000000	100.600	-123.5918
1650.000000	100.814	-123.0885
1675.000000	101.032	-122.6922
1700.000000	101.250	-122.3777
1725.000000	101.464	-122.1217
1750.000000	101.678	-121.8719
1775.000000	101.892	-121.6706
1800.000000	102.112	-121.4795
1825.000000	102.336	-121.3220
1850.000000	102.571	-121.2092
1875.000000	102.817	-121.1864
1900.000000	103.068	-121.2856
1925.000000	103.319	-121.5045
1950.000000	103.568	-121.8365
1975.000000	103.810	-122.2708
2000.000000	104.049	-122.7970
2030.000000	104.329	-123.5446
2060.000000	104.602	-124.4158
2090.000000	104.864	-125.4294
2120.000000	105.115	-126.5847
2140.000000	105.276	-127.4352
2180.000000	105.572	-129.3174
2200.000000	105.705	-130.3366
2240.000000	105.940	-132.5463
2270.000000	106.084	-134.3042
2300.000000	106.200	-136.1299
2330.000000	106.283	-137.9940
2360.000000	106.335	-139.8680
2400.000000	106.352	-142.3191
2430.000000	106.329	-144.0848
2470.000000	106.254	-146.2885
2500.000000	106.169	-147.7898
2540.000000	106.023	-149.5422
2580.000000	105.851	-150.9716
2620.000000	105.675	-152.0371
2650.000000	105.555	-152.6528
2690.000000	105.417	-153.3508
2720.000000	105.326	-153.8965
2760.000000	105.194	-154.6663
2800.000000	105.043	-155.3971
2850.000000	104.822	-156.1080
2900.000000	104.589	-156.4946
2950.000000	104.357	-156.5720
3000.000000	104.140	-156.3767
3040.000000	103.981	-156.0740
3070.000000	103.869	-155.7883
3110.000000	103.727	-155.3241
3150.000000	103.595	-154.7520
3200.000000	103.443	-153.8690
3250.000000	103.318	-152.8090
3300.000000	103.228	-151.5852
3350.000000	103.179	-150.3054
3400.000000	103.167	-149.0155
3450.000000	103.192	-147.7934
3500.000000	103.243	-146.6733
3550.000000	103.314	-145.6551
3600.000000	103.405	-144.7443
3650.000000	103.509	-143.9596
3700.000000	103.625	-143.2958
3750.000000	103.744	-142.7636
3820.000000	103.913	-142.1412
3870.000000	104.036	-141.7680
3950.000000	104.245	-141.2679
4000.000000	104.388	-141.0437
4060.000000	104.567	-140.8564
4120.000000	104.760	-140.7933
4180.000000	104.963	-140.8694
4250.000000	105.213	-141.1762
4310.000000	105.434	-141.6456
4370.000000	105.661	-142.3338
4440.000000	105.928	-143.4218
4500.000000	106.150	-144.6359
4550.000000	106.328	-145.8835
4620.000000	106.552	-147.9441
4680.000000	106.715	-150.0243
4750.000000	106.851	-152.7913
4820.000000	106.918	-155.8323
4870.000000	106.916	-158.1147
4940.000000	106.836	-161.3794
5000.000000	106.695	-164.1106
5080.000000	106.416	-167.4891
5150.000000	106.106	-170.0763
5220.000000	105.758	-172.3336
5300.000000	105.316	-174.5550
5380.000000	104.829	-176.3109
5450.000000	104.377	-177.4285
5520.000000	103.919	-178.1066
5600.000000	103.403	-178.4207
5700.000000	102.786	-178.1934
5800.000000	102.217	-177.3690
5900.000000	101.701	-176.0761
6000.000000	101.250	-174.4189
6080.000000	100.933	-172.8710
6150.000000	100.698	-171.3933
6220.000000	100.492	-169.8200
6300.000000	100.301	-167.9399
6400.000000	100.131	-165.5154
6500.000000	100.036	-163.1188
6600.000000	100.009	-160.7600
6700.000000	100.052	-158.5438
6800.000000	100.158	-156.4858
6900.000000	100.329	-154.6041
7000.000000	100.557	-152.9151
7100.000000	100.861	-151.4227
7200.000000	101.253	-150.2382
7300.000000	101.743	-149.5451
7400.000000	102.323	-149.5172
7500.000000	103.005	-150.3580
7620.000000	103.937	-153.0520
7750.000000	105.009	-158.9379
7880.000000	105.899	-168.8817
8000.000000	106.187	178.7306
8120.000000	105.708	165.7794
8250.000000	104.499	154.4361
8380.000000	102.992	146.9602
8500.000000	101.585	142.8038
8620.000000	100.239	140.5510
8750.000000	98.888	139.7427
8850.000000	97.939	139.9904
9000.000000	96.673	141.3812
9120.000000	95.788	143.1269
9250.000000	94.944	145.4258
9380.000000	94.227	147.8519
9500.000000	93.649	150.4850
9620.000000	93.149	152.8912
9750.000000	92.708	155.7076
9880.000000	92.349	158.6458
10000.000000	92.103	160.9799
10150.000000	91.883	163.9812
10300.000000	91.770	166.8020
10440.000000	91.746	169.1633
10600.000000	91.836	171.4139
10750.000000	92.050	173.1302
10900.000000	92.370	174.2003
11060.000000	92.836	174.4992
11200.000000	93.354	173.8114
11380.000000	94.153	171.3165
11500.000000	94.764	168.1333
11720.000000	95.869	158.4759
11800.000000	96.205	153.4392
12060.000000	96.483	132.5516
12200.000000	95.936	120.5219
12410.000000	94.387	105.3667
12500.000000	93.585	100.4173
12650.000000	92.220	93.9722
12800.000000	90.903	89.3730
13150.000000	88.380	83.3058
13200.000000	88.096	82.5833
13400.000000	87.134	80.4927
13600.000000	86.415	78.1425
13800.000000	85.985	75.3020
14000.000000	85.702	71.7756
14300.000000	85.707	64.8446
14500.000000	86.009	58.5181
14750.000000	86.683	48.0147
15000.000000	87.656	33.1253
15250.000000	88.802	11.9924
15500.000000	89.276	-17.2400
15750.000000	88.274	-49.6302
16000.000000	86.194	-77.3787
16250.000000	83.860	-99.4866
16500.000000	81.819	-118.0076
16750.000000	80.067	-135.8127
17000.000000	78.588	-153.8412
17250.000000	77.420	-172.9582
17500.000000	76.367	166.4078
17750.000000	75.494	143.5223
18000.000000	74.910	118.0291
18250.000000	74.459	88.6592
18500.000000	74.185	54.1487
18750.000000	74.089	13.9202
19000.000000	74.236	-35.0633
19250.000000	74.192	-99.2073
19500.000000	72.338	-179.9979
19750.000000	66.984	90.9705
