* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 17, 2026 11:11:00 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	101.443	-173.8345
20.299999	101.440	-174.6743
20.600000	101.437	-175.4819
20.900000	101.436	-176.2643
21.200001	101.437	-177.0324
21.400000	101.438	-177.5422
21.799999	101.443	-178.5635
22.000000	101.444	-179.0750
22.400000	101.444	179.9073
22.700001	101.442	179.1570
23.000000	101.439	178.4217
23.299999	101.435	177.7008
23.600000	101.431	176.9901
24.000000	101.424	176.0510
24.299999	101.416	175.3534
24.700001	101.403	174.4409
25.000000	101.391	173.7776
25.400000	101.374	172.9247
25.799999	101.359	172.0946
26.200001	101.346	171.2640
26.500000	101.336	170.6316
26.900000	101.320	169.7807
27.200001	101.304	169.1476
27.600000	101.280	168.3270
28.000000	101.256	167.5368
28.500000	101.228	166.5707
29.000000	101.202	165.5988
29.500000	101.173	164.6271
30.000000	101.141	163.6888
30.400000	101.117	162.9666
30.700001	101.102	162.4297
31.100000	101.083	161.7022
31.500000	101.063	160.9554
32.000000	101.031	160.0243
32.500000	100.992	159.1475
33.000000	100.955	158.3398
33.500000	100.926	157.5592
34.000000	100.900	156.7569
34.500000	100.871	155.9305
35.000000	100.837	155.1130
35.500000	100.801	154.3237
36.000000	100.765	153.5518
36.500000	100.729	152.7817
37.000000	100.692	152.0148
37.500000	100.653	151.2593
38.200001	100.599	150.2167
38.700001	100.560	149.4758
39.500000	100.494	148.3167
40.000000	100.453	147.6212
40.599998	100.407	146.8052
41.200001	100.362	145.9921
41.799999	100.317	145.1804
42.500000	100.263	144.2447
43.099998	100.214	143.4547
43.700001	100.164	142.6784
44.400002	100.104	141.7973
45.000000	100.052	141.0601
